English,Bengali
Terminal adapters,টার্মিনাল অ্যাডাপ্টার
Terminal equipment,টার্মিনাল সরঞ্জাম
Terminating,সমাপ্তি
Terminating resistance,সমাপ্তি প্রতিরোধ
Termination,সমাপ্তি
Terminator,টার্মিনেটর
Terrain profiles,ভূখণ্ডের প্রোফাইল
Tertiary winding,তৃতীয় বাতাস
Test,পরীক্ষা
Test data,পরীক্ষার ডেটা
Test image,পরীক্ষার চিত্র
Test signal,পরীক্ষা সংকেত
Tester,পরীক্ষক
Testing,পরীক্ষামূলক
Tests and measurement,পরীক্ষা এবং পরিমাপ
Thermal noise,তাপীয় শব্দ
Thermal overload relay,তাপ ওভারলোড রিলে
Thermionic rectifier,থার্মিয়োনিক রেকটিফায়ার
Thermocouple,থার্মোকল
Thermometer,থার্মোমিটার
Thermostat,থার্মোস্ট্যাট
Thimble,থিম্বল
Thoriated filament,থোরিয়েটেড ফিলামেন্ট
Thread,থ্রেড
Three phase supply,তিন ধাপ সরবরাহ
Three phase transformer,তিন ফেজ ট্রান্সফর্মার
Threshold,থ্রেশহোল্ড
Throat microphone,গলা মাইক্রোফোন
Thrust,থ্রাস্ট
Thyratron,থাইরেট্রন
Thyristor,থাইরিস্টর
Tilt,কাত
Timbre,টিম্ব্রে
Time,সময়
Time base,সময় বেস
Time code,সময় কোড
Time constant,সময় ধ্রুবক
Time delay,সময় বিলম্ব
Time domain,সময় ডোমেন
Time sampling,সময় নমুনা
Time stretching,সময় প্রসারিত
Timer,টাইমার
Title bar,শিরোনাম বাক্স
To and fro motion,এবং মোশন
Toggle switch,টগল সুইচ
Token ring network,টোকেন রিং নেটওয়ার্ক
Tolerance,সহনশীলতা
Tone control,টোন নিয়ন্ত্রণ
Tool bar,সরঞ্জাম বার
Tools,সরঞ্জাম
Toothed gearing,দাঁত গিয়ারিং
Topology,টপোলজি
Toroidal winding,টরয়েডাল বাতাস
Torque,টর্ক
Total quality management (TQM),মোট গুণমান পরিচালনা (টিকিউএম)
Totalizer,টোটালাইজার
Tower,টাওয়ার
Tracer,ট্রেসার
Tracing,ট্রেসিং
Track,ট্র্যাক
Track ball,ট্র্যাক বল
Tracking,ট্র্যাকিং
Traffic management,ট্রাফিক ব্যবস্থাপনা
Transactional file system,লেনদেন ফাইল সিস্টেম
Transcode,ট্রান্সকোড
Transducer,ট্রান্সডুসার
Transeiver,ট্রানসিভার
Transfer characteristics,স্থানান্তর বৈশিষ্ট্য
Transfer function,স্থানান্তর ফাংশন
Transformer,ট্রান্সফর্মার
Transformer exciter,ট্রান্সফর্মার এক্সাইটার
Transformer trolley,ট্রান্সফর্মার ট্রলি
Transient,ক্ষণস্থায়ী
Transient coding,ক্ষণস্থায়ী কোডিং
Transient error,ক্ষণস্থায়ী ত্রুটি
Transient switching,ক্ষণস্থায়ী স্যুইচিং
Transistor,ট্রানজিস্টর
Translation,অনুবাদ
Translator,অনুবাদক
Transmission,সংক্রমণ
Transmission interface,সংক্রমণ ইন্টারফেস
Transmission line,পরিচলন রেখা
Transmission loss,সংক্রমণ ক্ষতি
Transmission studio,ট্রান্সমিশন স্টুডিও
Transmitter,ট্রান্সমিটার
Transmitter controller,ট্রান্সমিটার নিয়ামক
Transmitter maintenance,ট্রান্সমিটার রক্ষণাবেক্ষণ
Transmitter out put power,ট্রান্সমিটার আউট শক্তি
Transmitting antenna,অ্যান্টেনা প্রেরণ
Transmitting antenna gain,অ্যান্টেনা লাভ প্রেরণ
Transmitting frequency,ফ্রিকোয়েন্সি প্রেরণ
Transmitting station,ট্রান্সমিটিং স্টেশন
Transponder,ট্রান্সপন্ডার
Trapatt diode,ট্র্যাপ্যাট ডায়োড
Travelling wave,ভ্রমণ তরঙ্গ
Trellis decoding,ট্রেলিস ডিকোডিং
Trench and conduit,পরিখা এবং জলবাহী
Trigger circuit,ট্রিগার সার্কিট
Trim,ট্রিম
Trimming,ছাঁটাই
Tripod,ট্রিপড
Troposphere,ট্রপোস্ফিয়ার
Truncation,কাটা কাটা
Truth table,সঠিক তালিকা
Tuned,সুরযুক্ত
Tuner,টিউনার
Tuning,টিউনিং
Tunnel diode,টানেল ডায়োড
Tunnelling,টানেলিং
Turn around management,পরিচালন ঘুরে দেখুন
Turn table,টেবিল ঘুরিয়ে
Tweeter,টুইটার
Twisted,পাকানো
Twisted pair cable,বাঁকানো জোড় কেবল
Unbalanced audio line,ভারসাম্যহীন অডিও লাইন
Under voltage,ভোল্টেজের অধীনে
Unicasting,একীভূত
Universal gate,ইউনিভার্সাল গেট
Universal network,ইউনিভার্সাল নেটওয়ার্ক
Unweighted filter,অদম্য ফিল্টার
Up convertor,রূপান্তরকারী
Uplink,আপলিংক
Upload,আপলোড
Usable field strength,ব্যবহারযোগ্য ক্ষেত্র শক্তি
Value added services,মান যোগ পরিষেবা
Varactor diode,ভেরাক্টর ডায়োড
Variable,পরিবর্তনশীল
Variable area sound track,পরিবর্তনশীল অঞ্চল সাউন্ড ট্র্যাক
Variable data rate compression,পরিবর্তনশীল ডেটা রেট সংক্ষেপণ
Variable density sound track,পরিবর্তনশীল ঘনত্ব সাউন্ড ট্র্যাক
Variable output data rate,পরিবর্তনশীল আউটপুট ডেটা হার
Vector,ভেক্টর
Vector impedance meter,ভেক্টর প্রতিবন্ধকতা মিটার
Vector network analyzer,ভেক্টর নেটওয়ার্ক বিশ্লেষক
Velocity of light,আলোর বেগ
Vented box,ভেন্টেড বক্স
Versatility,বহুমুখিতা
Version,সংস্করণ
Vertical plane,উল্লম্ব বিমান
Vertically polarized,উল্লম্বভাবে মেরুকৃত
Vestigial side band (VSB),ভেস্টিগিয়াল সাইড ব্যান্ড (ভিএসবি)
Vibration,কম্পন
Vibrator,ভাইব্রেটার
Video,ভিডিও
Video amplifier,ভিডিও পরিবর্ধক
Video chain,ভিডিও চেইন
Video characteristics,ভিডিও বৈশিষ্ট্য
Video code,ভিডিও কোড
Video compression,ভিডিও সংক্ষেপণ
Video conferencing,ভিডিও কনফারেন্সিং
Video graphics adapter,ভিডিও গ্রাফিক্স অ্যাডাপ্টার
Video streaming,ভিডিও স্ট্রিমিং
Video switcher,ভিডিও স্যুইচার
Videography,ভিডিওগ্রাফি
View,দেখুন
Viewing distance,দূরত্ব দেখার
Virtual,অপার্থিব
Virtual address,ভার্চুয়াল ঠিকানা
Virtual height,ভার্চুয়াল উচ্চতা
Virtual memory,ভার্চুয়াল মেমরি
Virtual private network,ভার্চুয়াল ব্যক্তিগত নেটওয়ার্ক
Virtual reality,ভার্চুয়াল বাস্তবতা
Virus,ভাইরাস
Viscosity,সান্দ্রতা
Visibility,দৃশ্যমানতা
Vision,দৃষ্টি
Visual display,চাক্ষুষ প্রদর্শন
Visual inspection,চাক্ষুষ পরিদর্শন
Visual radio,ভিজ্যুয়াল রেডিও
Voice frequency,ভয়েস ফ্রিকোয়েন্সি
Voice mail,ভয়েস মেল
Voice over IP,আইপি ওভার ভয়েস
Voice over recording (VOR),ভয়েস ওভার রেকর্ডিং (ভিওআর)
Volatile liquid,উদ্বায়ী তরল
Volatile memory,উদ্বায়ী স্মৃতি
Volt,ভোল্ট
Voltage,"ভোল্টেজ, বৈদ্যুতিক একক বিশেষ"
Voltage controlled oscillator (VCO),ভোল্টেজ নিয়ন্ত্রিত দোলক (ভিসিও)
Voltage flactuation,ভোল্টেজ ফ্ল্যাকটুয়েশন
Voltage regulation,ভোল্টেজ প্রবিধান
Voltage sag,ভোল্টেজ সাগ
Voltage spike,ভোল্টেজ স্পাইক
Voltage stabilizer,ভোল্টেজ স্ট্যাবিলাইজার
Voltage standing wave ratio,ভোল্টেজ স্থায়ী তরঙ্গ অনুপাত
Voltmeter,ভোল্টমিটার
Volume,ভলিউম
Volume control,ভলিউম নিয়ন্ত্রণ
Waiting time,অপেক্ষা করার সময়
Watermarking,ওয়াটারমার্কিং
Watt (W),ওয়াট (ডাব্লু)
Watt hour,ওয়াট আওয়ার
Wattless component,ওয়াটলেস উপাদান
Wave,তরঙ্গ
Wave motion,তরঙ্গ গতি
Waveform,তরঙ্গরূপ
Wavefront,ওয়েভফ্রন্ট
Waveguide,ওয়েভগাইড
Wavelength,তরঙ্গদৈর্ঘ্য
Wavelet,ওয়েভলেট
Web,ওয়েব
Web browser,ওয়েব ব্রাউজার
Web page,ওয়েব পৃষ্ঠা
Web portal,ওয়েব পোর্টাল
Web server,ওয়েব সার্ভার
Webcasting,ওয়েবকাস্টিং
Webopedia,ওয়েবোপিডিয়া
Website,ওয়েবসাইট
Weighted filter,ওজনযুক্ত ফিল্টার
Wet bulb temperature,ভেজা বাল্ব তাপমাত্রা
White noise,সাদা গোলমাল
Wide angle lens,ওয়াইড এঙ্গেল লেন্স
Wide area network,প্রশস্ত অঞ্চল নেটওয়ার্ক
Wideband,ওয়াইডব্যান্ড
Wikimedia,উইকিমিডিয়া
Wikipedia,উইকিপিডিয়া
Winchester disk,উইনচেস্টার ডিস্ক
Windows,উইন্ডোজ
Windows media player,উইন্ডোজ মিডিয়া প্লেয়ার
Windshield,উইন্ডশীল্ড
Wire,তার
Wireless,ওয়্যারলেস
Wireless transmission,ওয়্যারলেস ট্রান্সমিশন
Wiring,তারের
Woofer,ওফার
Word processing,শব্দ প্রক্রিয়াকরণ
Word processor,ওয়ার্ড প্রসেসর
Work process,কার্য পদ্ধতি
Work space,কাজের জায়গা
Workgroup,ওয়ার্কগ্রুপ
Workload,কাজের চাপ
Workshop,কর্মশালা
Workstation,ওয়ার্কস্টেশন
Worldwide web (www),বিশ্বব্যাপী ওয়েব (www)
Wound rotor,ক্ষত রটার
Wow and flutter,বাহ এবং ঝাপটায়
You tube,আপনি টিউব
Zenith,জেনিথ
Zigzag,জিগজ্যাগ
Zip,জিপ
Zip files,জিপ ফাইল
Zipped,জিপড
Zone,মণ্ডল
Zoom,জুম
Zoom in,প্রসারিত করো
Zoom microphone,জুম মাইক্রোফোন
Zoom out,ছোট করা
Zooming,জুমিং
