English,Punjabi
cluster set,ਕਲੱਸਟਰ ਸੈੱਟ
coaxial circles,coaxial ਚੱਕਰ
coaxial parabolas,coaxial parabolas
coaxial planes,coaxial ਜਹਾਜ਼
coaxial triangles,coaxial ਤਿਕੋਣ
Cobb - Douglas function,ਕੋਬ - ਡਗਲਸ ਫੰਕਸ਼ਨ
coding,ਕੋਡਿੰਗ
coding of data,ਡਾਟਾ ਦੀ ਕੋਡਿੰਗ
co-domain,ਸਹਿ-ਡੋਮੇਨ
coefficient matrix,ਗੁਣਾਂਕ ਮੈਟ੍ਰਿਕਸ
coefficient of correlation,ਸਬੰਧਾਂ ਦਾ ਗੁਣਾਂਕ
coefficient of determination,ਨਿਰਧਾਰਨ ਦੇ ਗੁਣਾਂਕ
coefficient of elasticity,ਲਚਕੀਲੇਪਣ ਦੇ ਗੁਣਾਂਕ
coefficient of expansion,ਵਿਸਥਾਰ ਦੇ ਗੁਣਾਂਕ
coefficient of friction,ਰਗੜ ਦਾ ਗੁਣਾਂਕ
coefficient of linear expansion,ਰੇਖਿਕ ਵਿਸਤਾਰ ਦਾ ਗੁਣਾਂਕ
coefficient of regression,ਰਿਗਰੈਸ਼ਨ ਦੇ ਗੁਣਾਂਕ
coefficient of surface tension,ਸਤਹ ਤਣਾਅ ਦੇ ਗੁਣਾਂਕ
coefficient of variation,ਪਰਿਵਰਤਨ ਦੇ ਗੁਣਾਂਕ
cofactor,ਕੋਫੈਕਟਰ
coin throw (coin toss),ਸਿੱਕਾ ਸੁੱਟਣਾ (ਸਿੱਕਾ ਉਛਾਲਣਾ)
collection of sample,ਨਮੂਨੇ ਦਾ ਸੰਗ੍ਰਹਿ
collinear,ਸਮਰੇਖਾ
collinearity,ਸਮਰੂਪਤਾ
column,ਕਾਲਮ
column equivalence,ਕਾਲਮ ਸਮਾਨਤਾ
column equivalent,ਕਾਲਮ ਬਰਾਬਰ
column equivalent matrix,ਕਾਲਮ ਬਰਾਬਰ ਮੈਟ੍ਰਿਕਸ
column matrix,ਕਾਲਮ ਮੈਟਰਿਕਸ
column rank,ਕਾਲਮ ਦਰਜਾ
column reduced echolon matrix,ਕਾਲਮ ਘਟਾਇਆ ਗਿਆ ਈਕੋਲੋਨ ਮੈਟਰਿਕਸ
column vector,ਕਾਲਮ ਵੈਕਟਰ
columnwise,ਕਾਲਮ ਅਨੁਸਾਰ
combined equation,ਸੰਯੁਕਤ ਸਮੀਕਰਨ
common angle,ਆਮ ਕੋਣ
common axis,ਆਮ ਧੁਰਾ
common base,ਆਮ ਅਧਾਰ
common denominator,ਆਮ ਭਾਅ
common difference,ਆਮ ਅੰਤਰ
common factor,ਆਮ ਕਾਰਕ
common logarithm,ਆਮ ਲਘੂਗਣਕ
common multiple,ਆਮ ਮਲਟੀਪਲ
common ratio,ਆਮ ਅਨੁਪਾਤ
common section,ਆਮ ਭਾਗ
common side,ਆਮ ਪਾਸੇ
common tangent,ਆਮ ਸਪਰਸ਼
common term,ਆਮ ਸ਼ਬਦ
commutative law,ਪਰਿਵਰਤਨਸ਼ੀਲ ਕਾਨੂੰਨ
commutative property,ਪਰਿਵਰਤਨਸ਼ੀਲ ਸੰਪਤੀ
commutative rule,ਬਦਲਣ ਵਾਲਾ ਨਿਯਮ
commutative law of addition,ਜੋੜ ਦਾ ਵਟਾਂਦਰਾ ਕਾਨੂੰਨ
commutative law of multiplication,ਗੁਣਾ ਦਾ ਵਟਾਂਦਰਾ ਕਾਨੂੰਨ
commutative operation,ਬਦਲੀ ਕਾਰਵਾਈ
commutator group,ਕਮਿਊਟੇਟਰ ਗਰੁੱਪ
commuting of matrices,ਮੈਟ੍ਰਿਕਸ ਦਾ ਆਉਣਾ-ਜਾਣਾ
compact set,ਸੰਖੇਪ ਸੈੱਟ
comparability,ਤੁਲਨਾਤਮਕਤਾ
comparision of means,ਸਾਧਨਾਂ ਦੀ ਤੁਲਨਾ
comparision of percentage,ਪ੍ਰਤੀਸ਼ਤ ਦੀ ਤੁਲਨਾ
comparision test,ਤੁਲਨਾ ਟੈਸਟ
compatibility equation,ਅਨੁਕੂਲਤਾ ਸਮੀਕਰਨ
competitive game,ਮੁਕਾਬਲੇ ਵਾਲੀ ਖੇਡ
competitive situation,ਮੁਕਾਬਲੇ ਦੀ ਸਥਿਤੀ
competitive strategy,ਪ੍ਰਤੀਯੋਗੀ ਰਣਨੀਤੀ
compiler,ਕੰਪਾਈਲਰ
complementary,ਪੂਰਕ
complementary angle,ਪੂਰਕ ਕੋਣ
complementary event पूरक घटना,ਪੂਰਕ ਘਟਨਾ ਪੂਰੀ ਘਟਨਾ
complementary factor,ਪੂਰਕ ਕਾਰਕ
complementary function,ਪੂਰਕ ਫੰਕਸ਼ਨ
complementary half space,ਪੂਰਕ ਅੱਧੀ ਥਾਂ
complementary interval,ਪੂਰਕ ਅੰਤਰਾਲ
complementary set,ਪੂਰਕ ਸੈੱਟ
complementation,ਪੂਰਕ
complement of a set,ਇੱਕ ਸੈੱਟ ਦੇ ਪੂਰਕ
complete census,ਪੂਰੀ ਜਨਗਣਨਾ
complete correlation matrix,ਸੰਪੂਰਨ ਸਬੰਧ ਮੈਟ੍ਰਿਕਸ
complete metric space,ਪੂਰੀ ਮੀਟ੍ਰਿਕ ਸਪੇਸ
complete orthonormal set,ਪੂਰਾ ਆਰਥੋਨਰਮਲ ਸੈੱਟ
complete quadrangle,ਪੂਰਾ ਚਤੁਰਭੁਜ
complete quotient,ਪੂਰਾ ਭਾਗ
complete set,ਪੂਰਾ ਸੈੱਟ
complete solution,ਪੂਰਾ ਹੱਲ
completely randomised design,ਪੂਰੀ ਤਰ੍ਹਾਂ ਬੇਤਰਤੀਬ ਡਿਜ਼ਾਈਨ
complex argument,ਗੁੰਝਲਦਾਰ ਦਲੀਲ
complex conjugate,ਗੁੰਝਲਦਾਰ ਸੰਜੋਗ
complex differentiation,ਗੁੰਝਲਦਾਰ ਭਿੰਨਤਾ
complex function,ਗੁੰਝਲਦਾਰ ਫੰਕਸ਼ਨ
complex integration,ਗੁੰਝਲਦਾਰ ਏਕੀਕਰਣ
complex matrices,ਗੁੰਝਲਦਾਰ ਮੈਟ੍ਰਿਕਸ
complex number,ਕੰਪਲੈਕਸ ਨੰਬਰ
complex number field,ਕੰਪਲੈਕਸ ਨੰਬਰ ਖੇਤਰ
complex orthogonal matrix,ਗੁੰਝਲਦਾਰ ਆਰਥੋਗੋਨਲ ਮੈਟ੍ਰਿਕਸ
complex plane,ਗੁੰਝਲਦਾਰ ਜਹਾਜ਼
complex quantity,ਗੁੰਝਲਦਾਰ ਮਾਤਰਾ
complex reciprocal,ਗੁੰਝਲਦਾਰ ਪਰਸਪਰ
complex resultant,ਗੁੰਝਲਦਾਰ ਨਤੀਜਾ
complex space,ਗੁੰਝਲਦਾਰ ਸਪੇਸ
complex valued function,ਗੁੰਝਲਦਾਰ ਮੁੱਲ ਫੰਕਸ਼ਨ
complex variable,ਗੁੰਝਲਦਾਰ ਵੇਰੀਏਬਲ
componendo and divindendo,componendo ਅਤੇ divindendo
component,ਕੰਪੋਨੈਂਟ
component analysis,ਭਾਗ ਵਿਸ਼ਲੇਸ਼ਣ
component of variance,ਵਿਭਿੰਨਤਾ ਦਾ ਹਿੱਸਾ
component of vector,ਵੈਕਟਰ ਦਾ ਹਿੱਸਾ
composite function,ਮਿਸ਼ਰਿਤ ਫੰਕਸ਼ਨ
composite hypothesis,ਸੰਯੁਕਤ ਪਰਿਕਲਪਨਾ
composite number,ਮਿਸ਼ਰਿਤ ਸੰਖਿਆ
composite series,ਸੰਯੁਕਤ ਲੜੀ
composition of vectors,ਵੈਕਟਰ ਦੀ ਰਚਨਾ
compound angle,ਮਿਸ਼ਰਿਤ ਕੋਣ
compound division,ਮਿਸ਼ਰਿਤ ਵੰਡ
compound fraction,ਮਿਸ਼ਰਿਤ ਭਾਗ
compound interest,ਮਿਸ਼ਰਿਤ ਵਿਆਜ
compound probability,ਮਿਸ਼ਰਿਤ ਸੰਭਾਵਨਾ
compressible flow,ਸੰਕੁਚਿਤ ਵਹਾਅ
compression,ਸੰਕੁਚਨ
computation,ਗਣਨਾ
computational formula,ਕੰਪਿਊਟੇਸ਼ਨਲ ਫਾਰਮੂਲਾ
computed value,ਗਣਨਾ ਮੁੱਲ
computer,ਕੰਪਿਊਟਰ
computer algorithm,ਕੰਪਿਊਟਰ ਐਲਗੋਰਿਦਮ
computer programme,ਕੰਪਿਊਟਰ ਪ੍ਰੋਗਰਾਮ
computer programming,ਕੰਪਿਊਟਰ ਪ੍ਰੋਗਰਾਮਿੰਗ
computer simulation,ਕੰਪਿਊਟਰ ਸਿਮੂਲੇਸ਼ਨ
computing,ਕੰਪਿਊਟਿੰਗ
concave function,ਅਵਤਲ ਫੰਕਸ਼ਨ
concave polygon,ਅਵਤਲ ਬਹੁਭੁਜ
concave programming,ਅਵਤਲ ਪ੍ਰੋਗਰਾਮਿੰਗ
concentric circles,ਕੇਂਦਰਿਤ ਚੱਕਰ
concentric curves,ਕੇਂਦਰਿਤ ਕਰਵ
concrete form,ਠੋਸ ਰੂਪ
concurrency of lines,ਲਾਈਨਾਂ ਦੀ ਸਮਰੂਪਤਾ
concurrent,ਸਮਕਾਲੀ
concurrent forces,ਸਮਕਾਲੀ ਤਾਕਤਾਂ
conditional density function,ਸ਼ਰਤੀਆ ਘਣਤਾ ਫੰਕਸ਼ਨ
conditional distribution,ਸ਼ਰਤੀਆ ਵੰਡ
conditional expectation,ਸ਼ਰਤੀਆ ਉਮੀਦ
conditional mean,ਸ਼ਰਤੀਆ ਮਤਲਬ
conditional probability,ਸ਼ਰਤੀਆ ਸੰਭਾਵਨਾ
condition of collinearity,ਸਮਰੂਪਤਾ ਦੀ ਸਥਿਤੀ
condition of consistency,ਇਕਸਾਰਤਾ ਦੀ ਸਥਿਤੀ
condition of integrability,ਅਖੰਡਤਾ ਦੀ ਸਥਿਤੀ
condition of tangency,ਸਪਰਸ਼ ਦੀ ਸਥਿਤੀ
cone,ਕੋਨ
confidence interval,ਵਿਸ਼ਵਾਸ ਅੰਤਰਾਲ
confidence interval estimate,ਵਿਸ਼ਵਾਸ ਅੰਤਰਾਲ ਅਨੁਮਾਨ
confidence limits,ਵਿਸ਼ਵਾਸ ਸੀਮਾ
confidence region,ਵਿਸ਼ਵਾਸ ਖੇਤਰ
conflict situation,ਸੰਘਰਸ਼ ਦੀ ਸਥਿਤੀ
confocal conics,confocal conics
confocal ellipses,confocal ਅੰਡਾਕਾਰ
confocal geometry,ਕਨਫੋਕਲ ਜਿਓਮੈਟਰੀ
confocal hyperbolae,confocal ਹਾਈਪਰਬੋਲਾ
confocal hyperboloids,confocal hyperboloids
confocal parabola,confocal parabola
confocal paraboloidal cordinates,confocal paraboloidal coordinates
conformal,ਅਨੁਕੂਲ
conformal mapping,ਅਨੁਕੂਲ ਮੈਪਿੰਗ
congruence,ਇਕਸਾਰਤਾ
congruence of circles,ਚੱਕਰ ਦੀ ਇਕਸਾਰਤਾ
congruent,ਇਕਸਾਰ
congruent matrices,ਇਕਸਾਰ ਮੈਟ੍ਰਿਕਸ
conic,ਕੋਨਿਕ
conical frustum,ਕੋਨਿਕਲ ਫਰਸਟਮ
conical helix,ਕੋਨਿਕਲ ਹੈਲਿਕਸ
conical section,ਕੋਨਿਕਲ ਭਾਗ
conics,ਕੋਨਿਕਸ
conic section,ਕੋਨਿਕ ਭਾਗ
conjugate,ਸੰਯੁਕਤ
conjugate angles,ਸੰਯੁਕਤ ਕੋਣ
conjugate axis,ਸੰਯੁਕਤ ਧੁਰਾ
conjugate complex numbers,ਮਿਸ਼ਰਿਤ ਸੰਖਿਆਵਾਂ
conjugate directions,ਸੰਯੁਕਤ ਦਿਸ਼ਾਵਾਂ
conjugate functions,ਸੰਯੁਕਤ ਫੰਕਸ਼ਨ
conjugate of matrix,ਮੈਟ੍ਰਿਕਸ ਦਾ ਸੰਯੁਕਤ
conjugate permutation,ਸੰਯੁਕਤ ਕ੍ਰਮਵਾਰ
conjugate transpose,ਸੰਯੁਕਤ ਟ੍ਰਾਂਸਪੋਜ਼
conjuction,ਸੰਜੋਗ
consecutive,ਲਗਾਤਾਰ
consecutive numbers,ਲਗਾਤਾਰ ਨੰਬਰ
conservation of energy,ਊਰਜਾ ਦੀ ਸੰਭਾਲ
conservation of mass,ਪੁੰਜ ਦੀ ਸੰਭਾਲ
conservative,ਰੂੜੀਵਾਦੀ
consistency,ਇਕਸਾਰਤਾ
consistency condition,ਇਕਸਾਰਤਾ ਦੀ ਸਥਿਤੀ
consistent estimate,ਇਕਸਾਰ ਅਨੁਮਾਨ
consistent estimator,ਇਕਸਾਰ ਅਨੁਮਾਨਕ
consistent statistic,ਇਕਸਾਰ ਅੰਕੜਾ
consistent system,ਇਕਸਾਰ ਸਿਸਟਮ
consol,ਕੰਸੋਲ
constant,ਸਥਿਰ
constant acceleration,ਨਿਰੰਤਰ ਪ੍ਰਵੇਗ
constant function,ਨਿਰੰਤਰ ਫੰਕਸ਼ਨ
constant of gravity,ਗੰਭੀਰਤਾ ਦਾ ਸਥਿਰ
constant of integration,ਏਕੀਕਰਣ ਦੀ ਨਿਰੰਤਰਤਾ
constant of proportionality,ਅਨੁਪਾਤ ਦੀ ਸਥਿਰਤਾ
constant parameter,ਸਥਿਰ ਪੈਰਾਮੀਟਰ
constant polynomial,ਨਿਰੰਤਰ ਬਹੁਪਦ
constant proportion,ਨਿਰੰਤਰ ਅਨੁਪਾਤ
constant speed,ਨਿਰੰਤਰ ਗਤੀ
constant term,ਨਿਰੰਤਰ ਮਿਆਦ
constant velocity,ਨਿਰੰਤਰ ਗਤੀ
constitutive equation,ਰਚਨਾਤਮਕ ਸਮੀਕਰਨ
constraint,ਪਾਬੰਦੀ
construct,ਉਸਾਰੀ
construction,ਉਸਾਰੀ
consumer preference,ਖਪਤਕਾਰ ਦੀ ਤਰਜੀਹ
consumption function,ਖਪਤ ਫੰਕਸ਼ਨ
contact angle,ਸੰਪਰਕ ਕੋਣ
contact point,ਸੰਪਰਕ ਬਿੰਦੂ
contained in,ਵਿੱਚ ਸ਼ਾਮਿਲ ਹੈ
contingency table,ਸੰਕਟਕਾਲੀਨ ਸਾਰਣੀ
continuum mechanics,ਨਿਰੰਤਰ ਮਕੈਨਿਕਸ
continued fraction,ਜਾਰੀ ਅੰਸ਼
continued product,ਜਾਰੀ ਉਤਪਾਦ
continuity,ਨਿਰੰਤਰਤਾ
continuity of function,ਫੰਕਸ਼ਨ ਦੀ ਨਿਰੰਤਰਤਾ
continuity test,ਨਿਰੰਤਰਤਾ ਟੈਸਟ
continuous,ਲਗਾਤਾਰ
continuous derivative,ਲਗਾਤਾਰ ਡੈਰੀਵੇਟਿਵ
continuous distribution,ਲਗਾਤਾਰ ਵੰਡ
continuous from above,ਉੱਪਰ ਤੋਂ ਲਗਾਤਾਰ
continuous function,ਲਗਾਤਾਰ ਫੰਕਸ਼ਨ
continuously differentiable,ਲਗਾਤਾਰ ਵੱਖਰਾ
continuous map,ਲਗਾਤਾਰ ਨਕਸ਼ਾ
continuous mapping,ਲਗਾਤਾਰ ਮੈਪਿੰਗ
continuous probability density function,ਨਿਰੰਤਰ ਸੰਭਾਵਨਾ ਘਣਤਾ ਫੰਕਸ਼ਨ
continuous probability distribution,ਲਗਾਤਾਰ ਸੰਭਾਵਨਾ ਵੰਡ
continuous random variable,ਨਿਰੰਤਰ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
continuous sample space,ਲਗਾਤਾਰ ਨਮੂਨਾ ਸਪੇਸ
continuous variable,ਲਗਾਤਾਰ ਵੇਰੀਏਬਲ
continuous wave,ਲਗਾਤਾਰ ਲਹਿਰ
continuum,ਨਿਰੰਤਰਤਾ
continuum hypothesis (= continuum axiom),ਨਿਰੰਤਰ ਪਰਿਕਲਪਨਾ (= ਨਿਰੰਤਰਤਾ ਸਵੈ-ਸਿੱਧ)
continuum of real numbers (= set of real numbers),ਵਾਸਤਵਿਕ ਸੰਖਿਆਵਾਂ ਦਾ ਨਿਰੰਤਰਤਾ (= ਅਸਲ ਸੰਖਿਆਵਾਂ ਦਾ ਸਮੂਹ)
continuum theory,ਨਿਰੰਤਰ ਸਿਧਾਂਤ
contour integration,ਕੰਟੋਰ ਏਕੀਕਰਣ
contraction mapping,ਸੰਕੁਚਨ ਮੈਪਿੰਗ
contradiction,ਵਿਰੋਧਾਭਾਸ
contravariant,ਵਿਰੋਧੀ
control,ਕੰਟਰੋਲ
control chart,ਕੰਟਰੋਲ ਚਾਰਟ
control chart for averages,ਔਸਤ ਲਈ ਕੰਟਰੋਲ ਚਾਰਟ
control chart for defects,ਨੁਕਸ ਲਈ ਕੰਟਰੋਲ ਚਾਰਟ
control chart for ranges,ਰੇਂਜਾਂ ਲਈ ਕੰਟਰੋਲ ਚਾਰਟ
control chart for variables,ਵੇਰੀਏਬਲ ਲਈ ਕੰਟਰੋਲ ਚਾਰਟ
converge,ਇਕੱਠੇ
convergence in mean,ਮਤਲਬ ਵਿੱਚ ਕਨਵਰਜੈਂਸ
convergence in mean square,ਮਤਲਬ ਵਰਗ ਵਿੱਚ ਕਨਵਰਜੈਂਸ
convergence in probability,ਸੰਭਾਵਨਾ ਵਿੱਚ ਕਨਵਰਜੇਂਸ
convergence limit,ਕਨਵਰਜੈਂਸ ਸੀਮਾ
convergence radius,ਕਨਵਰਜੈਂਸ ਰੇਡੀਅਸ
convergence region,ਕਨਵਰਜੈਂਸ ਖੇਤਰ
convergent,ਕਨਵਰਜੈਂਟ
convergent sequence,ਕਨਵਰਜੈਂਟ ਕ੍ਰਮ
convergent series,ਕਨਵਰਜੈਂਟ ਲੜੀ
converse,ਗੱਲਬਾਤ
conversely,ਉਲਟ
conversion fraction,ਪਰਿਵਰਤਨ ਅੰਸ਼
conversion table,ਪਰਿਵਰਤਨ ਸਾਰਣੀ
convex,ਉੱਤਲ
convex body,ਕੋਨੈਕਸ ਸਰੀਰ
convex combination,ਕਨਵੈਕਸ ਸੁਮੇਲ
convex cover (=convex hull),ਕਨਵੈਕਸ ਕਵਰ (=ਉੱਤਲ ਹਲ)
convex function,ਕਨਵੈਕਸ ਫੰਕਸ਼ਨ
convex linear combinations,ਕਨਵੈਕਸ ਰੇਖਿਕ ਸੰਜੋਗ
convex linear programming,ਕਨਵੈਕਸ ਰੇਖਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
convex metric space,ਕਨਵੈਕਸ ਮੀਟ੍ਰਿਕ ਸਪੇਸ
convex polyhedron,ਕਨਵੈਕਸ ਪੋਲੀਹੇਡ੍ਰੋਨ
convex programming,ਕਨਵੈਕਸ ਪ੍ਰੋਗਰਾਮਿੰਗ
convex region,ਕਨਵੈਕਸ ਖੇਤਰ
convex set,ਕਨਵੈਕਸ ਸੈੱਟ
convolution,convolution
convolution integral,convolution ਅਟੁੱਟ
convolution theorem (= faltung theorem),ਕਨਵੋਲਿਊਸ਼ਨ ਪ੍ਰਮੇਯ (= ਫਲਟੰਗ ਪ੍ਰਮੇਯ)
coordinate,ਤਾਲਮੇਲ
coordinate axis,ਤਾਲਮੇਲ ਧੁਰਾ
coordinate geometry,ਤਾਲਮੇਲ ਜਿਓਮੈਟਰੀ
coordinate plane,ਤਾਲਮੇਲ ਜਹਾਜ਼
coordinates,ਕੋਆਰਡੀਨੇਟਸ
coordinate system,ਤਾਲਮੇਲ ਸਿਸਟਮ
Copernican system,ਕੋਪਰਨਿਕ ਸਿਸਟਮ
Coplanar,ਕੋਪਲਾਨਰ
coplanar forces,coplanar ਬਲ
coplanarity,coplanarity
coprime numbers,coprime ਨੰਬਰ
correction factor,ਸੁਧਾਰ ਕਾਰਕ
correct solution,ਸਹੀ ਹੱਲ
correlation,ਇਕ ਦੂਸਰੇ ਨਾਲ ਸੰਬੰਧ
correlation coefficient,ਸਬੰਧ ਗੁਣਾਂਕ
correlation diagram,ਸਬੰਧ ਚਿੱਤਰ
correlation function,ਸਬੰਧ ਫੰਕਸ਼ਨ
correlation matrix,ਸਬੰਧ ਮੈਟ੍ਰਿਕਸ
correlation ratio,ਸਬੰਧ ਅਨੁਪਾਤ
correlogram,correlogram
correlogram analysis,correlogram ਵਿਸ਼ਲੇਸ਼ਣ
correspond,ਅਨੁਸਾਰੀ
correspondence principle,ਪੱਤਰ ਵਿਹਾਰ ਦੇ ਸਿਧਾਂਤ
corresponding angle,ਅਨੁਸਾਰੀ ਕੋਣ
corresponding side,ਅਨੁਸਾਰੀ ਪਾਸੇ
coset,coset
cosine,ਕੋਸਾਈਨ
cosine law,ਕੋਸਾਈਨ ਕਾਨੂੰਨ
cost analysis,ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
cost maximization,ਲਾਗਤ ਵੱਧ ਤੋਂ ਵੱਧ
countability axiom,ਗਿਣਨਯੋਗਤਾ ਦਾ ਧੁਰਾ
countable,ਗਿਣਨਯੋਗ
countable additivity,ਗਿਣਨਯੋਗ ਜੋੜ
countable base,ਗਿਣਨਯੋਗ ਅਧਾਰ
countable basis,ਗਿਣਨਯੋਗ ਆਧਾਰ
countable set,ਗਿਣਨਯੋਗ ਸੈੱਟ
countably infinite,ਅਣਗਿਣਤ ਅਨੰਤ
counter,ਵਿਰੋਧੀ
counter clockwise,ਘੜੀ ਦੇ ਉਲਟ
counter example,ਵਿਰੋਧੀ ਉਦਾਹਰਨ
covariance,ਸਹਿਵਿਹਾਰ
covariance law,ਸਹਿਪ੍ਰਸਤੀ ਕਾਨੂੰਨ
covariance matrix,ਕੋਵੇਰੀਅੰਸ ਮੈਟਰਿਕਸ
covariance method,ਸਹਿਵਿਹਾਰ ਵਿਧੀ
covariance technique,ਸਹਿਵਿਹਾਰ ਤਕਨੀਕ
Cramer's rule,ਕ੍ਰੈਮਰ ਦਾ ਨਿਯਮ
Cramer-Rao inequality,ਕ੍ਰੇਮਰ-ਰਾਓ ਅਸਮਾਨਤਾ
criterion function (=objective function),ਮਾਪਦੰਡ ਫੰਕਸ਼ਨ (= ਉਦੇਸ਼ ਫੰਕਸ਼ਨ)
critical angle,ਨਾਜ਼ੁਕ ਕੋਣ
critical point,ਨਾਜ਼ੁਕ ਬਿੰਦੂ
critical point of function,ਫੰਕਸ਼ਨ ਦਾ ਨਾਜ਼ੁਕ ਬਿੰਦੂ
critical value,ਨਾਜ਼ੁਕ ਮੁੱਲ
critical velocity,ਨਾਜ਼ੁਕ ਗਤੀ
cross correlation function,ਕਰਾਸ ਕੋਰਿਲੇਸ਼ਨ ਫੰਕਸ਼ਨ
cross product,ਕਰਾਸ ਉਤਪਾਦ
cross ratio,ਕਰਾਸ ਅਨੁਪਾਤ
cross sectioning,ਕਰਾਸ ਸੈਕਸ਼ਨਿੰਗ
crypt,ਕ੍ਰਿਪਟ
cube,ਘਣ
cube number,ਘਣ ਨੰਬਰ
cube root,ਘਣ ਜੜ੍ਹ
cubic,ਘਣ
cubical,ਘਣ
cubic equation,ਘਣ ਸਮੀਕਰਨ
cubic inch,ਘਣ ਇੰਚ
cubic metre,ਘਣ ਮੀਟਰ
cubic parabola,ਕਿਊਬਿਕ ਪੈਰਾਬੋਲਾ
cubic root,ਘਣ ਜੜ੍ਹ
cubic term,ਘਣ ਮਿਆਦ
cuboid,ਘਣ
cumulative,ਸੰਚਤ
cumulative curve,ਸੰਚਤ ਕਰਵ
cumulative distribution function,ਸੰਚਤ ਵੰਡ ਫੰਕਸ਼ਨ
cumulative frequency,ਸੰਚਤ ਬਾਰੰਬਾਰਤਾ
cumulative frequency function,ਸੰਚਤ ਬਾਰੰਬਾਰਤਾ ਫੰਕਸ਼ਨ
cumulative frequency graph,ਸੰਚਤ ਬਾਰੰਬਾਰਤਾ ਗ੍ਰਾਫ
cumulative probability function,ਸੰਚਤ ਸੰਭਾਵਨਾ ਫੰਕਸ਼ਨ
curl,ਕਰਲ
curl of the congruence,ਇਕਸਾਰਤਾ ਦਾ curl
curl of the vector,ਵੈਕਟਰ ਦਾ curl
curly bracket,ਕਰਲੀ ਬਰੈਕਟ
current,ਮੌਜੂਦਾ
current point,ਮੌਜੂਦਾ ਬਿੰਦੂ
curvature,ਵਕਰਤਾ
curvature effect,ਵਕਰ ਪ੍ਰਭਾਵ
curve,ਕਰਵ
curved line,ਕਰਵ ਲਾਈਨ
curve tracing,ਕਰਵ ਟਰੇਸਿੰਗ
curvilinear asymptote,curvilinear asymptote
curvilinear coordinates,ਕਰਵਿਲੀਨੀਅਰ ਕੋਆਰਡੀਨੇਟਸ
curvilinear regression,ਕਰਵਿਲੀਨੀਅਰ ਰਿਗਰੈਸ਼ਨ
cusp,cusp
cycle,ਚੱਕਰ
cyclical variation,ਚੱਕਰੀ ਪਰਿਵਰਤਨ
cyclic cross product,ਚੱਕਰੀ ਕਰਾਸ ਉਤਪਾਦ
cyclic demand,ਚੱਕਰ ਦੀ ਮੰਗ
cyclic expression,ਚੱਕਰੀ ਸਮੀਕਰਨ
cyclic group,ਚੱਕਰੀ ਗਰੁੱਪ
cyclic permutation,ਚੱਕਰੀ ਕ੍ਰਮਵਾਰ
cycloid,ਸਾਈਕਲੋਇਡ
cylinder,ਸਿਲੰਡਰ
cylindrical,ਸਿਲੰਡਰ ਵਾਲਾ
cylindrical surface,ਸਿਲੰਡਰ ਸਤਹ
cypher,ਸਾਈਫਰ
D'alembert's principle,D&#39;alembert ਦੇ ਅਸੂਲ
damped harmonic function,ਗਿੱਲਾ ਹਾਰਮੋਨਿਕ ਫੰਕਸ਼ਨ
damping constant,ਲਗਾਤਾਰ ਗਿੱਲਾ
data,ਡਾਟਾ
data origination,ਡਾਟਾ ਉਤਪਤੀ
data processing system,ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ ਸਿਸਟਮ
data processor,ਡਾਟਾ ਪ੍ਰੋਸੈਸਰ
data sheet,ਡਾਟਾ ਸ਼ੀਟ
decagon,ਡੇਕਗਨ
decagram,decagram
decameter,decameter
decay constant,ਸੜਨ ਨਿਰੰਤਰ
decay curve,ਸੜਨ ਵਕਰ
decent function,ਵਿਨੀਤ ਫੰਕਸ਼ਨ
decigram,ਡੇਸੀਗ੍ਰਾਮ
decile,decile
decimal,ਦਸ਼ਮਲਵ
decimal code,ਦਸ਼ਮਲਵ ਕੋਡ
decimal coded digit,ਦਸ਼ਮਲਵ ਕੋਡਿਡ ਅੰਕ
decimal expansion,ਦਸ਼ਮਲਵ ਵਿਸਥਾਰ
decimal fraction,ਦਸ਼ਮਲਵ ਅੰਸ਼
decimal notation,ਦਸ਼ਮਲਵ ਸੰਕੇਤ
decimal numbering system,ਦਸ਼ਮਲਵ ਨੰਬਰਿੰਗ ਸਿਸਟਮ
decimal point,ਦਸ਼ਮਲਵ ਬਿੰਦੂ
decimal scale,ਦਸ਼ਮਲਵ ਸਕੇਲ
decimal system,ਦਸ਼ਮਲਵ ਸਿਸਟਮ
decimeter,ਡੈਸੀਮੀਟਰ
deciphering,ਸਮਝਣਾ
decision model,ਫੈਸਲੇ ਦਾ ਮਾਡਲ
decision theory,ਫੈਸਲੇ ਦੀ ਥਿਊਰੀ
decision variable,ਫੈਸਲਾ ਵੇਰੀਏਬਲ
decoder,ਡੀਕੋਡਰ
decoding,ਡੀਕੋਡਿੰਗ
decomposable set,ਸੜਨਯੋਗ ਸੈੱਟ
decreasing,ਘਟ ਰਿਹਾ ਹੈ
decreasing function,ਘਟਦੀ ਫੰਕਸ਼ਨ
Dedekind's cut,Dedekind ਦੇ ਕੱਟ
Dedekind's theorem,Dedekind ਦਾ ਪ੍ਰਮੇਯ
deduce,ਦਾ ਅਨੁਮਾਨ
deductive method,ਕਟੌਤੀ ਵਿਧੀ
defective,ਨੁਕਸਦਾਰ
