English,Hindi,Assamese,Bengali,Gujarati,Kannada,Malayalam,Marathi,Odiya,Punjabi,Tamil,Telugu
acroterion (=acroterium),शोभापीठ त्रिकोणिका पीठ,acroterion (=এক্ৰ&#39;টেৰিয়াম),অ্যাক্রোটেরিয়ন (= অ্যাক্রোটেরিয়াম),એક્રોટેરિયન (=એક્રોટેરિયમ),ಆಕ್ರೊಟೇರಿಯನ್ (=ಆಕ್ರೊಟೇರಿಯಂ),അക്രോറ്റീരിയൻ (=അക്രോറ്റീരിയം),acroterion (= acroterium),ଆକ୍ରୋଟେରିଅନ୍ (= ଆକ୍ରୋଟେରିୟମ୍),ਐਕਰੋਟੇਰਿਅਨ (=ਐਕਰੋਟੇਰੀਅਮ),அக்ரோடெரியன் (=அக்ரோடீரியம்),అక్రోటెరియన్ (=అక్రోటెరియం)
Act of Attainder,अपकीर्ति अधिनियम,এটেইণ্ডাৰৰ কাৰ্য্য,অ্যাটেন্ডারের কাজ,અટેન્ડરનું કાર્ય,ಆಕ್ಟ್ ಆಫ್ ಅಟೈಂಡರ್,ആക്റ്റ് ഓഫ് അറ്റൈൻഡർ,अटेंडरची कृती,ଅଟ୍ଟାଇଣ୍ଡରର ନିୟମ |,ਅਟੈਂਡਰ ਦਾ ਕੰਮ,சாதனையாளர் செயல்,అటెయిండర్ యొక్క చట్టం
Act of Indemnity and oblivion,दंड विमुक्‍ति एवं विस्मरण अधिनियम,ক্ষতিপূৰণ আৰু বিস্মৃতিৰ কাৰ্য্য,ক্ষতিপূরণ এবং বিস্মৃতি আইন,ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,नुकसानभरपाई आणि विस्मरणाचा कायदा,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,இழப்பீடு மற்றும் மறதியின் செயல்,నష్టపరిహారం మరియు ఉపేక్ష చట్టం
Act of Settlement,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफसेटिलमेंट",বন্দোবস্তৰ আইন,নিষ্পত্তির আইন,સમાધાનનો અધિનિયમ,ವಸಾಹತು ಕಾಯಿದೆ,സെറ്റിൽമെന്റ് നിയമം,सेटलमेंटचा कायदा,ସମାଧାନ ନିୟମ,ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,தீர்வு சட்டம்,సెటిల్మెంట్ చట్టం
Acta Diurna,"शाही रोज़नामचा, दैनिक समाचार",এক্টা দিউৰ্না,Acta Diurna,એક્ટા દીર્ના,ಆಕ್ಟಾ ಡೈರ್ನಾ,ആക്റ്റ ദിയുർന,Acta Diurna,ଆକ୍ଟା ଡିଆର୍ନା |,ਐਕਟਾ ਦਿਉਰਨਾ,ஆக்டா டைர்னா,ఆక్టా డియుర్నా
Acta Senatus,सीनेट का कार्यवृत्‍त,এক্টা চেনেটাছ,Acta Senatus,એક્ટા સેનાટસ,ಆಕ್ಟಾ ಸೆನಾಟಸ್,ആക്റ്റ സെനറ്റസ്,Acta Senatus,ଆକ୍ଟା ସେନାଟସ୍ |,ਐਕਟਾ ਸੇਨੇਟਸ,ஆக்டா செனடஸ்,ఆక్టా సెనాటస్
Acte Additionel,"अपर प्रपत्र, एक्टे एडिशनेल",Acte এডিচনেল,অ্যাক্ট অ্যাডিশনেল,એક્ટ એડિશનલ,ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ,ആക്റ്റ് അഡീഷണൽ,ऍक्ट अॅडिशनल,ଆକ୍ଟ ଆଡେଲ୍ |,ਐਕਟ ਐਡੀਸ਼ਨਲ,ஆக்டே கூடுதல்,యాక్టే అడిషనల్
Action Francaise,आक्सियों फ्राँन्सेज राजतंत्र-समर्थक,একচন ফ্ৰান্সাইজ,অ্যাকশন Francaise,ક્રિયા Francaise,ಆಕ್ಷನ್ ಫ್ರಾಂಕೈಸ್,ആക്ഷൻ ഫ്രാങ്കൈസ്,कृती Francaise,ଆକ୍ସନ୍ ଫ୍ରାଙ୍କାଇଜ୍ |,ਐਕਸ਼ਨ Francaise,அதிரடி ஃபிரான்சைஸ்,యాక్షన్ ఫ్రాంకైస్
active record (=current record),"सक्रिय रिकार्ड, सक्रिय अभिलेख",সক্ৰিয় ৰেকৰ্ড (=বৰ্তমানৰ ৰেকৰ্ড),সক্রিয় রেকর্ড (=বর্তমান রেকর্ড),સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ),സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड),ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ),ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),செயலில் உள்ள பதிவு (=தற்போதைய பதிவு),క్రియాశీల రికార్డు (=ప్రస్తుత రికార్డు)
actual cultivator,वास्तविक कृषक,প্ৰকৃত খেতিয়ক,প্রকৃত চাষী,વાસ્તવિક ખેતી કરનાર,ನಿಜವಾದ ಕೃಷಿಕ,യഥാർത്ഥ കൃഷിക്കാരൻ,वास्तविक लागवड करणारा,ପ୍ରକୃତ କୃଷକ,ਅਸਲ ਕਾਸ਼ਤਕਾਰ,உண்மையான விவசாயி,అసలైన సాగుదారు
acute arch,नुकीली चाप,তীব্ৰ খিলান,তীব্র খিলান,તીવ્ર કમાન,ತೀವ್ರ ಕಮಾನು,നിശിത കമാനം,तीव्र कमान,ତୀବ୍ର ଆର୍,ਤੀਬਰ arch,கடுமையான வளைவு,తీవ్రమైన వంపు
ad contractus seal,संविदा मुद्रा; संविदा मुहर,ad contractus মোহৰ,বিজ্ঞাপন চুক্তি সিল,જાહેરાત કરાર સીલ,ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ,പരസ്യ കരാർ മുദ്ര,जाहिरात करार सील,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |,ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,விளம்பர ஒப்பந்த முத்திரை,ప్రకటన ఒప్పంద ముద్ర
adaptation,अनुकूलन स्वीकरण,অভিযোজন,অভিযোজন,અનુકૂલન,ರೂಪಾಂತರ,പൊരുത്തപ്പെടുത്തൽ,रुपांतर,ଆଡାପ୍ଟେସନ୍,ਅਨੁਕੂਲਤਾ,தழுவல்,అనుసరణ
adapted,अनुकूलित,অভিযোজিত,অভিযোজিত,અનુકૂલિત,ಅಳವಡಿಸಿಕೊಂಡಿದ್ದಾರೆ,പൊരുത്തപ്പെട്ടു,रुपांतर,ଅନୁକୂଳ,ਅਨੁਕੂਲਿਤ,தழுவி,స్వీకరించారు
adeux crayons,दुरंगा खडि़या,adeux crayons,adeux crayons,એડ્યુક્સ ક્રેયોન્સ,ಅಡೆಕ್ಸ್ ಕ್ರಯೋನ್ಗಳು,adeux crayons,adeux crayons,adeux crayons,adeux crayons,adeux crayons,adeux క్రేయాన్స్
adhesio,"आसंजन, चिपकने/सरने वाला पदार्थ",adhesio,আঠালো,સંલગ્નતા,ಅಂಟಿಕೊಳ್ಳುವಿಕೆ,adhesio,चिकट,ଆଡେସିଓ,adhesio,ஒட்டுதல்,అతుక్కొని
adit,प्रवेश मार्ग,adit,adit,એડિટ,adit,adit,adit,adit,adit,adit,adit
adjustment,समायोजन,সমন্বয়,সমন্বয়,ગોઠવણ,ಹೊಂದಾಣಿಕೆ,ക്രമീകരിക്കൽ,समायोजन,ଆଡଜଷ୍ଟେସନ୍,ਵਿਵਸਥਾ,சரிசெய்தல்,సర్దుబాటు
adobe,कच्ची ईंट का भवन,এডোব,অ্যাডোব,એડોબ,ಅಡೋಬ್,അഡോബ്,adobe,adobe,ਅਡੋਬ,அடோப்,అడోబ్
adrianople red,"मध्‍यस्‍तरीय लाल, तुर्की लाल",adrianople ৰঙা,অ্যাড্রিয়ানোপল লাল,એડ્રિયાનોપલ લાલ,ಆಡ್ರಿಯಾನೋಪಲ್ ಕೆಂಪು,അഡ്രിയാനോപ്പിൾ ചുവപ്പ്,adrianople लाल,adrianople ଲାଲ୍ |,adrianople ਲਾਲ,அட்ரியானோபிள் சிவப்பு,అడ్రియానోపుల్ ఎరుపు
Adullamites,आडुलम गुटवादी,অডুলামাইট,আদুল্লামাইটস,અદુલ્લામાઈટસ,ಅದುಲಮೈಟ್ಸ್,അഡുല്ലമൈറ്റുകൾ,अदुल्लामाइट्स,ଆଡୁଲାମାଇଟ୍ସ |,ਅਦੁਲਾਮਾਈਟਸ,அதுலமைட்டுகள்,అడుల్లామైట్స్
adventure,साहसिकता,এডভেঞ্চাৰ,অ্যাডভেঞ্চার,સાહસ,ಸಾಹಸ,സാഹസികത,साहस,ସାହସିକତା,ਸਾਹਸ,சாகசம்,సాహసం
adversary,"विपक्षी, शत्रु",বিৰোধী,প্রতিপক্ষ,વિરોધી,ಎದುರಾಳಿ,എതിരാളി,शत्रू,ଶତ୍ରୁ,ਵਿਰੋਧੀ,எதிரி,విరోధి
adze,"बसूला, ऐड्ज",adze,adze,adze,adze,adze,adze,adze,adze,adze,adze
Adzed work,बसूला-कार्य,আজেদ কাম,Adzed কাজ,એડજ્ડ કામ,ಅಡ್ಜೆಡ್ ಕೆಲಸ,ക്രമീകരിച്ച ജോലി,adzed काम,ଆଡଜେଡ୍ କାମ |,ਐਡਜ਼ਡ ਕੰਮ,சேர்க்கப்பட்ட வேலை,అడ్జెడ్ పని
aedes,"पूजागृह, पूजाघर",aedes,এডিস,એડીસ,ಈಡಿಸ್,ഈഡിസ്,एडिस,aedes,ਏਡੀਜ਼,ஏடிஸ்,ఏడెస్
aedicula,"देवगृह, मंदिर",aedicula,aedicula,એડિક્યુલા,ಅಡಿಕುಲಾ,എഡിക്കുല,aedicula,aedicula,aedicula,அடிக்குலா,ఎడికులా
Aegean culture,ईजियन संस्कृति,এজিয়ান সংস্কৃতি,এজিয়ান সংস্কৃতি,એજિયન સંસ્કૃતિ,ಏಜಿಯನ್ ಸಂಸ್ಕೃತಿ,ഈജിയൻ സംസ്കാരം,एजियन संस्कृती,ଏଜି ସଂସ୍କୃତି |,ਏਜੀਅਨ ਸਭਿਆਚਾਰ,ஏஜியன் கலாச்சாரம்,ఏజియన్ సంస్కృతి
aegean vase,ईजियन कलश,aegean ফুলদানি,এজিয়ান দানি,એજિયન ફૂલદાની,ಏಜಿಯನ್ ಹೂದಾನಿ,ഈജിയൻ വാസ്,एजियन फुलदाणी,ଏଜିନ୍ ଭେଜ୍ |,ਏਜੀਅਨ ਫੁੱਲਦਾਨ,ஏஜியன் குவளை,ఏజియన్ వాసే
aegicrames,मेषशीर्ष,aegicrames,aegicrames,એજીક્રેમ્સ,ಏಜಿಕ್ರೇಮ್‌ಗಳು,എജിക്രേമുകൾ,aegicrames,aegicrames,aegicrames,ஏஜிக்ரேம்கள்,ఏజిక్రేమ్స్
aegis,तत्वावधान,aegis,এজিস,એજીસ,ಏಜಿಸ್,ഏജിസ്,एजिस,aegis,ਏਜੀਸ,ஏஜிஸ்,ఏజిస్
aeolian soil,वातोढ मिट्टी,aeolian মাটি,বায়বীয় মাটি,ઓલિયન માટી,ಅಯೋಲಿಯನ್ ಮಣ್ಣು,അയോലിയൻ മണ്ണ്,एओलियन माती,aeolian ମାଟି |,ਐਓਲੀਅਨ ਮਿੱਟੀ,அயோலியன் மண்,అయోలియన్ నేల
aeon,युग,aeon,aeon,કાળ,ಅಯಾನ್,aeon,कल्प,aeon,ਈਓਨ,அயோன்,అయాన్
aerarium,इरेरियम,aerarium,এরারিয়াম,એરેરિયમ,ಏರೋರಿಯಮ್,എയർറേറിയം,वायुमंडल,ଏରାରିୟମ୍ |,ਐਰੇਰੀਅਮ,காற்றோட்டம்,ఏరోరియం
aerial perspective,आकाशी परिप्रेक्ष्य,আকাশী দৃষ্টিভংগী,বায়বীয় দৃষ্টিকোণ,હવાઈ પરિપ્રેક્ષ્ય,ವೈಮಾನಿಕ ದೃಷ್ಟಿಕೋನ,ആകാശ വീക്ഷണം,हवाई दृष्टीकोन,ବାୟୁ ଦୃଷ୍ଟିକୋଣ,ਹਵਾਈ ਦ੍ਰਿਸ਼ਟੀਕੋਣ,வான் பார்வை,వైమానిక దృక్పథం
aerial photography,हवाई छायांकन,আকাশী ফটোগ্ৰাফী,আকাশ থেকে ছবি তোলা,હવાઈ ફોટોગ્રાફી,ವೈಮಾನಿಕ ಛಾಯಾಗ್ರಹಣ,ഏരിയൽ ഫോട്ടോഗ്രാഫി,हवाई छायाचित्रण,ଏରିଲ୍ ଫଟୋଗ୍ରାଫି |,ਏਰੀਅਲ ਫੋਟੋਗ੍ਰਾਫੀ,வான்வழி புகைப்படம் எடுத்தல்,వైమానిక ఫోటోగ్రఫీ
aerial warfare,"आकाशी युद्ध, हवाई लड़ाई",আকাশী যুদ্ধ,বায়বীয় যুদ্ধ,હવાઈ યુદ્ધ,ವೈಮಾನಿಕ ಯುದ್ಧ,ആകാശയുദ്ധം,हवाई युद्ध,ବାୟୁ ଯୁଦ୍ଧ,ਹਵਾਈ ਜੰਗ,வான்வழி போர்,వైమానిక యుద్ధం
aerugo,ऐयरुगो,aerugo,aerugo,એરુગો,ಏರುಗೊ,എയൂഗോ,एरुगो,ଏରୁଗୋ,ਐਰੂਗੋ,ஏருகோ,ఏరుగో
