Punjabi,Telugu
ਅਨੁਮਾਨਤ ਕੈਰੀ,ముందస్తు క్యారీ
ਅਨੁਮਾਨਤ ਪੈਜਿੰਗ,ముందస్తు పేజింగ్
ਐਂਟੀਕਾਇਸਿਸ ਓਪਰੇਂਸ,ప్రతిస్కందకం ఆపరేషన్
ਐਂਟੀਕੋਇੰ.ਰਤਸ ਇੰਦਰਾ ਤੱਤ,ప్రతిస్కందకం మూలకం
ਅਫੀਮਿਕ ਐਂਟੀਨਾ,అపెరియోడిక్ యాంటెన్నా
ਅਪਰਚਰ ਕਾਰਡ,ఎపర్చరు కార్డు
ਅਪਰਚਰ ਕੋਡ,ఎపర్చరు కోడ్
ਅਪਰਚਰ ਟਾਈਮ,ఎపర్చరు సమయం
ਅੰਤਿਕਾ,అనుబంధం
ਅਪੰਡਿਤ ਕੰਮ,అనుబంధ పని
ਐਪਲੀਕੇਸ਼ਨ ਡਿਵੈਲਪਰ,అప్లికేషన్ డెవలపర్
ਐਪਲੀਕੇਸ਼ਨ ਲੇਅਰ,అప్లికేషన్ లేయర్
ਐਪਲੀਕੇਸ਼ਨ ਓਨੀਐਂਟਡ ਭਾਸ਼ਾ,అప్లికేషన్ ఓరియెంటెడ్ లాంగ్వేజ్
ਐਪਲੀਕੇਸ਼ਨ ਪੈਕੇਜ,అప్లికేషన్ ప్యాకేజీ
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮ,అప్లికేషన్ ప్రోగ్రామ్
ਐਪਲੀਕੇਸ਼ਨ ਪ੍ਰੋਗਰਾਮਿੰਗ,అప్లికేషన్ ప్రోగ్రామింగ్
ਐਪਲੀਕੇਸ਼ਨ ਲੋੜੀਂਦੀ ਭਾਸ਼ਾ,అప్లికేషన్ అవసరం భాష
ਐਪਲੀਕੇਸ਼ਨ ਸਾਫਟਵੇਅਰ,అప్లికేషన్ సాఫ్ట్‌వేర్
ਐਪਲੀਕ,అప్లిక్
ਲਗਭਗ ਸਿਧਾਂਤ,ఉజ్జాయింపు సిద్ధాంతం
ਮਨਮਾਨੀ ਪਹੁੰਚ,ఏకపక్ష ప్రాప్యత
ਆਰਬਿਟਰੇਰੀ ਤਰਤੀਬ ਕੰਪਿ computer ਟਰ,ఏకపక్ష సీక్వెన్స్ కంప్యూటర్
ਆਰਬਿਟਰੇਸ਼ਨ,మధ్యవర్తిత్వ
ਆਰਕੀਟੈਕਚਰ,వాస్తుశిల్పం
ਪੁਰਾਲੇਖ,ఆర్కైవింగ్
ਖੇਤਰ ਕੋਡ,స్థల సంకేతం
ਖੇਤਰ ਖੋਜ,ప్రాంత శోధన
ਖੇਤਰ ਸੰਚਾਰ,ప్రాంత బదిలీ
ਖੇਤਰ ਵੇਰੀਏਬਲ,ఏరియా వేరియబుల్
ਦਲੀਲ,వాదన
ਆਰਗੁਮੈਂਟ ਪਤਾ,ఆర్గ్యుమెంట్ చిరునామా
ਆਰਗੁਮੈਂਟ ਸੂਚੀ,ఆర్గ్యుమెంట్ జాబితా
ਹਿਸਾਬ ਦੀ ਹਦਾਇਤ,అంకగణిత బోధన
ਹਿਸਾਬ ਅਤੇ ਤਰਕ ਇਕਾਈ,అంకగణిత మరియు అంకగణిత విభాగం
ਹਿਸਾਬ ਦੇ ਅਸਾਈਨਮੈਂਟ ਸਟੇਟਮੈਂਟ,అంకగణిత అసైన్‌మెంట్ స్టేట్మెంట్
ਹਿਸਾਬ ਦੀ ਜਾਂਚ,అంకగణిత చెక్
ਹਿਸਾਬ ਸਥਿਰ,అంకగణిత స్థిరాంకం
ਹਿਸਾਬ ਦਾ ਰੂਪਾਂਤਰਣ,అంకగణిత మార్పిడి
ਹਿਸਾਬ ਦਾ ਅੰਕੜਾ,అంకగణిత డేటా
ਹਿਸਾਬ ਅਪਵਾਦ,అంకగణిత మినహాయింపు
ਹਿਸਾਬ ਸਮੀਕਰਨ,అంకగణిత వ్యక్తీకరణ
ਹਿਸਾਬ ਨਿਰਧਾਰਤ ਬਿੰਦੂ,అంకగణిత స్థిర బిందువు
ਹਿਸਾਬ ਵਾਲੀ ਲੜੀ,అంకగణిత సోపానక్రమం
ਹਿਸਾਬ ਜੇ ਬਿਆਨ,అంకగణితం ఉంటే స్టేట్మెంట్
ਹਿਸਾਬ ਦਾ ਤਰਕ,అంకగణిత తర్కం
ਗਣਿਤ ਦੀ ਤਰਕ ਦੀ ਇਕਾਈ,అంకగణిత లాజిక్ యూనిట్
ਗਣਿਤ ਦਾ ਕੰਮ,అంకగణిత ఆపరేషన్
ਗਣਿਤ ਦਾ ਆਪਰੇਟਰ,అంకగణిత ఆపరేటర్
ਹਿਸਾਬ ਓਵਰਫਲੋ,అంకగణిత ఓవర్ఫ్లో
ਹਿਸਾਬ ਦੀ ਤਸਵੀਰ ਡਾਟਾ,అంకగణిత చిత్ర డేటా
ਹਿਸਾਬ ਨਾਲ ਤਰਜੀਹ,అంకగణిత ప్రాధాన్యత
ਹਿਸਾਬ ਪ੍ਰਾਇਮਰੀ ਪ੍ਰਾਇਮਰੀ,అంకగణిత ప్రాధమిక
ਗਣਿਤ ਦਾ ਰਜਿਸਟਰ,అంకగణిత రిజిస్టర్
ਗਣਿਤ ਦਾ ਸੰਬੰਧ,అంకగణిత సంబంధం
ਹਿਸਾਬ ਸਕੈਨ,అంకగణిత స్కాన్
ਹਿਸਾਬ ਭਾਗ,అంకగణిత విభాగం
ਹਿਸਾਬ ਦੀ ਸ਼ਿਫਟ,అంకగణిత మార్పు
ਹਿਸਾਬ ਨਾਲ ਤਬਦੀਲ,అంకగణిత బదిలీ
ਗਣਿਤ ਦਾ ਬਿਆਨ,అంకగణిత ప్రకటన
ਹਿਸਾਬ ਦੀ ਮਿਆਦ,అంకగణిత పదం
ਹਿਸਾਬ ਅੰਡਰਫਲੋ,అంకగణిత అండర్ఫ్లో
ਹਿਸਾਬ ਇਕਾਈ,అంకగణిత యూనిట్
ਐਰੇ,అమరిక
ਐਰੇ ਬੱਝ,శ్రేణి బౌండ్
ਐਰੇ ਕੰਪਿ computer ਟਰ,అర్రే కంప్యూటర్
ਐਰੇ ਦੀ ਪਹਿਲੂ,శ్రేణి పరిమాణం
ਐਰੇ ਐਲੀਮੈਂਟ,శ్రేణి మూలకం
ਐਰੇ ਸਮੀਕਰਨ,శ్రేణి వ్యక్తీకరణ
ਐਰੇ ਦਾ ਨਾਮ,శ్రేణి పేరు
Structures ਾਂਚਿਆਂ ਦੀ ਐਰੇ,నిర్మాణాల శ్రేణి
ਐਰੇ ਦੀ ਛਪਾਈ,అర్రే ప్రింటింగ్
ਐਰੇ ਪ੍ਰੋਸੈਸਿੰਗ,శ్రేణి ప్రాసెసింగ్
ਐਰੇ ਪ੍ਰੋਸੈਸਰ,అర్రే ప్రాసెసర్
ਕਲਾਤਮਕਤਾ ਬਿੰਦੂ,ఉచ్చారణ పాయింట్
ਨਕਲੀ ਬੋਧ,కృత్రిమ జ్ఞానం
ਬਣਾਵਟੀ ਗਿਆਨ,కృత్రిమ మేధస్సు
ਨਕਲੀ ਭਾਸ਼ਾ,కృత్రిమ భాష
ਨਕਲੀ ਵੇਰੀਏਬਲ,కృత్రిమ వేరియబుల్
ਆਰਟਸ ਐਪਲੀਕੇਸ਼ਨ ਡਾਟਾ ਬੈਂਕ,ఆర్ట్స్ అప్లికేషన్ డేటా బ్యాంక్
ਆਰਟਸ ਐਪਲੀਕੇਸ਼ਨ ਸੰਗੀਤ,ఆర్ట్స్ అప్లికేషన్ మ్యూజిక్
ਆਰਟਸ ਐਪਲੀਕੇਸ਼ਨ ਪੈਟਰਨ ਪੀੜ੍ਹੀ,ఆర్ట్స్ అప్లికేషన్ సరళి తరం
ਚੜ੍ਹਨਾ,ఆరోహణ
ਚੜ੍ਹਾਈ ਜਾ ਰਹੀ ਕ੍ਰਮਬੱਧ,ఆరోహణ క్రమబద్ధీకరణ
ਐਸਿਲ,అస్సిల్
ASCII ਕੰਟਰੋਲ ਅੱਖਰ,ASCII నియంత్రణ అక్షరం
ASCII ਕੁੰਜੀ ਬੋਰਡ,ASCII కీ బోర్డు
ਪਹਿਲੂ,కారక
ਪਹਿਲੂ ਅਤੇ,కారకం మరియు
ਇਕੱਠਾ ਕਰਨ ਯੋਗ,సమీకరించటం
ਇਕੱਤਰ ਕੀਤਾ ਮੂਲ,సమావేశమైన మూలం
ਸੰਜਮ ਦੀ ਮਿਆਦ,వ్యవధిని సమీకరించండి
ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ,సమీకరించేవాడు
ਅਸੁਵਿਧਾਨਕ ਨਿਰਦੇਸ਼,సమీకరించే ఆదేశం
ਅਸੈਂਬਲਰ ਸਹੂਲਤ,సమీకరించే సౌకర్యం
ਇਕੱਠਾ ਕਰਨ ਵਾਲੀ ਭਾਸ਼ਾ,సమీకరించే భాష
ਇਕੱਠ ਕਰਨਾ,సమీకరించడం
ਪੜਾਅ ਇਕੱਠਾ ਕਰਨਾ,సమీకరించే దశ
ਸਮਾਂ ਇਕੱਲਾ,సమీకరించే సమయాన్ని
ਅਸੈਂਬਲੀ,అసెంబ్లీ
ਅਸੈਂਬਲੀ ਦੀ ਭਾਸ਼ਾ,అసెంబ్లీ భాష
ਅਸੈਂਬਲੀ ਭਾਸ਼ਾ ਪ੍ਰੋਗਰਾਮਿੰਗ,అసెంబ్లీ భాషా ప్రోగ్రామింగ్
ਅਸੈਂਬਲੀ ਭਾਸ਼ਾ ਸਾਫਟਵੇਅਰ ਲਚਕਤਾ,అసెంబ్లీ భాషా సాఫ్ట్‌వేర్ వశ్యత
ਅਸੈਂਬਲੀ ਦੀ ਸੂਚੀ,అసెంబ్లీ జాబితా
ਵਿਧਾਨ ਸਭਾ ਪੜਾਅ,అసెంబ్లీ దశ
ਅਸੈਂਬਲੀ ਰੁਟੀਨ,అసెంబ్లీ దినచర్య
ਅਸੈਂਬਲੀ ਦਾ ਸਮਾਂ,అసెంబ్లీ సమయం
ਅਸੈਂਬਲੀ ਯੂਨਿਟ,అసెంబ్లీ యూనిట్
ਅਸਾਈਨਮੈਂਟ ਇੰਡੈਕਸਿੰਗ,అసైన్‌మెంట్ ఇండెక్సింగ్
ਅਸਾਈਨਮੈਂਟ ਓਪਰੇਸ਼ਨ,అసైన్‌మెంట్ ఆపరేషన్
ਅਸਾਈਨਮੈਂਟ ਸਟੇਟਮੈਂਟ,అసైన్‌మెంట్ స్టేట్మెంట్
ਐਸੋਸੀਏਟਿਵ ਪਤਾ,అసోసియేటివ్ చిరునామా
ਐਸੋਸੀਏਟਿਵ ਐਰੇ ਰਜਿਸਟਰ,అసోసియేటివ్ అర్రే రిజిస్టర్
ਐਸੋਸੀਏਟਿਵ ਕੁੰਜੀ,అసోసియేటివ్ కీ
ਐਸੋਸੀਏਟਿਵ ਭਾਸ਼ਾ,అసోసియేటివ్ లాంగ్వేజ్
ਐਸੋਸੀਏਟਿਵ ਮੈਮੋਰੀ,అసోసియేటివ్ మెమరీ
ਐਸੋਸੀਏਟਿਵ ਸਟੋਰੇਜ,అసోసియేటివ్ స్టోరేజ్
ਮੰਨਿਆ ਦਸ਼ਮਲਵ ਬਿੰਦੂ,దశాంశ బిందువు
ਅਸਮੈਟ੍ਰਿਕ ਉਪਕਰਣ,అసమాన పరికరం
ਅਸਮੈਟ੍ਰਿਕ I / O,అసమాన i/ఓ
ਅਸਿੰਕਰੋਨਸ,అసమకాలిక
ਅਸਿੰਕਰੋਨਸ ਕੰਪਿਟਰ,అసమకాలిక కంప్యూటర్
ਅਸਿੰਕਰੋਨਸ ਡਾਟਾ ਟ੍ਰਾਂਸਫਰ,అసమకాలిక డేటా బదిలీ
ਅਸਿੰਕਰੋਨਸ ਡੇਟਾ ਸੰਚਾਰ,అసమకాలిక డేటా ట్రాన్స్మిషన్
ਅਸਿੰਕਰੋਨਸ ਉਪਕਰਣ,అసమకాలిక పరికరాలు
ਅਸਿੰਕਰੋਨਸ ਓਪਰੇਸ਼ਨ,అసమకాలిక ఆపరేషన్
ਅਸਿੰਕਰੋਨਸ ਸਿਗਨਲਿੰਗ,అసమకాలిక సిగ్నలింగ్
ਅਸਿੰਕਰੋਨਸ ਟਾਈਮ ਡਿਵੀਜ਼ਨ ਮਲਟੀਪਲੈਕਸਿੰਗ,అసమకకరణం
ਅਸਿੰਕਰੋਨਸ ਸੰਚਾਰ,అసమకాలిక ప్రసారం
ਅਸਿੰਕਰੋਨਸ ਕੰਮ ਕਰਨਾ,అసమకాలిక పని
ਅਟੁੱਟ ਪ੍ਰਕਿਰਿਆ,అటాచ్డ్ ప్రాసెసింగ్
ਨੱਥੀ ਸੋਧੀ,అటాచ్డ్ ప్రాసెసర్
ਜੁੜੇ ਸਹਾਇਤਾ ਪ੍ਰੋਸੈਸਰ,అటాచ్డ్ సపోర్ట్ ప్రాసెసర్
ਚਲਾਇਆ ਕਾਰਵਾਈ,హాజరైన ఆపరేషన్
ਟ੍ਰੇਲ ਪ੍ਰਿੰਟਰ ਪੜ੍ਹਿਆ,ట్రైల్ ప్రింటర్‌కు హాజరయ్యారు
ਧਿਆਨ ਪਰਿਵਰਤਨ,శ్రద్ధ అంతరాయం
ਧਿਆਨ ਕੁੰਜੀ,శ్రద్ధ కీ
ਪਟੀਸ਼ਨ,అటెన్యుయేషన్
ਅਟੁੱਟ ਨਿਰੰਤਰ,అటెన్యుయేషన్ స్థిరాంకం
ਪਟੀਸ਼ਨ ਵਿਗਾੜ,అటెన్యుయేషన్ వక్రీకరణ
ਅਟਥਿਏਸ਼ਨ ਬਰਾਬਰੀ,అటెన్యుయేషన్ ఈక్వలైజర్
Attetuator,అటెన్యూయేటర్
ਗੁਣ,గుణం
ਆਡੀਅਲ ਅਲਾਰਮ,వినగల అలారం
ਆਡੀਓ ਕੈਸੇਟ,ఆడియో క్యాసెట్
ਆਡੀਓ ਪੁੱਛਗਿੱਛ,ఆడియో విచారణ
ਆਡੀਓ ਲਾਈਨ,ఆడియో లైన్
ਆਡੀਓ ਜਵਾਬ,ఆడియో ప్రతిస్పందన
ਆਡੀਓ ਜਵਾਬ ਸੁਨੇਹਾ,ఆడియో ప్రతిస్పందన సందేశం
ਆਡੀਓ ਜਵਾਬ ਇਕਾਈ,ఆడియో ప్రతిస్పందన యూనిట్
ਆਡੀਓਟਾ ਸਟੋਰੇਜ ਯੂਨਿਟ,ఆడియోటేప్ స్టోరేజ్ యూనిట్
"ਆਡੀਓ ਟੈਲੀਕਾਮ, ਲਾਈਨ",ఆడియో టెలికమ్యూనికేషన్ లైన్
ਆਡੀਓ ਟਰਮੀਨਲ,ఆడియో టెర్మినల్
ਆਡਿਟ ਕਮਾਂਡ ਭਾਸ਼ਾ,ఆడిట్ కమాండ్ లాంగ్వేజ్
ਆਡਿਟ ਪ੍ਰੋਗਰਾਮਿੰਗ,ఆడిట్ ప్రోగ్రామింగ్
ਆਡਿਟ ਟ੍ਰੇਲ,తనిఖీ శోధన
ਨਾਜਿਟ,ఆగెండ్
ਵਧ,ఆజ్మెంట్
Ug ਗਸਮੈਨਟਰ,ఆగ్మెంటర్
ਲੇਖਕ,రచయిత
ਲੇਖਕ,రచయిత
ਲੇਖਕ,రచయిత వ్యవస్థ
ਅਧਿਕਾਰ,అధికారం
ਅਧਿਕਾਰ ਕੋਡ,అధికారిక కోడ్
ਅਧਿਕਾਰਤ ਲਾਇਬ੍ਰੇਰੀ,అధీకృత లైబ్రరీ
ਅਧਿਕਾਰਤ ਪ੍ਰੋਗਰਾਮ,అధీకృత కార్యక్రమం
ਅਧਿਕਾਰਤ ਪ੍ਰੋਗਰਾਮ ਦੀ ਸਹੂਲਤ,అధీకృత ప్రోగ్రామ్ సౌకర్యం
ਆਟੋ ਐਬਸਟ੍ਰੈਕਟ,ఆటో వియుక్త
ਆਟੈਨਸਵਰ,ఆటో సమాధానం
ਆਟੋ ਬੂਟਿੰਗ,ఆటో బూటింగ్
ਆਟੋ ਬਾਈਪਾਸ,ఆటో బైపాస్
ਆਟੋ ਕਾਲ (= ਆਟੋਮੈਟਿਕ ਕਾਲਿੰਗ),ఆటో కాల్ (= ఆటోమేటిక్ కాలింగ్)
ਆਟੋ ਕੋਡਰ,ఆటో కోడర్
ਆਟੋ ਡਾਇਲ,ఆటో డయల్
ਆਟੋਫਲੋ,ఆటోఫ్లో
ਆਟੋ ਇੰਡੈਕਸ,ఆటో సూచిక
ਆਟੋ ਇੰਡੈਕਸਡ ਐਡਰੈੱਸ,ఆటో ఇండెక్స్డ్ చిరునామా
ਆਟੋਮੈਟਾ,ఆటోమాటా
ਆਟੋਮਟਾ ਸਿਧਾਂਤ,ఆటోమాటా సిద్ధాంతం
ਆਟੋਮੈਟਾ ਕਿਸਮ,ఆటోమాటా రకం
ਸਵੈਚਾਲਤ ਬਾਈਬਲੀਓਗ੍ਰਾਫੀ,స్వయంచాలక గ్రంథ పట్టిక
ਆਟੋਮੈਟਿਕ ਡੇਟਾ ਮਾਧਿਅਮ,స్వయంచాలక డేటా మాధ్యమం
ਆਟੋਮੈਟਿਕ ਡਿਕਸ਼ਨਰੀ,ఆటోమేటెడ్ డిక్షనరీ
ਸਵੈਚਾਲਿਤ ਸ਼ਬਦਾਵਲੀ,ఆటోమేటెడ్ గ్లోసరీ
ਆਟੋਮੈਟਿਕ ਤਰਕ ਚਿੱਤਰ,ఆటోమేటెడ్ లాజిక్ రేఖాచిత్రం
ਸਵੈਚਾਲਤ ਪ੍ਰਬੰਧਨ,స్వయంచాలక నిర్వహణ
ਸਵੈਚਾਲਤ ਉਤਪਾਦਨ ਪ੍ਰਬੰਧਨ,ఆటోమేటెడ్ ప్రొడక్షన్ మేనేజ్‌మెంట్
ਆਟੋਮੈਟਿਕ ਸਟਾਕ ਕੰਟਰੋਲ,ఆటోమేటెడ్ స్టాక్ కంట్రోల్
ਆਟੋਮੈਟਿਕ ਐਬਸਟਰੈਕਟ,స్వయంచాలక వియుక్త
ਆਟੋਮੈਟਿਕ ਐਬਸਟਰੈਕਟਿੰਗ,ఆటోమేటిక్ వియుక్త
ਆਪਣੇ ਆਪ ਹੀ ਪ੍ਰੋਗਰਾਮ ਕੀਤੇ ਉਪਕਰਣ,స్వయంచాలకంగా ప్రోగ్రామ్ చేయబడిన సాధనాలు
ਆਟੋਮੈਟਿਕ ਜਵਾਬ,స్వయంచాలక సమాధానం
ਆਟੋਮੈਟਿਕ ਕਾਲ ਵਿਤਰਕ,ఆటోమేటిక్ కాల్ డిస్ట్రిబ్యూటర్
ਆਟੋਮੈਟਿਕ ਕਾਲਿੰਗ,ఆటోమేటిక్ కాలింగ్
ਆਟੋਮੈਟਿਕ ਚੈੱਕ,ఆటోమేటిక్ చెక్
ਆਟੋਮੈਟਿਕ ਕੋਡਿੰਗ,ఆటోమేటిక్ కోడింగ్
ਆਟੋਮੈਟਿਕ ਕੰਪਿ uting ਟਿੰਗ,ఆటోమేటిక్ కంప్యూటింగ్
ਆਟੋਮੈਟਿਕ ਕੰਪਿ uting ਟਿੰਗ ਇੰਜਣ,ఆటోమేటిక్ కంప్యూటింగ్ ఇంజిన్
ਆਟੋਮੈਟਿਕ ਨਿਰੰਤਰ,ఆటోమేటిక్ స్థిరాంకం
ਆਟੋਮੈਟਿਕ ਕੰਟਰੋਲ ਇੰਜੀਨੀਅਰਿੰਗ,ఆటోమేటిక్ కంట్రోల్ ఇంజనీరింగ్
ਆਟੋਮੈਟਿਕ ਡੇਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,ఆటోమేటిక్ డేటా ప్రాసెసింగ్
ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ ਸਿਸਟਮ,స్వయంచాలక డేటా ప్రాసెసింగ్ సిస్టమ్
ਆਟੋਮੈਟਿਕ ਦਸ਼ਮਲਵ ਅਨੁਕੂਲਤਾ,స్వయంచాలక దశాంశ అమరిక
ਆਟੋਮੈਟਿਕ ਡਾਇਲਿੰਗ ਯੂਨਿਟ,ఆటోమేటిక్ డయలింగ్ యూనిట్
ਆਟੋਮੈਟਿਕ ਡਿਕਸ਼ਨਰੀ,ఆటోమేటిక్ డిక్షనరీ
ਆਟੋਮੈਟਿਕ ਬਰਾਬਰੀ,ఆటోమేటిక్ ఈక్వలైజేషన్
ਆਟੋਮੈਟਿਕ ਐਰਰ ਸੁਧਾਰ,స్వయంచాలక లోపం దిద్దుబాటు
ਆਟੋਮੈਟਿਕ ਫੀਡ ਪੰਚ,ఆటోమేటిక్ ఫీడ్ పంచ్
ਆਟੋਮੈਟਿਕ ਫੰਕਸ਼ਨ,ఆటోమేటిక్ ఫంక్షన్
ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ,ఆటోమేటిక్ ఇండెక్సింగ్
ਆਟੋਮੈਟਿਕ ਲਾਇਬ੍ਰੇਰੀ ਕਾਲ,ఆటోమేటిక్ లైబ్రరీ కాల్
ਆਟੋਮੈਟਿਕ ਸੁਨੇਹਾ ਲੇਖਾ,ఆటోమేటిక్ మెసేజ్ అకౌంటింగ్
ਆਟੋਮੈਟਿਕ ਨੰਬਰ ਪਛਾਣ,స్వయంచాలక సంఖ్య గుర్తింపు
ਆਟੋਮੈਟਿਕ ਪੇਜੇਸ਼ਨ,ఆటోమేటిక్ పాజినేషన్
ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,ఆటోమేటిక్ ప్రోగ్రామింగ్
ਆਟੋਮੈਟਿਕ ਪੰਚ,ఆటోమేటిక్ పంచ్
ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ,ఆటోమేటిక్ రికవరీ ప్రోగ్రామ్
ਆਟੋਮੈਟਿਕ ਦੁਹਰਾਉਣ ਦੀ ਬੇਨਤੀ,ఆటోమేటిక్ రిపీట్ అభ్యర్థన
