ab initio,আৰম্ভৰপৰা
blueprint,"নক্সা, আঁচনি, পৰিকল্পনা"
bluff,"ছলনা, গাঁজা, ভণ্ড"
board,"1.মণ্ডল, পৰিষদ2.তক্তা, ফলক"
board of directors,"সঞ্চালকমণ্ডলী, অধিকর্ত্তামণ্ডলী"
board of revenue,ৰাজস্বমণ্ডলী
boarding and lodging,ভোজনতথাআবাসব্যৱস্থা
body,নিকায়
bodyguard,দেহৰক্ষী
bogus voucher,ভুৱাপৰিগ্রহপত্র
bonafides,"অকপট, আন্তৰিক"
bond,"দলিল, ঋণপত্র, ঋণখত, মুচলুকা, মুচলেখা"
bonded labour,গিৰমিটীয়াবনুৱা
bonus,"বনাচ, লাভাংশ, লাভভাট্টা"
book of reference,প্রসংগপুথি
book value,"প্রকাশিতমূল্য, উল্লিখিতমূল্য"
book-keeper,"হিচাপৰক্ষক, জমানবিচ"
book-keeping,হিচাপৰক্ষণ
booking office,1.টিকটঘৰ2.বুকিঙকার্য্যালয়
booklet,পুস্তিকা
booth,"1.বুথ, কক্ষ2.ভোটদানকেন্দ্র"
booth capturing,বলপূর্বকভাৱেভোটদানকেন্দ্রদখল
border allowance,সীমান্তভাট্টা
border line,"1.সীমান্তৱর্ত্তী2.দোমোজাৰ, সীমাচেৰাইযোৱা"
borrower,"ঋণলঁওতা, ধৰুৱা"
borrowing power,ঋণলোৱাৰশক্তি
boss,"অধিপতি, মুখীয়াল, চাহাব, নেতা"
bottleneck,"প্রতিবন্ধক, সোপা"
boundary,সীমা
boycott,"পৰিহাৰ, বর্জন, বয়কট"
bracket,"বন্ধনী, খাপ, বর্গ, গোষ্ঠী"
brain drain,প্রতিভাপলায়ন
branch office,শাখাকার্য্যালয়
breach,"ভংগকৰণ, লংঘনকৰণ"
breach of agreement,"চুক্তিভংগ, সন্ধিভংগ"
breach of confidence,বিশ্বাসভংগ
breach of contract,চুক্তিভংগ
breach of discipline,শৃংখলাভংগ
breach of law,আইনভংগ
breach of peace,শান্তিভংগ
breach of privilege,বিশেষাধিকাৰভংগ
breach of promise,প্রতিশ্রুতিভংগ
breach of rule,নিয়মভংগ
breach of trust,"বিশ্বাসভংগ, আস্থাভংগ"
break down,"বিকলঅৱস্থা, অচলঅৱস্থা"
break in service,সেৱাতব্যৱধান
break-up,বিশদ বিৱৰণ
breakage,"1.ভাঙ্গন, 2.হৰণ-ভগন, 3.ভগাৰহেতুকেদিয়াক্ষতিপূৰণ"
breed,"সঁচ, বিধান, জাত"
bribe,"ভেটী, ঘোচ, উৎকোচ"
brief,"1.হুকুমনামা, 2. (মোকর্দমাৰ)নথি, 3.সারাংশ"
brief resume,সংক্ষিপ্তবৃত্ত
briefing,সংক্ষিপ্তকৰা
brilliant record,"চমকপ্রদকীর্তিমান, চমকপ্রদঅভিলেখ"
bring into notice,"মনোযোগলৈঅনা, দৃষ্টিগোচৰকৰা"
broadcast,সম্প্রচাৰণ
broadsheet,বহলকাগজতওলোৱাচিন্তাগধুৰবাতৰিকাকত
brochure,(প্রচাৰধর্মী)পুস্তিকা
brokerage,দালালি
brought forward (b/f),আগলৈটানিনিয়া
budget allocation,বাজেটআবণ্টন
budget estimate,"বাজেটপ্রাককলন, বাজেটপূর্বানুমান"
budget provision,বাজেটব্যৱস্থা
bugetary control,বাজেটনিয়ন্ত্রণ
building,"ভৱন, প্রাসাদ"
bulk,"1.সমষ্টি, থূপ2.বপু, ভীমকায়3.আয়তন, আকাৰ4.বৃহদাংশ"
bulk purchase,থূপক্রয়
bulletin,"বিজ্ঞপ্তি, বুলেটিন"
bumper crop,ভৰপূৰউৎপাদন
bunching of vacancies,খালীপদৰপুঞ্জীভূতকৰণ
bungling,1.জধলা2.ত্রুটিপূর্ণ
bureaucracy,আমোলাতন্ত্র
bureaucrat,"আমোলা, বিষয়া"
business class,ব্যৱসায়শ্রেণী
business hours (= hours of business),কাম-কাজৰসময়
businessman,ব্যৱসায়ী
buy-back,প্রতিক্রয়
buyer,ক্রেতা
by hand,হাতেহাতে
by post,ডাকদ্বাৰা
bye election (by election),উপ-নির্বাচন
cabin baggage,"কেবিনমাল-পত্র, কেবিনটালি-টোপোলা"
cabinet,"কেবিনেট, মন্ত্রীসভা"
cadre,"সংবর্গ, কর্মচাৰীৰপর্য্যায়"
calamity,"বিপত্তি, বিপর্য্যয়"
calculation,"হিচাপ, পৰিকলন"
calendar year,কেলেণ্ডাৰবর্ষ
campaign,"অভিযান, প্রচাৰ"
campus,চৌহদ
campus interview,চৌহদসাক্ষাৎকাৰ
cancel,"কাটিদে, বাতিলকৰ, ৰদকৰ, নাকচকৰ"
cancellation,বাতিলকৰণ
candidate,প্রার্থী
candidature,প্রার্থিত্ব
canvassing,প্রচাৰ
capability,সামর্থ্য
capable,সমর্থ
capacity,"1.ধাৰণ শক্তি 2. আইনগত স্বত্ব বা অধিকাৰ 3. যোগ্যতা, সক্ষমতা, বিচক্ষণতা"
capital,1.মূলধন 2. ৰাজধানী
capital expenditure,মূলধনী ব্যয়
capital punishment,মৃত্যুদণ্ড
capitation fee,জনমূৰি শুল্ক
capture,কৰায়ত্ত্ব কৰ
care,"1. দুশ্চিন্তা 2. পৰিচর্য্যা 3. সমীহ কৰা, খাতিৰ কৰা 4. সতর্কতা, সাৱধানতা"
career,"জীৱিকা, বৃত্তি, কেৰিয়াৰ"
career development,কেৰিয়াৰ বিকাশ
caretaker government,তত্ত্বাৱধায়ক চৰকাৰ
carried forward (c/f),অগ্রনীত
carry forward,"অগ্রনয়ন, আগলৈ লৈ যোৱা"
carry over,1.অগ্রনয়ন 2. অৱশিষ্ট
carrying cost,"দেয়, ভৰণি"
cartage,মালৰ গাড়ী ভাৰা
case,"1. ঘটনা 2. অনুসন্ধানযোগ্য ঘটনা 3. মোকর্দমা, গোচৰ 4. গ্রহণযোগ্য যুক্তি, সাক্ষী 5. ৰোগ, ৰোগী 6.উদাহৰণ"
case study,ঘটনাভিত্তিক অধ্যয়ন
cash,"1.নগদ ধন, ৰোক 2. নগদ দাম, নগদ মূল্য 3. মুদ্রা, নগদ টকা"
cash balance,নগদী অৱশেষ
cash book,"ৰোক বহী, হিচাপৰ বহী"
cash card,কেশ্ব্‌ কার্ড
cash certificate,নগদী প্রমাণপত্র
cash counter,নগদী বাতায়ন
cash crop,নগদী ফচল
cash discount,নগদী ৰেহাই
cash down,একেবাৰতে প্রাপ্য ধন আদায়
cash in hand,হাতৰ ৰোক
cash memo,কেশ্ব্‌ মেমো
cash payment,নগদী ধনদান
caste,জাতি
caste certificate,জাতি প্রমাণপত্র
casting vote,নির্ণায়ক ভোট
casual,"আকস্মিক, অনিয়ত, নৈমিত্তিক"
casual labour,অনিয়ত শ্রমিক
casual leave,"আকস্মিক ছুটী, নৈমিত্তিক ছুটী"
casual vacancy,আকস্মিক শূন্যতা
casualty,"1. মাৰাত্মক দুর্ঘটনা 2. প্রাণহানি, হতাহত, ক্ষয়-ক্ষতি 3. আপাতকালীন"
catalogue,"সূচী, সূচীপত্র"
categorical,"সুনিশ্চিত, সুস্পষ্ট"
category,"বর্গ, শ্রেণী"
catering service,ভোজন যোগান সেৱা
caution,"1. সাৱধান কৰ, সতর্ক কৰ 2. জমানত, জামিন"
caution money,"জমানতি ধন, নিৰাপত্তা জমা"
cease fire,"যুদ্ধবিৰতি, সংঘর্ষবিৰতি"
"ceiling (as of ""price"")",সর্বাধিক সীমা
celebration,"সমাৰোহ, উদ্‌যাপন"
cell phone,চেল ফোন
Censor,ছেন্সৰ
censure,"নিন্দা, তিৰস্কাৰ, ভর্ৎসনা"
censure motion,"নিন্দা প্রস্তাৱ, ভর্ৎসনা প্রস্তাৱ"
census,লোকপিয়ল
central cess,কেন্দ্রীয় উপকৰ
central civil service (CCS) rules,কেন্দ্রীয় অসামৰিক সেৱা নিয়মাৱলী
central excise,কেন্দ্রীয় আবকাৰী শুল্ক
central government,কেন্দ্রীয় চৰকাৰ
central office,কেন্দ্রীয় কার্য্যালয়
central revenues,কেন্দ্রীয় ৰাজহ
central sales tax,কেন্দ্রীয় বিক্রী কৰ
centralization,"কেন্দ্রীয়কৰণ, কেন্দ্রীকৰণ"
centralized service,কেন্দ্রীয়কৃত সেৱা
centrally funded scheme,কেন্দ্রীয় পুঁজিপ্রাপ্ত আঁচনি
centrally sponsored scheme,কেন্দ্রীয় পৃষ্ঠপোষকতাপ্রাপ্ত আঁচনি
centre,কেন্দ্র
century,"1. শতিকা, শতাব্দী 2. শতক"
cereal,খাদ্য শস্য
cerealist,খাদ্য শস্যবিদ
ceremonial parade,আনুষ্ঠানিক কুচকাৱাজ
ceremony,"1.আচাৰ-অনুষ্ঠান 2. ভদ্রতা, সৌজন্যতা 3. সমাৰোহ 4. লোকাচাৰ"
certificate,প্রমাণপত্র
certificate of fitness,"সুস্থতাৰ প্রমাণপত্র, টপ্‌তৈয়াৰ হোৱাৰ প্রমাণপত্র"
certificate of posting,ডাক প্রমাণপত্র
certificate of service,সেৱা প্রমাণপত্র
