Hindi,Telugu
स्वतः उत्थानी,ఆటో బూటింగ్
स्व उपमार्ग,ఆటో బైపాస్
स्वतः आह्वान,ఆటో కాల్ (= ఆటోమేటిక్ కాలింగ్)
स्वकूटलेखक,ఆటో కోడర్
स्वतः डायलन,ఆటో డయల్
स्वतः प्रवाह,ఆటోఫ్లో
स्वतः सूचक,ఆటో సూచిక
स्वतः सूचकित पताभिगमन,ఆటో ఇండెక్స్డ్ చిరునామా
स्वचल प्ररूप,ఆటోమాటా
स्वचल प्ररूप सिद्धांत,ఆటోమాటా సిద్ధాంతం
स्वचल प्ररूप प्रकार,ఆటోమాటా రకం
कंप्यूटरित ग्रंथ सूची,స్వయంచాలక గ్రంథ పట్టిక
कंप्यूटरित आँकड़ा माध्यम,స్వయంచాలక డేటా మాధ్యమం
कंप्यूटरित कोश,ఆటోమేటెడ్ డిక్షనరీ
कंप्यूटरित शब्द-संग्रह,ఆటోమేటెడ్ గ్లోసరీ
स्वचालित तर्क आरेख,ఆటోమేటెడ్ లాజిక్ రేఖాచిత్రం
स्वचालित प्रबंध,స్వయంచాలక నిర్వహణ
स्वचालित उत्पादन प्रबंध,ఆటోమేటెడ్ ప్రొడక్షన్ మేనేజ్‌మెంట్
स्वचालित स्टॉक नियंत्रण,ఆటోమేటెడ్ స్టాక్ కంట్రోల్
स्वतः सार,స్వయంచాలక వియుక్త
स्वतः साराहरण,ఆటోమేటిక్ వియుక్త
स्वतः क्रमादेशित साधन,స్వయంచాలకంగా ప్రోగ్రామ్ చేయబడిన సాధనాలు
स्वतः उत्तर देना,స్వయంచాలక సమాధానం
स्वतः आह्वान वितरक,ఆటోమేటిక్ కాల్ డిస్ట్రిబ్యూటర్
स्वतः आह्वान,ఆటోమేటిక్ కాలింగ్
स्वतः जाँच,ఆటోమేటిక్ చెక్
स्वतः कूटलेखन,ఆటోమేటిక్ కోడింగ్
स्वतः अभिकलन,ఆటోమేటిక్ కంప్యూటింగ్
स्वतः अभिकलन इंजन,ఆటోమేటిక్ కంప్యూటింగ్ ఇంజిన్
स्वतः अचर,ఆటోమేటిక్ స్థిరాంకం
स्वतः नियंत्र इंजीनियरी,ఆటోమేటిక్ కంట్రోల్ ఇంజనీరింగ్
स्वतः आँकडा संसाधन,ఆటోమేటిక్ డేటా ప్రాసెసింగ్
स्वतः आँकड़ा संसाधन तंत्र,స్వయంచాలక డేటా ప్రాసెసింగ్ సిస్టమ్
स्वतः दशमलव संरेखण,స్వయంచాలక దశాంశ అమరిక
स्वतः डायलन एकक,ఆటోమేటిక్ డయలింగ్ యూనిట్
स्वतः कोश,ఆటోమేటిక్ డిక్షనరీ
स्वतः तुल्यकरण,ఆటోమేటిక్ ఈక్వలైజేషన్
स्वतः ऋटि संशोधन,స్వయంచాలక లోపం దిద్దుబాటు
