Marathi,Hindi
"कुल्या किरण, कालवा किरण","कुल्या किरण, कैनल किरण"
candela,कैंडेला
"मेणबत्ती, मेणबत्ती","मोमबत्ती, कैंडल"
प्रामाणिक,"विहित, कैनानिकल"
cantilever,"कैन्टीलीवर, प्रास"
"टोपी, झगा (सं.), इंटरलेसिंग (v.)","टोपी, आच्छद (सं.), अन्त्यकर्तन (क्रि.)"
धारण,धारिता
कॅपेसिटर,संधारित्र
"capillarity, capillarity","केशिकात्व, केशिकत्व"
"केशिका, केशिका","केशिका, कैपिलरी"
केशिका शक्ती,केशिका-बल
"कॅप्सूल, कॅप्सूल, कॅप्सूल","संपुटिका, संपुट, कैप्स्यूल"
पकडणे,प्रग्रहण
कार्बन 14 शेड्यूलिंग,कार्बन 14 कालनिर्धारण
"अविभाज्य बिंदू, मुख्य संख्या, संख्या संख्या","प्रधान दिग्बिन्दु, कार्डिनल संख्या, गणन-संख्या"
कार्नोचे प्रमेय,कार्नो-प्रमेय
वाहक,वाहक
कार्टेशियन अक्ष,कार्तीय अक्ष
काडतूस,कार्टिज
"सोपानी (वि.), सोपानीपत (सं.)","सोपानी (वि.), सोपानीपात (सं.)"
प्रेरित,उत्प्रेरित
"आपत्ती, आपत्ती","प्रलय, विपद"
लिमिटर डायोड,सीमक डायोड
"ऑर्थोमीटर, कॅथेटोमीटर","ऊर्ध्वतामापी, कैथेटोमीटर"
कॅथेट्रॉन,कैथेट्रॉन
कॅथोड,कैथोड
cation,धनायन
तेजस्वी पृष्ठ,किरणस्पर्शी पृष्ठ
कोटोर,कोटर
"सीमांत, कव्हर, छेदनबिंदू, सर्वोच्च संख्या, आवरण","सीमान्त, छाद, अंतश्छद, उच्चतमांक, छादन"
आकाशीय,खगोलीय
सेल-स्थिर,सेल-स्थिरांक
सिमेंट लेन्स,सीमेन्टित लेन्स
लक्ष केंद्रित,केन्द्रण
सेंटीग्रेड,सेन्टीग्रेड
सेंटीमीटर,सेन्टीमीटर
सेंटीमीटर-ग्राम-सेकंद पद्धत,सेन्टीमीटर-ग्राम -सेकंड पद्धति
"मध्यवर्ती, मध्यवर्ती","केन्द्रीय, सकेन्द्र"
केंद्रीय संसाधन युनिट,केन्द्रीय संसाधन एकक
केंद्र,केन्द्र
संरेखन केंद्र,संरेखण-केन्द्र
मध्य किरण,माध्यिक किरण
केंद्राभिमुख,अभिकेन्द्र
केंद्रक,केन्द्रक
सिरॅमिक,चीनी मिट्टी
c हरभरा. पासून. पद्धत,सें. ग्रा. से. पद्धति
क्रमिक क्षय,शृंखलीय क्षय
