English,Assamese
concave programming,অভিমুখী প্ৰগ্ৰেমিং
concentric circles,সমকেন্দ্ৰিক বৃত্ত
concentric curves,সমকেন্দ্ৰিক বক্ৰ
concrete form,এটা বিমূৰ্ত ধাৰণাক বাস্তৱ বুলি বিবেচনা কৰক
concurrency of lines,ৰেখাৰ সংগম
concurrent,সমকালীন
concurrent forces,সমকালীন বল
conditional density function,চৰ্তসাপেক্ষ ঘনত্ব ফলন
conditional distribution,চৰ্তসাপেক্ষ বিতৰণ
conditional expectation,নিষিদ্ধ প্ৰত্যাশা
conditional mean,চৰ্তসাপেক্ষ গড়
conditional probability,চৰ্তসাপেক্ষ সম্ভাৱনা
condition of collinearity,প্ৰান্তিককৰণ নিষেধাজ্ঞা
condition of consistency,সামঞ্জস্যতা নিষেধাজ্ঞা
condition of integrability,অখণ্ডতা নিষেধাজ্ঞা
condition of tangency,স্পৰ্শ নিষেধাজ্ঞা
cone,"শঙ্কু, শঙ্কু"
confidence interval,আত্মবিশ্বাসৰ ব্যৱধান
confidence interval estimate,আস্থাৰ ব্যৱধান অনুমান
confidence limits,ফিডেলিটি সীমা
confidence region,আত্মবিশ্বাসৰ অঞ্চল
conflict situation,প্ৰতিবাদৰ স্থিতি
confocal conics,কনফ&#39;কেল কনিক
confocal ellipses,কনফ&#39;কেল এলিপছ&#39;ইড
confocal geometry,কনফ&#39;কেল জ্যামিতি
confocal hyperbolae,কনফ&#39;কেল হাইপাৰব&#39;লা
confocal hyperboloids,কনফ&#39;কেল হাইপাৰব&#39;লা
confocal parabola,কনফ&#39;কেল পেৰাব&#39;লা
confocal paraboloidal cordinates,কনফ&#39;কেল পেৰাবলিক স্থানাংক
conformal,"অনুৰূপ, অনুৰূপ"
conformal mapping,কোণৰ মেপিং
congruence,"সমন্বয়, দ্বিসমান্তৰাল ৰেখা-মুঠ, সমতা"
congruence of circles,দ্বিসমান্তৰাল বৃত্ত মুঠ
congruent,"সমন্বিত, even"
congruent matrices,সমতুল্য মেট্ৰিক্স
conic,"কনিক, কনিক"
conical frustum,শংকু আকৃতিৰ ফ্ৰষ্টাম
conical helix,শংকু আকৃতিৰ কুণ্ডলিনি
conical section,"কনিক কাট, কনিক"
conics,কনিক গণিত
conic section,"শঙ্কু-কাট, শঙ্কু-অংশ"
conjugate,"to be conjugated (v.), সংযুক্ত হোৱা (v.)"
conjugate angles,সংযুক্ত কোণ
conjugate axis,সংযুক্ত অক্ষ
conjugate complex numbers,সংযুক্ত জটিল সংখ্যা
conjugate directions,সংযুক্ত দিশ
conjugate functions,সংযুক্ত ফলন
conjugate of matrix,মেট্ৰিক্সৰ সংযুক্ত
conjugate permutation,কনজুগেট পাৰ্মিউটেচন
conjugate transpose,সংযুক্ত চলক
conjuction,"যোগ, সংমিশ্ৰণ"
consecutive,একেৰাহে
consecutive numbers,একেৰাহে সংখ্যা
conservation of energy,শক্তি সংৰক্ষণ
conservation of mass,গণ সংৰক্ষণ
conservative,পৃষ্ঠপোষক
consistency,"সামঞ্জস্যতা, সামঞ্জস্যতা, সামঞ্জস্যতা, সামঞ্জস্যতা"
consistency condition,সামঞ্জস্যতা নিষেধাজ্ঞা
consistent estimate,"সামঞ্জস্যপূৰ্ণ অনুমান, বিপৰীত অনুমান"
consistent estimator,"সামঞ্জস্যপূৰ্ণ অনুমানক, অবিৰোধী অনুমানক"
consistent statistic,"অবিৰোধী নমুনা, সামঞ্জস্যপূৰ্ণ নমুনা"
consistent system,"সামঞ্জস্যপূৰ্ণ সত্তা, অবিৰোধী সত্তা"
consol,কনছ&#39;ল
constant,"স্থিৰ, স্থিৰ, স্থিৰ, স্থাৱৰ, অপৰিৱৰ্তিত, একেধৰণৰ"
constant acceleration,একেধৰণৰ ত্বৰণ
constant function,ধ্ৰুৱক ফলন
constant of gravity,মাধ্যাকৰ্ষণ বিন্দু
constant of integration,সংহতি ধ্ৰুৱক
constant of proportionality,আনুপাতিকতা ধ্ৰুৱক
constant parameter,ধ্ৰুৱক প্ৰাচল
constant polynomial,ধ্ৰুৱক বহুপদ
constant proportion,নিৰ্দিষ্ট অনুপাত
constant speed,uniform move
constant term,ধ্ৰুৱক পদ
constant velocity,একেধৰণৰ বেগ
constitutive equation,সৃষ্টিকৰ্তাৰ সমীকৰণ
constraint,বাধা
construct,"সৃষ্টি কৰা, সৃষ্টি কৰা"
construction,গঠন
consumer preference,গ্ৰাহকৰ পছন্দসমূহ
consumption function,খৰচ কাৰ্য্য
contact angle,স্পৰ্শক কোণ
contact point,যোগাযোগ বিন্দু
contained in,অন্তৰ্ভুক্ত কৰা হৈছে
contingency table,এফিলিয়েচন টেবুল
continuum mechanics,কন্টিনিউম মেকানিক্স
continued fraction,বিভিন্ন বিত্তীয়
continued product,বিত্তীয় সামগ্ৰী
continuity,"continuum, ধাৰাবাহিকতা"
continuity of function,ফলনৰ ধাৰাবাহিকতা
continuity test,কন্টিনিউম পৰীক্ষা
continuous,"অবিৰত, অবিচ্ছেদ্য, অবিচ্ছেদ্য, অবিৰত, অবিৰত"
continuous derivative,অবিৰত ব্যুৎপত্তি
continuous distribution,অবিৰত বিতৰণ
continuous from above,ওপৰত অবিৰত
continuous function,অবিৰত কাৰ্য্য
continuously differentiable,অবিৰতভাৱে পাৰ্থক্যযোগ্য
continuous map,অবিৰত মানচিত্ৰ
continuous mapping,অবিৰত মেপিং
continuous probability density function,ধাৰাবাহিক সম্ভাৱনা ঘনত্ব ফলন
continuous probability distribution,অবিৰত সম্ভাৱনা বিতৰণ
continuous random variable,অবিৰত যাদৃচ্ছিক চলক
continuous sample space,অবিৰত নমুনা স্থান
continuous variable,অবিৰত চলক
continuous wave,অবিৰত তৰংগ
continuum,"continuum, ধাৰাবাহিকতা"
continuum hypothesis (= continuum axiom),ধাৰাবাহিক স্বতন্ত্ৰ
continuum of real numbers (= set of real numbers),বাস্তৱ-সংখ্যাৰ ছেট
continuum theory,ধাৰাবাহিকতা নীতি
contour integration,কনট্যুৰ সংহতি
contraction mapping,সংকোচন মেপিং
contradiction,বিৰোধিতা কৰক
contravariant,ৰিফ্লেক্স
control,নিয়ন্ত্ৰণ
control chart,নিয়ন্ত্ৰণ লেখচিত্ৰ
control chart for averages,গড়ৰ নিয়ন্ত্ৰণ চাৰ্ট
control chart for defects,দোষ নিয়ন্ত্ৰণ
control chart for ranges,চৌহদৰ নিয়ন্ত্ৰণ
control chart for variables,চলকসমূহৰ নিয়ন্ত্ৰণ
converge,"to converge, অভিসৰণ কৰা"
convergence in mean,গড় অভিসৰণ
convergence in mean square,বৰ্গ গড় অভিসৰণ
convergence in probability,সম্ভাৱনাত অভিসৰণ
convergence limit,অভিসৰণ সীমা
convergence radius,অভিসৰণ ব্যাসাৰ্ধ
convergence region,অভিসৰণ অঞ্চল
convergent,"converge (ver.), অভিসৰণ (n.)"
convergent sequence,অভিসৰণকাৰী ক্ৰম
convergent series,অভিসৰণকাৰী শৃংখলা
converse,"বিপৰীত, বিপৰীত"
conversely,ইয়াৰ বিপৰীতে ব্যত্যাসনে
conversion fraction,ৰূপান্তৰ ভগ্নাংশ
conversion table,ৰূপান্তৰ টেবুল
convex,দূৰলৈ মুখ কৰি
convex body,মুখ কৰি থকা শৰীৰ
convex combination,বিপৰীত সংমিশ্ৰণ
convex cover (=convex hull),ফেচিং কভাৰ
convex function,ডিভিয়েন্ট ফাংচন
convex linear combinations,ৰৈখিক সঞ্চয়ৰ সন্মুখীন হোৱা
convex linear programming,ৰৈখিক প্ৰগ্ৰেমিংৰ সন্মুখীন হোৱা
convex metric space,দূৰত্বৰ জনসংখ্যাৰ সন্মুখীন হোৱা
convex polyhedron,পলিহেড্ৰনৰ সন্মুখীন হোৱা
convex programming,প্ৰগ্ৰেমিংৰ সন্মুখীন হোৱা
convex region,মুখামুখি অঞ্চল
convex set,ফেচিং চেট
convolution,সংবহন
convolution integral,অভিসৰণ অখণ্ড
convolution theorem (= faltung theorem),সংকোচন উপপাদ্য
coordinate,"স্থানাংক, স্থানাংক, সচল"
coordinate axis,পৰিচালক অক্ষ
coordinate geometry,স্থানাংক জ্যামিতি
coordinate plane,স্থানাংক সমতল
coordinates,স্থানাংক
coordinate system,"স্থানাংক ব্যৱস্থা, নিৰ্দেশনা ব্যৱস্থা"
Copernican system,কপাৰ্নিকাছ-শৰীৰ
Coplanar,সমতল
coplanar forces,কোপ্লেনাৰ বল
coplanarity,সমতলতা
coprime numbers,মৌলিক সংখ্যা
correction factor,"সংশোধন বহুগুণক, ৰেক্টিফিকেশন বহুগুণক"
