Abatement,"ଛାଡ଼,ହ୍ରାସ,ଉପଶମନ"
Assessee,କରଦାତା
Assessment,"ନିର୍ଦ୍ଧାରଣ, କର ବସାଣ"
Assessment year,କର ନିର୍ଦ୍ଧାରଣ ବର୍ଷ
Assessor,"କର ନିର୍ଦ୍ଧାରକ, ଆସେସର୍"
Assets,"ଆସ୍ତି, ଯାୟ, ପରିସଂପତ୍ତି"
Assignee,"ସମର୍ପଣଗ୍ରାହୀ, ସଂପତ୍ତିଗ୍ରହୀତା"
Assignment,"ସମର୍ପଣ ନିଯୁକ୍ତି ନିର୍ଦ୍ଦିଷ୍ଟ କର୍ତ୍ତବ୍ୟ ବା ଦାୟିତ୍ୱ, ହସ୍ତାନ୍ତରୀକରଣ"
Assignor,"ହସ୍ତାନ୍ତରକାରୀ, ସମର୍ପଣକାରୀ ବ୍ୟକ୍ତି"
Assistance,"ସହାୟତା, ସାହାଯ୍ୟ"
Associate,"ସହଯୋଗୀ ହେବା, ସହଯୋଗୀ, ସଂଯୁକ୍ତ, ବନ୍ଧୁ, ଅଂଶୀଦାର"
Association,"ସଂଘ, ସମ୍ୱନ୍ଧ, ସମ୍ମେଳନ"
Assumption of charge,"ଭାର ଗ୍ରହଣ, ପଦ ଗ୍ରହଣ"
Assurance,"ଭରସା, ନିର୍ଭରତା, ବୀମା, ହସ୍ତାନ୍ତରଣ ପତ୍ର"
Assurance company,ବୀମା କଂପାନୀ
Assure,"ନିଶ୍ଚିତ କରିବା, ଭରସା କରିବା, ଭରସା ଦେବା, ବିଶ୍ୱାସ ଜନ୍ମାଇବା"
At discount,ରିହାତି ମୂଲ୍ୟରେ
Atomic power,"ପରମାଣବିକ କ୍ଷମତା, ଆଣବିକ କ୍ଷମତା"
At par,"ସମାନ ମୂଲ୍ୟରେ, ସମମୂଲ୍ୟରେ"
At premium,ଅଧିକ ମୂଲ୍ୟରେ
Attach,"ସଂଲଗ୍ନ କରିବା, ଆସକ୍ତ ହେବା, କୋରଖ କରିବା"
Attached office,"ସଲଗ୍ନ କାର୍ଯ୍ୟାଳୟ, ସଂଯୁକ୍ତ କାର୍ଯ୍ୟାଳୟ"
Attachment,"ଆସକ୍ତ, କୋରଖ"
Attachment order,କୋରଖ ଆଦେଶ
Attainment,"ସିଦ୍ଧି, ଅର୍ଜିତ ବିଦ୍ୟା"
Attempt,"ପ୍ରଯତ୍ନ, ଉଦ୍ୟମ, ଚେଷ୍ଟା"
Attendance,"ହାଜିରା, ପରିଚର୍ଯ୍ୟା, ହାଜିରି"
Attendance register,"ହାଜିରା ଖାତା, ଉପସ୍ଥିତି ରେଜିଷ୍ଟର"
Attendance slip,"ହାଜିର ଚିରକୁଟି, ଉପସ୍ଥିତ ଚିରକୁଟି"
Attention,"ମନୋଯୋଗ, ଯତ୍ନବାନ୍"
Attestation,"ଅନୁପ୍ରମାଣନ, ପ୍ରାମାଣିକ ସ୍ୱାକ୍ଷର"
Attested copy,"ସହିମୋହର ନକଲ, ଅନୁପ୍ରମାଣିତ ନକଲ"
Attitude,"ଭାବ, ମନୋବୃତ୍ତି, ଦୃଷ୍ଟିଭଙ୍ଗୀ"
Attractive salary,ଆକର୍ଷଣୀୟ ବେତନ
Auction,"ନିଲାମ, ଡାକରା-ବିକ୍ରୀ"
Auctioneer,"ନିଲାମକାରୀ, ନିଲାମକର୍ତ୍ତା"
Auction sale,ନିଲାମ ଖରିଦଦାର
Audience,"ଶ୍ରୋତାଗଣ, ଦର୍ଶକଗଣ, ଦର୍ଶନ"
Audio-visual display,ଶ୍ରାବଦୃଶ୍ୟ ପ୍ରଦର୍ଶନ
Audio-visual publicity,ଦୃଶ୍ୟ-ଶ୍ରାବ୍ୟ ପ୍ରସାର
Audit,"ହିସାବ ତନଖି କରିବା, ସମୀକ୍ଷା କରିବା, ହିସାବ ତନଖି, ସମୀକ୍ଷା"
Audited accounts,ସମୀକ୍ଷିତ ହିସାବ
Audited balance sheet,ସମୀକ୍ଷିତ ଜମାଖର୍ଚ୍ଚ ପର୍ଦ୍ଦ
Auditing,ସମୀକ୍ଷଣ
Audit objection,ସମୀକ୍ଷା ଆପତ୍ତି
Auditor's report,ସମୀକ୍ଷକ ରୀପୋର୍ଟ
Auditorium,ପ୍ରେଷାଳୟ
Audit paragraph,ଲେଖା ପରୀକ୍ଷା ପାରା
Audit report,ସମୀକ୍ଷା ରିପୋର୍ଟ
Austerity,"ସଂଯମ, କଠୋରତା, କର୍କଶତା"
Austerity measures,"ସଂଯୋମ ଉପାୟ, କଠୋର ଉପାୟ"
Authentic,"ପ୍ରାମାଣିକ, ଅସଲି"
Authorised representative,ପ୍ରାଧିକୃତ ପ୍ରତିନିଧି
Authoritative,ପ୍ରାଧିକାରିକ ପ୍ରଭୁତ୍ୱବ୍ୟଂଜକ
Authority,"ପ୍ରାଧିକରୀ, କର୍ତ୍ତୃପକ୍ଷ, ପ୍ରାଧିକାର, ନଜିର, ଶାସକ"
Authority letter,ପ୍ରାଧିକାର ପତ୍ର
Authorized,"ପ୍ରାଧିକୃତ, କ୍ଷମତା ପ୍ରାପ୍ତ"
Authorized capital,ପ୍ରାଧିକୃକ ପୁଂଜୀ
Automatic,"ସ୍ୱୟଂକ୍ରିୟା, ସ୍ୱୟଂଚାଳିତ"
Autonomous,"ସ୍ୱାୟତ୍ତ, ସ୍ୱୟଂଶାସିତ"
Autonomous body,ସ୍ୱୟଂଶାସିତ ସଂସ୍ଥା
Autonomy,"ସ୍ୱାୟତ୍ତତା, ସ୍ୱୟଂ ଶାସନ"
Auxiliary,ସହାୟକ
Available,"ଲଭ୍ୟ, ସହଜଲଭ୍ୟ"
Average,"ହାରାହାରି, ସାଧାରଣ, ମୋଟାମୋଟି"
Average leave,ହାରାହାରି ଛୁଟି
Aversion,"ବିମୁଖତା, ବିରକ୍ତି, ଅନିଚ୍ଚ୍ଥା"
Avert,"ରୋକିବା, ଏଡିବା"
Avoid,"ଦୂରେଇ ରହିବା, ପରିହାର କରିବା"
Avoidance of tax,କରରୁ ବଂଚିତ
Awaited,ପ୍ରତିକ୍ଷିତ
Award,"ଅଧିନିର୍ଣ୍ଣୟ, ପୁରସ୍କାର, ଅଧିନିର୍ଣ୍ଣୟ ଦେବା, ପ୍ରଦାନ କରିବା, ମଂଜୁର କରିବା"
Awarding authority,ଅଧିନିର୍ଣ୍ଣୟ କତ୍ତୃପକ୍ଷ
Awareness,ଜାଗରୁକତା
Backdated,"ପୁର୍ବଦିନାଙ୍କିତ, ପୁରୁଣାକାଳିଆ, ପିଛିଲା ତାରିଖର"
Background,"ପୃଷ୍ଠଭୂମି, ପଛପଟ"
Back log,"ପିଛିଲା କାମ, ବକେୟା କାମ"
Back out,ହଟିଯିବା
Back reference,ପିଛିଲା ସଂଖ୍ୟା
Back up,ସମର୍ଥନ କରିବା
Backward classes,ଅନୁନ୍ମତ ଶ୍ରେଣୀ
Backward tribe,ଅନୁନ୍ନତ ଜନଜାତି
Bad bargain,ଅଲାଭକର ସଉଦା
Bad behaviour,ଖରାପ ଅଭ୍ୟାସ
Bad character,ଖରାପ ଚରିତ୍ର
Bad climate allowance,ଖରାପ ଜଳବାୟୁ ଭତ୍ତା
Bad conduct,ମନ୍ଦ ଆଚରଣ
Bad debt,ବୁଡ଼ିଯିବା ଋଣ
Baggage,"ସମସ୍ତ ଜିନିଷପତ୍ର, ଗଣ୍ଠିଲି"
Bail,"ଜାମିନ, ଜମାନତ, ଜାମିନରେ ନେବା"
Balance,"ଅବଶେଷ, ସନ୍ତୁଳନ, ନିକିତି, ରୋକଡ଼ାବାକି, ଭାରସାମ୍ୟ"
Balance brought down,ଅଧୋନୀତ ଶେଷ
Balance brought forward,ଅଗ୍ରନୀତ ଶେଷ
Balanced budget,ସନ୍ତୁଳିତ ବଜେଟ
Balance sheet,ସନ୍ତୁଳିତ ଫର୍ଦ୍ଦ
Ballot,"ମତପତ୍ର, ଭୋଟପତ୍ର"
Ballot box,ଭୋଟ୍ ବାକ୍ସ
Ballot paper,"ଭୋଟ କାଗଜ, ମତପତ୍ର"
Ban,"ବାରଣ, ନିଷେଧାଜ୍ଞା, ବାରଣ କରିବା"
Bank,"ତଟ, ବ୍ୟାଙ୍କ, ବ୍ୟାଙ୍କରେ ରଖିବା"
Bank account,"ବ୍ୟାଙ୍କ ହିସାବ, ବ୍ୟାଙ୍କ ଆକାଉଣ୍ଟ"
Bank balance,ବ୍ୟାଙ୍କ ଶେଷ
Bank charges,ବ୍ୟାଙ୍କ ପ୍ରଭାର
Bank guarantee,ବ୍ୟାଙ୍କ ପ୍ରତ୍ୟାଭୂତି
Bank holiday,ବ୍ୟାଙ୍କ ଛୁଟିଦିନ
Banking facility,ବ୍ୟାଙ୍କିଙ୍କ ସୁବିଧା
Banking hours,ବ୍ୟାଙ୍କ କାର୍ଯ୍ୟ ସମୟ
Banking transaction,ବ୍ୟାଙ୍କ ଆଦାନ ପ୍ରଦାନ
Bank rate,ବ୍ୟାଙ୍କ ଦର
Bank reconciliation,ବ୍ୟାଙ୍କ ସମାଧ୍ନାନ
Bankrupt,ଦିବାଳିଆ ପଣ
Bank security,ଋଣ ପ୍ରମାଣପତ୍ର
Bank statement,ବ୍ୟାଙ୍କ ଉଦଘୋଷମା
Banquet,ପ୍ରୀତିଭୋଜନ
Bar council,"ଓକିଲ ପରିଷଦ, ବାର କାଉନସିଲ"
Bargain,"ଦର କଷିବା, ମୂଲେଇବା, ଲାଭଜନକ ସଉଦା"
Bargaining,ଦର କଷିବା
Barren land,"ପଡ଼ିଆ ଭୂମି, ବନ୍ଧ୍ୟା ଭୂମି"
Barter,"ବଦଳ ବେପାର, ବଦଳ ବେପାର କରିବା"
Base,"ପାଦଦେଶ, ମୂଳ, ଆଧାର, ଆସ୍ଥାନ, ଘାଟି, ନିଧାନ, ନୀଚ"
Baseless,"ଅମୂଳକ, ଅନାଧାରିତ"
Basement,ଭୂତଳ କୋଠରୀ
Base year,"ଆଧାର ବର୍ଷ, ଭିତ୍ତି ବର୍ଷ"
Basic,"ମୌଳିକ, ଖାରିଆ, ଆଧାରଭୂତ"
Basically,ମୂଳତ:
Basic intelligence,ମୌଳିକ ଆସୂଚନା
Basic pay,ମୂଳ ବେତନ
Basic scale of pay,ମୂଳ ବେତନ ମାନ
Basic training,ମୌଳିକ ତାଲିମପ୍ରାପ୍ତ ଶିକ୍ଷକ
Basis,"ମୂଳ, ଭିତ୍ତି, ଆଧାର"
Batch,"ଦଳ ଦଫା, ବର୍ଗୀକରଣ କରିବା"
Batch number,"ଜନ ସଂଖ୍ୟା, ଦଳ ନମ୍ବର"
Bearer cheque,ବାହକ ଚେକ୍
Before cited,"ପୂର୍ବକଥିତ, ପୂର୍ବ ଉଦବୃତ୍ତ"
Behaviour,"ଆଚର, ଚାଲିଚଳନ, ବ୍ୟବହାର"
Belief,"ବିଶ୍ୱାସ, ଧାରଣା"
Below par,ଅଳ୍ପ ମୂଲ୍ୟରେ
Bench,ନ୍ୟାୟଧୀଶ ଓ ଓକିଲ ମଣ୍ତଳୀ
Benchmark,"ତଳ ଚିହ୍ନ, ମାନକ"
Beneficial,"ହିତକର, ଉପକାରୀ"
Beneficiary,ହିତାଧିକାରୀ
Benefit,ହିତପ୍ରଦ ସ୍ୟାର୍ଥ
Benefit of doubt,"ସନ୍ଦେହ ହେତୁ ଫାଇଦା, ସନ୍ଦେହ ହେତୁ ଦୋଷ ମୁକ୍ତି"
Benevolence,ହିତକାରୀତା
Benevolent fund,ହିତକାରୀ ସମାଜ
Bequeath,ଉଇଲ୍ କରିବା
Bequest,"ଉଇଲ୍ ଦାନ, ଉଇଲ୍ ସମ୍ପତ୍ତି"
Bereaved,ଶୋକସନ୍ତପ୍ତ
Best endeavours,ସର୍ବୋକୃଷ୍ଟ ଉଦ୍ୟମ
Betterment,ଉନ୍ନତି
Bias,"ପକ୍ଷପାତିତା, ଆସକ୍ତି"
Biased opinion,ପୁଟାଗ୍ରହ ମତାମତ
Bibliography,ଗ୍ରନ୍ଥ-ସୂଚୀ
Biennial,ଦ୍ୱିବାର୍ଷିକ
Bifurcate,"ଦ୍ୱିଶାଖା ହେବା, ଦୁଇ ଭାଗ କରିବା"
Bigamy,ଦ୍ୱିବିବାହ
Bilateral,"ଦ୍ୱିପକ୍ଷୀୟ, ଦୁଇତରଫା"
Bilingual,"ଦ୍ୱିଭାଷୀ, ଦ୍ୱିଭାଷିକ"
Bicameral,"ଦ୍ୱିର୍ଧାକ୍ଷ, ଦ୍ୱିପ୍ରକୋଷ୍ଠୀୟ"
Bill,"ବିଧେୟକ, ହୁଣ୍ତି, ପତ୍ର, ପ୍ରଚାର ଫର୍ଦ୍ଦ, ବିଲ୍, ଚଞ୍ଚୁ, ମୂଲ୍ୟପତ୍ର, ବିଲ୍ ତିଆରି କରିବା, ବିଲ୍ କରିବା"
Bill of exchange,"ବିନିମୟ ପତ୍ର, ହୁଣ୍ତି"
Bimonthly report,ଦ୍ୱିମାସିକ ବିବରଣ
Binding,"ବନ୍ଧେଇ, ଅବଶ୍ୟ-ପାଳନୀୟ, ବନ୍ଧାହୋଇଥିବା, ବନ୍ଧେଅ"
Biodata,"ଜୀବନୀ-ତଥ୍ୟ, ଜୀବନୀ-ବୃତ୍ତ"
Bipartite,ଦ୍ୱୀପାକ୍ଷିକ
Bipartite agreement,ଦ୍ୱୀପାକ୍ଷିକ ରାଜିନାମା
Birth anniversary,ଜନ୍ମଦିବସ
Birth certificate,ଜନ୍ମ ପ୍ରମାଣପତ୍ର
Birth control,ଜନ୍ମ ନିୟନ୍ତ୍ରଣ
Birth date,ଜନ୍ମଦିନ
Birth place,ଜନ୍ମସ୍ଥାନ
Birth rate,ଜନ୍ମ ହାର
Biweekly,"ଦ୍ୱିସାପ୍ତାହିକ, ଅର୍ଦ୍ଧ ସାପ୍ତାହିକ, ପାକ୍ଷିକ"
Black economy,କଳା ଅର୍ଥ ବ୍ୟବସ୍ଥା
Black list,ଦୋଷୀ ତାଲିକା
Blackmail,ଧମକାଇ ଆଦାୟ କରିବା
Black market,"କଳା ବଜାର, ଚୋରା ବଜାର"
Blame,"ନିନ୍ଦା କରିବା, ନିନ୍ଦା"
Blank cheque,"ଫାଙ୍କା ଚେକ୍, ନିରଙ୍କ ଚେକ୍"
Blanket deal,ବ୍ୟାପକ ସଉଦା
Blanket order,ବ୍ୟାପକ ଆଦେଶ
Blast,"ବିସ୍ପୋଟନ କରିବା, ବିସ୍ପୋଟନ"
Blending,ସମ୍ମଶ୍ରଣ
Block,"ସଂବର୍ଗ, ଗୃହ ସମଷ୍ଟି, ଛାଞ୍ଚ, ବ୍ଲକ୍, ବାଧା, କାଠଗଡ଼ା, ବାଧା ଦେବା"
Blockade,ଅବରୋଧ
Blocked capital,ଅବରୁଦ୍ଧ ପୁଂଜୀ
Block letter,"ବଡ଼ ଅକ୍ଷର, ସୁସ୍ପଷ୍ଟ ଅକ୍ଷର"
Blood donation,ରକ୍ତଦାନ
Blood relations,ରକ୍ତସଂପର୍କ
Blue collar job,କାୟିକ କାର୍ଯ୍ୟ
Blueprint,"ପକ୍କା ନକ୍ସା, ନୀଳ ଛାପା, ପ୍ରତିଚିତ୍ର"
Bluff,"ଭୁରୁଡ଼ି, ଭୁରୁଡ଼ି ମାରିବା, ଫାଙ୍କିବା"
Board,"ମଣ୍ତଳୀ, ବୋର୍ଡ, ଭୋଜନ, ପଟା, ଫଳକ, ସମିତି, ପରିଷଦ"
Boarding and lodging,ରୋଜନ ଏବଂ ଆବାସ
Board of directors,"ନିର୍ଦ୍ଦେଶକ ମଣ୍ତଳୀ, ପରିଚାଳନା ମଣ୍ତଳୀ"
Board of revenue,"ରାଜସ୍ୱବୋର୍ଡ, ରାଜସ୍ୱ ପରିଷଦ"
Body,"ଶରୀରସ ନିକାୟ, ମୁଖ୍ୟାଂଶ"
Bodyguard,"ଅଙ୍ଗରକ୍ଷୀ, ଦେହରକ୍ଷୀ"
Bogus voucher,"ନକଲି ଭାଉଚର, ନକଲି ପ୍ରାପ୍ତି ସୁଚକ ରସିଦ"
Bonafides,"ସାଧୁତା, ଅକପଟତା"
Bond,"ତମସୁକ, ବନ୍ଧପତ୍ର, ମୁଚାଲିକା, ବଣ୍ତ, ଅଙ୍ଗୀକାର ପତ୍ର"
Bonded labour,"ବେଠିଆ, ବନ୍ଧକ ଦାସ, ଗୋତି ଶ୍ରମିକ"
Bonus,"ବୋନସ, ଅଧିଲାଭ"
Booking office,ଟିକଟ ଘର
Book-keeper,ହିସାବ ରକ୍ଷକ
Book-keeping,ହିସାବ ଲେଖନ
Booklet,ପୁସ୍ତିକା
Book of reference,"ସଦର୍ଭ ଗ୍ରନ୍ଥ, ସଂଦର୍ଭ ପୁସ୍ତକ"
Book value,ଖାତାମୂଲ୍ୟ
Booth,"ପଲ୍ଲା, ବୁଥ୍, ବିଶେଷ ଉଦ୍ଦେଶ୍ୟରେ ତିଆରି ଅସ୍ଥାୟୀ ଘର"
Booth capturing,ବୁଥ ଅକ୍ତିୟାର
Border allowance,ସୀମା ଭତ୍ତା
Border line,ସୀମାରେଖା
Borrower,"ଧାରକର୍ତ୍ତା, ଧାରକ"
Borrowing power,ଉଧାର ନେବା ଶକ୍ତି
Boss,"ମୁନିବ, ହାକିମ, କର୍ତ୍ତା, ପ୍ରଭୁତ୍ୱ ଜାରି କରିବା"
Bottleneck,"ଅନ୍ତରାୟ, ବାଧା"
Bracket,"ବନ୍ଧନୀ, ନାଗଦନ୍ତ, ବ୍ରାକେଟେ, ବନ୍ଧନୀରେ ରଖିବା"
Boundary,ସୀମା
Boycott,ବହିଷ୍କାର
Brain drain,"ପ୍ରତିଭା ପ୍ରବାସ, ପ୍ରତିଭା ପଳାୟନ"
Branch office,ଶାଖା କାର୍ଯ୍ୟାଳୟ
Breach,"ଫାଟ, ଭଙ୍ଗ, ଘାଇ, ଭଙ୍ଗ କରିବା, ବାଟ ଭାଙ୍ଗିବା"
Breach of agreement,ରାଜିନାମା ଭଙ୍ଗ
Breach of confidence,ଆସ୍ଥା ଭଙ୍ଗ
Breach of contract,ଚୁକ୍ତି ଭଙ୍ଗ
Breach of discipline,ଶୃଙ୍ଖଳା ଭଙ୍ଗ
Breach of law,"ବିଧି ଭଙ୍ଗ, ଆଇନ ଭଙ୍ଗ"
Breach of peace,ଶାନ୍ତି ଭଙ୍ଗ
Breach of privilege,ସ୍ୱାଧିକାର ଭଙ୍ଗ
Breach of promise,ବଚନ ଭଙ୍ଗ
Breach of rule,ନିୟମ ଭଙ୍ଗ
Breach of trust,ପ୍ରତ୍ୟୟ ଭଙ୍ଗ
Breakage,"ଭଙ୍ଗ, ଭଙ୍ଗା ଜିନିଷପାଇଁ କ୍ଷତିପୂରଣ"
Break down,"ସ୍ୱାସ୍ଥ୍ୟଭଙ୍ଗ, ଭଙ୍ଗ, (ଜାନବାହନ) ଅଚଳତା, ଯ଼ାନ୍ତ୍ରିକ ଗଣ୍ତଗୋଳ"
Break in service,ସେବାରେ ସମାଧାନ
Break-up,"ବିଭାଜନ, ଉଚ୍ଛେଦ"
Breed,"ଆଭିଜାତ, ବଂଶବୃଦ୍ଧ, ବିସ୍ତାର, ପ୍ରସବ, ପ୍ରସବ କରିବା, ବଢାଇବା"
Bribe,"ଲାଞ୍ଚ, ଘୁସ, ଲାଞ୍ଚଦେବା, ଘୁସଦେବା"
Brief,"ସଂକ୍ଷେପ ଲେଖନ, ଓକିଲ ନିଯୁକ୍ତ କରିବା, ସ୍ୱଳ୍ପ, ସଂକ୍ଷିପ୍ତ, କ୍ଷଣସ୍ଥାୟୀ"
Briefing,"ସଂକ୍ଷିପ୍ତ ସୂଚନା, ସାରାଂଶ"
Brief resume,ସାରାଂଶ
Brilliant record,"ବିଚକ୍ଷଣ କୀର୍ତ୍ତିମାନ୍, ଶ୍ରେଷ୍ଠତମ କୃତିତ୍ୱ, ଉଜ୍ଜ୍ୱଳ ରେକର୍ଡ଼"
Bring into notice,ଧ୍ୟାନ ଆକଷିକ କରନା
Broadcast,"ପ୍ରସାର କରିବା, ବୁଣିବା, ପ୍ରସାରଣ"
Broadsheet,ପ୍ରଶସ୍ତ ଫର୍ଦ୍ଦ
Brochure,"ବିବରଣିକା, ତଥ୍ୟ ପୁସ୍ତିକା"
Brokerage,ଦଲାଲି
Brought forward (b/f),ଅଗ୍ରେନୀତ
Budget allocation,ବଜେଟ ବଣ୍ଟନ
Bugetary control,ବଜେଟ ନିୟନ୍ତ୍ରଣ
Budget estimate,"ବଜେଟ୍ ଅଟକଳ, ଆୟବ୍ୟୟ ଅଟକଳ"
Budget provision,ବଜେଟ୍ ବ୍ୟବସ୍ଥା
Building,"କୋଠା, ଭବନ, ନିର୍ମାଣ କରିବା, ଆସ୍ଥା ରଖିବା"
Bulk,ସ୍ଥୂଳ ଫରମାସ
Bulk purchase,"ସମୂହ କ୍ରୟ, ମୋଟା ଆକାରର ଖରିଦ"
Bulletin,"ଇସ୍ତାହାର, ବୁଲେଟିନ୍"
Bumper crop,ପ୍ରଚୁର ଫସଲ
Bunching of vacancies,ରିକ୍ତ ପଦ ଗୁଚ୍ଛନ
Bungling,"ଗୋଳମାଳ, ଗଡ଼ବଡ଼"
Bureaucracy,"ଆମଲାତନ୍ତ୍ର, ହାକିମ ତନ୍ତ୍ର"
Bureaucrat,"ହାକିମ, ଅମଲା"
Business class,ବ୍ୟବସାୟୀ ବର୍ଗ
Business hours (= hours of business),କାର୍ଯ୍ୟ ସମୟ
Businessman,"ବ୍ୟବସୟୀ, ବେପାରୀ"
Buy-back,ପ୍ରତି କ୍ରୟ
Buyer,"କ୍ରେତା, କିଣାଳି"
Bye election (by election),ଉପ-ନିର୍ବାଚନ
By hand,ହାତକୁ ହାତ
By post,"ଡ଼ାକରେ, ଡାକଦ୍ୱାରା"
Cabin baggage,କେବିନ ଆସବାବପତ୍ର
Cabinet,"ମନ୍ତ୍ରୀମଣ୍ଡଳ, କ୍ଷୁଦ୍ର କକ୍ଷ, ଥାକଯୁକ୍ତ ଆଲମାରି, କ୍ୟାବିନେଟ୍"
Cadre,"ସଂବର୍ଗ, କର୍ମଚାରୀ ଗୋଷ୍ଠୀ, ଶ୍ରେଣୀ, ପଦବୀ, କ୍ୟାଡର୍"
Calamity,"ଦୁର୍ବିପାକ, ବିତ୍ପାତ"
Calculation,"ଗଣନା, ପରିକଳନ, ହିସାବ"
Calendar year,ପଞ୍ଜିବର୍ଷ
Campaign,"ପ୍ରଚାର, ଅଭିଯାନ"
Campus,"ବିଦ୍ୟା ବିହାର/ପ୍ରାଙ୍ଗଣ, କ୍ୟାମ୍ପସ୍"
Campus interview,ପରିସର ସାକ୍ଷାତକାର
Cancel,"ରଦ୍ଦ କରିବା, ବାତିଲ କରିବା"
Cancellation,"ରଦ୍ଦକରଣ, ବାତିଲ, ରହିତ, ପ୍ରତ୍ୟାହାର"
Candidate,"ପ୍ରାର୍ଥୀ, ପରୀକ୍ଷାର୍ଥୀ"
Candidature,ପ୍ରାର୍ଥିତ୍ୱ
Canvassing,"ଭୋଟ ପ୍ରାର୍ଥନା, କୁହାପୋଛା"
Capability,"ପାରଙ୍ଗମ, ଦକ୍ଷତା, ସାମର୍ଥ୍ୟ"
Capable,"ପାରଙ୍ଗମ, ସମର୍ଥ, ଦକ୍ଷ, ପରିବାର"
Capacity,"ଧାରଣ ଶକ୍ତି, ବୈଧାନିକ ଦକ୍ଷତା, ଉତ୍ପାଦନ କ୍ଷମତା"
Capital,"ରାଜଧାନୀ, ପୁଞ୍ଜି, ମୂଳଧନ, ମୁଖ୍ୟ, ପ୍ରଧାନ, ବଡ଼, ମାରାତ୍ମକ, କ୍ଷତିକାରକ"
Capital expenditure,ପୁଂଜିଗତ ବ୍ୟୟ
Capital punishment,ମୃତ୍ୟୁଦଣ୍ଡ
Capitation fee,ମୁଣ୍ତ ପିଛା ଫିସ୍
Capture,"ପକଡ଼ିବା, ଧରିବା, କରଗତ କରିବା, ବନ୍ଦୀ କରିବା"
Care,"ସାବଧାନତା, କାତିର, ହେପାଜତ, ଯତ୍ନ"
Career,"ବୃତ୍ତି, ବୃତ୍ତିକ୍ରମ, ଜୀବନ, କ୍ୟାରିଅର"
Career development,ଜୀବିକା ବିକାସ
Caretaker government,କାମଚଳା ସରକାର
Carried forward (c/f),ଅପ୍ର ପ୍ରେକ୍ଷଣ
Carry forward,"ଆଗକୁ ନେଇଯି ବା, ଅପ୍ରସଂପ୍ରେକ୍ଷଣ"
Carrying cost,ରଖରଖାବ ମୂଲ୍ୟ
Carry over,ଆଗକୁ ନେବା
Cartage,ଶଗଡ଼ ଭଡ଼ା
Case,"ମାମଲା, ଅବସ୍ଥା, ବିଷୟ, ପେଡ଼ି ଖୋଳ, ଚିକିତ୍ସାଧୀନ ବ୍ୟକ୍ତି, ରୋଗ ଦଶା"
Case study,କେସ ଅଧ୍ୟୟନ
Cash,"ନଗଦ, ରୋକଡ଼, ଜମାଖର୍ଚ୍ଚ ପତ୍ର"
Cash balance,"ରୋକଡ ଅବଶେଷ, ଜମାଖର୍ଚ୍ଚ ଅବଶେଷ"
Cash book,"ରୋକଡ଼ ବହି, ଜମାଖର୍ଚ୍ଚ ବହି"
Cash card,ନଗତ ପତ୍ର
Cash certificate,"ରୋକଡ ପ୍ରମାଣପତ୍ର, ଜମାଖର୍ଚ୍ଚ ପତ୍ର"
Cash counter,ଧନ ନେଣଦେଣ ପାଇଁ ଉଦ୍ଦିଷ୍ଟ ମେଜ
Cash crop,"ଅର୍ଥକାରୀ ଫସଲ, ନଗଦୀ ଫସଲ"
Cash discount,"ନଗଦ ବଟ୍ଟା, ନଗଦ ରିହାତି"
Cash down,ଏକ ବାରନ ଗତ
Cash in hand,ନଗଦ ଟଙ୍କା
