Kannada,Punjabi
ಸ್ವಯಂಚಾಲಿತ ಲೆಕ್ಕಾಚಾರ,ਆਟੋਮੈਟਿਕ ਗਣਨਾ
ಸ್ವಯಂಚಾಲಿತ ಡೇಟಾ ಸಂಸ್ಕರಣೆ,ਆਟੋਮੈਟਿਕ ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ
ಸ್ವಯಂಚಾಲಿತ ದೋಷ ತಿದ್ದುಪಡಿ,ਆਟੋਮੈਟਿਕ ਗਲਤੀ ਸੁਧਾਰ
ಸ್ವಯಂ ಕಾರ್ಯ,ਆਟੋ ਫੰਕਸ਼ਨ
"1. ಸ್ವಯಂಚಾಲಿತ ಇಂಡೆಕ್ಸಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪಟ್ಟಿ","1. ਆਟੋਮੈਟਿਕ ਇੰਡੈਕਸਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਸੂਚੀਕਰਨ"
ಸ್ವಯಂ ಸಂಗ್ರಹ ಕರೆ,ਸਵੈ-ਸੰਗ੍ਰਹਿ ਕਾਲ
"1. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಸ್ವಯಂಚಾಲಿತ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਆਟੋਮੈਟਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ"
"1. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ, 2. ಸ್ವಯಂಚಾಲಿತ ಚೇತರಿಕೆ ಪ್ರೋಗ್ರಾಂ","1. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ, 2. ਆਟੋਮੈਟਿਕ ਰਿਕਵਰੀ ਪ੍ਰੋਗਰਾਮ"
ಸ್ವಯಂ ದಿನಚರಿ,ਆਟੋਮੈਟਿਕ ਰੁਟੀਨ
ಸ್ವಯಂಚಾಲಿತ ಸಿಸ್ಟಮ್ ಚೇತರಿಕೆ,ਆਟੋਮੈਟਿਕ ਸਿਸਟਮ ਰਿਕਵਰੀ
"1. ಸ್ವಯಂಚಾಲಿತ ಟೆಲ್ಲರ್ ಯಂತ್ರಗಳು (ATM), 2. ಸ್ವಯಂ ಹಿಂಪಡೆಯಲು ಬ್ಯಾಂಕ್ ಎಟಿಎಂ","1. ਆਟੋਮੈਟਿਕ ਟੈਲਰ ਮਸ਼ੀਨਾਂ (ATM), 2. ਸਵੈ ਨਿਕਾਸੀ ਲਈ ਬੈਂਕ ਏ.ਟੀ.ਐਮ"
ಯಾಂತ್ರೀಕೃತಗೊಂಡ,ਆਟੋਮੇਸ਼ਨ
"1. ಸ್ವಯಂಪ್ಲೇ , 2. ಆಟೋ ನಡಿಗೆ","1. ਆਟੋਪਲੇ, 2. ਆਟੋ ਵਾਕ"
ಗಾಯನ,ਵੋਕਲਾਈਜ਼ੇਸ਼ਨ
ಸಹಾಯಕ,ਸਹਾਇਕ
ಸಹಾಯಕ ಸ್ಮರಣೆ,ਸਹਾਇਕ ਮੈਮੋਰੀ
ಸಹಾಯಕ ಸಂಗ್ರಹಣೆ,ਸਹਾਇਕ ਸਟੋਰੇਜ਼
ಲಭ್ಯವಿರುವ ಪಟ್ಟಿ,ਉਪਲਬਧ ਸੂਚੀ
ಲಭ್ಯವಿರುವ ಸಮಯ,ਉਪਲਬਧ ਸਮਾਂ
ಸರಾಸರಿ,ਔਸਤ
AWK (ಕಂಪ್ಯೂಟರ್ ಆಜ್ಞೆ),AWK (ਇੱਕ ਕੰਪਿਊਟਰ ਕਮਾਂਡ)
ನಂತರ,ਬਾਅਦ
ಪೋಸ್ಟ್ ಪ್ರೊಸೆಸರ್,ਪੋਸਟ ਪ੍ਰੋਸੈਸਰ
ಹಿಂಭಾಗದ ಕಾರ್ಯ ಅಳಿಸುವಿಕೆ,ਪਿਛਲਾ ਫੰਕਸ਼ਨ ਮਿਟਾਉਣਾ
ಹಿನ್ನೆಲೆ ಸಂಸ್ಕರಣೆ,ਪਿਛੋਕੜ ਦੀ ਕਾਰਵਾਈ
ಪೂರಕ ಅಂಗಡಿಗಳು,ਸਹਾਇਕ ਸਟੋਰ
ಮತ್ತೆ ಪ್ಯಾಚಿಂಗ್,ਵਾਪਸ ਪੈਚਿੰਗ
"1. ಪಶ್ಚಿಮ, 2. ಬ್ಯಾಕ್‌ಸ್ಪೇಸ್","1. ਪੱਛਮ, 2. ਬੈਕਸਪੇਸ"
ಬ್ಯಾಕ್‌ಟ್ರ್ಯಾಕಿಂಗ್,ਬੈਕਟਰੈਕਿੰਗ
"1. ಬ್ಯಾಕ್ ಅಪ್, 2. ಮರುಪಾವತಿ","1. ਬੈਕ-ਅੱਪ, 2. ਅਦਾਇਗੀ"
"1. ಪೂರಕ ಸ್ಮರಣೆ, 2. ಬ್ಯಾಕ್-ಅಪ್ ಮೆಮೊರಿ","1. ਪੂਰਕ ਮੈਮੋਰੀ, 2. ਬੈਕਅੱਪ ਮੈਮੋਰੀ"
ಹಿಂದಿನ ದೋಷ ತಿದ್ದುಪಡಿ,ਵਾਪਸ ਗਲਤੀ ਸੁਧਾਰ
(ಆದಾಯ-ವೆಚ್ಚ) ಬ್ಯಾಲೆನ್ಸ್ ಶೀಟ್,(ਆਮਦਨ-ਖਰਚਾ) ਬੈਲੇਂਸ ਸ਼ੀਟ
ಬ್ಯಾಂಡೇಜ್,ਪੱਟੀ
"1. ಬ್ಯಾಂಡ್ ಅಗಲ, 2. ಬ್ಯಾಂಡ್‌ವಿಡ್ತ್/ಸಾಮರ್ಥ್ಯ","1. ਬੈਂਡ ਚੌੜਾਈ, 2. ਬੈਂਡਵਿਡਥ/ਸਮਰੱਥਾ"
ಬ್ಯಾಂಕರ್ ಅಲ್ಗಾರಿದಮ್,ਬੈਂਕਰ ਦਾ ਐਲਗੋਰਿਦਮ
"1. ಬಾರ್ ಕೋಡ್, 2. ಬಾರ್ ಕೋಡ್","1. ਬਾਰ ਕੋਡ, 2. ਬਾਰ ਕੋਡ"
ಬಾರ್ಕೋಡ್ ಸ್ಕ್ಯಾನರ್,ਬਾਰਕੋਡ ਸਕੈਨਰ
ಬಾರ್ ಗ್ರಾಫ್,ਪੱਟੀ ਗ੍ਰਾਫ
ಮೂಲ ವಿಳಾಸ,ਅਧਾਰ ਪਤਾ
ಬೇಸ್ ಬ್ಯಾಂಡ್,ਅਧਾਰ ਬੈਂਡ
ಆಧಾರ್ ಸಂಖ್ಯೆ,ਆਧਾਰ ਨੰਬਰ
ಬೇಸ್ ಟೇಬಲ್,ਅਧਾਰ ਸਾਰਣੀ
ಮೂಲಭೂತ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),ਬੇਸਿਕ (ਇੱਕ ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
"1. ಮೂಲ ನಿಯಂತ್ರಣ , 2. ಮೂಲ ನಿಯಂತ್ರಣ","1. ਬੁਨਿਆਦੀ ਨਿਯੰਤਰਣ, 2. ਅਧਾਰ ਕੰਟਰੋਲ"
"1. ಮೂಲ ಹೂಡಿಕೆ, 2. ಮೂಲ ಹೂಡಿಕೆ","1. ਮੂਲ ਨਿਵੇਸ਼, 2. ਅਧਾਰ ਨਿਵੇਸ਼"
ಮೂಲ ಸೂಚನೆ,ਬੁਨਿਆਦੀ ਹਦਾਇਤ
ಮೂಲ ಸಮಸ್ಯೆ,ਅਧਾਰ ਮੁੱਦਾ
ಮೂಲ ಹಂತ,ਬੁਨਿਆਦੀ ਪੜਾਅ
"1. ಬ್ಯಾಚ್, 2. ಗುಂಪು, 3. ದುರಂತ","1. ਬੈਚ, 2. ਸਮੂਹ, 3. ਤਬਾਹੀ"
"1. ಬ್ಯಾಚ್ ಫೈಲ್, 2. ಬ್ಯಾಚ್ ಫೈಲ್","1. ਬੈਚ ਫਾਈਲ, 2. ਬੈਚ ਫਾਈਲ"
ಬ್ಯಾಚ್ ಸ್ಥಿತಿ,ਬੈਚ ਸਥਿਤੀ
"1. ಬ್ಯಾಚ್ ಪ್ರಕ್ರಿಯೆ, 2. ಗುಂಪು ಸಂಸ್ಕರಣೆ","1. ਬੈਚ ਪ੍ਰੋਸੈਸਿੰਗ, 2. ਗਰੁੱਪ ਪ੍ਰੋਸੈਸਿੰਗ"
"1. ಬ್ಯಾಚ್ ವ್ಯವಸ್ಥೆ, 2. ಕವಣೆ ವ್ಯವಸ್ಥೆ","1. ਬੈਚ ਸਿਸਟਮ, 2. catapult ਸਿਸਟਮ"
ಬಾಡ್,ਬੌਡ
ಬೌಡ್ ದರ,ਬੌਡ ਦਰ
ಕಿರಣದ ಕಿರಣ,ਬੀਮ ਬੀਮ
"1. ಮಾರ್ಗಸೂಚಿಗಳು, 2. ಬ್ಯಾಚ್ ಮಾರ್ಕ್","1. ਦਿਸ਼ਾ-ਨਿਰਦੇਸ਼, 2. ਬੈਚ ਮਾਰਕ"
ದ್ವಿಮುಖ ಸಂವಹನ,ਦੋ-ਦਿਸ਼ਾ ਸੰਚਾਰ
ನೇರ ಸಂಪರ್ಕ,ਸਿੱਧਾ ਲਿੰਕ
ಬೈನರಿ ಕೋಡ್,ਬਾਈਨਰੀ ਕੋਡ
ಬೈನರಿ ಅಂಕೆಗಳು,ਬਾਈਨਰੀ ਅੰਕ
ಬೈನರಿ ಇನ್ವೆಸ್ಟ್ಮೆಂಟ್ ಔಟ್ಪುಟ್ ಸಿಸ್ಟಮ್ (BIOS),ਬਾਈਨਰੀ ਨਿਵੇਸ਼ ਆਉਟਪੁੱਟ ਸਿਸਟਮ (BIOS)
ಬೈನರಿ ಸಂಖ್ಯೆ,ਬਾਈਨਰੀ ਨੰਬਰ
ಬೈನರಿ ಆಪರೇಟರ್,ਬਾਈਨਰੀ ਆਪਰੇਟਰ
ದ್ವಿಮಾನ ಸಂಬಂಧ,ਬਾਈਨਰੀ ਸਬੰਧ
ಬೈನರಿ ಹುಡುಕಾಟ,ਬਾਈਨਰੀ ਖੋਜ
ಬೈನರಿ ಎಕ್ಸ್‌ಪ್ಲೋರೇಶನ್ ಟ್ರೀ (BST),ਬਾਈਨਰੀ ਐਕਸਪਲੋਰੇਸ਼ਨ ਟ੍ਰੀ (BST)
"1. ಬೈನರಿ ಟ್ರಾನ್ಸ್ಫರ್ ಟ್ರೀ, 2. ಬೈನರಿ ವರ್ಗಾವಣೆ","1. ਬਾਈਨਰੀ ਟ੍ਰਾਂਸਫਰ ਟ੍ਰੀ, 2. ਬਾਈਨਰੀ ਟ੍ਰਾਂਸਫਰ"
ಅವಳಿ ಮರ,ਬਾਈਨਰੀ ਰੁੱਖ
"1. ಬೈಪೋಲಾರ್ ಮೆಮೊರಿ, 2. ಬೈಪೋಲಾರ್ ಮೆಮೊರಿ","1. ਬਾਈਪੋਲਰ ਮੈਮੋਰੀ, 2. ਬਾਈਪੋਲਰ ਮੈਮੋਰੀ"
"1. ಜನನ ಮತ್ತು ಮರಣ ಮಾದರಿ, 2. ಜನನ ಮರಣ ಮಾದರಿ","1. ਜਨਮ ਅਤੇ ਮੌਤ ਦਾ ਮਾਡਲ, 2. ਜਨਮ ਮੌਤ ਮਾਡਲ"
ಜನನ ಮರಣ ಪ್ರಕ್ರಿಯೆ,ਜਨਮ ਮੌਤ ਦੀ ਪ੍ਰਕਿਰਿਆ
"1. ಡ್ಯೂಕ್, 2. ಸ್ವಲ್ಪ","1. ਡੁਏਕ, 2. ਬਿੱਟ"
ಸ್ವಲ್ಪ ತಪ್ಪು,ਬਿੱਟ ਨੁਕਸ
ಬಿಟ್ ನಕ್ಷೆ,ਬਿੱਟ ਨਕਸ਼ਾ
"1. ಬಿಟ್, 2. ನಕ್ಷೆ, 3. ಪಿಕ್ಸೆಲ್ (BMP)","1. ਬਿੱਟ, 2. ਨਕਸ਼ਾ, 3. ਪਿਕਸਲ (BMP)"
"1. ಬಿಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್, 2. ಬಿಟ್ ಟೇಬಲ್","1. ਬਿੱਟ ਮੈਟ੍ਰਿਕਸ, 2. ਬਿੱਟ ਟੇਬਲ"
ಬಿಟ್ ಮಾದರಿ,ਬਿੱਟ ਪੈਟਰਨ
ಬಿಟ್ ಸ್ಥಾನ,ਬਿੱਟ ਸਥਿਤੀ
"1. ಬಿಟ್ ದರ, 2. ಬಿಟ್ ದರ","1. ਬਿੱਟ ਰੇਟ, 2. ਬਿੱਟ ਰੇਟ"
ಕಣ್ಣುಮುಚ್ಚಿ ಪರೀಕ್ಷೆ,ਅੰਨ੍ਹੇਵਾਹ ਟੈਸਟ
ಮಿನುಗು,ਚਮਕਣਾ
ಬ್ಲಾಕ್,ਬਲਾਕ
"1. ಬ್ಲಾಕ್ ಕ್ಯಾಶ್, 2. ಬ್ಲಾಕ್ ಕ್ಯಾಷ್ / ಚಂಕ್ ಮೆಮೊರಿ","1. ਬਲਾਕ ਕੈਸ਼, 2. ਬਲਾਕ ਕੈਸ਼/ਚੰਕ ਮੈਮੋਰੀ"
ಬ್ಲಾಕ್ ತನಿಖೆ,ਬਲਾਕ ਪੜਤਾਲ
ಸಂಪುಟ ನಕಲು,ਵਾਲੀਅਮ ਕਾਪੀ
ಬ್ಲಾಕ್ ರೇಖಾಚಿತ್ರ,ਬਲਾਕ ਚਿੱਤਰ
"1. ನಿರ್ಬಂಧಿಸಿದ ನೆಟ್ವರ್ಕ್, 2. ನಿರ್ಬಂಧಿಸಿದ ನೆಟ್ವರ್ಕ್","1. ਬਲੌਕ ਕੀਤਾ ਨੈੱਟਵਰਕ, 2. ਬਲੌਕ ਕੀਤਾ ਨੈੱਟਵਰਕ"
ಬೋರ್ಡ್,ਫੱਟੀ
ಪುಟ ಮೆಮೊರಿ,ਪੰਨਾ ਮੈਮੋਰੀ
ಬೂಲಿಯನ್ ಬೀಜಗಣಿತ,ਬੂਲੀਅਨ ਅਲਜਬਰਾ
ಬೂಲಿಯನ್ ಸಂಬಂಧ,ਬੂਲੀਅਨ ਸਬੰਧ
ಬೂಟ್ ವಿಭಾಗ,ਬੂਟ ਭਾਗ
ಬೂಟ್ ಸ್ಟ್ರಾಪಿಂಗ್,ਬੂਟ ਸਟ੍ਰੈਪਿੰਗ
1.ಬೂಟ್ ಸ್ಟ್ರಾಪ್ ಲೋಡರ್,1. ਬੂਟਸਟਰੈਪ ਲੋਡਰ
"1.ಸೇತುವೆ, 2.ಸೇತುವೆ","1.ਬ੍ਰਿਜ, 2.ਬ੍ਰਿਜ"
ಬ್ರಾಡ್ಬ್ಯಾಂಡ್ ನೆಟ್ವರ್ಕ್,ਬਰਾਡਬੈਂਡ ਨੈੱਟਵਰਕ
ಪ್ರಸಾರ,ਪ੍ਰਸਾਰਣ
ರೇಡಿಯೋ ಪ್ರಸಾರ,ਪ੍ਰਸਾਰਣ ਰੇਡੀਓ
(ನಿವ್ವಳ) ವ್ಯತ್ಯಾಸ,(ਨੈੱਟ) ਪਰਿਵਰਤਨ
(ನಿವ್ವಳ) ವಿಕಾರ್,(ਜਾਲ) ਵਿਕਾਰ
ಬಿ-ಟ್ರು,ਬੀ-ਟ੍ਰੂ
"1.ಬಬಲ್ ಮೆಮೊರಿ, 2.ಬಬಲ್ ಮೆಮೊರಿ","1.ਬਬਲ ਮੈਮੋਰੀ, 2.ਬਬਲ ਮੈਮੋਰੀ"
ಬಬಲ್ ರೀತಿಯ,ਬੁਲਬੁਲਾ ਲੜੀਬੱਧ
"1.ಬಕೆಟ್, 2.ಬಕೆಟ್","1. ਬਾਲਟੀ, 2. ਬਾਲਟੀ"
"1.ಭ್ರಾತೃತ್ವ ವ್ಯವಸ್ಥೆ, 2.ದೊಡ್ಡ ವ್ಯವಸ್ಥೆ","1.ਭਾਈਚਾਰਾ ਸਿਸਟਮ, 2.ਵੱਡਾ ਸਿਸਟਮ"
ಬಜೆಟ್ ಪರಿಣಾಮಕಾರಿ ನಿಯಂತ್ರಣ,ਬਜਟ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਨਿਯੰਤਰਣ
ಬಫರ್,ਬਫਰ
ಕೊರತೆ,ਕਮੀ
ಸಾಕು,ਕਾਫ਼ੀ
"1. ಅಷ್ಟ ವ್ಯಾಂಕ್, 2. ಬಿಟ್ (ಎಂಟು ಬಿಟ್‌ಗಳು)","1. ਅਸ਼ਟ ਵਿਅੰਕ, 2. ਬਿੱਟ (ਅੱਠ ਬਿੱਟ)"
ಬೈಟ್ ಕೋಡ್,ਬਾਈਟ ਕੋਡ
ಸಿ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ),ਸੀ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)
"1.C ಪ್ಲಸ್ ಪ್ಲಸ್, 2.C++ (ಕಂಪ್ಯೂಟರ್ ಭಾಷೆ)","1.C ਪਲੱਸ ਪਲੱਸ, 2.C++ (ਕੰਪਿਊਟਰ ਭਾਸ਼ਾ)"
"1.ನಗದು, 2. ವೇಗವಾಗಿ","1. ਨਕਦੀ, 2. ਤੇਜ਼"
"1.ಕ್ಯಾಶ್ ಬಫರ್, 2.ಮೆಮೊರಿ ಬಫರ್","1.ਕੈਸ਼ ਬਫਰ, 2.ਮੈਮੋਰੀ ਬਫਰ"
"1.ಕ್ಯಾಶ್ ಮೆಮೊರಿ, 2.ಕ್ಯಾಶ್ ಮೆಮೊರಿ, 3.ಫಾಸ್ಟ್ ಮೆಮೊರಿ","1.ਕੈਸ਼ ਮੈਮੋਰੀ, 2.ਕੈਸ਼ ਮੈਮੋਰੀ, 3.ਫਾਸਟ ਮੈਮੋਰੀ"
ಲೆಕ್ಕಾಚಾರ,ਗਣਨਾ
"1.ಕ್ಯಾಲ್ಕುಲೇಟರ್, 2.ಕ್ಯಾಲ್ಕುಲೇಟರ್","1. ਕੈਲਕੁਲੇਟਰ, 2. ਕੈਲਕੁਲੇਟਰ"
"1.ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಚಿಪ್,2. ಕ್ಯಾಲ್ಕುಲೇಟರ್ ಚಿಪ್","1. ਕੈਲਕੁਲੇਟਰ ਚਿੱਪ, 2. ਕੈਲਕੁਲੇਟਰ ਚਿੱਪ"
ಆವಾಹನೆ ಮಾಡಿ,ਬੁਲਾਓ
ಹೆಸರು ಕರೆ,ਨਾਮ ਕਾਲ
ಉಲ್ಲೇಖ ಕರೆ,ਹਵਾਲਾ ਕਾਲ
ಗೌರವ ಕರೆ,ਸਨਮਾਨ ਕਾਲ
ವೇರಿಯಬಲ್ ಕರೆ,ਵੇਰੀਏਬਲ ਕਾਲ
ಆಹ್ವಾನ ಗೇಟ್,ਸੱਦਾ ਗੇਟ
"1. ರದ್ದು, 2. ರದ್ದು","1. ਰੱਦ ਕਰੋ, 2. ਰੱਦ ਕਰੋ"
ಹಿಂತೆಗೆದುಕೊಳ್ಳುವ ಬಟನ್,ਰੱਦ ਕਰਨ ਦਾ ਬਟਨ
"1. ನಿಗದಿತ, 2. ಅಂಗೀಕೃತ","1. ਨਿਰਧਾਰਤ, 2. ਕੈਨੋਨੀਕਲ"
ಅಂಗೀಕೃತ ರೂಪ,ਕੈਨੋਨੀਕਲ ਰੂਪ
ಸಾಮರ್ಥ್ಯ,ਯੋਗਤਾ
ಸಾಮರ್ಥ್ಯ ಪಟ್ಟಿ,ਸਮਰੱਥਾ ਸੂਚੀ
"1. ಸಾಮರ್ಥ್ಯ, 2. ಹಿಡಿದು","1. ਸਮਰੱਥਾ, 2. ਹੋਲਡ"
ಕ್ಯಾಪ್ಸ್ ಲಾಕ್ ಕೀ,ਕੈਪਸ ਲਾਕ ਕੁੰਜੀ
"1.ಕಾರ್ಡ್, 2. ಹಾಳೆ","1.ਕਾਰਡ, 2. ਸ਼ੀਟ"
ಕಾರ್ಡ್ ರೀಡರ್,ਕਾਰਡ ਰੀਡਰ
ಪ್ರಾಮುಖ್ಯತೆ,ਪ੍ਰਮੁੱਖਤਾ
ವಾಹಕ,ਕੈਰੀਅਰ
ವಾಹಕ ಬ್ಯಾಂಡ್,ਕੈਰੀਅਰ ਬੈਂਡ
ವಾಹಕ ಲೋಡ್,ਕੈਰੀਅਰ ਲੋਡ
ವಾಹಕ ಸಂಕೇತ,ਕੈਰੀਅਰ ਸਿਗਨਲ
ವಾಹಕ ತರಂಗ,ਕੈਰੀਅਰ ਲਹਿਰ
ಸಾಧಿಸಿದೆ,ਪ੍ਰਾਪਤ ਕੀਤਾ
ಸ್ಕೋರ್ ಸಾಧಿಸಲಾಗಿದೆ,ਸਕੋਰ ਪ੍ਰਾਪਤ ਕੀਤਾ
ಧ್ವಜವನ್ನು ಸಾಧಿಸಿದೆ,ਝੰਡਾ ਪ੍ਰਾਪਤ ਕੀਤਾ
"1.ಕಾರ್ಟ್ರಿಡ್ಜ್ ಡಿಸ್ಕ್, 2.ಕಾರ್ಟ್ರಿಡ್ಜ್ ಡಿಸ್ಕ್","1.ਕਾਰਟ੍ਰੀਜ ਡਿਸਕ, 2.ਕਾਰਟ੍ਰੀਜ ਡਿਸਕ"
"1. ಕ್ಯಾಸ್ಕೇಡ್, 2. ಕ್ಯಾಸ್ಕೇಡ್","1. ਕੈਸਕੇਡ, 2. ਕੈਸਕੇਡ"
ಪ್ರಕರಣ,ਕੇਸ
ಕ್ಯಾಥೋಡ್-ರೇ-ಟ್ಯೂಬ್ (CRT),ਕੈਥੋਡ-ਰੇ-ਟਿਊਬ (ਸੀਆਰਟੀ)
ಕ್ಯಾಥೋಡ್ ರೇ ಟ್ಯೂಬ್ (CRT) ಕ್ಯಾಥೋಡ್ ರೇ ಟ್ಯೂಬ್,ਕੈਥੋਡ ਰੇ ਟਿਊਬ (CRT) ਕੈਥੋਡ ਰੇ ਟਿਊਬ
ಸಿಡಿ ರೋಮ್ ಡಿಸ್ಕ್ ಡ್ರೈವ್,ਸੀਡੀ ਰੋਮ ਡਿਸਕ ਡਰਾਈਵ
ಕೋಶ,ਸੈੱਲ
ಸೆಲ್ ಅನಿಮೇಷನ್,ਸੈੱਲ ਐਨੀਮੇਸ਼ਨ
ಸೆಲ್ಯುಲಾರ್ ಫೋನ್,ਸੈਲੂਲਰ ਫ਼ੋਨ
"1. ಕೇಂದ್ರ ಸ್ಮರಣೆ, 2. ಕೇಂದ್ರ ಸ್ಮರಣೆ","1. ਕੇਂਦਰੀ ਮੈਮੋਰੀ, 2. ਕੇਂਦਰੀ ਮੈਮੋਰੀ"
ಕೇಂದ್ರೀಯ ಸಂಸ್ಕರಣಾ ಘಟಕ (CPU),ਕੇਂਦਰੀ ਪ੍ਰੋਸੈਸਿੰਗ ਯੂਨਿਟ (CPU)
ಕೇಂದ್ರೀಕೃತ ವ್ಯವಸ್ಥೆ,ਕੇਂਦਰੀ ਸਿਸਟਮ
ದೃಢೀಕೃತ ಟೇಪ್,ਪ੍ਰਮਾਣਿਤ ਟੇਪ
ಚೈನ್,ਚੇਨ
"1.ಸರಣಿ ಡೇಟಾ, 2.ಸರಣಿ ವಿಷಯ","1. ਸੀਰੀਜ਼ ਡਾਟਾ, 2. ਸੀਰੀਜ਼ ਸਮੱਗਰੀ"
ಸರಪಳಿಯ ಕೊಂಡಿ,ਚੇਨ ਲਿੰਕ
ಚೈನ್ನಿಂಗ್,ਚੇਨਿੰਗ
"1.ಚಾನೆಲ್, 2.ಚಾನಲ್","1.ਚੈਨਲ, 2.ਚੈਨਲ"
"1.ಚಾನೆಲ್ ಬ್ಯುಸಿ ಟೋನ್, 2.ಚಾನೆಲ್ ಬ್ಯುಸಿ ಟೋನ್","1.ਚੈਨਲ ਬਿਜ਼ੀ ਟੋਨ, 2.ਚੈਨਲ ਬਿਜ਼ੀ ਟੋਨ"
"1.ಚಾನೆಲ್ ಸಾಮರ್ಥ್ಯ, 2.ಚಾನೆಲ್ ಸಾಮರ್ಥ್ಯ","1.ਚੈਨਲ ਸਮਰੱਥਾ, 2.ਚੈਨਲ ਸਮਰੱਥਾ"
"1.ಚಾನೆಲ್ ನಿಯಂತ್ರಕ, 2.ಚಾನೆಲ್ ನಿಯಂತ್ರಕ","1.ਚੈਨਲ ਕੰਟਰੋਲਰ, 2.ਚੈਨਲ ਕੰਟਰੋਲਰ"
"1. ಚಾನಲ್ ದೋಷ, 2.ಚಾನೆಲ್ ದೋಷ","1.ਚੈਨਲ ਗਲਤੀ, 2.ਚੈਨਲ ਗਲਤੀ"
"1.ಚಾನೆಲ್ ಪ್ರೋಗ್ರಾಂ, 2.ಚಾನೆಲ್ ಪ್ರೋಗ್ರಾಂ","1.ਚੈਨਲ ਪ੍ਰੋਗਰਾਮ, 2.ਚੈਨਲ ਪ੍ਰੋਗਰਾਮ"
"1.ಚಾನೆಲ್ ವಿಶ್ವಾಸಾರ್ಹತೆ, 2.ಚಾನೆಲ್ ವಿಶ್ವಾಸಾರ್ಹತೆ","1.ਚੈਨਲ ਭਰੋਸੇਯੋਗਤਾ, 2.ਚੈਨਲ ਭਰੋਸੇਯੋਗਤਾ"
"1.ಚಾನೆಲ್ ಸೆಟ್, 2.ಚಾನೆಲ್ ಸೆಟ್","1.ਚੈਨਲ ਸੈੱਟ, 2.ਚੈਨਲ ਸੈੱਟ"
ಲಾಂಛನ,ਪ੍ਰਤੀਕ
"1.ಕ್ಯಾರೆಕ್ಟರ್ ಕೋಡ್, 2. ಅಕ್ಷರ ಕೋಡ್","1. ਅੱਖਰ ਕੋਡ, 2. ਅੱਖਰ ਕੋਡ"
ಅಕ್ಷರ ಕೀ,ਅੱਖਰ ਕੁੰਜੀ
ಅಕ್ಷರ ಓದುಗ,ਅੱਖਰ ਪਾਠਕ
"1. ಲಾಂಛನದ ಗಾತ್ರ, 2. ಲಾಂಛನದ ಗಾತ್ರ","1. ਚਿੰਨ੍ਹ ਦਾ ਆਕਾਰ, 2. ਚਿੰਨ੍ਹ ਦਾ ਆਕਾਰ"
ಚಿತ್ರಾತ್ಮಕ,ਚਿੱਤਰਕਾਰੀ
"1.ಚಾಸಿಸ್, 2.ಚಾಸಿಸ್","1.ਚੈਸਿਸ, 2.ਚੈਸਿਸ"
ಚೆಕ್ ಬಿಟ್,ਚੈੱਕ ਬਿੱਟ
ಚೆಕ್ ಪಾಯಿಂಟ್‌ಗಳು,ਚੈੱਕ ਪੁਆਇੰਟ
ಮೊತ್ತವನ್ನು ಪರಿಶೀಲಿಸಿ,ਕੁੱਲ ਚੈੱਕ ਕਰੋ
ಪದವನ್ನು ಪರಿಶೀಲಿಸಿ,ਚੈੱਕ ਸ਼ਬਦ
ಚಿಪ್,ਚਿੱਪ
ಚಿಪ್ ಸೆಟ್,ਚਿੱਪ ਸੈੱਟ
"1.ಆಯ್ಕೆ, 2.ಆಯ್ಕೆ","1. ਚੁਣੋ, 2. ਚੁਣੋ"
ವರ್ಣಮಾಲೆಯಂತೆ,ਵਰਣਮਾਲਾ ਅਨੁਸਾਰ
"1.ಸಫರ್, 2. ಶೂನ್ಯ, 3. ಸಮುದ್ರಯಾನ","1.ਸਫਰ, 2. ਜ਼ੀਰੋ, 3. ਸਮੁੰਦਰੀ ਜਹਾਜ਼"
ಸರ್ಕ್ಯೂಟ್,ਸਰਕਟ
ವಲಯ ಪಟ್ಟಿ,ਚੱਕਰ ਸੂਚੀ
ಸೆರೆಸ್,ਸੇਰੇਸ
ಉಲ್ಲೇಖಿಸಿ,ਜ਼ਿਕਰ
"1.ವರ್ಗ, 2.ವರ್ಗ","1.ਸ਼੍ਰੇਣੀ, 2.ਸ਼੍ਰੇਣੀ"
ವರ್ಗ ವೇರಿಯಬಲ್,ਕਲਾਸ ਵੇਰੀਏਬਲ
