abatement,"తొలగింపు, ముగింపు, తగ్గింపు"
breach of discipline,"క్రమశిక్షణ భంగం, ఉల్లంఘన"
breach of law,"శాసన ఉల్లంఘన, భంగం"
breach of peace,శాంతి భంగం
breach of privilege,ప్రత్యేక హక్కు భంగం
breach of promise,వాగ్దాన భంగం
breach of rule,"నియమభంగం, ఉల్లంఘన"
breach of trust,నమ్మకద్రోహం
break down,"భగ్నమవు, చెడిపోవు"
break in service,ఉద్యోగంలో అంతరాయం
break-up,"విభజన, విచ్ఛిన్నం చేయు, విడదీయు"
breakage,"పగులు, బీట"
breed,"జాతి, ఉత్పత్తి"
bribe,"లంచం, లంచమిచ్చుట"
brief,"సంగ్రహం, క్లుప్తం చేయు"
brief resume,క్లుప్త సారాంశం
briefing,సారాంశ వివరణ/నివేదన
brilliant record,"ఘనమైన నమోదు, శాశ్వత ప్రాతిపదికపైన నమోదు"
bring into notice,"దృష్టికి తీసుకురావడం, దృష్టికి తెచ్చుట"
broadcast,"ప్రసారం, ప్రసారం చేయు"
broadsheet,"వెడల్పాటి పొరవంటి వస్తువు, విస్తృతమైన ఉపరితల విభాగము"
brochure,వివరణిక (చిన్న పుస్తకం)
brokerage,"దళారీతనం, దళారీ రుసుం, బ్రోకరేజి"
brought forward (b/f),"ముందుకు తీసుకొన్న, ఎక్కించిన"
budget allocation,బడ్జెట్ కేటాయింపు
budget estimate,బడ్జెటు అంచనాలు
budget provision,బడ్జెటులో కేటాయింపు
budgetary control,బడ్జెటు కేటాయింపు నియంత్రణ
building,"భవనం, భవన నిర్మాణం"
bulk,"రాశి, స్థూలం, అధికాంశం"
bulk purchase,"అధిక మొత్తం కొనుగోలు, టోకు కొనుగోలు"
bulletin,"బులెటిన్, లఘు వివరణిక (పత్రిక), సమాచార పత్రం"
bumper crop,పుష్కల పంట
bunching of vacancies,ఖాళీ ఉద్యోగాల సముదాయం
bungling,పొరపాటు చేయు
bureaucracy,"ఉద్యోగుల పెత్తందారీ, అధికార తంత్రాంగం"
bureaucrat,"ఉద్యోగి-పెత్తందారు, అధికార తంత్రవాది"
business class,వ్యాపార వర్గము
business hours (= hours of business),"వ్యాపార వేళలు, పనివేళలు (సమావేశ సం.)"
businessman,వ్యాపారి
buy-back,అమ్మినదాన్ని తిరిగి కొని తీసుకొను
buyer,కొనుగోలుదారు
by hand,"చేతితో, ప్రత్యక్షంగా"
by post,తపాలా/పోస్టు ద్వారా
bye election (by election),ఉప ఎన్నిక
cabin baggage,కేబిన సామాను
cabinet,మంత్రిమండలి
cadre,"సమూహము, సైన్యములో నియమించబడిన సిబ్బంది ప్రణాళిక"
calamity,"అరిష్టం, దుర్ఘటన, విపత్తు"
calculation,"గణన చేయు, లెక్కింపు"
calendar year,క్యాలెండర్ సంవత్సరము
campaign,"కార్యవర్తన, ప్రచారం, దాడి"
campus,ఆవరణ
campus interview,క్యాంపస్ ఇంటర్వ్యూ
cancel,"రద్దు, రద్దు చేయు"
cancellation,రద్దు చేయుట
candidate,అభ్యర్థి
candidature,అభ్యర్థిత్వము
canvassing,ప్రచారం చేయటం
capability,సామర్థ్యం
capable,"సామర్థ్య0 గల, యోగ్యత గల"
capacity,"సమర్థత, భారకత, వ్యాపకత, యోగ్యత, హోదా"
capital,"మూలధనం, స్థిర చరాస్తి రూపంలో/వాటాల రూపంలో ఉన్న పెట్టుబడి"
capital expenditure,మూలధన వ్యయం
capital punishment,"మరణదండన, ఉరి శిక్ష"
capitation fee,తలసరి రుసుం
capture,"బందీచేయు, వశమవు, చిక్కుట"
care,"జాగ్రత్త, సంరక్షణ"
career,"వ్యాసంగం (విద్యా, వ్యాపార, జీవన సం.), జీవనోపాధి మార్గం"
career development,జీవనోపాధి వికాసము
caretaker government,"ఆపద్ధర్మ ప్రభుత్వము, తాత్కాలిక ప్రభుత్వం"
carried forward (c/f),ముందుకు తీసుకుపోయిన
carry forward,"ఉతారెక్కించు, ముందు పుటకు ఎత్తు"
carry over,పరిమితులు పెంచుట
carrying cost,రవాణా ఖర్చు
cartage,"బండి బాడుగ, రవాణా బాడుగ, బండి కిరాయి"
case,"వ్యవహారం, కేసు, ముకద్దమా"
case study,"దృష్టాంత అధ్యయనం, వ్యవహార అధ్యయనము"
cash,"రొక్కం, నగదు"
cash balance,"నగదు, రొక్కం నిలవ"
cash book,"నగదు చిట్టా, పుస్తకం"
cash card,"క్యాష్ కార్డు, నగదు కార్డు"
cash certificate,నగదు ధ్రువపత్రం
cash counter,నగదు కౌంటరు
cash crop,వాణిజ్య పంట
cash discount,"నగదు పట్టం/డిస్కౌంటు, నగదు తగ్గింపు"
cash down,తక్షణం చెల్లింపు
cash in hand,చేతి నగదు
cash memo,నగదు చీటి
cash payment,నగదు చెల్లింపు
