Gujarati,English
સંયોજન જટિલ સંખ્યાઓ,conjugate complex numbers
સંયુક્ત દિશા,conjugate directions
સંયુક્ત કાર્ય,conjugate functions
મેટ્રિક્સનું જોડાણ,conjugate of matrix
સંયુક્ત ક્રમચય,conjugate permutation
સંયોજક ચલ,conjugate transpose
"યોગ, સંયોજન",conjuction
સળંગ,consecutive
સળંગ સંખ્યાઓ,consecutive numbers
ઊર્જા સંરક્ષણ,conservation of energy
સામૂહિક સંરક્ષણ,conservation of mass
આશ્રયદાતા,conservative
"સુસંગતતા, સુસંગતતા, સુસંગતતા, સુસંગતતા",consistency
સુસંગતતા પ્રતિબંધો,consistency condition
"સુસંગત અંદાજ, વિપરીત અંદાજ",consistent estimate
"સુસંગત અંદાજકાર, બિન-વિરોધાભાસી અંદાજકાર",consistent estimator
"બિન-વિરોધાભાસી નમૂના, સુસંગત નમૂના",consistent statistic
"સુસંગત એન્ટિટીઝ, બિન-વિરોધાભાસી એન્ટિટીઝ",consistent system
કન્સોલ,consol
"સ્થિર, સ્થિર, સ્થિર, સ્થાવર, અપરિવર્તનશીલ, સમાન",constant
સમાન પ્રવેગક,constant acceleration
સતત કાર્ય,constant function
ગુરુત્વાકર્ષણ બિંદુ,constant of gravity
એકીકરણ સતત,constant of integration
પ્રમાણસરતા સ્થિર,constant of proportionality
સતત પરિમાણ,constant parameter
સતત બહુપદી,constant polynomial
નિશ્ચિત પ્રમાણ,constant proportion
સમાન ચાલ,constant speed
સતત મુદત,constant term
સમાન વેગ,constant velocity
સર્જકનું સમીકરણ,constitutive equation
અવરોધ,constraint
"બનાવવા માટે, બનાવવા માટે",construct
રચના,construction
ગ્રાહક પસંદગીઓ,consumer preference
વપરાશ કાર્ય,consumption function
સ્પર્શકોણ,contact angle
સંપર્ક બિંદુ,contact point
સમાયેલ,contained in
જોડાણ ટેબલ,contingency table
સાતત્ય મિકેનિક્સ,continuum mechanics
અલગ નાણા,continued fraction
નાણાકીય ઉત્પાદન,continued product
"સાતત્ય, સાતત્ય",continuity
કાર્યોનું સાતત્ય,continuity of function
સાતત્ય પરીક્ષણ,continuity test
"સતત, અખંડ, અખંડ, સતત, સતત",continuous
સતત વ્યુત્પન્ન,continuous derivative
સતત વિતરણ,continuous distribution
સતત ઉપર,continuous from above
સતત કાર્ય,continuous function
સતત વિભેદક,continuously differentiable
સતત નકશો,continuous map
સતત મેપિંગ,continuous mapping
સતત સંભાવના ઘનતા કાર્ય,continuous probability density function
સતત સંભાવના વિતરણ,continuous probability distribution
સતત રેન્ડમ ચલ,continuous random variable
સતત નમૂના જગ્યા,continuous sample space
સતત ચલ,continuous variable
સતત તરંગ,continuous wave
"સાતત્ય, સાતત્ય",continuum
અખંડ સ્વયંસિદ્ધ,continuum hypothesis (= continuum axiom)
વાસ્તવિક સંખ્યા સમૂહ,continuum of real numbers (= set of real numbers)
સાતત્ય સિદ્ધાંત,continuum theory
સમોચ્ચ એકીકરણ,contour integration
સંકોચન મેપિંગ,contraction mapping
વિરોધ કરો,contradiction
પ્રતિબિંબ,contravariant
નિયંત્રણ,control
નિયંત્રણ ચાર્ટ,control chart
સરેરાશ નિયંત્રણ ચાર્ટ,control chart for averages
ખામીઓનું નિયંત્રણ,control chart for defects
જગ્યાનું નિયંત્રણ,control chart for ranges
ચલોનું નિયંત્રણ,control chart for variables
"એકરૂપ થવું, એકરૂપ થવું",converge
અર્થ સંકલન,convergence in mean
ચોરસ અર્થ કન્વર્જન્સ,convergence in mean square
સંભાવનામાં સંકલન,convergence in probability
કન્વર્જન્સ મર્યાદા,convergence limit
કન્વર્જન્સ ત્રિજ્યા,convergence radius
કન્વર્જન્સ પ્રદેશ,convergence region
"કન્વર્જ (વર.), કન્વર્જ (n.)",convergent
કન્વર્જન્ટ ક્રમ,convergent sequence
કન્વર્જન્ટ શ્રેણી,convergent series
"વિરુદ્ધ, વિરુદ્ધ",converse
"તેનાથી વિપરીત, વૈત્યસને",conversely
રૂપાંતર અપૂર્ણાંક,conversion fraction
રૂપાંતર કોષ્ટક,conversion table
દૂર સામનો કરવો,convex
શરીરનો સામનો કરવો,convex body
વિરોધી સંયોજન,convex combination
સામનો આવરણ,convex cover (=convex hull)
વિચલિત કાર્ય,convex function
રેખીય સંચયનો સામનો કરવો,convex linear combinations
રેખીય પ્રોગ્રામિંગનો સામનો કરવો,convex linear programming
અંતરની વસ્તીનો સામનો કરી રહ્યા છે,convex metric space
પોલિહેડ્રોનનો સામનો કરવો,convex polyhedron
પ્રોગ્રામિંગનો સામનો કરવો,convex programming
સામનો પ્રદેશ,convex region
ફેસિંગ સેટ,convex set
સંવહન,convolution
સંકલન અભિન્ન,convolution integral
કમ્પ્રેશન પ્રમેય,convolution theorem (= faltung theorem)
"સંકલન, સંકલન, સહસંકલન",coordinate
ડિરેક્ટર અક્ષ,coordinate axis
સંકલન ભૂમિતિ,coordinate geometry
સંકલન વિમાન,coordinate plane
સંકલન,coordinates
"સંકલન સિસ્ટમ, સૂચના સિસ્ટમ",coordinate system
કોપરનિકસ-બોડી,Copernican system
પ્લેનર,Coplanar
કોપ્લાનર ફોર્સ,coplanar forces
સપાટતા,coplanarity
અવિભાજ્ય સંખ્યા,coprime numbers
"સુધારણા ગુણક, સુધારણા ગુણક",correction factor
સાચો ઉકેલ,correct solution
સહ-સંબંધ,correlation
સહસંબંધ ગુણાંક,correlation coefficient
સહસંબંધ રેખાકૃતિ,correlation diagram
સહસંબંધ કાર્ય,correlation function
"સહસંબંધ મેટ્રિક્સ, સહસંબંધ મેટ્રિક્સ",correlation matrix
સહસંબંધ ગુણોત્તર,correlation ratio
સહસંબંધ રેખાકૃતિ,correlogram
સહસંબંધ-ચિત્ર વિશ્લેષણ,correlogram analysis
"પત્રવ્યવહાર કરવો, પત્રવ્યવહાર કરવો",correspond
સંગઠનના નિયમો,correspondence principle
અનુરૂપ કોણ,corresponding angle
સુસંગત બાજુ,corresponding side
સેટ,coset
"cosine, cotizya",cosine
કોસાઇન્સ નિયમ,cosine law
ખર્ચ વિશ્લેષણ,cost analysis
ખર્ચ મહત્તમ,cost maximization
ગણતરીક્ષમતા સ્વયંસિદ્ધ,countability axiom
ગણતરીપાત્ર,countable
ગણતરીપાત્ર ઉમેરણ,countable additivity
ગણતરીપાત્ર આધાર,countable base
ગણતરીપાત્ર આધાર,countable basis
ગણવાયોગ્ય સમૂહ,countable set
ગણતરીપૂર્વક અનંત,countably infinite
"કેલ્ક્યુલેટર, પેનલ, કાઉન્ટર",counter
કાઉન્ટરક્લોકવાઇઝ બગાડ,counter clockwise
પ્રતિઉદાહરણ,counter example
સહપ્રવૃત્તિ,covariance
સહપ્રવર્તન નિયમ,covariance law
સહપ્રવર્તન મેટ્રિક્સ,covariance matrix
