ab initio,"મૂળથી, પ્રારંભથી"
bipartite agreement,"દ્વિપક્ષીય કરાર, દ્વિપક્ષીય સમજૂતી"
birth anniversary,"જન્મદિન, જન્મદિવસ"
birth certificate,જન્મ પ્રમાણપત્ર
birth control,"સંતતિ નિષેધ/ બાળજન્મ નિષેધ, વંધ્યીકરણ"
birth date,"જન્મદિન, જન્મદિવસ"
birth place,જન્મ સ્થાન
birth rate,"જન્મપ્રમાણ, જન્મદર"
biweekly,પાક્ષિક
black economy,કાળુંનાણું
black list,"કાળી યાદી, કાળી સૂચિ"
black market,કાળા બજાર
blackmail,"જાસો, ધમકીપત્ર"
blame,"દોષારોપણ, આક્ષેપ"
blank cheque,કોરો ચેક
blanket deal,"બહોળો વ્યાપાર, બહોળી ખરીદી"
blanket order,"વ્યાપક આદેશ, હૂકમ"
blast,ધડાકો
blending,"સંમિશ્રણ, સંયોજન"
block,"ઘટક, ખંડ, (મુદ્રણ) બ્લૅાક, મોટા વિસ્તારનો એક હિસ્સો /તાલુકો"
block letter,મોટા અક્ષર
blockade,"નાકાબંધી, અવરોધ, અડચણ"
blocked capital,ફસાયેલું નાણું
blood donation,રક્તદાન
blood relations,"રક્તસંબંધ, લોહીનો સંબંધ"
blue collar job,શ્રમજીવિતા
blueprint,"રૂપરેખા, ચિતાર, બ્લૂપ્રિન્ટ, ભાવિ યોજના"
bluff,"દગો દેવો, છેતરપીંડી"
board,"બોર્ડ, મંડળ, ફલક, પાટિયું"
board of directors,નિર્દેશક મંડળ
board of revenue,મહેસૂલ મંડળ
boarding and lodging,"ભોજન – આવાસ (વ્યવસ્થા), નિવાસ-ભોજન"
body,"સંસ્થા, મંડળી, મંડળ, ખોખું, એકમ, સંસ્થા"
bodyguard,અંગરક્ષક
bogus voucher,નકલી વાઉચર
bonafides,"શુદ્ધ આશય, ખરો હેતુ"
bond,"લેણા-ખત, ખત-પત્ર"
bonded labour,"બાંધેલો મજૂર, વેઠિયો"
bonus,"બોનસ, અતિરિક્ત વેતનમાન"
book of reference,સંદર્ભ પુસ્તક
book value,"અંકિત કિંમત, નોંધેલી અથવા નોંધણી વેળાની કિંમત"
book-keeper,"મુનિમ, ગુમાસ્તો"
book-keeping,"નામું, નામા-પદ્ધતિ, નામું લેખન"
booking office,"બુકિંગ ઓફીસ, નોંધણી કાર્યાલય"
booklet,પુસ્તિકા
booth,"મતદાન કુટિર, મતદાન સ્થાન, કુટિર"
booth capturing,મતદાન મથક ઉપર કબજો જમાવવો
border allowance,સીમા ભથ્થું
border line,સીમા રેખા
borrower,"ઉધાર કર્તા, દેણદાર"
borrowing power,ઉધાર લેવાની ક્ષમતા
boss,"વડો, માલિક, ઉપરી અધિકારી"
bottleneck,"સંકડામણ, સાંકડો માર્ગ"
boundary,"સીમા, હદ"
boycott,બહિષ્કાર
bracket,કૌંસ
brain drain,પ્રતિભા પલાયન
branch office,શાખા કાર્યાલય
breach,"ભંગ, ઉલ્લંઘન, ભંગાણ, ગાબડું, ફાટ"
breach of agreement,સમજૂતી ભંગ
breach of confidence,વિશ્વાસ ભંગ
breach of contract,કરારભંગ
breach of discipline,શિસ્તભંગ
breach of law,"કાનૂન ભંગ, કાયદો તોડવો"
breach of peace,"શાંતિભંગ, સુલેહભંગ"
breach of privilege,વિશેષાધિકાર ભંગ
breach of promise,વચન ભંગ
breach of rule,નિયમ ભંગ
breach of trust,"વિશ્ચાસભંગ, વિશ્ચાસઘાત"
break down,"ઠપ, ખોટકાયેલું"
break in service,"નોકરીમાં તૂટ, નોકરીની અખંડતામાં તૂટ"
break-up,"વિભાજન, વહેંચણી, વિતરણ"
breakage,ભાંગ-તૂટ
breed,"ઓલાદ, જાતિ, વંશ, કુળ"
bribe,"લાંચ, રુશ્વત"
brief,"ટુંકું, સંક્ષિપ્ત, કેસની સંક્ષિપ્ત નોંધ, કેસનું સંક્ષિપ્ત ટાંચણ, વિવરણ"
brief resume,"સંક્ષિપ્ત સમાચાર-વૃત્ત, સંક્ષિપ્ત વ્યક્તિ માહિતી વિવરણ"
briefing,"ટૂંકમાં સાર આપવો, સંક્ષિપ્ત અહેવાલ"
brilliant record,"ઉજ્જવળ વિક્રમ, ઉજ્જવળ નોંધ"
bring into notice,ધ્યાનમાં લાવવું
broadcast,"વાયુ પ્રસારણ, પ્રસારણ"
broadsheet,મોટાં ભીંતપત્રો
brochure,"પુસ્તિકા, ચોપાનિયું"
brokerage,"દલાલી, આડત"
brought forward (b/f),પાછલે પાનેથી ખેંચેલ
budget allocation,"બજેટ ફાળવણી, અંદાજપત્ર ફાળવણી"
budget estimate,બજેટ અંદાજ
budget provision,અંદાજપત્ર જોગવાઈ
bugetary control,બજેટ ઉપર અંકુશ
building,"ભવન, ઈમારત, મકાન"
bulk,"મોટા પ્રમાણમાં, થોકબંધ, ઘણુંબધું, જથ્થાબંધ"
bulk purchase,"મોટા પ્રમાણમાં ખરીદી, જથ્થાબંધ ખરીદ"
bulletin,"વિજ્ઞપ્તિ, સમાચાર"
bumper crop,ખૂબ પેદાશ
bunching of vacancies,ખાલી પડેલી જગ્યાઓનો સમૂહ
bungling,ગોલમાલ કરવી
bureaucracy,"નોકરશાહી, અધિકારી તંત્ર"
bureaucrat,નોકરશાહ
business class,વ્યાપારી વર્ગ
business hours (= hours of business),"ધંધાનો સમય, કામનો સમય"
businessman,"વ્યવસાયી, વ્યાપારી, ધંધાદારી"
buy-back,માલ પાછો આપવો
buyer,"ગ્રાહક, ખરીદદાર, ઉપભોક્તા"
by hand,હાથોહાથ
by post,"પોસ્ટ દ્વારા, ટપાલ દ્વારા"
bye election (by election),પેટાચૂંટણી
cabin baggage,"કેબિન સામગ્રી, માલસામાન"
cabinet,"મંત્રીમંડળ, કેબિનેટ"
cadre,"સંવર્ગ, કેન્દ્રસ્થ ઢાંચો, લશ્કરી ટુકડીનો વિભાગ"
calamity,"વિપત્તિ, સંકટ, મુશ્કેલી, આફત"
calculation,ગણતરી
calendar year,કેલેન્ડર વર્ષ
campaign,પ્રચાર-પ્રસાર અભિયાન
campus,"પ્રાંગણ, વિસ્તાર, જગ્યા-વિસ્તાર, કેમ્પસ, પરિસર"
campus interview,"પરિસર મુલાકાત, પરિસર સમાલાપ"
cancel,"રદ કરવું, કાઢી નાખવું, રદબાતલ"
cancellation,રદબાતલ
candidate,ઉમેદવાર
candidature,ઉમેદવારી
canvassing,"પ્રચારવિધિ, પ્રચારરત"
capability,"સામર્થ્ય, શક્તિ, ક્ષમતા"
capable,સક્ષમ
capacity,"ક્ષમતા, શક્તિ, સામર્થ્ય, હેસિયત, સંગ્રહ શક્તિ, ધારણ શક્તિ"
capital,"મૂડી, થાપણ, પૂંજી, પાટનગર, રાજધાની"
capital expenditure,મૂડી ખર્ચ
capital punishment,"દેહાંત દંડ, મોતની સજા, ફાંસી"
capitation fee,વ્યક્તિ ફી
capture,"પકડવું, બંદી બનાવવું"
care,"કાળજી લેવી, દરકાર કરવી, ખેવના કરવી"
career,કારકિર્દી
career development,કારકિર્દી વિકાસ
caretaker government,રખેવાળ સરકાર
carried forward (c/f),આગળ ધપાવવું
carry forward,આગળ મોકલવું
carry over,અગ્રનયન
carrying cost,મોકલવાનું મહેનતાણું
cartage,"ખેંચામણ, ગાડીભાડું"
case,"કેસ, મુકદ્દમો, ખટલો, કિસ્સો, પ્રસંગ, બાબત, વસ્તુસ્થિતિ, ઢાંકણ, આવરણ, પેટી, ડબ્બો, ખોખું"
case study,ખટલા અથવા ઘટનાનો અભ્યાસ
cash,"રોકડ, નગદ"
cash balance,"રોકડ, સિલક"
cash book,"કેશ બુક, રોકડ મેળ"
cash card,કેશ કાર્ડ
cash certificate,રોકડ મળે તેવું સર્ટિફિકેટ
cash counter,"નગદ મેળવવાની જગ્યા, કેશ કાઉન્ટર"
cash crop,રોકડિયો પાક
cash discount,"રોકડ વટાવ, રોકડ કસર"
cash down,નગદ ઉપાડવી
cash in hand,હાથ પુરાંત
