Abatement,"ਉਪਸ਼ਮਨ, ਘਾਟ"
Assessment,ਨਿਰਧਾਰਣ
Assessment year,ਨਿਰਧਾਰਣ ਵਰ੍ਹਾਂ
Assessor,"ਕਰ ਨਿਰਧਾਰਕ, ਅਸੇਸਰ"
Assets,"ਜਾਇਦਾਦ, ਸੰਪਤੀ, ਲੈਣਦਾਰੀਆਂ"
Assignee,"ਪ੍ਰਾਪਤ, ਕਰਤਾ, ਭਾਗੀ, ਪ੍ਰਤਿਨਿਧੀ"
Assignment,"ਸਪੁਰਦਗੀ, ਸਪੁਰਦ, ਕੰਮ"
Assignor,ਸਮਰਧਨ ਕਰਤਾ
Assistance,"ਸਹਾਇਤਾ, ਮਦਦ"
Associate,"ਸਹ, ਸ਼ਾਮਿਲ ਕਰਨਾ, ਸੰਮਿਲਿਤ ਕਰਨਾ, ਸ਼ਰੀਕ ਕਰਨਾ"
Association,"ਸੰਘ, ਦਲ, ਸੰਬੰਧ, ਸਾਥ"
Assumption of charge,ਕਾਰਜ ਭਾਰ ਸੰਭਾਲਣਾ
Assurance,"ਤਸੱਲੀ, ਬੀਮਾ, ਤਬਦੀਲੀ ਪੱਤਰ"
Assurance company,ਬੀਮਾ ਕੰਪਨੀ
Assure,ਤਸੱਲੀ ਦੇਣਾ
At discount,ਵੱਟੇ ਤੇ
Atomic power,ਪਰਮਾਣੁ ਸ਼ਕਤੀ
At par,ਉੱਸੇ ਕੀਮਤ ਤੇ
At premium,"ਵੱਧੇ ਮੁੱਲ ਤੇ, ਪ੍ਰੀਮਿਅਮ ਤੇ"
Attach,"ਨਾਲ ਲਗਾਣਾ, ਨੱਥੀ ਕਰਨਾ, ਕੁਰਦੀ ਕਰਨਾ"
Attached office,ਸੰਲਗਨ ਦਫਤਰ
Attachment,"ਨੱਥੀ, ਕੁਰਕੀ"
Attachment order,ਕੁਰਕੀ ਦਾ ਆਦੇਸ਼
Attainment,"ਲਬਧੀ, ਪ੍ਰਾਪਤੀ"
Attempt,"ਕੋਸ਼ਿਸ਼ ਕਰਨੀ, ਉੱਦਮ, ਗੰਲਾ"
Attendance,ਹਾਜਰੀ
Attendance register,ਹਾਜਰੀ ਰਜਿਸਟਰ
Attendance slip,ਹਾਜਰੀ ਪਰਚੀ
Attention,"ਧਿਆਨ, ਸੁਚੇਤ"
Attestation,"ਤਸਦੀਕ ਸ਼੍ਰਦਾ, ਤਸਦੀਕ"
Attested copy,ਤਸਦੀਕ ਕੀਤੀ ਹੋਈ ਪ੍ਰਤੀ
Attitude,"ਵਿਵਹਾਰ, ਵਰਤਾਉ, ਰਵੱਈਆ"
Attractive salary,ਆਦਰਸ਼ਕ ਤਨਖਾਹ (ਵੇਤਨ)
Auction,ਨੀਲਾਮੀ ਬੋਲੀ
Auctioneer,ਨੀਲਾਮੀ ਕਰਨ ਵਾਲਾ
Auction sale,ਨੀਲਾਮੀ ਵਿਕਰੀ
Audience,"ਸ਼ਰੋਤਾ, ਦਰਸ਼ਕ, ਸੁਨਵਾਈ"
Audio-visual display,"ਦ੍ਰਸ਼, ਸ਼੍ਰਵ ਪ੍ਰਦਰਸ਼"
Audio-visual publicity,ਦ੍ਰਸ਼-ਸ਼੍ਰਵ ਪ੍ਰਚਾਰ
Audit,"ਲੇਖਾ ਪਰੀਖਿਆ, ਲੇਖਾ ਪੜਤਾਲ"
Audited accounts,ਪਰੀਖਿਤ ਲੇਖਾ
Audited balance sheet,ਚਿੱਠਾ (ਆਮਦਨ-ਖਰਚ ਦਾ)
Auditing,ਲੇਖਾ ਪਰੀਖਣ
Audit objection,ਲੇਖਾ ਪਰੀਖਿਆ ਆਪੱਤੀ
Auditor's report,ਲੇਖਾ ਪਰੀਖਕ ਦੀ ਰਿਪੋਰਟ
Auditorium,"ਆਡੀਟੋਰੀਅਮ, ਰੰਗਸ਼ਾਲਾ"
Audit paragraph,ਲੇਖਾ ਪਰੀਖਿਆ ਪੈਰਾ
Audit report,ਲੈਖਾ ਪਰੀਖਿਆ ਰਿਪੋਰਟ
Austerity,ਕਿਰਸ ਨਾਲ ਉਪਭੌਗ ਕਰਨ ਵਾਲਾ
Austerity measures,ਕਿਰਸੀ ਦੇ ਉਪਾਅ
Authentic,ਪ੍ਰਮਾਣਿਕ
Authorised representative,ਮਦ-ਅਧਿਕਾਰਿਤ ਪ੍ਰਤੀਨਿਧੀ
Authoritative,ਪਦ ਅਧਿਕਾਰਿਤ
Authority,ਪਦ ਅਧਿਕਾਰੀ
Authority letter,ਪਦ ਅਧਿਕਾਰ ਪੱਤਰ
Authorized,ਪਦ-ਅਸਿਕਾਰਿਤ
Authorized capital,ਪਦ-ਅਧਿਕਾਰਿਤ ਪੂੰਜੀ
Automatic,ਸਵੈ ਚਾਲਿਤ
Autonomous,ਖੁਦ ਮੁਖਤਾਰ
Autonomous body,ਖੁਦ ਮੁਖਤਾਰ ਸੰਸਥਾ
Autonomy,ਖੁਦ ਮੁਖਤਾਰੀ
Auxiliary,ਸਹਾਇਕ
Available,"ਪ੍ਰਾਪਤ, ਉਪਲਬਧ"
Average,"ਓਸਤ, ਸਾਧਾਰਣ"
Average leave,ਓਸਤ ਛੁੱਟੀ
Aversion,ਵਿਰੁਚੀ
Avert,ਬਚਾ ਲੈਣਾ
Avoid,"ਤੌ ਬਚਣਾ, ਵਾਲਣਾ, ਛੱਡਣਾ, ਸੋਪਣਾ"
Avoidance of tax,ਕਰਦ ਦੇਣ ਤੋਂ ਬਚਣਾ
Awaited,ਪ੍ਰਤੀਖਿਤ
Award,"ਪੰਚਾਂ ਦਾ ਕੀਤਾ ਹੋਇਆ ਨਿਰਣਾ, ਇਨਾਮ, ਪ੍ਰਦਾਨ ਕਰਨਾ"
Awarding authority,ਨਿਰਣਾਅਕ ਪਦ
Awareness,"ਜਾਗਰੂਕਤਾ, ਚੇਤੰਨਤਾ"
Backdated,ਪਹਿਲੇ ਦੀ ਤਰੀਕ ਦਾ
Background,ਪਿੱਠ ਭੂਮੀ
Back log,ਪਿਛਲਾ ਬਕਾਇਆ
Back out,"ਮੁਕਰ ਜਾਨਾ, ਤੌ ਹਟਣਾ"
Back reference,ਪਹਿਲੇ ਦਾ ਸੰਦਰਭ
Back up,ਪੂਰਤੀਕਰ
Backward classes,ਪਿਛੜਾ ਵਰਗ
Backward tribe,ਪਿਛੜੀ ਜਨ ਜਾਤੀ
Bad bargain,ਘਾਟੇ ਦਾ ਸੌਦਾ
Bad behaviour,ਬੁਰਾ ਵਿਵਹਾਰ
Bad character,"ਬੁਰਾ ਚਰਿੱਤਰ, ਬੁਰਾ ਚਾਲ-ਚਲਣ"
Bad climate allowance,ਖਰਾਬ ਮੌਸਮ ਦਾ ਭੱਤਾ
Bad conduct,"ਬੁਰਾ ਆਚਰਣ, ਬੁਰਾ ਚਾਲ-ਚਲਣ"
Bad debt,ਅਣ ਸੋਧਿਆ ਕਰਜਾ
Baggage,"ਅਸਬਾਬ, ਸਮਾਨ"
Bail,ਜਮਾਨਤ
Balance,"ਬਾਕੀ, ਸੰਤੁਲਨ"
Balance brought down,ਪਿੱਛੋਂ ਲਿਆਇਆ ਗਿਆ ਬਕਾਇਆ
Balance brought forward,ਅੱਗੇ ਪਾਇਆ ਗਿਆ ਬਕਾਇਆ
Balanced budget,ਸੁੰਤੁਲਿਤ ਬਜਟ
Balance sheet,ਚਿੱਠਾ(ਆਮਦਨ-ਖਰਚ ਦਾ)
Ballot,"ਮਤਪੱਤਰ, ਮਤ ਦਾਨ"
Ballot box,ਮਤਪੇਟੀ
Ballot paper,ਮਤ ਪੱਤਰ
Ban,"ਪ੍ਰਤਿਬੰਧ, ਰੋਕ, ਪਾਬੰਦੀ"
Bank,"ਬੈਂਕ ਪ੍ਰਭਾਰ, ਬੈਂਕ ਖ੍ਰਰਚੇ"
Bank account,ਬੈਂਕ ਖਾਤਾ
Bank balance,ਬੈਂਕ ਬਕਾਇਆ
Bank charges,"ਬੈਂਕ ਪ੍ਰਭਾਰ, ਬੈਂਕ ਖਰਚੇ"
Bank guarantee,ਬੈਂਕ ਗਾਰੰਟੀ
Bank holiday,ਬੈਂਕ ਛੁੱਟੀ
Banking facility,"ਬੈਂਕਿੰਗ ਸੁਵਿਧਾ, ਬੈਂਕ ਸਹੁਲੀਅਤ"
Banking hours,ਬੈਂਕਿੰਗ ਕੰਮ ਦਾ ਸਮਾਂ
Banking transaction,ਬੈਂਕ ਕਾਰਜ ਵਿਵਹਾਰ
Bank rate,ਬੈਂਕ ਦਰ
Bank reconciliation,ਬੈਂਕ ਸਮਾਧਾਨ
Bankrupt,ਦਿਵਾਲੀਆ
Bank security,ਬੈਂਕ ਜਮਾਨਤ
Bank statement,ਬੈਂਕ ਵੇਰਵਾ
Banquet,"ਪ੍ਰੀਤੀਭੋਜ, ਭੋਜ"
Bar council,ਬਾਰ ਕਾਉਂਸਲ
Bargain,"ਸੌਦਾ, ਸੌਦਾ ਕਰਨਾ"
Bargaining,"ਸੌਦੇ ਬਾਜੀ, ਸੌਦਾਗਰੀ"
Barren land,ਬੰਜਰ ਜਮੀਨ
Barter,ਵਸਤੁ ਵਟਾਂਡਰਾ
Base,ਅਧਾਰ
Baseless,"ਨਿਰ ਅਧਾਰ, ਬੇਬੁਨਿਆਦ"
Basement,ਤਹਿਖਾਨਾ
Base year,ਅਧਾਰ ਵਰ੍ਹਾਂ
Basic,"ਮੂਲ, ਬੁਨਿਆਦੀ"
Basically,ਬੁਨਿਆਦੀ ਤੌਰ ਤੇ
Basic intelligence,ਅਧਾਰਿਕ ਸੂਚਨਾ
Basic pay,ਮੂਲਵੇਤਨ
Basic scale of pay,ਮੂਲ ਵੇਤਨ ਮਾਨ
Basic training,ਬੁਨਿਆਦੀ ਸਿਖਲਾਈ
Basis,ਅਧਾਰ
Batch,"ਬੈਚ, ਟੋਲੀ, ਖੇਪ"
Batch number,"ਬੈਚ ਨੰਬਰ, ਖੇਪ ਨੰਬਰ"
Bearer cheque,ਧਾਰਕ ਚੈਕ
Before cited,ਪਹਿਲੇ ਕਹਿਆ ਹੋਇਆ
Behaviour,ਵਿਵਹਾਰ
Belief,ਵਿਸ਼ਵਾਸ
Below par,ਅੱਟ ਕੀਮਤ ਤੇ
Bench,"ਨਿਆਂ ਪੀਠ, ਬੇਂਚ"
Benchmark,ਅਧਿਕਾਰਿਕ ਮਾਣ ਕੰਡ
Beneficial,"ਫਾਇਦੇ ਮੰਦ, ਹਿਤਕਾਰੀ"
Beneficiary,"ਫਾਇਦਾ ਲੈਣ ਵਾਲਾ, ਹਿਤਭਾਗੀ"
Benefit,"ਹਿਤ ਲਾਭ, ਹਿਤ, ਲਾਭ"
Benefit of doubt,ਸੰਦੇਹ ਦਾ ਲਾਭ
Benevolence,ਹਿਤ ਕਰਨ ਵਾਲਾ
Benevolent fund,ਹਿਤ ਕਾਰੀ ਫੰਡ
Bequeath,"ਵਸੀਅਤ ਕਰਨਾ, ਵਸੀਅਤ ਨਾਲ ਦੇਣਾ"
Bequest,ਵਸੀਅਤ
Bereaved,"ਸ਼ੋਕ ਸੰਤਪਤ, ਸ਼ੋਕਾਕੁਲ"
Best endeavours,ਪੂਰੀ ਕੋਸ਼ਿਸ਼
Betterment,"ਬੇਹਤਰੀ, ਉੱਨਤੀ, ਖੁਸ਼ਹਾਲੀ, ਡੁਕਾਅ, ਪੂਰਣ ਆਗ੍ਰਹ"
Bias,ਝੁਕਾਵ
Biased opinion,ਪਖਪਾਤ ਵਾਲਾ ਮਤ
Bibliography,ਕਿਤਾਬਾਂ ਦੀ ਸੂਚੀ
Biennial,"ਦੋ ਸਾਲਾ, ਅਰਧ ਵਾਰਸ਼ਿਕ"
Bifurcate,ਦੋ ਭਾਗਾਂ ਵਿਚ
Bigamy,ਇਕ ਤੋਂ ਵੱਧ ਵਿਆਹ
Bilateral,ਦੋ ਪੱਖੀ
Bilingual,ਦੋ ਭਾਸ਼ੀ
Bicameral,"ਦੋ ਸਦਨ, ਦੋ ਸਦਨ ਵਾਲਾ"
Bill,ਬਿਲ
Bill of exchange,ਵਟਾਂਦਰਾ ਪੱਤਰ
Bimonthly report,"ਦੋ ਮਹੀਨਿਆਂ ਦੀ ਰਿਪੋਰਟ, ਅਰਧ ਮਾਸਿਕ ਰਿਪੋਰਟ"
Binding,"ਜਿਲਦਸਾਜੀ, ਮਜਬੂਰ ਕਰਨ ਵਾਲਾ"
Biodata,ਜੀਵਨ ਵ੍ਰਿਤ
Bipartite,ਦੋ ਪੱਖੀ
Bipartite agreement,ਦੋ ਪੱਖੀ ਕਰਾਰ
Birth anniversary,ਜਨਮ ਵਰ੍ਹੇ ਰੀਢ
Birth certificate,ਜਨਮ ਪ੍ਰਮਾਣ ਪੱਤਰ
Birth control,ਸੰਤਾਨ ਨਿਅੰਤਰਣ
Birth date,ਜਨਮ ਤਰੀਕ
Birth place,ਜਨਮ ਸਥਾਨ
Birth rate,ਜਨਮ ਦਰ
Biweekly,"ਪੰਦਰ ਵਾੜਾ, ਹਫਤੇ ਵਿਚ ਦੋ ਵਾਰੀ"
Black economy,ਕਾਲੀ ਅਰਥ ਹਾਲਤ
Black list,"ਕਾਲੀ ਸੂਚੀ, ਕਾਲੀ ਸੂਚੀ ਵਿਚ ਨਾਂ ਪਾਣਾ"
Blackmail,ਡਰਾ ਕੇ ਠਗਣਾ
Black market,"ਚੋਰ ਬਜਾਰ, ਕਾਲ ਬਜਾਰ"
Blame,ਦੋਸ਼ ਲਗਾਣਾ
Blank cheque,ਕੋਰਾ ਚੈਕ
Blanket deal,ਵਿਆਪਕ ਸੋਦਾ
Blanket order,ਵਿਆਪਕ ਆਦੇਸ
Blast,ਧਮਾਕਾ
Blending,"ਰਲਾਵਣ ਦੀ ਕ੍ਰਿਟਿਆ, ਸਮਸਿਸ਼੍ਰਣ"
Block,"ਖੰਡ, ਬਲਾਕ"
Blockade,"ਨਾਕਾਬੰਦੀ, ਅਟਾਕਾਓ, ਡੱਕਾ"
Blocked capital,ਅੜੀ/ਅਟਕੀ ਪੂੰਜੀ
Block letter,ਸਾਫ਼ ਅੱਖਰ
Blood donation,ਰਕਤਦਾਨ/ ਖੂਨ ਦਾ ਦਾਨ
Blood relations,ਖੂਨ ਦਾ ਸੰਬੰਧ/ਲਹੂ ਦਾ ਸੰਬੰਧ
Blue collar job,ਸ਼ਰੀਰਕ ਕਾਰਜ
Blueprint,"ਬਲੁ ਪ੍ਰਿਂਟ, ਖਾਦਾ"
Bluff,ਝਾਂਸਾ
Board,"ਬੋਰਡ, ਮੰਡਲ, ਗੱਤਾ"
Boarding and lodging,ਭਜਨ ਤੇ ਟਿਕਾਣਾ
Board of directors,ਨਿਦੇਸ਼ਕ ਮੰਡਲ
Board of revenue,ਮਾਲਗੁਜਾਰੀ ਮੰਡਲ
Body,ਨਿਕਾਅ
Bodyguard,ਅੰਗ ਰਖਿਅਕ
Bogus voucher,ਜਾਲੀ ਵਾਊਚਰ
Bonafides,"ਸੁਭ ਭਾਵ, ਸੱਜਣਤਾ"
Bond,"ਬੰਧ ਪੱਤਰ, ਬਾਂਡ"
Bonded labour,ਬੰਧੂਆ ਮਜਦੂਰ
Bonus,ਬੋਨਸ
Booking office,"ਟਿਕਟ ਘਰ, ਬੁਕਿਂਗ ਕਲਰਕ"
Book-keeper,"ਵਹੀ ਲਿਖਾਰੀ, ਮੁਨੀਮ"
Book-keeping,"ਵਹੀ ਖਾਤਾ, ਪੱਸਤੀ, ਬਹੀਖਾਤਾ ਲੇਖਨ"
Booklet,"ਛੋਟੀ ਕਿਤਾਬ, ਪੁਸਤਿਕਾ"
Book of reference,ਸੰਦਰਭ ਕਿਤਾਬ
Book value,"ਖਾਤਾ ਮੁੱਲ, ਅੰਕਿਤ ਮੁੱਲ"
Booth,"ਬੂਥਕਮਰਾ, ਬੂਥ ਤੇ ਕਬਜਾ ਕਰਨਾ, ਬੂਥ ਲੁੱਟਣਾ"
Booth capturing,ਮਤਦਾਨ ਕਮਰੇ ਤੇ ਕਬਜਾ ਕਰਨਾ
Border allowance,ਸੀਮਾ ਭੱਤਾ
Border line,"ਸੀਮਾ ਰੇਖਾ, ਸੀਮਾ ਨਾਲ ਲਗਦਾ, ਹਦ ਨਾਲ ਲਗਦਾ"
Borrower,"ਉਪਾਰ ਕਰਤਾ, ਉਪਾਰ ਲੈਣ ਵਾਲਾ"
Borrowing power,ਉਪਾਰ ਲੈਣ ਦੀ ਸ਼ਕਤੀ
Boss,ਬਾਸ
Bottleneck,"ਰੁਕਾਵਟ, ਅੜਚਨ"
Bracket,ਬਰੈਕਟ
Boundary,"ਸੀਮਾ, ਹਦ"
Boycott,ਬਾਅਕਾਟ ਬਾਹਰ ਕਰਨਾ
Brain drain,ਪ੍ਰਤਿਭਾ ਪਲਾਇਨ
Branch office,"ਸ਼ਾਖਾ ਦਫਤਰ, ਬਰਾਂਚ ਦਫਤਰ"
Breach,"ਭੰਗ, ਤੋੜਨਾ"
Breach of agreement,ਕਰਾਰ ਭੰਗ
Breach of confidence,ਵਿਸ਼ਵਾਸ ਭੰਗ
Breach of contract,ਠੇਕਾ ਭੰਗ
Breach of discipline,ਅਨੁਸ਼ਾਸਨ ਤੌੜਨਾ
Breach of law,"ਵਿਧਿ ਭੰਗ, ਕਨੂੰਨ ਤੋੜਨਾ"
Breach of peace,ਸ਼ਾਂਤੀ ਭੰਗ
Breach of privilege,ਵਿਸ਼ੇਸ਼ ਅਧਿਕਾਰ ਭੰਗ
Breach of promise,ਵਚਨ ਭੰਗ
Breach of rule,ਨਿਯਮ ਭੰਗ
Breach of trust,ਵਿਸ਼ਵਾਸ ਭੰਗ
Breakage,"ਟੁੱਟ-ਭੱਜ, ਟੁੱਟ-ਭੱਜ ਦਾ ਕਰ, ਟੁੱਟ-ਭੱਜ ਦੇ ਪੈਸੇ"
Break down,ਠਪ
Break in service,ਸੇਵਾ ਵਿਚ ਰੁਕਾਵਟ
Break-up,ਵੇਰਵਾ
Breed,ਨਸਲ
Bribe,"ਘੂਸ, ਰਿਸ਼ਵਤ"
Brief,"ਸੰਖੇਪ ਪਖਸਾਰ, ਬ੍ਰੀਫ"
Briefing,"ਸਾਰ ਦੱਸਣਾ, ਪਖਸਾਰ ਦੱਸਣਾ"
Brief resume,ਸੰਖੇਪ ਬਿਰਤਾਂਤ
Brilliant record,"ਸ਼ਾਨਦਾਰ ਰਿਕਾਰਡ, ਸ਼ਾਨਦਾਰ, ਕੀਰਤੀ ਮਾਨ"
Bring into notice,ਧਿਆਨ ਵਿਚ ਲਿਆਉਣਾ
Broadcast,ਪ੍ਰਸਾਰਣ
Broadsheet,ਵੱਡਾ ਚਿੱਠਾ
Brochure,ਵਿਵਰਣਿਕਾ
Brokerage,ਦਲਾਲੀ
Brought forward (b/f),ਅੱਗੇ ਲਿਆਂਦਾ ਗਿਆ
Budget allocation,"ਬਜਟ ਵੰਡਾਰਾ, ਬਜਟ ਨਿਰਧਾਰਣ"
Bugetary control,ਬਜਟ ਨਿਯੰਤਰਣ
Budget estimate,"ਬਜਟ ਮਿਕਦਾਰ, ਬਜਟ ਅਨੁਮਾਨ"
Budget provision,ਬਜਟ ਵਿਵਸਥਾ
Building,"ਭਵਨ, ਇਮਾਰਤ"
Bulk,"ਥੋਕ, ਅੰਬਾਰ, ਢੇਰ, ਵੱਡਾਹਿੱਸਾ, ਮਾਤਰਾ"
Bulk purchase,ਥੋਕ ਖਰੀਦ
Bulletin,ਬੁਲੇਟਿਨ
Bumper crop,ਭਰਪੂਰ ਪੈਦਾਵਾਨ
Bunching of vacancies,ਖਾਲੀ ਨੋਕਰੀਆਂ ਦਾ ਗੁੱਛਾ
Bungling,"ਗੋਲਮਾਲ, ਗੋਲਮਾਲ ਕਰਨਾ"
Bureaucracy,"ਨੌਕਰ ਸ਼ਾਹੀ, ਦਫਤਰ ਸ਼ਾਹੀ"
Bureaucrat,ਦਫਤਰ ਸ਼ਾਹ
Business class,ਵਪਾਰੀ ਵਰਗ
Business hours (= hours of business),ਕਾਰੋਬਾਰ ਦਾ ਸਮਾਂ
Businessman,"ਵਪਾਰੀ, ਕਾਰੋਬਾਰੀ"
Buy-back,"ਵਾਪਸੀ, ਕਾਰੋਬਾਰੀ"
Buyer,"ਵਾਪਸੀ, ਖਰੀਦ"
Bye election (by election),"ਉਪਚੁਨਾਅ, ਉਪ ਨਿਰਵਾਚਨ"
By hand,ਦਸਤੀ
By post,ਡਾਕ ਨਾਲ
Cabin baggage,ਕੇਬਿਨ ਦਾ ਸਮਾਨ
Cabinet,"ਮੰਤਰੀਮੰਡਲ, ਕੈਵਿਬੇਟ, ਛੋਟਾ ਸੰਦੂਕ"
Cadre,"ਸੰਗਠਨ, ਕਾਡਰ"
Calamity,"ਵਿਪਦਾ, ਮੁਸੀਬਤ"
Calculation,"ਗਣਨਾ, ਹਿਸਾਬ"
Calendar year,ਜੰਤਰੀ ਵਰਾ
Campaign,"ਅੰਦੋਲਨ, ਪ੍ਰਚਾਰ"
Campus,ਵਿਹਾਤਾ ਕੈਪੱਸ
Campus interview,ਕੈਪੱਸ ਇੰਟਰਵਯੂ
Cancel,ਰੱਦ ਕਰਨਾ
Cancellation,ਰੱਦ ਕਰਨਾ
Candidate,ਉਮੀਦਵਾਰ
Candidature,ਉਮੀਦਵਾਰੀ
Canvassing,ਪ੍ਰਚਾਰ
Capability,ਸਮਰੱਥਾ
Capable,ਸਮਰੱਥ
Capacity,"ਹੈਸੀਅਤ, ਸਮਰੱਥਾ"
Capital,"ਪੂੰਜੀ, ਰਾਜਧਾਨੀ, ਸਾਫ ਅੱਖਰ"
Capital expenditure,ਪੂੰਜੀ ਖਰਚਾ
Capital punishment,ਮੌਤ ਦੀ ਸਜ਼ਾ
Capitation fee,ਹਰ ਆਦਮੀ ਦੀ ਫੀਸ
Capture,"ਪਕੜਨਾ, ਬੰਦੀ ਬਨਾਨਾ"
Care,"ਸਾਵਧਾਨੀ, ਦੇਖਭਾਲ, ਰਖਵਾਲੀ, ਪਰਵਾਹ"
Career,"ਪੇਸ਼ਾ, ਅਜੀਇਕਾ"
Career development,ਅਜੀਵਿਕਾ ਵਿਕਾਸ
Caretaker government,ਕੰਮਚਲਾਊ ਸਰਕਾਰ
Carried forward (c/f),ਅਗਾਂਹ ਵੱਧਣਾ
Carry forward,ਅਗਾਂਹ ਲੈ ਜਾਣਾ
Carrying cost,ਰਖ ਰਖਾਉ ਦੀ ਲਾਗਤ
Carry over,ਅੱਗੇ ਲੈ ਜਾਣਾ
Cartage,"ਮਜਦੂਰੀ, ਭਾੜਾਂ, ਢੁਆਈ"
Case,"ਮਾਮਲਾ, ਵਿਸ਼ਾ, ਸਿਖਤੀ, ਮੁਕਦਮਾ"
Case study,ਮੁੱਕਦਮਾ ਅਧਿਐਨ
Cash,"ਨਕਦੀ, ਭਾਨ"
Cash balance,"ਬਕਾਇਆ ਰਾਸ਼ੀ, ਰੋਕੜ ਬਾਕੀ"
Cash book,"ਵਹੀ ਖਾਤਾ, ਰੋਕੜ ਬਹੀ"
Cash card,ਕੈਸ਼ ਕਾਰਡ
Cash certificate,"ਨਕਦੀ, ਨਕਦੀ ਕਾਰਡ, ਨਕਦੀ ਪ੍ਰਮਾਣ ਪੱਤਰ, ਨਕਦੀ ਪੱਤਰ"
Cash counter,ਰੋਕੜ-ਖਿੜਕੀ
Cash crop,"ਰੋਕੜ-ਫਸਲ, ਨਕਦੀ ਫਸਲ"
Cash discount,ਨਕਦੀ-ਵੱਟਾ
Cash down,ਇਕਮੁੱਠ ਨਕਦ
Cash in hand,ਹੱਥ ਰੋਕੜ
Cash memo,"ਨਕਦ ਪਰਚੀ, ਕੈਸ਼ ਮੇਮੋ"
Cash payment,ਨਕਦ ਭੁਗਤਾਨ
Caste,ਜਾਤੀ
Caste certificate,ਜਾਤੀ ਪ੍ਰਮਾਣ ਪੱਤਰ
Casting vote,ਨਿਰਣਾਇਕ ਮਤ
Casual,"ਅਚਾਨਚੱਨ, ਅਨਿਸ਼ਚਿਤ"
Casual labour,ਦਿਹਾੜੀਦਾਰ ਮਜਦੂਰ
Casual leave,ਅਚਨਚੇਤ ਛੁਟੀ
Casualty,"ਦੁਰਘਟਨਾ, ਹਾਦਸਾ, ਬਿਪਤਾ, ਮੁਸੀਬਤ"
Casual vacancy,"ਅਚਾਨਕ ਭਰੀ ਜਾਣ ਵਾਲੀ ਖਾਲੀ ਥਾਂ, ਅਚਨਚੇਤ ਰਿਕਤੀ"
Catalogue,ਸੂਚੀ ਸੂਚੀ ਪੱਤਰ
Categorical,"ਸੁਨਿਸ਼ਚਿਤ, ਸਪਸ਼ਟ"
Category,"ਕੋਟੀ, ਵਰਗ, ਸ਼੍ਰੇਣੀ"
Catering service,ਖਾਨਪਾਨ ਸੇਵਾ
Caution,"ਸਾਵਧਾਨ, ਖਬਰਦਾਰ, ਸਾਵਧਾਨੀ, ਚੇਤਾਵਨੀ, ਜਮਾਨਤ"
Caution money,ਜਮਾਨਤ ਦਾ ਰੁਪਇਆ
Cease fire,ਜੰਗਬੰਦੀ
"Ceiling (as of ""price"")",(ਮੁੱਲ ਦੀ) ਅੰਤਿਮ ਸੀਮਾ
Celebration,"ਉਤਸਵ, ਸਮਾਰੋਹ"
Cell phone,ਸੈਲ ਫੋਨ
Censor,ਸੇਂਸਰ
Censure,"ਨਿੰਦਾ, ਪਰਨਿੰਦਾ"
Censure motion,"ਪਰਨਿੰਦਾ, ਪ੍ਰਸਤਾਵ"
Census,ਮਰਦਮ ਸ਼ੁਮਾਰੀ
Central cess,ਕੇਂਦਰੀ ਉਪਕਰ
Central civil service (CCS) rules,ਕੇਂਦਰੀ ਸਿਵਿਲ ਸੇਵਾ ਨੇਮ
Central excise,ਕੇਂਦਰੀ ਉਤਪਾਦ ਫੀਸ
Central government,ਕੇਂਦਰੀ ਸਰਕਾਰ
Centralization,ਕੇਂਦਰੀਕਰਣ
Centralized service,ਕੇਂਦਰੀਯਤਾ ਸੇਵਾ
Centrally funded scheme,ਕੇਂਦਰ ਦੇ ਫੰਡ ਨਾਲ ਚਲਣ ਵਾਲੀ ਯੋਜਨਾ
Centrally sponsored scheme,ਕੇਂਦਰੀ ਸ਼ਰਪਰਸਤ ਯੋਜਨਾ
Central office,ਕੇਂਦਰੀ ਦਫਤਰ
Central revenues,ਕੇਂਦਰੀ ਮਾਲ ਗੁਜ਼ਾਰੀ
Central sales tax,ਕੇਂਦਰੀ ਵਿਕਰੀ ਕਰ
Centre,ਕੇਂਦਰ
Century,"ਸ਼ਤਾਬਦੀ, ਸਦੀਮ ਸੈਂਕੜਾ, ਸੌ ਸਾਲ ਦਾ ਸਮਾਂ"
Cereal,"ਅੰਨ, ਅਨਾਜ"
Cerealist,ਅਨਾਜ ਖਾਣ ਵਾਲਾ
Ceremonial parade,ਸਮਾਰੋਹ ਪਰੇਡ
Ceremony,"ਸਮਾਰੋਹ, ਰੀਤੀ-ਰਸਮ, ਚੱਜ ਅਚਾਰ"
Certificate,ਪ੍ਰਮਾ ਪੱਤਰ
Certificate of fitness,ਸਿਹਤ ਦਾ ਪ੍ਰਮਾਣਪੱਤਰ. ਤੰਦਰੁਸਤੀ ਦਾ ਪ੍ਰਮਾਣਪੱਤਰ
Certificate of posting,ਡਾਕ ਪ੍ਰਮਾਣਪੱਤਰ
Certificate of service,ਸੇਵਾ ਪ੍ਰਮਾਣਪੱਤਰ
Certification,"ਪ੍ਰਮਾਣੀਕਰ, ਪ੍ਰਮਾਣਕ"
Certified copy,ਪ੍ਰਮਾਣੀਤ ਕਾਪੀ (ਪ੍ਰਤੀ)
Certify,ਪ੍ਰਮਾਣਿਕ ਕਰਨਾ
Cess,"ਕਰ, ਚੁੰਗੀ"
