Bengali,Marathi
বিস্ফোরণ ত্রুটি,स्फोट त्रुटी
ফেটে সন্নিবেশ ডাল,स्फोट अंतर्भूत नाडी
বিস্ফোরণ পর্ব,स्फोट टप्पा
বাস,बस
ব্যবসায়িক বুদ্ধি,व्यवसाय बुद्धिमत्ता
বুজার,बजर
পাস দ্বারা,पास द्वारे
পাস করে,पास करून
বাইপাস কনডেন্সার,बायपास कंडेन्सर
গ,सी
সি+প্রোগ্রামিং ভাষা,सी+प्रोग्रामिंग भाषा
মন্ত্রিসভা,कपाट
কেবল,केबल
তারের যৌগ,केबल कंपाऊंड
তারের সমতা,केबल समानता
তারের ক্ষতি,केबल तोटा
ক্যাশে,कॅशे
ক্যাচিং,कॅशिंग
ক্যাডমিয়াম সেল,कॅडमियम सेल
গননা যন্ত্র,गणना मशीन
গণনা,गणना
ক্যালকুলেটর,कॅल्क्युलेटर
ক্যালিব্রেট,कॅलिब्रेट
ক্যালিপার্স,कॅलिपर
ক্যালোরিমিটার,कॅलरीमीटर
ক্যামকর্ডার,कॅमकॉर्डर
ক্যামেরা,कॅमेरा
ক্যামেরা প্রান্তিককরণ,कॅमेरा संरेखन
ক্যামেরা অ্যাপারচার,कॅमेरा छिद्र
ক্যামেরা কভারেজ,कॅमेरा कव्हरेज
ক্যামেরা লাইন আপ,कॅमेरा लाइन-अप
ক্যামেরা টিউব,कॅमेरा ट्यूब
ক্যানোপি,छत
ক্ষমতা,क्षमता
ক্যাপাসিট্যান্স,कॅपेसिटन्स
ক্যাপাসিটিভ লোড,कॅपेसिटिव्ह लोड
ক্যাপাসিটিভ প্রতিক্রিয়া,कॅपेसिटिव्ह रिएक्टन्स
ক্যাপাসিটার,कॅपेसिटर
ক্যাপাসিটার ইনপুট ফিল্টার,कॅपेसिटर इनपुट फिल्टर
ক্ষমতা,क्षमता
ক্যাপসুল,कॅप्सूल
ক্যাপশন,मथळा
প্রভাব ক্যাপচার,कॅप्चर इफेक्ट
কার্ড,कार्ड
কার্ডিওড,कार्डिओइड
কার্ডিওড মাইক্রোফোন,कार्डिओइड मायक्रोफोन
ক্যারিয়ার,वाहक
ক্যারিয়ার ফ্রিকোয়েন্সি,वाहक वारंवारता
ক্যারিয়ার ফ্রিকোয়েন্সি শিফট,कॅरियर फ्रिक्वेन्सी शिफ्ट
ক্যারিয়ার শক্তি,वाहक शक्ती
ক্যারিয়ার ইন্দ্রিয় সংকেত,कॅरियर सेन्स सिग्नल
ক্যারিয়ার সংবেদনশীলতা,वाहक संवेदनशीलता
ক্যারিয়ার বিচ্ছেদ,वाहक वेगळे
ক্যারিয়ার শিফট,कॅरियर शिफ्ट
ক্যারিয়ার ব্যবধান,कॅरियर स्पेसिंग
ক্যারিয়ার দমন,वाहक दडपशाही
ক্যারিয়ার তরঙ্গ,कॅरियर वेव्ह
কার্তুজ,काडतूस
খোদাই,कोरीव काम
ক্যাসকেড,कॅसकेड
ক্যাসকেড সার্কিট,कॅसकेड सर्किट
ক্যাসেট,कॅसेट
ঢালাই লোহা,ओतीव लोखंड
ঢালাই,कास्टिंग
ক্যাটালগ,कॅटलॉग
বিপর্যয়মূলক হস্তক্ষেপ,आपत्तीजनक हस्तक्षेप
ক্যাথোড,कॅथोड
ক্যাথোড অনুসরণকারী,कॅथोड अनुयायी
ক্যাথোড প্রতিরোধক,कॅथोड रेझिस्टर
মুঠোফোন,सेलफोन
কোষ বিশিষ্ট,सेल्युलर
কেন্দ্রীয় নিয়ন্ত্রণ,केंद्रीय नियंत्रण
কেন্দ্রীয় ফ্রিকোয়েন্সি,मध्यवर्ती वारंवारता
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট,सेंट्रल प्रोसेसिंग युनिट
কেন্দ্রীভূত ডাটাবেস,केंद्रीकृत डेटाबेस
কেন্দ্রীভূত সিস্টেম,केंद्रीकृत प्रणाली
সিরামিক,सिरेमिक
