Marathi,Gujarati
स्वयंचलित ग्रंथसूची,સ્વચાલિત ગ્રંથસૂચિ
स्वयंचलित डेटा मध्यम,સ્વચાલિત ડેટા માધ્યમ
स्वयंचलित शब्दकोश,સ્વચાલિત શબ્દકોશ
स्वयंचलित शब्दकोष,સ્વચાલિત સ્થગિત
स्वयंचलित लॉजिक डायग्राम,સ્વચાલિત તર્ક આકૃતિ
स्वयंचलित व्यवस्थापन,સ્વચાલિત સંચાલન
स्वयंचलित उत्पादन व्यवस्थापन,સ્વચાલિત ઉત્પાદન વ્યવસ્થાપન
स्वयंचलित स्टॉक नियंत्रण,સ્વચાલિત સ્ટોક નિયંત્રણ
स्वयंचलित अमूर्त,સ્વચાલિત મુદ્દો
स्वयंचलित अ‍ॅबस्ट्रॅक्टिंग,સ્વચાલિત અમૂર્તતા
स्वयंचलितपणे प्रोग्राम केलेली साधने,આપમેળે પ્રોગ્રામ કરેલા સાધનો
स्वयंचलित उत्तर,સ્વચાલિત જવાબ
स्वयंचलित कॉल वितरक,સ્વચાલિત ક call લ વિતરક
स्वयंचलित कॉलिंग,સ્વચાલિત બોલાવવું
स्वयंचलित तपासणी,સ્વચાલિત તપાસ
स्वयंचलित कोडिंग,સ્વચાલિત કોડિંગ
स्वयंचलित संगणन,સ્વચાલિત કમ્પ્યુટિંગ
स्वयंचलित संगणकीय इंजिन,સ્વચાલિત કમ્પ્યુટિંગ એન્જિન
स्वयंचलित स्थिर,સ્વચાલિત સ્થિર
स्वयंचलित नियंत्रण अभियांत्रिकी,સ્વચાલિત નિયંત્રણ ઇજનેર
स्वयंचलित डेटा प्रक्रिया,સ્વચાલિત ડેટા પ્રોસેસિંગ
स्वयंचलित डेटा प्रक्रिया प्रणाली,સ્વચાલિત ડેટા પ્રોસેસિંગ સિસ્ટમ
स्वयंचलित दशांश संरेखन,સ્વચાલિત દશાંશ ગોઠવણી
स्वयंचलित डायलिंग युनिट,સ્વચાલિત ડાયલિંગ એકમ
स्वयंचलित शब्दकोश,સ્વચાલિત શબ્દકોશ
स्वयंचलित समानता,સ્વચાલિત સમાનતા
स्वयंचलित त्रुटी सुधारणे,સ્વચાલિત ભૂલ સુધારણા
स्वयंचलित फीड पंच,સ્વચાલિત ફીડ પંચ
स्वयंचलित कार्य,સ્વચાલિત કાર્ય
स्वयंचलित अनुक्रमणिका,સ્વચાલિત અનુક્રમણિકા
स्वयंचलित लायब्ररी कॉल,સ્વચાલિત ગ્રંથાલય
स्वयंचलित संदेश लेखा,સ્વચાલિત સંદેશ હિસાબ
स्वयंचलित संख्या ओळख,સ્વચાલિત સંખ્યા ઓળખ
स्वयंचलित पृष्ठांकन,સ્વચાલિત પૃષ્ઠભૂમિ
स्वयंचलित प्रोग्रामिंग,સ્વચાલિત કાર્યક્રમ
स्वयंचलित पंच,સ્વચાલિત પંચ
स्वयंचलित पुनर्प्राप्ती कार्यक्रम,સ્વચાલિત પુન recovery પ્રાપ્તિ કાર્યક્રમ
स्वयंचलित पुनरावृत्ती विनंती,સ્વચાલિત પુનરાવર્તન વિનંતી
स्वयंचलित रीस्टार्ट,સ્વચાલિત ફરીથી પ્રારંભ કરો
स्वयंचलित दिनचर्या,સ્વચાલિત નિયમિત
स्वयंचलित अनुक्रम,સ્વચાલિત અનુક્રમ
स्वयंचलित अनुक्रमिक ऑपरेशन,સ્વચાલિત ક્રમિક કામગીરી
स्वयंचलित स्टॉप,સ્વચાલિત બંધ
स्वयंचलित चल,સ્વચાલિત ચલ
स्वयंचलित व्हॉल्यूम ओळख,આપમેળે માન્યતા
स्वयंचलित व्हॉल्यूम स्विचिंग,સ્વચાલિત વોલ્યુમ સ્વિચિંગ
ऑटोमेशन,સ્વચાલિતતા
ऑटोमेशन संकल्पना,સ્વચાલિત ખ્યાલ
स्वयंचलित,સ્વચાલિતકરણ
ऑटोमॅटॉन,સ્વત્વાર્પણ
स्वयंचलित संदेश मार्ग,સ્વચાલિત સંદેશ માર્ગદર્શન
ऑटोमोनिटर,ઓટોમનોટર
ऑटोमोनिटर रूटीन,ઓટોમનીર નિયમિત
स्वायत्त चॅनेल ऑपरेशन,સ્વાયત્ત ચેનલ કામગીરી
स्वायत्त काम,સ્વાયત્ત કાર્યકારી
ऑटोप्लॉटर,સ્વચાલિત
सहाय्यक कन्सोल,સહાયક કન્સોલ
सहाय्यक उपकरणे,સહાયક સાધન
सहाय्यक मेमरी,સહાયક મેમરી
सहाय्यक ऑपरेशन,સહાયક કામગીરી
सहाय्यक दिनचर्या,સહાયક નિયમ
सहाय्यक संचयन,સહાયક સંગ્રહ
सहाय्यक स्टोअर,સહાયક ભંડાર
उपलब्धता,ઉપલબ્ધતા
उपलब्ध मशीन वेळ,ઉપલબ્ધ મશીન સમય
