Gujarati,Odiya
"કેલ્ક્યુલેટર, કેલ્ક્યુલેટર","କାଲକୁଲେଟର, କାଲକୁଲେଟର"
"કલન, કલન","କାଲକୁଲସ୍, କାଲ୍କୁଲସ୍"
વિભિન્ન કલન,ଭିନ୍ନତା ଗଣନା
કેલરી,କ୍ୟାଲୋରୀ
નિયમ રદ કરો,ପ୍ରତ୍ୟାହାର ନିୟମ |
પ્રામાણિક સમીકરણ,କାନୋନିକାଲ୍ ସମୀକରଣ |
પ્રમાણભૂત સ્વરૂપ,କାନୋନିକାଲ୍ ଫର୍ମ |
"કેનોનિકલ મેટ્રિક્સ, કેનોનિકલ મેટ્રિક્સ","କାନୋନିକାଲ୍ ମ୍ୟାଟ୍ରିକ୍ସ, କେ କାନୋନିକାଲ୍ ମ୍ୟାଟ୍ରିକ୍ସ |"
કેન્ટર સેટ,କ୍ୟାଣ୍ଟର ସେଟ୍ |
કેન્ટર ત્રિકોણાકાર સમૂહ,କ୍ୟାଣ୍ଟର ତ୍ରିକୋଣୀୟ ସେଟ୍ |
પ્રતિબંધિત પરિવહન સમસ્યા,ବାଧାପ୍ରାପ୍ତ ପରିବହନ ସମସ୍ୟା |
ક્ષમતા,ଦକ୍ଷତା
રુધિરકેશિકા બળ,କ୍ୟାପିଲାରୀ ଫୋର୍ସ |
"કાઉન્ટ નંબર, કાર્ડિનલ નંબર","ଗଣନା ସଂଖ୍ୟା, କାର୍ଡିନାଲ୍ ସଂଖ୍ୟା |"
કાર્ટેશિયન અક્ષ,କାର୍ଟେସିଆନ୍ ଅକ୍ଷ |
કાર્ટેશિયન કોઓર્ડિનેટ્સ,କାର୍ଟେସିଆନ୍ ସଂଯୋଜନା |
કાર્ટેશિયન ઉત્પાદન,କାର୍ଟେସିଆନ୍ ଉତ୍ପାଦ |
સમૂહોનું કાર્ટેશિયન ગુણાકાર,ସେଟ୍ ର କାର୍ଟେସିଆନ୍ ଗୁଣନ |
"કેસ સ્ટડી, કેસ સ્ટડી","କେସ୍ ଷ୍ଟଡି, କେସ୍ ଷ୍ଟଡି |"
આપત્તિજનક ભાષણ,ବିପର୍ଯ୍ୟସ୍ତ ବକ୍ତବ୍ୟ |
કેટિનરી,କ୍ୟାଟିନାରୀ
કોચી વિતરણ,କାଚି ବଣ୍ଟନ |
કૌશીનું સૂત્ર,କ ush ଶୀଙ୍କ ସୂତ୍ର |
કૌશી-ગુર્સા-પ્રમેય,କ ush ଶୀ-ଗୁରୁସା-ଥିଓରେମ୍ |
કૌશી-રીમેન-બાન,କ ush ସି-ରିମାନ୍-ବ୍ୟାନ୍ |
કોચી ક્રમ,କାଚି କ୍ରମ |
કૌશી અભિન્ન,kaushi ଅବିଚ୍ଛେଦ୍ୟ |
કૌશી મુખ્ય-મૂલ્ય,କ ush ଶୀ ମୁଖ୍ୟ ମୂଲ୍ୟ |
કોચી શેષ પ્રમેય,କାଚି ରିମାଇଣ୍ଡର୍ ଥିଓରେମ୍ |
કેલે-હેમિલ્ટન-પ્રમેય,କାଲ୍-ହାମିଲଟନ୍-ଥିଓରେମ୍ |
અવકાશી પદાર્થ,ସ୍ୱର୍ଗୀୟ ଶରୀର |
ખગોળશાસ્ત્રીય માપન,ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ ମାପ |
અવકાશી મિકેનિક્સ,ସ୍ୱର୍ଗୀୟ ଯାନ୍ତ୍ରିକ
અવકાશી પદાર્થ,ସ୍ୱର୍ଗୀୟ ଶରୀର |
સેલ આવર્તન,କକ୍ଷ ଫ୍ରିକ୍ୱେନ୍ସି |
"વસ્તી ગણતરી, વસ્તી ગણતરી","ଜନଗଣନା, ଜନଗଣନା"
ટકાવારી,ଶତକଡା
સેન્ટીમીટર,ସେଣ୍ଟିମିଟର |
સેન્ટીમીટર-ગ્રામ-સેકન્ડ પદ્ધતિ,ସେଣ୍ଟିମିଟର-ଗ୍ରାମ-ଦ୍ୱିତୀୟ ପଦ୍ଧତି |
"કેન્દ્રિય, કેન્દ્રિત","କେନ୍ଦ୍ରୀୟ, ଏକାଗ୍ର"
કેન્દ્રીય અક્ષ,କେନ୍ଦ୍ରୀୟ ଅକ୍ଷ
કેન્દ્રીય અંતર,କେନ୍ଦ୍ରୀୟ ବ୍ୟବଧାନ |
કેન્દ્રીય તફાવત સૂત્ર,କେନ୍ଦ୍ରୀୟ ପାର୍ଥକ୍ୟ ସୂତ୍ର |
કેન્દ્રીય વિભેદક કોષ્ટક,କେନ୍ଦ୍ରୀୟ ଭିନ୍ନକ୍ଷମ ସାରଣୀ |
કેન્દ્રીય મર્યાદા પ્રમેય,କେନ୍ଦ୍ରୀୟ ସୀମା ଥିଓରେମ୍ |
કેન્દ્રીય ક્ષણ,କେନ୍ଦ୍ରୀୟ ମୁହୂର୍ତ୍ତ |
કેન્દ્રીય સંસાધન એકમ,କେନ୍ଦ୍ରୀୟ ଉତ୍ସ ଏକକ |
કેન્દ્રીય વૃત્તિ,କେନ୍ଦ୍ରୀୟ ପ୍ରବୃତ୍ତି |
કેન્દ્ર*,କେନ୍ଦ୍ର *
ગુરુત્વાકર્ષણ કેન્દ્ર,ମାଧ୍ୟାକର୍ଷଣ କେନ୍ଦ୍ର |
જૂથ કેન્દ્ર,ଗୋଷ୍ଠୀ କେନ୍ଦ୍ର
સમૂહ કેન્દ્ર,ଜନ କେନ୍ଦ୍ର
સમપ્રમાણતાનું કેન્દ્ર,ସମୃଦ୍ଧତାର କେନ୍ଦ୍ର |
કેન્દ્રત્યાગી બળ,ସେଣ୍ଟ୍ରିଫୁଗୁଲ୍ ଫୋର୍ସ |
કેન્દ્રબિંદુ બળ,ସେଣ୍ଟ୍ରିପେଟାଲ୍ ଫୋର୍ସ |
"કેન્દ્રિય મેરીડીયન,",ସେଣ୍ଟ୍ରିପେଟାଲ୍ ମେରିଡିଆନ୍
નિશ્ચિતતા,ନିଶ୍ଚିତତା
cgs પદ્ધતિ,cgs ପଦ୍ଧତି |
સીજીએસ એકમ,cgs ଏକକ
ભિન્નતાનો સાંકળ નિયમ,ଭିନ୍ନତାର ଶୃଙ୍ଖଳା ନିୟମ |
તક દ્વારા,ସୁଯୋଗ ଦ୍ୱାରା
રેન્ડમ ચાલ,ଅନିୟମିତ ପଦକ୍ଷେପ |
અક્ષ શિફ્ટ,ଅକ୍ଷ ଶିଫ୍ଟ |
"આધાર પરિવર્તન પાયધર-પરિવર્તન,",ଆଧାର ପରିବର୍ତ୍ତନ ପାୟାଦର-ପରିବର୍ତ୍ତନ
ક્રમચય,ଅନୁମତି
લાક્ષણિક ગુણાંક,ବ character ଶିଷ୍ଟ୍ୟ ଗୁଣବତ୍ତା
લાક્ષણિકતા નિર્ણાયક,ଚରିତ୍ର ନିର୍ଣ୍ଣୟକାରୀ |
લાક્ષણિક સમીકરણ,ବ character ଶିଷ୍ଟ୍ୟ ସମୀକରଣ
"લાક્ષણિક કાર્ય, લાક્ષણિક કાર્ય","ଚରିତ୍ରଗତ କାର୍ଯ୍ୟ, ଚରିତ୍ରଗତ କାର୍ଯ୍ୟ |"
લઘુગણકનું પૂર્ણાંક,ଲୋଗାରିଦମର ପୂର୍ଣ୍ଣ ସଂଖ୍ୟା
"લાક્ષણિક બહુપદી,",ଚରିତ୍ରିକ ବହୁଭୂତ
લાક્ષણિક મૂલ્ય,ଚରିତ୍ରିକ ମୂଲ୍ୟ
લાક્ષણિક વેક્ટર,ଚରିତ୍ର ଭେକ୍ଟର୍ |
પાત્ર સમુદાય,ବର୍ଣ୍ଣ ସମ୍ପ୍ରଦାୟ
"ચાર્ટ, ચાર્ટ,","ଚାର୍ଟ, ଚାର୍ଟ"
ચી-સ્ક્વેર વિતરણ,ଚି-ବର୍ଗ ବଣ୍ଟନ |
ચી-સ્ક્વેર ફોર્મ્યુલા,ଚି-ବର୍ଗ ସୂତ୍ର |
ચી-સ્ક્વેર ટેસ્ટ,ଚି-ବର୍ଗ ପରୀକ୍ଷା |
તાર*,ଧ୍ୱନି *
તાર વિભાજન પદ્ધતિ,କୋର୍ଡ୍ ବିଭାଜନ ପଦ୍ଧତି |
લેખિત સંદેશ,ଲିଖିତ ବାର୍ତ୍ତା |
"શૂન્ય, સાઇફર","ଶୂନ, ସାଇଫର୍"
વર્તુળ*,ବୃତ୍ତ *
કન્વર્જન્સ વર્તુળ,ସମ୍ମିଶ୍ରଣ ବୃତ୍ତ |
સર્કિટ મેટ્રિક્સ,ସର୍କିଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
"પરિપત્ર, પરિપત્ર,","ବୃତ୍ତାକାର, ବୃତ୍ତାକାର"
પરિપત્ર એસિમ્પ્ટોટ્સ,ବୃତ୍ତ ଅସ୍ମପଟୋସ୍ |
ગોળાકાર કોન્ડ્યુલાઇન,ବୃତ୍ତାକାର କଣ୍ଡୁଲିନ୍ |
પરિપત્ર ગતિ,ବୃତ୍ତାକାର ଗତି |
પરિઘ કેન્દ્ર,ସୁନ୍ନତ
નિવૃત્ત*,ଅବସର ପ୍ରାପ୍ତ*
"પ્રદક્ષિણા કરવી, આસપાસ દોરવું",ବୁଲିବା ପାଇଁ |
ભૂતકાળ,ଅତୀତ
ઘેરાયેલું,ସର୍କୁକ୍ରାଇଡ୍ |
પ્રખ્યાત કોર્પોરેટ,ବିଶିଷ୍ଟ କର୍ପୋରେଟ୍ |
ક્લાસિક ગતિશીલતા,କ୍ଲାସିକ୍ ଗତିଶୀଳତା |
ક્લાસિક ઓપ્ટિમાઇઝેશન,କ୍ଲାସିକ୍ ଅପ୍ଟିମାଇଜେସନ୍ |
ક્રોનિક નાણાકીય સમસ્યા,କ୍ରନିକ୍ ଆର୍ଥିକ ସମସ୍ୟା |
શાસ્ત્રીય આંકડાકીય મિકેનિક્સ,ଶାସ୍ତ୍ରୀୟ ପରିସଂଖ୍ୟାନ ଯାନ୍ତ୍ରିକ |
ભૂલોનું વર્ગીકરણ,ତ୍ରୁଟିର ଶ୍ରେଣୀକରଣ
વર્ગ અંતરાલ,ଶ୍ରେଣୀ ବ୍ୟବଧାନ
વર્ગ અંતરાલ એકમ,ଶ୍ରେଣୀ ବ୍ୟବଧାନ ଏକକ |
વર્ગ મર્યાદા,ଶ୍ରେଣୀ ସୀମା
ઘડિયાળની દિશામાં,ଘଣ୍ଟା ବୁଲାଇ |
બંધ,ବନ୍ଦ |
"બંધ, બંધ","ବନ୍ଦ, ବନ୍ଦ"
બંધ સ્તર આવરણ,ବନ୍ଦ ସ୍ତର ଆବରଣ |
બંધ સમઘન,ବନ୍ଦ କ୍ୟୁବ୍ |
"બંધ વળાંક, બંધ વળાંક","ବନ୍ଦ ବକ୍ର, ବନ୍ଦ ବକ୍ର"
બંધ પ્રાંત,ବନ୍ଦ ପ୍ରଦେଶ |
બંધ આકાર,ବନ୍ଦ ଆକୃତି |
બંધ અંતરાલ,ବନ୍ଦ ବ୍ୟବଧାନ |
"બંધ પ્રદેશ, બંધ પ્રદેશ","ବନ୍ଦ ଅଞ୍ଚଳ, ବନ୍ଦ ଅଞ୍ଚଳ |"
બંધ સેટ,ବନ୍ଦ ସେଟ୍ |
"બંધ પાનું, બંધ પાનું","ବନ୍ଦ ପୃଷ୍ଠା, ବନ୍ଦ ପୃଷ୍ଠା |"
નેમેસિસ,ନେମେସିସ୍
pronator,pronator
બહિર્મુખ બિંદુ,ଉନ୍ମୁକ୍ତ ବିନ୍ଦୁ |
કેપ્ટિવ-સ્વીકૃત,ବନ୍ଦୀ-ଗ୍ରହଣୀୟ |
કેપ્ટિવ સેટ,ବନ୍ଦୀ ସେଟ୍ |
ક્લસ્ટર પોઇન્ટ,କ୍ଲଷ୍ଟର ବିନ୍ଦୁ |
ક્લસ્ટર નમૂના,କ୍ଲଷ୍ଟର ନମୁନା
ક્લસ્ટર એકંદર,କ୍ଲଷ୍ଟର ଏଗ୍ରିଗେଟ୍ |
કોક્સિયલ વર્તુળ,ସମବାୟ ବୃତ୍ତ |
કોક્સિયલ પેરાબોલા,ସମବାୟ ପାରାବୋଲା |
કોક્સિયલ પ્લેન,ସମବାୟ ସମତଳ |
કોક્સિયલ ત્રિકોણ,ସମବାୟ ତ୍ରିରଙ୍ଗା |
કોબ-ડગ્લાસ કાર્ય,କୋବ୍-ଡଗଲାସ୍ କାର୍ଯ୍ୟ |
"એન્કોડિંગ, કોડિંગ, નોટેશન","ଏନକୋଡିଂ, କୋଡିଂ, ନୋଟେସନ୍ |"
સામગ્રી સંકેત,ବାସ୍ତୁ ବିଜ୍ not ପ୍ତି |
સહ-પ્રાંત,ସହ-ପ୍ରଦେଶ
ગુણાંક મેટ્રિક્સ,କୋଏଫିସିଏଣ୍ଟ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
સહસંબંધ ગુણાંક,ସଂଶୋଧନ ଗୁଣବତ୍ତା
નિર્ધારણ ગુણાંક,ନିର୍ଣ୍ଣୟ ଗୁଣବତ୍ତା
સ્થિતિસ્થાપકતા ગુણાંક,ଇଲାସ୍ଟିସିଟି କୋଏଫିସିଏଣ୍ଟ୍ |
પ્રસરણ ગુણાંક,ବିସ୍ତାର କୋଏଫିସିଣ୍ଟେଣ୍ଟ |
ઘર્ષણ ગુણાંક,ଘର୍ଷଣ କୋଏଫିସିଣ୍ଟେଣ୍ଟ |
રેખાંશ વિસ્તરણનો ગુણાંક,ଦ୍ରାଘିମା ବିସ୍ତାରର କୋଏଫିସିଏଣ୍ଟ୍ |
રીગ્રેસન ગુણાંક,ରିଗ୍ରେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
સપાટીના તાણનો ગુણાંક,ଭୂପୃଷ୍ଠ ଟେନସନ୍ ର କୋଏଫିସିଏଣ୍ଟ୍ |
વિચલનો ગુણાંક,ଭିନ୍ନତାର କୋଏଫିସିଏଣ୍ଟ୍ |
"સહ-પરિબળ, સહ-પરિબળ, સહ-પરિબળ","ସହ-କାରକ, ସହ-କାରକ, ସହ-କାରକ |"
સિક્કો ટૉસ,ମୁଦ୍ରା ଟସ୍
નમૂના સંગ્રહ,ନମୁନା ସଂଗ୍ରହ
સમરેખા,collinear
ગોઠવણી,ଶ୍ରେଣୀବଦ୍ଧତା |
"કૉલમ, કૉલમ","ସ୍ତମ୍ଭ, ସ୍ତମ୍ଭ"
સ્તંભત્વ,ସ୍ତମ୍ଭ
સ્તંભાકાર,ସ୍ତମ୍ଭ
સ્તંભાકાર મેટ્રિક્સ,ସ୍ତମ୍ଭ ମ୍ୟାଟ୍ରିକ୍ସ
કૉલમ મેટ્રિક્સ,ସ୍ତମ୍ଭ ମ୍ୟାଟ୍ରିକ୍ସ
કૉલમ ક્રમ,ସ୍ତମ୍ଭ କ୍ରମ |
સ્તંભાકાર અધિક્રમિક મેટ્રિક્સ,ସ୍ତମ୍ଭ କ୍ରମିକ ମ୍ୟାଟ୍ରିକ୍ସ |
કૉલમ વેક્ટર,ସ୍ତମ୍ଭ ଭେକ୍ଟର୍ |
કૉલમ મુજબ,ସ୍ତମ୍ଭ ଜ୍ଞାନୀ |
સંયુક્ત સમીકરણ,ମିଳିତ ସମୀକରଣ |
"સામાન્ય કોણ, સામાન્ય કોણ","ସାଧାରଣ କୋଣ, ସାଧାରଣ କୋଣ |"
સામાન્ય અક્ષ,ସାଧାରଣ ଅକ୍ଷ
"સામાન્ય આધાર, સામાન્ય આધાર","ସାଧାରଣ ଆଧାର, ସାଧାରଣ ଆଧାର |"
સાર્વત્રિક,ସର୍ବଭାରତୀୟ |
સામાન્ય તફાવત,ସାଧାରଣ ପାର୍ଥକ୍ୟ |
"સામાન્ય પરિબળ, સામાન્ય પરિબળ, સામાન્ય પરિબળ","ସାଧାରଣ କାରକ, ସାଧାରଣ କାରକ, ସାଧାରଣ କାରକ |"
"સરળ લઘુગણક, સરળ લઘુગણક","ସରଳ ଲୋଗାରିଦମ୍, ସରଳ ଲୋଗାରିଦମ୍ |"
"સામાન્ય બહુવિધ, સામાન્ય","ସାଧାରଣ ଏକାଧିକ, ସାଧାରଣ |"
સામાન્ય ગુણોત્તર,ସାଧାରଣ ଅନୁପାତ |
આંતરછેદ કલમ,ଛକ ଧାରା
સામાન્ય હાથ,ସାଧାରଣ ବାହୁ
"સામાન્ય સ્પર્શક, સામાન્ય સ્પર્શક","ସାଧାରଣ ଟାଙ୍ଗେଣ୍ଟ, ସାଧାରଣ ଟାଙ୍ଗେଣ୍ଟ |"
સામાન્ય સ્થિતિ,ସାଧାରଣ ସ୍ଥିତି |
પરિવર્તનીય નિયમ,ଯାତାୟାତ ନିୟମ |
વિનિમયાત્મક મિલકત,ଯାତାୟାତ ସମ୍ପତ୍ତି |
પરિવર્તનીય નિયમ,ଯାତାୟାତ ନିୟମ |
રકમનો વિનિમયાત્મક કાયદો,ରାଶିର ଯାତାୟାତ ନିୟମ |
ગુણાકારનો વિનિમયાત્મક નિયમ,ଗୁଣନର କ୍ରମାଗତ ନିୟମ |
વિનિમયાત્મક કામગીરી,ଯାତାୟାତ କାର୍ଯ୍ୟ
પરિવર્તનીય જૂથ,ଯାତାୟାତ ଗୋଷ୍ଠୀ |
મેટ્રિસિસનું વિનિમયાત્મક,ମାଟ୍ରିକ୍ସର ଯାତାୟାତ |
કોમ્પેક્ટ સેટ,କମ୍ପାକ୍ଟ ସେଟ୍ |
"તુલનાત્મકતા, તુલનાત્મકતા","ତୁଳନାତ୍ମକତା, ତୁଳନାତ୍ମକତା |"
માધ્યમની સરખામણી,ଅର୍ଥର ତୁଳନା
ટકાવારીની સરખામણી,ଶତକଡା ତୁଳନା
સરખામણી કસોટી,ତୁଳନା ପରୀକ୍ଷା
સુસંગત સમીકરણ,ସମନ୍ୱିତ ସମୀକରଣ |
સ્પર્ધાત્મક રમત,ପ୍ରତିଯୋଗୀ ଖେଳ |
સ્પર્ધાત્મક સ્થિતિ,ପ୍ରତିଯୋଗିତାମୂଳକ ସ୍ଥିତି |
સ્પર્ધાત્મક વ્યૂહરચના,ପ୍ରତିଯୋଗିତାମୂଳକ ରଣନୀତି |
"દુભાષિયા, કમ્પાઇલર","ଅନୁବାଦକ, ସଂକଳକ"
પૂરક,ସପ୍ଲିମେଣ୍ଟ
પૂરક કોણ,ସଂପୃକ୍ତ କୋଣ |
પૂરક ઘટના,ସଂପୃକ୍ତ ଘଟଣା |
પૂરક પરિબળ,ସଂପନ୍ନ କାରକ |
પૂરક કાર્ય,ସଂପନ୍ନ କାର୍ଯ୍ୟ
પૂરક અડધી વસ્તી,ସଂପୃକ୍ତ ଅଧା ଜନସଂଖ୍ୟା |
પૂરક અંતરાલ,ବ୍ୟବଧାନ
પૂરક સમૂહ,ସଂପନ୍ନ ସେଟ୍ |
"પૂરક, પૂરક","ସଂପନ୍ନତା, ସଂପନ୍ନତା |"
પૂરક સમૂહ,ସଂପନ୍ନ ସେଟ୍ |
સંપૂર્ણ સ્કોર,ସଂପୂର୍ଣ୍ଣ ସ୍କୋର |
સંપૂર્ણ સહસંબંધ મેટ્રિક્સ,ପୂର୍ଣ୍ଣ ସମ୍ପର୍କ ମେଟ୍ରିକ୍ସ |
સંપૂર્ણ શ્રેણી વસ્તી,ପୂର୍ଣ୍ଣ ପରିସର ଜନସଂଖ୍ୟା |
