Tamil,Assamese
தொப்பி பூட்டு விசை,caps লক চাবি
"1. அட்டை, 2. தாள்","১.কাৰ্ড, ২. চাদৰ"
கார்டு ரீடர்,কাৰ্ড ৰিডাৰ
முக்கியத்துவம்,প্ৰাধান্য
கேரியர்,বাহক
கேரியர் பேண்ட்,বাহক বেণ্ড
கேரியர் சுமை,বাহক বোজা
கேரியர் சிக்னல்,বাহক সংকেত
கேரியர் அலை,বাহক তৰংগ
சாதித்தது,লাভ কৰা হৈছে
மதிப்பெண் பெற்றார்,স্ক’ৰ লাভ কৰা হৈছে
அடைந்த கொடி,অৰ্জন কৰা পতাকা
"1.கார்ட்ரிட்ஜ் டிஸ்க், 2.கார்ட்ரிட்ஜ் டிஸ்க்","1.কাৰটিজ ডিস্ক, 2.কাৰটিজ ডিস্ক"
"1. அருவி, 2. அருவி","1. কেছকেড, 2. কেছকেড"
வழக்கு,ঘটনা
கேத்தோடு-கதிர் குழாய் (CRT),কেথ&#39;ড-ৰে-টিউব (CRT)
கத்தோட் கதிர் குழாய் (CRT) கத்தோட் கதிர் குழாய்,কেথ’ড ৰে টিউব (CRT) কেথ’ড ৰে টিউব
சிடி ரோம் டிஸ்க் டிரைவ்,cd rom ডিস্ক ড্ৰাইভ
செல்,কোষ
செல் அனிமேஷன்,কোষ এনিমেচন
கை பேசி,চেলুলাৰ ফোন
"1. மைய நினைவகம், 2. மைய நினைவகம்","১.কেন্দ্ৰীয় স্মৃতি, ২. কেন্দ্ৰীয় স্মৃতিশক্তি"
மத்திய செயலாக்க அலகு (CPU),কেন্দ্ৰীয় প্ৰক্ৰিয়াকৰণ একক (CPU)
மையப்படுத்தப்பட்ட அமைப்பு,কেন্দ্ৰীভূত ব্যৱস্থা
அங்கீகரிக்கப்பட்ட டேப்,প্ৰমাণীকৃত টেপ
சங்கிலி,শিকলি
"1.தொடர் தரவு, 2.தொடர் உள்ளடக்கம்","1.series ডাটা, 2.series বিষয়বস্তু"
சங்கிலி இணைப்பு,শৃংখল সংযোগ
சங்கிலியிடுதல்,চেইনিং
"1.சேனல், 2.சேனல்","১.চেনেল, ২.চেনেল"
"1.சேனல் பிஸி டோன், 2.சேனல் பிஸி டோன்","1.চেনেল ব্যস্ত টোন, 2.চেনেল ব্যস্ত টোন"
"1.சேனல் திறன், 2.சேனல் திறன்","1.চেনেল ক্ষমতা, 2.চেনেল ক্ষমতা"
"1.சேனல் கன்ட்ரோலர், 2.சேனல் கன்ட்ரோலர்","1.চেনেল নিয়ন্ত্ৰক, 2.চেনেল নিয়ন্ত্ৰক"
"1. சேனல் பிழை, 2. சேனல் பிழை","1. চেনেল ত্ৰুটি, 2.চেনেল ত্ৰুটি"
"1.சேனல் புரோகிராம், 2.சேனல் புரோகிராம்","১.চেনেল প্ৰগ্ৰেম, ২.চেনেল প্ৰগ্ৰেম"
"1.சேனல் நம்பகத்தன்மை, 2.சேனல் நம்பகத்தன்மை","1.চেনেল নিৰ্ভৰযোগ্যতা, 2.চেনেল নিৰ্ভৰযোগ্যতা"
"1.சேனல் தொகுப்பு, 2.சேனல் தொகுப்பு","1.চেনেল ছেট, 2.চেনেল ছেট"
சின்னம்,প্ৰতীক
"1.எழுத்து குறியீடு, 2. எழுத்து குறியீடு","১.আখৰৰ ক&#39;ড, ২. আখৰৰ ক&#39;ড"
எழுத்து திறவுகோல்,আখৰৰ চাবি
பாத்திர வாசகர்,চৰিত্ৰ পাঠক
"1. சின்ன அளவு, 2. சின்ன அளவு","১.প্ৰতীকৰ আকাৰ, ২.প্ৰতীকৰ আকাৰ"
சித்திரமான,চিত্ৰকল্প
"1.சேஸ், 2.சேஸ்","১.চেছিছ, ২.চেছিছ"
சோதனை பிட்,বিট পৰীক্ষা কৰক
சோதனை புள்ளிகள்,চেক পইণ্ট
மொத்தத்தை சரிபார்க்கவும்,মুঠ পৰীক্ষা কৰক
சரிபார்ப்பு வார்த்தை,শব্দ পৰীক্ষা কৰক
சிப்,চিপ
சிப் தொகுப்பு,চিপ চেট
"1.தேர்வு, 2.தேர்வு","1.বাছি লোৱা, 2.বাছি লোৱা"
அகரவரிசைப்படி,বৰ্ণানুক্ৰমে
"1.சஃபர், 2. பூஜ்யம், 3. கடலோடி","১.ছাফাৰ, ২. শূন্য, ৩. নাৱিক"
சுற்று,বৰ্তনী
வட்ட பட்டியல்,বৃত্ত তালিকা
செரிஸ்,চেৰেছ
குறிப்பிடவும்,উল্লেখ
"1.வகை, 2.வகை","1.শ্ৰেণী, 2.শ্ৰেণী"
வர்க்க மாறி,ক্লাছ ভেৰিয়েবল
வகைப்பாடு,শ্ৰেণীবিভাজন
துப்புரவு,স্ক্যাভেঞ্জিং
அழிக்கப்பட்ட பகுதி,ক্লিয়াৰ কৰা অঞ্চল
"1. அமைப்பு சுத்தம், 2. சேனல் அழிக்க","1. চিস্টেম পৰিষ্কাৰ কৰক, 2. চেনেল পৰিষ্কাৰ কৰক"
அச்சகம்,টিপক
"1. வாடிக்கையாளர், 2. வாடிக்கையாளர்","১.গ্ৰাহক, ২. গ্ৰাহক"
"1.கிளையண்ட் சர்வர், 2.கிளையண்ட் சர்வர்","1.ক্লায়েন্ট চাৰ্ভাৰ, 2.ক্লায়েন্ট চাৰ্ভাৰ"
வாடிக்கையாளர் ஸ்டப்,গ্ৰাহকৰ ষ্টাব
வெட்டுதல் கலை,শ্বিয়াৰিং আৰ্ট
ஷேரிங் கலை நூலகம்,শ্বিয়াৰিং আৰ্ট লাইব্ৰেৰী
கிளிப் போர்டு,ক্লিপ বৰ্ড
கிளிப்பர்,ক্লিপাৰ
கிளிப்பர் சிப்,ক্লিপাৰ চিপ
பிரிவு,ফৈদ
"1. கடிகாரம், 2. காலட்","1.ৱাচ, ২. calad"
கடிகார சுழற்சி,ঘড়ীৰ চক্ৰ
கடிகார அதிர்வெண்,ঘড়ীৰ কম্পাঙ্ক
கலாட் வன்பொருள்,কালাদ হাৰ্ডৱেৰ
கலாட் ஸ்பாண்ட்,কালাদ স্পেণ্ড
கடிகார வேகம்,ঘড়ীৰ গতি
நேர ஒத்திசைவு,সময় সমন্বয়
கடிகார டிக்,ঘড়ীৰ টিক
குளோன்,ক্ল&#39;ন
ஆஃப்,বন্ধ কৰা
மூடிய சர்க்யூட் டிவி (மறைகாணி),বন্ধ চাৰ্কিট টিভি (চিচিটিভি)
விளக்கம்,বিৱৰণ
"1.கிளவுட் கம்ப்யூட்டிங், 2.கிளவுட் கம்ப்யூட்டிங்","১.ক্লাউড কম্পিউটিং, ২.ক্লাউড কম্পিউটিং"
கொத்து,মুঠি
"1. மூடிய அட்டை, 2. பூசிய தாள்","১.আবৃত কাৰ্ড, ২. আৱৰণযুক্ত শ্বীট"
பூசிய காகித,আৱৰণযুক্ত কাগজ
கோஆக்சியல்,সমাক্ষীয়
கோஆக்சியல் கேபிள்,সমাক্ষীয় কেবল
கோடாசில்,কোডাচিল
"1.குறியீடு, 2.குறியீடு","১.কোড, ২.কোড"
"1. குறியீடு ஜெனரேட்டர், 2. குறியீடு உற்பத்தியாளர்","1. ক&#39;ড জেনেৰেটৰ, 2. ক&#39;ড জেনেৰেটৰ"
குறியீடு பக்கம்,ক&#39;ড পৃষ্ঠা
"1.குறியீடு, 2.குறியீடு","১.কোড শব্দ, ২.কোড শব্দ"
"1.குறியீடு, 2.குறியீடு","১.কোডাৰ, ২.কোডাৰ"
"1. குறியீட்டு சோதனை, 2. குறியீட்டு சோதனை","1. এনকোডিং পৰীক্ষা, 2. ক&#39;ডিং পৰীক্ষা"
குறியாக்க வடிவம்,এনকোডিং ফৰ্ম
