abatement,অবসান
brief resume,সংক্ষিপ্তচুম্বক/সারসংকলন
briefing,বুঝিয়েদেওয়া
brilliant record,অত্যুতকৃষ্টরেকর্ড/কীর্তি
bring into notice,"নজরেআনা, মনোযোগআকর্ষণকরা"
broadcast,"সম্প্রচারকরা, সম্প্রচার"
broadsheet,"প্রসারিতনথি, বড়নথি/দলিল"
brochure,পুস্তিকা
brokerage,দালালি
brought forward (b/f),"জের, জেরটানা"
budget allocation,"আয়ব্যয়কবন্টন, বাজেটবিভাজন"
budget estimate,"প্রাক্‌কলিতবাআনুমানিকআয়ব্যয়ক, বাজেটহিসাব"
budget provision,"আয়ব্যয়কব্যবস্থা, বাজেটসংস্থান"
bugetary control,"আয়ব্যয়েরনিয়ন্ত্রণ, বাজেটীয়নিয়ন্ত্রণ"
building,"নির্মাণ, স্থাপন, নির্মিতবস্তু, অট্টালিকা"
bulk,"প্রচুরপরিমাণ, থোক"
bulk purchase,"প্রচুরপরিমাণেক্রয়, থোকক্রয়"
bulletin,"জ্ঞাপনপত্র, বুলেটিন"
bumper crop,সুপ্রচুরশষ্যোৎপাদন
bunching of vacancies,রিক্তপদেরসংকলন
bungling,"গোলমাল, গোলমালকরা"
bureaucracy,আমলাতন্ত্র
bureaucrat,"আমলাতন্ত্রবাদীব্যক্তি, ক্ষমতাসীনআমলা"
business class,ব্যবসায়িকশ্রেণী
business hours (= hours of business),"কাজেরসময়, কার্যকাল"
businessman,"ব্যবসায়ী, কারবারি"
buy-back,(বিক্রেতাকর্তৃক)বিক্রীতদ্রব্যপুনরায়কিনেনেওয়া
buyer,"ক্রেতা, খরিদদার"
by hand,"হাতে-হাতে, হস্তমাধ্যমে"
by post,ডাকমাধ্যমে
bye election (by election),উপনির্বাচন
cabin baggage,কেবিনব্যাগ
cabinet,"মন্ত্রীপরিষদ, মন্ত্রীসভা"
cadre,"বর্গ, পদবর্গ, পদালি, ক্যাডার"
calamity,চরমদুর্দশাবাদুঃখ
calculation,"গণনাকরা, কষা-কষি"
calendar year,পঞ্জিকা-বর্ষ
campaign,"অভিযান, প্রচারাভিযান"
campus,কলেজবাস্কুলেরবাড়িরএলাকাভুক্তজমি
campus interview,(প্রতিষ্ঠান)পরিসরেসাক্ষাৎকার
cancel,"বিলোপকরা, বাতিলকরা"
cancellation,বাতিলকরণ
candidate,"নির্বাচন-প্রার্থী, পদপ্রার্থী"
candidature,"উমেদারি, প্রার্থীহওয়া"
canvassing,"যাচ্‌ঞাকরা, প্রার্থনাকরা"
capability,"যোগ্যতা, সামর্থ্য"
capable,"সক্ষম, যোগ্য, দক্ষ"
capacity,"ধারণক্ষমতা, ধারণসীমা"
capital,"মূলধন, পুঁজি"
capital expenditure,"মুখ্যব্যয়, মূলধনিব্যয়"
capital punishment,"মৃত্যুদণ্ড, প্রাণদণ্ড"
capitation fee,"মাথাপিছুদেয়, মাথট"
capture,"বন্দীকরা, বলপূর্বকঅধিকারকরা"
care,যত্ন
career,জীবনেরধারা/অগ্রগতি/উন্নতি
career development,জীবিকার্জনেরউন্নতি
caretaker government,অবধায়কসরকার
carried forward (c/f),"জের, জেরটানা"
carry forward,"পরেরপৃষ্ঠায়জেরটেনেনিয়েযাওয়া, জেরটানা"
carry over,জেরটানা
carrying cost,বহনব্যায়/খরচ
cartage,পশুবাহিতবাহাতে-ঠেলাগাড়িরভাড়া
case,"বিষয়, মামলা, ক্ষেত্র"
case study,বিষয়অধ্যয়ণ
cash,"নগদ, রোক"
cash balance,"নগদতহবিল, রোকস্থিতি"
cash book,"নগদান, রোকড়"
cash card,নগদপত্রী
cash certificate,নগদপ্রমাণপত্র
cash counter,নগদকাউন্টার/প্রকোষ্ঠ
cash crop,অর্থকরফসল
cash discount,নগদছাড়
cash down,মালসরবরাহেরসঙ্গেসঙ্গেদামআদায়েরপ্রথা
cash in hand,নগদতহবিল
cash memo,"বিক্রয়স্মারক, ক্যাশমেমো"
cash payment,"নগদশোধ, রোক-শোধ"
caste,"বর্ণ, জাত"
caste certificate,জাতিপ্রমাণপত্র
casting vote,"নির্ণায়কভোট, নির্ণায়কমত"
casual,"আকস্মিক, নৈমিত্তিক"
casual labour,ঠিকাশ্রমিক
casual leave,নৈমিত্তিকছুটি
casual vacancy,নৈমিত্তিকশূন্যপদ
casualty,"আকস্মিকঘটনা, দৈবঘটনা, আপতন"
catalogue,তালিকা
categorical,"নিশ্চিত, ব্যতিক্রমহীন, স্পষ্ট"
category,"পর্যায়, শ্রেণী"
catering service,ভোজনপরিষেবা
caution,"সতর্কতা, মনোযোগ"
caution money,জামানত
cease fire,অস্ত্রসংবরণ
"ceiling (as of ""price"")",সর্বোচ্চমূল্য
celebration,"উদ্‌যাপন, পালন, অনুষ্ঠান"
cell phone,সেলফোন
censor,"বিবাচক, সেনসর"
censure,তিরস্কার
censure motion,তিরস্কারপ্রস্তাব
census,"জনগণনা, আদমসুমারি"
central cess,কেন্দ্রীয়উপকর/খাজনা
central civil service (CCS) rules,কেন্দ্রীয়সিভিলসেবানিয়মাবলী
central excise,কেন্দ্রীয়অন্তঃশুল্ক
central government,কেন্দ্রীয়সরকার
central office,কেন্দ্রীয়কার্যালয়/দপ্তর
central revenues,কেন্দ্রীয়রাজস্ব
central sales tax,কেন্দ্রীয়বিক্রয়কর
centralization,কেন্দ্রীকরণ
centralized service,কেন্দ্রিতকর্ম/চাকরি
centrally funded scheme,কেন্দ্রীয়নিধিপুষ্টপরিকল্প
centrally sponsored scheme,কেন্দ্রপোষিতপরিকল্প
centre,"কেন্দ্র, মধ্যস্থল"
century,"শতাব্দ, শতক"
cereal,দানাশস্য
cerealist,"ধান্য, শষ্য"
ceremonial parade,আনুষ্ঠানিককুচকাওয়াজ/প্যারেড
ceremony,"অনুষ্ঠান, পর্বাদিপালন"
certificate,"শংসাপত্র, প্রমাণপত্র"
certificate of fitness,"ক্ষমত্বপত্র, সুস্থতাপত্র, কার্যোপযোগপত্র"
certificate of posting,ডাকেরপ্রমাণ
certificate of service,কর্মপরিষেবা/সেবাপ্রমাণপত্র
certification,শংসাপত্রপ্রদান
certified copy,প্রত্যয়িতপ্রতিলিপি
certify,"প্রত্যয়নকরা, শংসাকরা"
cess,উপকর
cessation,"অবসান, খারিজ"
chain,"ধারা, প্রবাহ, স্রোত, শৃঙ্খল, পর্যায়"
chairman/chairperson,"সভাপতি, সভানেত্রী, সভামুখ্য, সভাপ্রধান"
challan,চালান
challenge,কোনবিষয়মীমাংসার্থযুদ্ধেবাপ্রতিদ্বন্দ্বিতায়আহ্বানকরা
chamber,"কক্ষ, সভাকক্ষ"
chamber of commerce,বণিকসভা
change,"পরিবর্তনকরা, বিনিময়করা, বদলকরা"
chaos,বিশৃঙ্খলা
chapter,"অধ্যায়, শাখা(সংস্থাবাসমিতির), পরিচ্ছেদ"
character assassination,চরিত্রহনন
character certificate,"চারিত্রপত্র, শীলপত্র"
charge,"ব্যয়, অভিযোগ, কার্যভার"
charge over property,সম্পত্তিবিষয়কব্যয়/অভিযোগ
charge sheet,অভিযোগপত্র
charitable,"পরহিতপরায়ণ, বদান্য, দাতব্য"
charity,"পরহিত, পরোপকার, সদয়তা"
