ab initio,"ಹೊಸತಾಗಿ, ಮೊದಲಿನಿಂದ"
assure,ವಿಮೆ
at discount,ರಿಯಾಯತಿ ದರದಲ್ಲಿ
at par,"ಸಮ ಮೌಲ್ಯದ, ಸಮ ಬೆಲೆಯ"
at premium,ಪ್ರೀಮಿಯಮ್‌‍ಗನುಗುಣ
atomic power,ಅಣುಶಕ್ತಿ
attach,"ಜೋಡಿಸು, ಲಗತ್ತಿಸು, ಜಪ್ತಿ ಮಾಡು"
attached office,ಸಂಬಂಧ ಪಟ್ಟ ಕಛೇರಿ
attachment,ಜಪ್ತಿ
attachment order,ಜಪ್ತಿ ಆದೇಶ
attainment,ಸಾಧನೆ
attempt,ಪ್ರಯತ್ನ
attendance,"ಉಪಸ್ಥಿತಿ, ಹಾಜರಿ"
attendance register,ಹಾಜರಿಪುಸ್ತಕ
attendance slip,ಹಾಜರಿ ಚೀಟಿ
attention,"ಗಮನ, ಲಕ್ಷ್ಯ"
attestation,"ಅನುಪ್ರಮಾಣಿಸುವುದು, ದೃಢೀಕರಣ"
attested copy,ದೃಢೀಕೃತ ಪ್ರತಿ
attitude,"ಮನೋಭಾವ, ಮನೋವೃತ್ತಿ"
attractive salary,ಆಕರ್ಷಕ ವೇತನ
auction,"ಹರಾಜು, ನೀಲಾಮು, ಲಿಲಾವು, ಏಲಂ"
auction sale,ಹರಾಜು ಮಾರಾಟ
auctioneer,ಹರಾಜು ಹಾಕುವವ
audience,"ಸಭಿಕರು, ಶ್ರೋತೃಗಳು"
audio-visual display,ದೃಶ್ಯ-ಶ್ರವಣ ಪ್ರದರ್ಶನ
audio-visual publicity,ದೃಶ್ಯ-ಶ್ರವಣ ಪ್ರಚಾರಕಾರ್ಯ
audit,ಲೆಕ್ಕ ಪರಿಶೋಧನೆ
audit objection,ಲೇಖಾ ಪರಿಶೋಧನಾ ಆಕ್ಷೇಪಣೆ
audit paragraph,ಲೆಕ್ಕ ಪರಿಶೋಧನಾ ಪ್ಯಾರ
audit report,ಲೆಕ್ಕ ಪರಿಶೋಧನಾ ವರದಿ
audited accounts,ಪರಿಶೋಧಿತ ಲೆಕ್ಕ
audited balance sheet,"ಪರಿಶೋಧಿತ ಜಮಾಖರ್ಚುಪಟ್ಟಿ, ಪರಿಶೋಧಿತ ಆರ್ಥಿಕ ಸ್ಥಿತಿ ವಿವರ ಪಟ್ಟಿ"
auditing,ಲೇಖಾ ಪರಿಶೋಧನೆ
auditor's report,ಲೇಖಾ ಪರಿಶೋಧಕರ ವರದಿ
auditorium,"ಸಭಾಂಗಣ, ಶೋತೃಭವನ"
austerity,"ಬಿಗು, ಕಠಿಣ, ಉಗ್ರ"
austerity measures,ಬಿಗುವಿನ ಕ್ರಮ ಕಠಿಣ ಕ್ರಮ
authentic,"ಅಧಿಕೃತ, ನಂಬಲರ್ಹ, ನೈಜ"
authorised representative,ಅಧಿಕೃತ ಪ್ರತಿನಿಧಿ
authoritative,ಅಧಿಕೃತ
authority,"ಅಧಿಕೃತ, ಪ್ರಾಧಿಕಾರ, ಅಧಿಕಾರಿ, ಪರಿಣತ"
authority letter,ಅಧಿಕೃತ ಪತ್ರ
authorized,ಅಧಿಕೃತ
authorized capital,ಅಧಿಕೃತ ಬಂಡವಾಳ
automatic,"ಸ್ವಯಂಚಾಲಿತ, ತಂತಾನೆ"
autonomous,ಸ್ವಾಯತ್ತ
autonomous body,ಸ್ವಾಯತ್ತ ಸಂಸ್ಥೆ
autonomy,ಸ್ವಾಯತ್ತತೆ
auxiliary,"ಸಹಾಯಕ, ಪೂರಕ"
available,"ದೊರೆಯುವ, ಲಭ್ಯ, ಉಪಲಬ್ಧ"
average,"ಸರಾಸರಿ, ಸಾಧಾರಣ, ಸರಾಸರಿ ಕಂಡುಹಿಡಿ"
average leave,ಸಾಧಾರಣ ರಜೆ
aversion,"ವಿಮುಖತೆ, ಹೇವರಿಕೆ"
avert,"ತಪ್ಪಿಸು, ಬೇರೆ ಕಡೆಗೆ ತಿರುಗಿಸು, ತೊಲಗಿಸು"
avoid,ತಪ್ಪಿಸಿಕೊ
avoidance of tax,ಕರ ಸಂದಾಯ ತಪ್ಪಿಸುವಿಕೆ
awaited,ನಿರೀಕ್ಷಿಸಲಾಗಿದೆ
award,"ಪ್ರಶಸ್ತಿ, ಕೊಡು, ತೀರ್ಪು ಕೊಡು, ತೀರ್ಪು"
awarding authority,ಪ್ರದಾನ ಮಾಡುವ ಪ್ರಾಧಿಕಾರ
awareness,"ಜಾಗೃತಿ, ಎಚ್ಚರ"
back log,"ಹಿಂದಿನಿಂದ ಬಾಕಿಯಾಗಿ ಉಳಿದಿರುವ, ಹಿಂದಿನ ಬಾಕಿ"
back out,"ಮಾತಿಗೆತಪ್ಪು, ಹಿಂದೇಟು ಹಾಕು"
back reference,"ಹಿಂದಿನ ಉಲ್ಲೇಖ, ಹಿಂದಿನ ಪರಾಮರ್ಶೆ"
back up,"ಆಧಾರ ಕೊಡು, ಆಧಾರನೀಡುವಿಕೆ"
backdated,ಹಿಂದಿನ ತಾರೀಕು ನಮೂದಿಸಿದ
background,ಹಿನ್ನೆಲೆ
backward classes,ಹಿಂದುಳಿದ ವರ್ಗಗಳು
backward tribe,ಹಿಂದುಳಿದ ಬುಡಕಟ್ಟುಗಳು
bad bargain,"ಕಳಪೆ ಚೌಕಾಶಿ, ದೋಷಪೂರ್ಣ ವ್ಯಾಪಾರ"
bad behaviour,"ದುರ್ನಡತೆ, ದುರ್ವರ್ತನೆ"
bad character,ದುಶ್ಚರಿತ್ರ
bad climate allowance,ಕೆಟ್ಟಹವೆ ಭತ್ಯ
bad conduct,"ದುರ್ವರ್ತನೆ, ಕೆಟ್ಟ ನಡವಳಿಕೆ"
bad debt,ವಸೂಲಾಗದ ಸಾಲ
baggage,"ಗಂಟು ಮೂಟೆ, ಸಾಮಾನು ಸರಂಜಾಮು"
bail,ಜಾಮೀನು
balance,"ಶಿಲ್ಕು, ಬಾಕಿ, ಜಮಾಖರ್ಚು"
balance brought down,ಕೆಳಗೆ ತರಲಾದ ಜಮಾಖರ್ಚು/ಬಾಕಿ
balance brought forward,ಮುಂದೆ ತರಲಾದ ಜಮಾಖರ್ಚು/ಬಾಕಿ
balance sheet,"ಅಢಾವೆ ಪಟ್ಟಿಕೆ, ಅರ್ಥಿಕ ವಿವರ ಪಟ್ಟಿ, ಆಸ್ತಿ ಹೊಣೆ ಪಟ್ಟಿ"
balanced budget,"ಸಮತೋಲನದ ಆಯ-ವ್ಯಯ, ಸಮ ತೋಲನದ ಮುಂಗಡ ಪತ್ರ/ಬಜೆಟ್ಟು"
ballot,ಗುಪ್ತ ಮತದಾನ
ballot box,ಗುಪ್ತ ಮತ ಪೆಟ್ಟಿಗೆ
ballot paper,ಗುಪ್ತ ಮತ ಪತ್ರ
ban,"ನಿಷೇಧ, ನಿಷೇಧಿಸು"
bank,"ಬ್ಯಾಂಕು, ಅವಲಂಬಿಸು"
bank account,ಬ್ಯಾಂಕು ಲೆಕ್ಕ
bank balance,ಬ್ಯಾಂಕ್ ಶಿಲ್ಕು
bank charges,ಬ್ಯಾಂಕು ಶುಲ್ಕ
bank guarantee,"ಬ್ಯಾಂಕ್ ಖಾತರಿ, ಬ್ಯಾಂಕ್ ಗ್ಯಾರಂಟಿ"
bank holiday,ಬ್ಯಾಂಕಿನ ರಜೆ
bank rate,ಬ್ಯಾಂಕು ದರ
bank reconciliation,ಬ್ಯಾಂಕು ಲೆಕ್ಕದ ಸಮನ್ವಯ
bank security,ಬ್ಯಾಂಕ್ ಭದ್ರತೆ
bank statement,ಬ್ಯಾಂಕ್ ವಿವರಣ ಪತ್ರ
banking facility,ಬ್ಯಾಂಕ್ ವ್ಯವಹಾರದ ಅನುಕೂಲ
banking hours,ಬ್ಯಾಂಕಿನ ಕೆಲಸದ ವೇಳೆ
banking transaction,ಬ್ಯಾಂಕಿನ ವ್ಯವಹಾರ
bankrupt,ದಿವಾಳಿ
banquet,ಭೋಜನ ಸಮಾರಂಭ
bar council,ವಕೀಲರ ಪರಿಷತ್ತು
bargain,"ಚೌಕಾಶಿ ಮಾಡು, ಚೌಕಾಶಿ ವ್ಯಾಪಾರ ಮಾಡು, ಲಾಭ ಪಡೆ"
bargaining,"ಚೌಕಾಶಿ ಮಾಡುವಿಕೆ, ಚೌಕಾಶಿ ವ್ಯಾಪಾರ ಮಾಡು"
barren land,ಬಂಜರು ಭೂಮಿ
barter,"ವಸ್ತು ವಿನಿಮಯ, ಸಾಟಿ ವ್ಯಾಪಾರ"
base,"ನೆಲೆ, ಆಧಾರ, ಮೂಲ, ಆಧರಿಸು"
base year,ಆಧಾರ ವರ್ಷ
baseless,ಆಧಾರ ಹೀನ
basement,"ತಳಹದಿ, ತಳಪಾಯ, ಅಡಿಪಾಯ"
basic,ಮೂಲ
basic intelligence,"ಪ್ರಾಥಮಿಕ ಬುದ್ಧಿಶಕ್ತಿ, ಮೂಲ ಬುದ್ಧಿಸೂಕ್ಷ್ಮತೆ, ಮೂಲ ತಿಳುವಳಿಕೆ"
basic pay,ಮೂಲ ವೇತನ
basic scale of pay,ಮೂಲ ವೇತನ ಶ್ರೇಣಿ
basic training,ಮೂಲ ಶಿಕ್ಷಣ
basically,ಮೂಲಭೂತವಾಗಿ
basis,ಆಧಾರ
batch,ತಂಡ
batch number,ತಂಡದ ಸಂಖ್ಯೆ
bearer cheque,ಧಾರಕ ಚೆಕ್
before cited,"ಮೊದಲು ಉಲ್ಲೇಖಸಿದ, ಮೊದಲು ಹೇಳಲಾದ"
behaviour,"ನಡವಳಿಕೆ, ವರ್ತನೆ, ನಡತೆ"
belief,ನಂಬಿಕೆ
below par,ಅಸಲಿಗಿಂತ ಕಡಿಮೆ ಮೌಲ್ಯದ
bench,"ನ್ಯಾಯಪೀಠ, ಬೆಂಚು"
benchmark,"ಮಟ್ಟ, ಗುರುತು"
beneficial,"ಲಾಭದಾಯಕ, ಅನುಕೂಲಕರ"
beneficiary,ಫಲಾನುಭವಿ
benefit,"ಲಾಭ, ಹಿತ"
benefit of doubt,ಸಂದೇಹದ ಲಾಭ
benevolence,"ಉದಾತ್ತತೆ, ದಯಾಪರತೆ"
benevolent fund,"ಉದಾರ ನಿಧಿ, ಹಿತನಿಧಿ"
bequeath,ಉಯಿಲು ಮೂಲಕ ಕೊಡು
bequest,ಉಯಿಲು ಕೊಡುಗೆ
bereaved,"ವಿಯೋಗ ಹೊಂದಿದ, ಅಗಲಿದ, ನಷ್ಟಹೊಂದಿದ"
best endeavours,"ಅತ್ಯುತ್ತಮ ಪ್ರಯತ್ನಗಳು, ಅತ್ಯುತ್ತಮ ಪರಿಶ್ರಮಗಳು"
betterment,"ಅಭಿವೃದ್ಧಿ, ಪುರೋಭಿವೃದ್ಧಿ"
bias,"ಪಕ್ಷಪಾತ, ಒಲವು"
biased opinion,ಪಕ್ಷಪಾತದಿಂದ ಕೂಡಿದ ಅಭಿಪ್ರಾಯ
bibliography,"ಗ್ರಂಥ ಸೂಚಿ, ಗ್ರಂಥ ವಿವರಣಪಟ್ಟಿ"
bicameral,"ಎರಡು ಶಾಸನ ಸಭೆಗಳುಳ್ಳ, ದ್ವಿಸದನದ"
biennial,ದ್ವೈವಾರ್ಷಿಕ
bifurcate,ವಿಭಜನೆ
bigamy,"ದ್ವಿಪತ್ನಿತ್ವ, ದ್ವಿಪತಿತ್ವ"
bilateral,ದ್ವಿಪಕ್ಷೀಯ
bilingual,ದ್ವಿಭಾಷೀಯ
bill,"ವಿಧೇಯಕ, ಮಸೂದೆ, ಹುಂಡಿ, ಬಿಲ್ಲು"
bill of exchange,ವಿನಿಮಯ ಪತ್ರ
bimonthly report,ದ್ವೈಮಾಸಿಕ ವರದಿ
binding,ಬಂಧನಕಾರಿ
biodata,ಸ್ವವಿವರ
bipartite,ದ್ವಿಪಕ್ಷೀಯ
bipartite agreement,ದ್ವಿಪಕ್ಷೀಯ ಒಪ್ಪಂದ
birth anniversary,ಹುಟ್ಟು ಹಬ್ಬ
birth certificate,ಜನನ ಪ್ರಮಾಣ ಪತ್ರ
birth control,ಸಂತಾನ ನಿಯಂತ್ರಣ
birth date,ಜನ್ಮ ದಿನಾಂಕ
birth place,"ಜನ್ಮಸ್ಥಾನ, ಜನ್ಮಸ್ಥಳ"
birth rate,ಜನನ ಪ್ರಮಾಣ
biweekly,"ವಾರಕ್ಕೆರಡು ಬಾರಿ, ಎರಡು ವಾರಕ್ಕೊಂದು ಬಾರಿ, ದ್ವೈವಾರಿಕೆ"
black economy,"ಕಾಳ ಅರ್ಥವ್ಯವಸ್ಥೆ, ಕಾಳ ಆರ್ಥಿಕತೆ"
black list,ಕಪ್ಪು ಪಟ್ಟಿ
black market,ಕಾಳಸಂತೆ
blackmail,"ಹೆದರಿಸಿ ಹಣ ಕಿತ್ತು ಕೊಳ್ಳುವುದು, ಹೆದರಿಸಿ ಹಣ ಕಿತ್ತುಕೊ"
blame,"ಅಪವಾದ, ಅಪವಾದ ಹೊರಿಸು, ತಪ್ಪು ಹೊರಿಸು"
blank cheque,ಖಾಲಿ ಚೆಕ್ಕು
blanket deal,ವ್ಯಾಪಕ ವ್ಯವಹಾರ
blanket order,ವ್ಯಾಪಕ ಆದೇಶ
blast,"ಸಿಡಿತ, ಸ್ಫೋಟ, ಸಿಡಿಸು"
blending,"ಸಂಮಿಶ್ರಣ ಮಾಡು, ಮಿಶ್ರ ಪಡಿಸು"
block,"ವಿಭಾಗ, ಕ್ಷೇತ್ರ, ಪಡಿಯಚ್ಚು, ತಡೆ, ಅಡ್ಡಿಗಳು, ತಡೆಹಿಡಿ"
block letter,"ದೊಡ್ಡ ಅಕ್ಷರ, ಬಿಡಿ ಅಕ್ಷರ, ದಪ್ದ ಅಕ್ಷರ"
blockade,ದಿಗ್ಬಂಧ
blocked capital,"ನಿಗ್ಬಂಧಿತ ಬಂಡವಾಳ, ನಿಂತು ಹೋದ ಬಂಡವಾಳ"
blood donation,ರಕ್ತದಾನ
blood relations,ರಕ್ತ ಸಂಬಂಧಿ
blue collar job,"ದೈಹಿಕ ವೃತ್ತಿ, ದೈಹಿಕ ಉದ್ಯೋಗ"
blueprint,"ನೀಲಿ ನಕ್ಷೆ, ನೀಲಿ ಪ್ರತಿ"
bluff,"ಪ್ರಪಾತ, ಸುಳ್ಳು ಹೇಳು, ಬುರುಡೆ ಬಿಡು"
board,"ಮಂಡಳಿ, ಹತ್ತು, ಭೋಜನ"
board of directors,ನಿರ್ದೇಶಕ ಮಂಡಳಿ
board of revenue,ರಾಜಸ್ವ ಮಂಡಳಿ
boarding and lodging,ಊಟ ಮತ್ತು ವಸತಿ
body,"ನಿಕಾಯ, ಸಂಸ್ಥೆ, ಶರೀರ, ಶವ"
bodyguard,ಅಂಗರಕ್ಷಕ
bogus voucher,"ನಕಲಿ ವೋಚರು, ನಕಲಿ ರಸೀದಿ"
bonafides,"ಪ್ರಾಮಾಣಿಕತೆ, ಸದ್ಭಾವಿಕ"
bond,"ಬಂಧ ಪತ್ರ, ಮುಚ್ಚಳಿಕೆ, ಬಾಂಡ್"
bonded labour,ಜೀತ ಪದ್ಧತಿ
bonus,"ಅಧಿಲಾಭಾಂಶ, ಬೋನಸ್ಸು"
book of reference,ಪರಾಮರ್ಶನ ಗ್ರಂಥ
book value,ಪುಸ್ತಕ ಮೌಲ್ಯ
book-keeper,ಲೆಕ್ಕ ಬರಹಗಾರ
book-keeping,ಲೆಕ್ಕ ಬರಹ
booking office,"ಬುಕಿಂಗ್ ಕಛೇರಿ, ಟಿಕೆಟ್ ನೀಡುವ ಕಛೇರಿ"
booklet,"ಕಿರು ಹೊತ್ತಿಗೆ, ಪುಸ್ತಿಕೆ"
booth,"ಮಳಿಗೆ, ಕಟ್ಟೆ"
booth capturing,ಮತಗಟ್ಟೆ ವಶಪಡಿಸಿಕೊಳ್ಳುವುದು
border allowance,"ಸೀಮಾಭತ್ಯೆ, ಗಡಿ ಭತ್ಯೆ"
border line,"ಗಡಿರೇಖೆ, ಸೀಮಾರೇಖೆ"
borrower,ಸಾಲಗಾರ
borrowing power,ಸಾಲ ತೆಗೆದು ಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ
boss,"ಮೇಲಧಿಕಾರಿ, ಯಜಮಾನ, ಧಣಿ, ಒಡೆಯ"
bottleneck,"ಇಕ್ಕಟ್ಟು, ಅಡಚಣೆ"
boundary,"ಬಾಂದು, ಗಡಿ, ಮೇರೆ"
boycott,ಬಹಿಷ್ಕರಿಸು
bracket,"ಕಂಸ, ಆವರಣ"
brain drain,ಪ್ರತಿಭಾ ಪಲಾಯನ
branch office,ಶಾಖಾ ಕಛೇರಿ
breach,"ಭಂಗ, ಉಲ್ಲಂಘನೆ"
breach of agreement,ಒಪ್ಪಂದದ ಉಲ್ಲಂಘನೆ
breach of confidence,ವಿಶ್ವಾಸಭಂಗ
breach of contract,"ಕರಾರುಭಂಗ, ಕರಾರು ಉಲ್ಲಂಘನೆ"
breach of discipline,ಶಿಸ್ತು ಉಲ್ಲಂಘನೆ
breach of law,"ಕಾನೂನು ಉಲ್ಲಂಘನೆ, ಶಾಸನ ಉಲ್ಲಂಘನೆ"
breach of peace,ಶಾಂತಿ ಭಂಗ
breach of privilege,ವಿಶೇಷಾಧಿಕಾರ ಉಲ್ಲಂಘನೆ
breach of promise,ವಚನ ಭಂಗ
breach of rule,"ನಿಯಮಭಂಗ, ನಿಯಮೋಲ್ಲಂಘನೆ"
breach of trust,ವಿಶ್ವಾಸ ಭಂಗ
break down,"ಕುಸಿದು ಬೀಳು, ಕೆಟ್ಟು ನಿಂತು ಹೋಗು"
break in service,ಸೇವಾಭಂಗ
break-up,"ವಿಂಗಡಣೆ, ವಿತರಣೆ, ಹಂಚಿಕೆ, ಒಡೆದು ಚೂರಾಗು"
breakage,"ಒಡೆತ, ಒಡೆದ ವಸ್ತು, ಒಡೆತ ನಷ್ಟ"
breed,"ಪೀಳಿಗೆ, ಜಾತಿ, ವಂಶ, ತಳಿ"
bribe,"ಲಂಚ, ರುಷುವತ್ತು"
brief,"ವಕಾಲತ್ತು, ಸಂಕ್ಷಿಪ್ತ, ಪಕ್ಷಸಾರ"
brief resume,ಪಕ್ಷಸಾರವನ್ನು ಮತ್ತೆ ಪ್ರಾರಂಭಿಸುವುದು
briefing,ಪಕ್ಷಸಾರವನ್ನು ಹೇಳುವುದು
brilliant record,"ಉಜ್ವಲ ದಾಖಲೆ, ಯಶಸ್ವಿದಾಖಲೆ"
bring into notice,ಗಮನಕ್ಕೆ ತರು
broadcast,"ಪ್ರಸಾರ ಮಾಡು, ಬಿತ್ತರಿಸು"
broadsheet,ಬೃಹತ್ ಹಾಳೆ
brochure,ಚಿಕ್ಕಪುಸ್ತಕ
brokerage,ದಳ್ಳಾಳಿ ಶುಲ್ಕ
brought forward (b/f),ಮುಂದೆತರಲಾದ
budget allocation,"ಆಯವ್ಯಯಹಂಚಿಕೆ, ಬಜೆಟ್ ಹಂಚಿಕೆ"
budget estimate,"ಆಯವ್ಯಯ ಪತ್ರದ ಅಂದಾಜು, ಬಜೆಟ್ ಅಂದಾಜು"
budget provision,ಆಯ ವ್ಯಯದಲ್ಲಿ ಅವಕಾಶ
bugetary control,ಆಯವ್ಯಯ ನಿಯಂತ್ರಣ
building,"ಕಟ್ಟಡ, ಭವನ"
bulk,"ಸಗಟು, ರಾಶಿ, ಒಟ್ಟು"
bulk purchase,ಸಗಟು ಖರೀದಿ
bulletin,ಲಘು ಪ್ರಕಟಣೆ ಬುಲೇಟಿನ್
bumper crop,ಹುಲುಸು ಬೆಳೆ
bunching of vacancies,ಖಾಲಿ ಹುದ್ದೆಗಳನ್ನು ಒಟ್ಟುಗೂಡಿಸುವುದು
bungling,"ಅತಂತ್ರ ಮಾಡು, ಗಲಿಬಿಲಿಮಾಡು, ಅಡ್ಡಾದಿಡ್ಡಿಮಾಡು"
bureaucracy,"ಅಧಿಕಾರ ಶಾಹಿ, ನೌಕರ ಶಾಹಿ"
bureaucrat,"ಅಧಿಕಾರಿ, ನೌಕರ"
business class,ವ್ಯಾಪಾರೀವರ್ಗ
business hours (= hours of business),ಕೆಲಸದ ವೇಳೆ
businessman,ವ್ಯಾಪಾರಿ
buy-back,"ಮರುಖರೀದಿ, ವಾಪಸ್ ಕೊಳ್ಳು"
buyer,ಖರೀದಿದಾರ
by hand,"ಮುದ್ದಾಂ, ಖುದ್ದಾಗಿ"
by post,ಅಂಚೆ ಮೂಲಕ
bye election (by election),ಉಪಚುನಾವಣೆ
cabin baggage,ಕ್ಯಾಬಿನ್ ಸರಂಜಾಮು
cabinet,"ಮಂತ್ರಿ ಮಂಡಳ, ಸಚಿವ ಸಂಪುಟ"
cadre,"ಕೇಡರ್, ಪದ ವೃಂದ"
calamity,"ಆಪತ್ತು, ವಿಪತ್ತು"
calculation,"ಲೆಕ್ಕಚಾರ, ಗಣನೆ"
calendar year,ಕ್ಯಾಲೆಂಡರ್ ವರ್ಷ
campaign,"ಚಳುವಳಿ, ಆಂದೋಲನ"
campus,ಆವರಣ
campus interview,ಕ್ಯಾಂಪಸ್ ಸಂದರ್ಶನ
cancel,"ರದ್ದುಮಾಡು, ತೊಡೆದು ಹಾಕು"
cancellation,ರದ್ದತಿ
candidate,"ಅಭ್ಯರ್ಥಿ, ಉಮೇದುವಾರ"
candidature,ಉಮೇದುವಾರಿಕೆ
canvassing,"ಪ್ರಚಾರಮಾಡು, ಮತಬೇಡು, ವ್ಯಾಪ್ತಿ"
capability,ಸಾಮರ್ಥ್ಯ
capable,"ಸಮರ್ಥ, ಶಕ್ತ"
capacity,"ಸಾಮರ್ಥ್ಯ, ಧಾರಣ ಶಕ್ತಿ, ಕ್ಷಮತೆ"
capital,"ಬಂಡವಾಳ, ಮೂಲಧನ, ರಾಜಧಾನಿ"
capital expenditure,"ಬಂಡವಾಳ ವ್ಯಯ, ಬಂಡವಾಳಖರ್ಚು"
capital punishment,ಮರಣದಂಡನೆ
capitation fee,"ಸೀಟುಶುಲ್ಕ, ತಲಾ ಶುಲ್ಕ"
capture,"ಸೆರೆ, ಸೆರೆಹಿಡಿ"
care,"ಎಚ್ಚರಿಕೆ, ಪಾಲನೆ"
career,"ಜೀವನೋಪಾಯ, ತೀವ್ರಗತಿ"
career development,"ವೃತ್ತಿ ವಿಕಸನ, ಜೀವನೋಪಾಯ ಬೆಳವಣಿಗೆ"
caretaker government,ಉಸ್ತುವಾರಿ ಸರ್ಕಾರ
carried forward (c/f),"ಮುಂದುವರೆಸಿದ, ಮುಂದಕ್ಕೊಯ್ದ"
carry forward,"ಮುಂದುವರೆಸು, ಮುಂದಕ್ಕೊಯ್ಯು"
carry over,"ಕ್ಯಾರೀಓವರ್, ನಿರ್ವಹಿಸು, ನಿಭಾಯಿಸು, ನೆರವೇರಿಸು"
carrying cost,ರವಾನೆ ಖರ್ಚು
cartage,ಗಾಡಿ ಬಾಡಿಗೆ
case,"ವಿಷಯ, ಪ್ರಕರಣ, ಮೊಕದ್ದಮೆ, ಕೇಸು"
case study,ಪ್ರಕರಣದ ಅಧ್ಯಯನ
cash,ನಗದು
cash balance,ನಗದು ಶಿಲ್ಕು
cash book,"ನಗದು ಪುಸ್ತಕ, ಕ್ಯಾಷ್ ಬುಕ್ಕು"
cash card,ನಗದು ಕಾರ್ಡು
cash certificate,ನಗದು ಪ್ರಮಾಣ ಪತ್ರ
cash counter,"ನಗದು ಕೌಂಟರ್, ಕ್ಯಾಷ್ ಕೌಂಟರ್"
cash crop,ವಾಣಿಜ್ಯಬೆಳೆ
cash discount,ನಗದು ಸೋಡಿ
cash down,ನಗದು ಸಲ್ಲಿಕೆ
cash in hand,ಕೈನಗದು
cash memo,ನಗದು ಜ್ಞಾಪನ
cash payment,ನಗದು ಸಂದಾಯ
caste,ಜಾತಿ
caste certificate,ಜಾತಿ ಪ್ರಮಾಣ ಪತ್ರ
casting vote,"ಮತ ಚಲಾಯಿಸು, ಓಟು ಕೊಡು"
casual,"ಆಕಸ್ಮಿಕ, ಸಾಂದರ್ಭಿಕ, ಅನಿಯತ"
casual labour,"ಬಿಡಿಕೂಲಿ, ಬಿಡಿಕಾರ್ಮಿಕ"
casual leave,ಸಾಂದರ್ಭಿಕ ರಜೆ
casual vacancy,ಸಾಂದರ್ಭಿಕ/ಆಕಸ್ಮಿಕ-ಹುದ್ದೆ
casualty,"ಅಪಘಾತ, ದುರ್ಘಟನೆ"
catalogue,"ಗ್ರಂಥ ಪಟ್ಟಿ, ವಿಷಯಪಟ್ಟಿ"
categorical,"ಖಂಡಿತ, ನಿಖರ, ಖಚಿತ"
category,ಪ್ರವರ್ಗ
catering service,"ಆಹಾರಸರಬರಾಜು ಸೇವೆ, ಊಟೋಸಚಾರ ಸೇವೆ"
caution,ಎಚ್ಚರಿಕೆ
caution money,"ಭದ್ರತಾಹಣ, ಮುಂಜಾಗ್ರತಾಹಣ"
cease fire,ಕದನ ವಿರಾಮ
"ceiling (as of ""price"")",ಗರಿಷ್ಠ ಪರಿಮಿತ (ಬೆಲೆ)
celebration,ಆಚರಣೆ
cell phone,"ಮೊಬೈಲು ದೂರವಾಣಿ, ಚರದೂರವಾಣಿ"
censor,"ದೋಷನಿಯಂತ್ರಕ, ಪರಾಮರ್ಶಕ"
censure,"ಖಂಡನೆ, ನಿಂದನೆ, ವಾಗ್ದಂಡನೆ"
censure motion,"ನಿಂದನಾ ನಿರ್ಣಯ, ಖಂಡನಾ ನಿರ್ಣಯ"
census,ಜನಗಣತಿ
central cess,ಕೇಂದ್ರೀಯ ಉಪಕರ
central civil service (CCS) rules,ಕೇಂದ್ರ ಸಿವಿಲ್ ಸೇವೆಗಳ ನಿಯಮಗಳು
central excise,ಕೇಂದ್ರ ಉತ್ಪಾದನಾ ಶುಲ್ಕ
central government,ಕೇಂದ್ರ ಸರ್ಕಾರ
central office,ಕೇಂದ್ರ ಕಛೇರಿ
central revenues,ಕೇಂದ್ರರಾಜಸ್ವ
central sales tax,ಕೇಂದ್ರ ಮಾರಾಟ ತೆರಿಗೆ
centralization,ಕೇಂದ್ರೀಕರಣ
centralized service,ಕೇಂದ್ರೀಕೃತ ಸೇವೆ
centrally funded scheme,ಕೇಂದ್ರ ಪೋಷಿತ ಕಾರ್ಯಯೋಜನೆ
centrally sponsored scheme,ಕೇಂದ್ರ ಪ್ರಾಯೋಜಿತ ಕಾರ್ಯ ಯೋಜನೆ
centre,ಕೇಂದ್ರ
century,"ಶತಾಬ್ದಿ, ಶತಕ"
cereal,ಧಾನ್ಯ
cerealist,ಧಾನ್ಯ ಶಾಸ್ತ್ರಜ್ಞ
ceremonial parade,"ಸಮಾರಂಭದ ಪರೇಡ್, ಶಿಷ್ಟಾಚಾರ ಪರೇಡ್"
ceremony,"ಸಮಾರಂಭ, ಕರ್ಮಾಚರಣೆ"
certificate,ಪ್ರಮಾಣ ಪತ್ರ
certificate of fitness,"ಯೋಗ್ಯತಾ ಪ್ರಮಾಣ ಪತ್ರ, ದೈಹಿಕ ಅರ್ಹತಾಪತ್ರ"
certificate of posting,ಅಂಚೆ ಪ್ರ ಮಾಣ ಪತ್ರ
certificate of service,ಸೇವಾ ಪ್ರಮಾಣ ಪತ್ರ
certification,ಪ್ರಮಾಣೀಕರಣ
certified copy,ಪ್ರಮಾಣಿತ ಪ್ರತಿ
certify,ಪ್ರಮಾಣೀಕರಿಸು
cess,ಉಪಕರ
cessation,"ನಿಲ್ಲಿಸುವಿಕೆ, ಸಮಾಪ್ತಿ, ವಿರಾಮ"
chain,ಸರಪಳಿ
chairman/chairperson,"ಅಧ್ಯಕ್ಷ, ಸಭಾಪತಿ"
challan,ಚಲನ್
