ab initio,"ആദ്യം മുതല്‍ക്ക്, ആരംഭത്തിലെ"
bequeath,"മരണശാസനം മുഖേനകൊടുക്കുക, ഒസ്യത്തായി കൊടുക്കുക"
bequest,"ഒസ്യത്ത്, ദായം"
bereaved,ശോക സന്തപ്തന്‍
best endeavours,ഏറ്റവുമധികം പ്രയത്നിക്കുക
betterment,"ബെറ്റര്‍മെന്‍റ്, ഉന്നയനം"
bias,"ചായ്്വ്, പക്ഷപാതം, പൂര്‍വഗ്രഹം"
biased opinion,പക്ഷപാതപൂര്‍ണമായ അഭിപ്രായം
bibliography,"ഗ്രസ്ഥസൂചി, ഗ്രന്ഥ വിജ്ഞാനം"
bicameral,"ദ്വിപക്ഷീയം, ദ്വിപാര്‍ശ്വീയം"
biennial,ദ്വിവാര്‍ഷിക തിരഞ്ഞെടുപ്പ്
bifurcate,രണ്ടായി പിരിക്കുക
bigamy,"ദ്വിവാഹം, ദ്വിഭാര്യത്വം, ദ്വിഭര്‍തൃത്വം"
bilateral,"ദ്വിപക്ഷീയം, ദ്വിപാര്‍ശ്വീയം"
bilingual,ദ്വിഭാഷാ
bill,"ബില്ല്, പരസ്യം, നിയമപത്രം കണക്കുചീട്ട്"
bill of exchange,"ഏക്സ്ചേഞ്ച് ബിൽ, വിനിമയപത്രം"
bimonthly report,മാസിക റിപ്പോര്‍ട്ട്/ ദ്വിമാസി
binding,ബാധകം
biodata,"ബയോഡറ്റ, സ്വവിവരണം"
bipartite,"ഉഭയപക്ഷകം, ഇരുകക്ഷികളുള്ളത്"
bipartite agreement,"ഉഭയപക്ഷ കരാര്‍, ഉഭയപക്ഷ ഉടമ്പടി"
birth anniversary,ജനന വാര്‍ഷികം
birth certificate,ജനന സര്‍ട്ടിഫിക്കറ്റ്
birth control,ജനന നിയന്ത്രണം
birth date,ജനന തീയതി
birth place,ജനനസ്ഥലം
birth rate,ജനനനിരക്ക്
biweekly,ദ്വൈവാരിക
black economy,മോശമായ സാമ്പാത്തിക വ്യവസ്ഥ
black list,"ബ്ലാക്ക് ലിസ്‍റ്റ്, വീഴ്ചപ്പട്ടിക"
black market,കരിഞ്ചന്ത
blackmail,"ഭയപ്പെടുത്തി പണം അപഹരിക്കൽ, ഭീഷണിപ്പണം"
blame,കുറ്റപ്പെടുത്തുക
blank cheque,"ബ്ലാങ്ക് ചെക്ക്, തുകയിടാചെക്ക്"
blanket deal,വ്യാപകമായ ഇടപാട്
blanket order,വ്യാപകമായ ഉത്തരവ്
blast,"ബ്ലാസറ്റ്, വെടിവെച്ച് പാറ പൊട്ടിക്കൽ, വെടിവയ്പ്പ്"
blending,സമ്മിശ്രണം
block,"ബ്ലോക്ക്, ഖണ്ഡം, പ്രഖണ്ഡം"
block letter,വലിയ അക്ഷരം
blockade,അവരോധം
blocked capital,അവരോധിത മൂലധനം
blood donation,രക്ത ദാനം
blood relations,രക്ത ബന്ധമുള്ളവര്‍
blue collar job,കായികമായ ജോലി
blueprint,"ബ്ലൂപ്രിന്‍റ്, രൂപരേഖ"
bluff,"ഭോഷ്ക്, വിരട്ടൽ"
board,"ബോര്‍ഡ്, സമിതി"
board of directors,ഡയറക്ടര്‍ ബോര്‍ഡ്
board of revenue,റവന്യൂ ബോര്‍ഡ്
boarding and lodging,ഭക്ഷണതാമസസൌകര്യങ്ങൾ
body,"ശരീരം, സംഘം, സമൂഹം, നികായം"
bodyguard,അംഗരക്ഷകന്‍
bogus voucher,"വ്യാജ വൌച്ചര്‍, വ്യാജമായ ഉറപ്പുചീട്ട്"
bonafides,"ഉത്തമവിശ്വാസം, സദ്ഭാവം"
bond,"ബോണ്ട‍്, കൈച്ചീട്ട്, ഈടുപത്രം"
bonded labour,അടിമപ്പണി ചെയ്യുന്നവര്‍
bonus,ബോണസ്
book of reference,പരാമര്‍ശ പുസ്തകം
book value,"ബുക്ക് വാല്യൂ, ബുക്കുവില"
book-keeper,"ബുക് കീപ്പര്‍, കണക്കപ്പിള്ള"
book-keeping,ബുക് കീപ്പിങ്
booking office,"ബുക്കിങ് ആഫീസ്, ടിക്കറ്റു വില്പന സ്ഥലം"
booklet,ചെറു പുസ്തകം
booth,ബൂത്ത്
booth capturing,ബൂത്ത് പിടിച്ചെടുക്കുക
border allowance,അതിര്‍ത്തി പ്രദേശ ബത്ത
border line,അതിര്‍ത്തിരേഖ
borrower,കടം വാങ്ങുന്നവ൯
borrowing power,"ഋണാദാനശക്തി, കടമെടുക്കുന്ന ശക്തി"
boss,മേലുദ്യോഗസ്ഥന്‍
bottleneck,"ഗത്യാവരോധം, ഇടുക്ക്"
boundary,അതിര്
boycott,"ബോയ്ക്കോട്ട്, ബഹിഷ്ക്കരിക്കുക"
bracket,"ബ്രാക്കറ്റ്, വലയം"
brain drain,പ്രതിഭാപലായനം
branch office,ബ്രാഞ്ച് ഓഫീസ്
breach,"ലംഘനം, ഭംഗം"
breach of agreement,"കരാര്‍ ലംഘനം, ഉടമ്പടി ലംഘനം"
breach of confidence,വിശ്വാസ ഭംഗം
breach of contract,കരാര്‍ലംഘനം
breach of discipline,അച്ചടക്കലംഘനം
breach of law,"നിയമലംഘനം, നിയമഭഞ്ജനം"
breach of peace,സമാധാനലംഘനം
breach of privilege,അവകാശലംഘനം
breach of promise,വാഗ്ദാനലംഘനം
breach of rule,നിയമലംഘനം
breach of trust,വിശ്വാസവഞ്ചന
break down,"തകര്‍ച്ച, വിശ്ലേഷണം"
break in service,"സര്‍വീസ് ബ്രേക്ക്, സേവന ഇടമുറിവ്"
break-up,"വിഭജനം, വിഘടനം, ഇടവ്"
breakage,"ബ്രേക്കേജ്, ഉടവ്, ഉടഞ്ഞതിന് വകവയ്കന്ന പണം"
breed,"ബ്രീഡ്, വളര്‍ത്തിയെടുക്കുക, കന്നുകാലികളുടെ വംശം, ഇനം"
bribe,"കോഴ, കൈക്കൂലി"
brief,"സംക്ഷിപ്തം, വ്യവഹാരക്കുറിപ്പ്, വക്കാലത്ത്"
brief resume,ചുരുക്കമായ സംക്ഷേപം
briefing,"സാരസംക്ഷേപന്നം, പത്രസാരം"
brilliant record,"പ്രശസ്ത റെക്കാര്‍ഡ്, പ്രശസ്ത വിജയം"
bring into notice,അറിവിനായി കൊണ്ടുവരിക
broadcast,"പ്രക്ഷേപണം ചെയ്യുക, പ്രക്ഷേപണിപ്രസംഗം"
broadsheet,വലിയ കണക്കു കുറിപ്പ്
brochure,"ലഘുലേഖ, വിവരണിക"
brokerage,"ബ്രോക്കറേജ്, ദല്ലാൾ, വട്ടം"
brought forward (b/f),എടുത്തെഴുതിയ
budget allocation,"ബജറ്റ് നിയതനം, ബജറ്റ് നിര്‍ധാരണം"
budget estimate,"ബജറ്റ് അനുമാനം, മതിപ്പ് ബജറ്റ്"
budget provision,ബജറ്റ് വകയിരുത്തൽ
bugetary control,ബജറ്റ് സമ്പന്ധിച്ച നിയന്ത്രണം
building,"കെട്ടിടം, ഭവനം"
bulk,മൊത്തം
bulk purchase,മൊത്തം വാങ്ങൽ
bulletin,ബുള്ളറ്റിന്‍
bumper crop,സമൃദ്ധമായ വിളവ്
bunching of vacancies,ഒഴിവുകളെ ഒന്നിച്ചു കൂട്ടുക
Bungling,കാര്യങ്ങൾ കുഴയ്ക്കുക
bureaucracy,ഉദ്ദ്യോഗസ്ഥമോധവിത്യം
bureaucrat,ഉദ്ദ്യോഗസ്ഥമേധാവി
business class,വ്യാപാരിവര്‍ഗം
business hours (= hours of business),പ്രവൃത്തിസമയം
businessman,വ്യാപാരി
buy-back,പ്രതിക്രയം
buyer,"ക്രേതാവ്, വാങ്ങുന്നവന്‍"
by hand,ആൾവശം
by post,തപാൽ വഴി
bye election (by election),ഉപതെരഞ്ഞെടുപ്പ്
cabin baggage,"കാബിന്‍, ചെറുമുറി"
cabinet,"കാബിനറ്റ്, മന്ത്രിസഭ, അലമാര"
cadre,കേഡര്‍
calamity,അത്യാഹിതം
calculation,"കണക്കുകൂട്ടൽ, പരികലനം, ഗണനം"
calendar year,"കാലണ്ട‍ര്‍, പഞ്ചാംഗം കലണ്ട‍ര്‍വര്‍ഷം"
campaign,"ക്യാംപെയിന്‍, അഭിയാനം, പ്രസ്ഥാനം"
campus,ക്യാമ്പസ്
campus interview,ക്യാമ്പസ് ഇന്‍ര്‍വ്യൂ
cancel,"അസ്ഥിരപ്പെടുത്തുക, റദ്ദാക്കുക, ദുര്‍ബലപ്പെടുത്തുക"
cancellation,റദ്ദാക്കൽ
candidate,"അപേക്ഷകന്‍, സ്ഥാനാര്‍ഥി, ഉദ്യോഗാര്‍ഥി"
candidature,സ്ഥാനാര്‍ഥിത്വം
canvassing,"വോട്ടുപിടിക്കുക, പക്ഷപ്രചാരണം ചെയ്യുക"
capability,"ക്ഷമത, കഴിവ്, സാമര്‍ഥ്യം"
capable,"സമര്‍ഥം, ക്ഷമം"
capacity,"ക്ഷമത, സാമര്‍ഥ്യം, കഴിവ്, ധാരിത, ഉള്‍ക്കോൾ, സമര്‍ഥത, നില"
capital,"മൂലധനം, തലസ്ഥാനം, വലിയ അക്ഷരം"
capital expenditure,മൂലധനച്ചെലവ്
capital punishment,മരണ ശിക്ഷ
capitation fee,"വ്യക്തിഫീസ്, പ്രതിവ്യക്തിശുല്‍ക്കം, തലവരി"
capture,"പിടിച്ചെക്കുക, പിടിച്ചെടുത്ത മുതൽ"
care,"ശൃദ്ധ, സൂക്ഷിപ്പ്, പരിചരണം"
career,"ചര്യ, ജീവിതവൃത്തി, ജീവിതഗതി"
career development,"ജീവതവൃത്തി വികസനം, തൊഴിൽ വികസനം"
caretaker government,താത്ക്കാലികമായി അധികാരം കൈയാളുന്ന ഗവര്‍ണമെന്‍റ്
carried forward (c/f),"എടുത്തെഴുതിയ, എടുത്തെഴുതപ്പെട്ട"
carry forward,എടുത്തെഴുതുക
carry over,എടുത്തെഴുതുക
carrying cost,സൂക്ഷിപ്പ് ചെലവ്
cartage,വണ്ട‍ിക്കൂലി
case,"കേസ്സ്, വ്യവഹാരം, വിഷയം, കാര്യം"
case study,വിഷയപഠനം
cash,"ക്യാഷ്, കാശ്, കാശാക്കുക, രൊക്കം"
cash balance,രൊക്കബാക്കി
cash book,"ക്യാഷ് ബുക്ക്, രൊക്കപുസ്തകം"
cash card,കാഷ് കാര്‍ഡ്
cash certificate,ക്യാഷ് സര്‍ട്ടിഫിക്കറ്റ്
cash counter,ക്യാഷ് കൌണ്ട‍ര്‍
cash crop,വാണിജ്യവിള
cash discount,രൊക്ക ഇളവ്
cash down,മൊത്തമായ പണം അടയ്ക്കുക
cash in hand,കൈയിരിപ്പുതുക
cash memo,ക്യാഷ്മെമ്മോ
cash payment,പണമായി കൊടുക്കൽ
