English,Malayalam
Back gear,ബാക്ക് ഗിയർ
Back node,പിൻ നോഡ്
Back pitch,ബാക്ക് പിച്ച്
Back plate,ബാക്ക് പ്ലേറ്റ്
Back pressure,പിന്നിലെ മർദ്ദം
Back roller,ബാക്ക് റോളർ
Back stay,തിരികെ താമസം
Back stroke (return stroke),ബാക്ക് സ്ട്രോക്ക് (റിട്ടേൺ സ്ട്രോക്ക്)
Back up weld,ബാക്കപ്പ് വെൽഡ്
Back cone,പിൻ കോൺ
Backing,പിന്തുണ
Backing sand,പിൻഭാഗത്തെ മണൽ
Backlash amplification,ബാക്ക്ലാഷ് ആംപ്ലിഫിക്കേഷൻ
Backward welding,ബാക്ക്വേർഡ് വെൽഡിംഗ്
Baffle,തടസ്സപ്പെടുത്തുക
Baffle plate,ബാഫിൽ പ്ലേറ്റ്
Bailing press,ബെയിലിംഗ് പ്രസ്സ്
Bakelite,ബേക്കലൈറ്റ്
Baking,ബേക്കിംഗ്
Balance,ബാലൻസ്
Balance control,ബാലൻസ് നിയന്ത്രണം
Balance draft,ബാലൻസ് ഡ്രാഫ്റ്റ്
Balance sheet,ബാലൻസ് ഷീറ്റ്
Balance weight,ബാലൻസ് ഭാരം
Balance wheel,ബാലൻസ് വീൽ
Balanced turbine disk,സമതുലിതമായ ടർബൈൻ ഡിസ്ക്
Balancer,ബാലൻസർ
Balancing,ബാലൻസ് ചെയ്യുന്നു
Balancing,ബാലൻസ് ചെയ്യുന്നു
Balancing characteristics,ബാലൻസിങ് സവിശേഷതകൾ
Balancing machine,ബാലൻസിങ് മെഷീൻ
Balancing moment,ബാലൻസ് ചെയ്യുന്ന നിമിഷം
Balancing network,ബാലൻസിങ് നെറ്റ്‌വർക്ക്
Balancing technique,ബാലൻസിങ് ടെക്നിക്
Ball and cup,പന്തും കപ്പും
Ball bearing,ബോൾ ബെയറിംഗ്
Ball joint,ബോൾ ജോയിന്റ്
Ball mill,ബോൾ മിൽ
Ballpane hammer,ബോൾപേൻ ചുറ്റിക
Ball race,ബോൾ ഓട്ടം
Ball race bearing,ബോൾ റേസ് ബെയറിംഗ്
Ball socket,ബോൾ സോക്കറ്റ്
Baluster,ബാലസ്റ്റർ
Band brake,ബാൻഡ് ബ്രേക്ക്
Band saw,ബാൻഡ് കണ്ടു
Banki turbine,ബാങ്കി ടർബൈൻ
Banking,ബാങ്കിംഗ്
Bar facing,ബാർ അഭിമുഖീകരിക്കുന്നു
Bar grinding,ബാർ അരക്കൽ
Bar stay,ബാർ സ്റ്റേ
Baro receptor,ബാരോ റിസപ്റ്റർ
Barometer,ബാരോമീറ്റർ
Barometric condenser,ബാരോമെട്രിക് കണ്ടൻസർ
Barrel,ബാരൽ
Barrel bolt,ബാരൽ ബോൾട്ട്
Barrel roller bearing,ബാരൽ റോളർ ബെയറിംഗ്
Base circle pitch,അടിസ്ഥാന സർക്കിൾ പിച്ച്
Base diffusion,അടിസ്ഥാന വ്യാപനം
Base fitting,അടിസ്ഥാന ഫിറ്റിംഗ്
Base load,അടിസ്ഥാന ലോഡ്
Base metal,അടിസ്ഥാന ലോഹം
Base pitch,അടിസ്ഥാന പിച്ച്
Base profile,അടിസ്ഥാന പ്രൊഫൈൽ
Base speed,അടിസ്ഥാന വേഗത
Base station,ബേസ് സ്റ്റേഷൻ
Base diameter,അടിസ്ഥാന വ്യാസം
Basic dimension,അടിസ്ഥാന അളവ്
Basic heat exchanger,അടിസ്ഥാന ചൂട് എക്സ്ചേഞ്ചർ
Basic hole fit,അടിസ്ഥാന ദ്വാരം അനുയോജ്യം
Basic size,അടിസ്ഥാന വലിപ്പം
Basic size,അടിസ്ഥാന വലിപ്പം
Basic strength,അടിസ്ഥാന ശക്തി
Bastard file,ബാസ്റ്റാർഡ് ഫയൽ
Bastard size,ബാസ്റ്റാർഡ് വലുപ്പം
Bastared thread,ബസ്റ്റാർഡ് ത്രെഡ്
Bath,കുളി
Batwing chuck,ബാറ്റിംഗ് ചക്ക്
Bead welding,ബീഡ് വെൽഡിംഗ്
Bead,കൊന്ത
Beaded flange,കൊന്തയുള്ള ഫ്ലേഞ്ച്
Bearer,ചുമക്കുന്നയാൾ
Bearing block,ബെയറിംഗ് ബ്ലോക്ക്
Bearing bracket,ബെയറിംഗ് ബ്രാക്കറ്റ്
Bearing casing,ബെയറിംഗ് കേസിംഗ്
Bearing elasticity,ഇലാസ്തികത വഹിക്കുന്നു
Bearing friction,ഘർഷണം വഹിക്കുന്നു
Bearing housing,ചുമക്കുന്ന ഭവനം
Bearing lubrication,ബെയറിംഗ് ലൂബ്രിക്കേഷൻ
Bearing metal,ലോഹം വഹിക്കുന്നു
Bearing pad,ബെയറിംഗ് പാഡ്
Bearing resistance,പ്രതിരോധം വഹിക്കുന്നു
Bed,കിടക്ക
Bed,കിടക്ക
Bed,കിടക്ക
Bed block,ബെഡ് ബ്ലോക്ക്
Bedding,കിടക്കവിരി
Bedding,കിടക്കവിരി
Behive coke,ബിഹൈവ് കോക്ക്
Belgian truss,ബെൽജിയൻ ട്രസ്
Bell crank lever,ബെൽ ക്രാങ്ക് ലിവർ
Bell mouth,മണി വായ
Bellied file,വയറുനിറഞ്ഞ ഫയൽ
Bellows,ബെല്ലോസ്
Belt,ബെൽറ്റ്
Belt clamp,ബെൽറ്റ് ക്ലാമ്പ്
Belt conveyor,ബെൽറ്റ് കൺവെയർ
Belt creep,ബെൽറ്റ് ക്രീപ്പ്
Belt drive,ബെൽറ്റ് ഡ്രൈവ്
Belt dirven machine,ബെൽറ്റ് ഡൈർവെൻ മെഷീൻ
Belt dynamometer,ബെൽറ്റ് ഡൈനാമോമീറ്റർ
Belt grinder,ബെൽറ്റ് ഗ്രൈൻഡർ
Belt pulley,ബെൽറ്റ് പുള്ളി
"Belt, endless","ബെൽറ്റ്, അനന്തമായ"
Bench,ബെഞ്ച്
Bench lathe,ബെഞ്ച് ലാത്ത്
Bench mark,ബെഞ്ച് മാർക്ക്
Benching,ബെഞ്ചിംഗ്
Bend allowance,ബെൻഡ് അലവൻസ്
Bend allowance formula,ബെൻഡ് അലവൻസ് ഫോർമുല
Bending,വളയുന്നു
Bending fixture,ബെൻഡിംഗ് ഫിക്ചർ
Bending moment,വളയുന്ന നിമിഷം
Bending moment diagram,ബെൻഡിംഗ് മൊമെന്റ് ഡയഗ്രം
"Bending, oblique","വളയുന്ന, ചരിഞ്ഞ"
Bending resistance,വളയുന്ന പ്രതിരോധം
Bending rigidity,വളയുന്ന കാഠിന്യം
Bending stress,വളയുന്ന സമ്മർദ്ദം
Bearing,ബെയറിംഗ്
Bernoullis equation,ബെർണൂലിസ് സമവാക്യം
Bessemer converter,ബെസ്സെമർ കൺവെർട്ടർ
Beval gear,ബെവൽ ഗിയർ
Bevel,ബെവൽ
Bevel,ബെവൽ
Bevel butt weld,ബെവൽ ബട്ട് വെൽഡ്
Bevel reduction drive,ബെവൽ റിഡക്ഷൻ ഡ്രൈവ്
Bevelling,ബെവലിംഗ്
Bevelling machine,ബെവലിംഗ് മെഷീൻ
Bias distortion,പക്ഷപാതം വക്രീകരണം
Biassing,പക്ഷപാതം
Bib,ബിബ്
Bib cock,ബിബ് കോഴി
Bifuel engine,ബൈഫ്യൂവൽ എഞ്ചിൻ
Bifurcated rivet,വിഭജിക്കപ്പെട്ട റിവറ്റ്
Big-end,വലിയ അവസാനം
Big-end bearing,ബിഗ്-എൻഡ് ബെയറിംഗ്
Bilinear form,ബിലീനിയർ രൂപം
Bilinear function non-dependence,ബൈലീനിയർ ഫംഗ്‌ഷൻ നോൺ-ആശ്രിതത്വം
Bilinear transformation,ബിലീനിയർ പരിവർത്തനം
Bilinearity,ദ്വിമുഖത
Billet,ബില്ലറ്റ്
Bimetal thermometer,ബിമെറ്റൽ തെർമോമീറ്റർ
Binary vapour cycle,ബൈനറി നീരാവി ചക്രം
Binder,ബൈൻഡർ
Binder,ബൈൻഡർ
Bionics,ബയോണിക്സ്
Biplane,ബൈപ്ലെയ്ൻ
Bipolar,ബൈപോളാർ
Bistable,ബിസ്റ്റബിൾ
Bistable,ബിസ്റ്റബിൾ
Bit,ബിറ്റ്
Bituminous coal,ബിറ്റുമിനസ് കൽക്കരി
Bituminous felt,ബിറ്റുമിനസ് അനുഭവപ്പെട്ടു
Black bolt,കറുത്ത ബോൾട്ട്
Blacking,കറുപ്പിക്കുന്നു
Blacksmith,കമ്മാരൻ
Blacksmith bellows,കമ്മാരൻ മണിനാദം
Blacksmith hearth,കമ്മാര അടുപ്പ്
Blade,ബ്ലേഡ്
Blade cascade,ബ്ലേഡ് കാസ്കേഡ്
Blade pitch,ബ്ലേഡ് പിച്ച്
Blade profile,ബ്ലേഡ് പ്രൊഫൈൽ
Blade speed,ബ്ലേഡ് വേഗത
Blade theory,ബ്ലേഡ് സിദ്ധാന്തം
Blade tip clearance,ബ്ലേഡ് ടിപ്പ് ക്ലിയറൻസ്
Blade vibration,ബ്ലേഡ് വൈബ്രേഷൻ
Blading efficiency,ബ്ലേഡിംഗ് കാര്യക്ഷമത
Blank,ശൂന്യം
Blank,ശൂന്യം
Blank,ശൂന്യം
Blank diameter,ശൂന്യമായ വ്യാസം
Blank die,ബ്ലാങ്ക് ഡൈ
Blanketing,ബ്ലാങ്കറ്റിംഗ്
Blanketing,ബ്ലാങ്കറ്റിംഗ്
Blanketing,ബ്ലാങ്കറ്റിംഗ്
Blanking die,ബ്ലാങ്കിംഗ് ഡൈ
Blanking tool,ബ്ലാങ്കിംഗ് ഉപകരണം
Blast,സ്ഫോടനം
Blast furnace,സ്ഫോടന ചൂള
Blast furnace slag,ബ്ലാസ്റ്റ് ഫർണസ് സ്ലാഗ്
Blast pipe,സ്ഫോടന പൈപ്പ്
Blasting,സ്ഫോടനം
Blasting,സ്ഫോടനം
Bled steam,ബ്ലഡ് സ്റ്റീം
Bleeding,രക്തസ്രാവം
Blind rivet,ബ്ലൈൻഡ് റിവറ്റ്
Blister copper,ബ്ലസ്റ്റർ ചെമ്പ്
Blister copper,ബ്ലസ്റ്റർ ചെമ്പ്
Blistering,ബ്ലസ്റ്ററിംഗ്
Block brake,ബ്ലോക്ക് ബ്രേക്ക്
Block chain,ബ്ലോക്ക് ചെയിൻ
Block clutch,ബ്ലോക്ക് ക്ലച്ച്
Block system,ബ്ലോക്ക് സിസ്റ്റം
Blooming mill,പൂക്കുന്ന മിൽ
Blow hole,ദ്വാരം ഊതുക
Blow of valve,വാൽവിന്റെ ബ്ലോ
Blow pipe,ഊതുന്ന പൈപ്പ്
Blow sand,മണൽ ഊതുക
Blow torch,ടോർച്ച് ഊതുക
Blowback,ബ്ലോബാക്ക്
Blowdown,ബ്ലോഡൌൺ
Blower,ബ്ലോവർ
Blowing,വീശുന്നു
Blowing,വീശുന്നു
Blow-off cock,ബ്ലോ-ഓഫ് കോഴി
Blow-off valve,ബ്ലോ-ഓഫ് വാൽവ്
Blow-out,കെടുത്തുക
Bluing,ബ്ലൂയിംഗ്
Blunt,ബ്ലണ്ട്
Board,ബോർഡ്
Board,ബോർഡ്
Board,ബോർഡ്
Body,ശരീരം
Body,ശരീരം
Body,ശരീരം
Body cenetred cubic lattice,ശരീരം കേന്ദ്രീകൃത ക്യൂബിക് ലാറ്റിസ്
Bogie,ബോഗി
Bogie carrier wheel,ബോഗി കാരിയർ വീൽ
Boil,തിളപ്പിക്കുക
Boiler,ബോയിലർ
Boiler maker,ബോയിലർ നിർമ്മാതാവ്
Boiler mounting,ബോയിലർ മൗണ്ടിംഗ്
Boiler scale,ബോയിലർ സ്കെയിൽ
Boiler shell,ബോയിലർ ഷെൽ
Boiling point,തിളനില
Bolster,ബോൾസ്റ്റർ
Bolster bolt,ബോൾസ്റ്റർ ബോൾട്ട്
Bolt,ബോൾട്
Bolted joint,ബോൾഡ് ജോയിന്റ്
Bomb,ബോംബ്
Bomb calorimeter,ബോംബ് കലോറിമീറ്റർ
Bond,ബോണ്ട്
Bond,ബോണ്ട്
Bondage,ബന്ധനം
Bondage,ബന്ധനം
Bonding,ബോണ്ടിംഗ്
Boning,ബോണിംഗ്
Bonnet,ബോണറ്റ്
Booster,ബൂസ്റ്റർ
Bore,ബോർ
Bore,ബോർ
Bore,ബോർ
Boring,വിരസത
Boring bar,വിരസമായ ബാർ
Borings,വിരസത
Borrow pit,കടം കുഴി
Boss,ബോസ്
Boss,ബോസ്
Bossing,ബോസിംഗ്
Bossing,ബോസിംഗ്
Bottom air admission,താഴെയുള്ള വായു പ്രവേശനം
Bottom casting,താഴെയുള്ള കാസ്റ്റിംഗ്
Bottom dead centre,താഴെയുള്ള ഡെഡ് സെന്റർ
Bottoming,താഴെയിടുന്നു
Bottoming,അടിവശം
Bounce,ബൗൺസ്
Boundary shear,അതിർത്തി കത്രിക
Boundary transition,അതിർത്തി പരിവർത്തനം
Boundary,അതിർത്തി
Boundary,അതിർത്തി
Boundary,അതിർത്തി
Bowl mill,ബൗൾ മിൽ
Box,പെട്ടി
Box annealing,ബോക്സ് അനീലിംഗ്
Box chuck,പെട്ടി ചക്ക്
Box dividing,ബോക്സ് വിഭജനം
Box girder,ബോക്സ് ഗർഡർ
Box spanner,ബോക്സ് സ്പാനർ
Brace,ബ്രേസ്
Brace,ബ്രേസ്
Bracket,ബ്രാക്കറ്റ്
Brad,ബ്രാഡ്
Brake adjust,ബ്രേക്ക് ക്രമീകരിക്കുക
Brake anchor,ബ്രേക്ക് ആങ്കർ
Brake block,ബ്രേക്ക് ബ്ലോക്ക്
Brake drum,ബ്രേക്ക് ഡ്രം
Brake facing,ബ്രേക്ക് അഭിമുഖീകരിക്കുന്നു
Brake fade,ബ്രേക്ക് ഫേഡ്
Brake hanger,ബ്രേക്ക് ഹാംഗർ
