Punjabi,English
ਜੂਨੀਅਰ ਸਭ ਤੋਂ ਵੱਧ,Junior most
ਜੂਨੀਅਰ ਪੈਮਾਨੇ,Junior scale
ਅਧਿਕਾਰ ਖੇਤਰ,Jurisdiction
ਬਸ,Just
ਜਸਟਿਸ,Justice
ਜਾਇਜ਼,Justiciable
ਜਾਇਜ਼,Justify
ਕੁੰਜੀ,Key
ਕੀਨੋਟ ਐਡਰੈਸ,Keynote address
ਪਿੱਛੇ ਲੱਤ ਮਾਰੋ,Kick back
ਰਿਸ਼ਤੇਦਾਰ,Kin
ਕਿਥ ਅਤੇ ਰਿਸ਼ਤੇਦਾਰ,Kith and kin
ਪਤਾ ਹੈ ਕਿੱਦਾਂ,Know-how
ਗਿਆਨਵਾਨ,Knowledgeable
ਕਿਰਤ,Labour
ਲੇਬਰ ਚਾਰਜ,Labour charges
ਲੇਬਰ ਇਕਰਾਰਨਾਮਾ,Labour contract
ਲੇਬਰ ਕੋਰਟ,Labour court
ਮਜ਼ਦੂਰੀ ਵਿਵਾਦ,Labour dispute
ਲੇਬਰ ਫੋਰਸ,Labour force
ਕਿਰਤ ਕਾਨੂੰਨ,Labour laws
ਲੇਬਰ ਰੂਮ,Labour room
ਲੇਬਰ ਯੂਨੀਅਨ,Labour union
ਲੇਬਰ ਭਲਾਈ,Labour welfare
ਜ਼ਮੀਨੀ ਜਲੂਣ,Land aquisition
ਲੈਂਡ ਮਾਰਕ,Land mark
ਲੈਂਡ ਰਿਕਾਰਡ,Land records
ਜ਼ਮੀਨੀ ਸੁਧਾਰ,Land reforms
ਲੈਂਡ ਮਾਲੀਆ,Land revenue
ਲੈਂਡ ਬੰਦੋਬਸਤ,Land settlement
ਭੂਮੀ ਕਾਰਜਕਾਲ,Land tenure
ਭੂਮੀ ਵਰਤੋਂ ਸਰਟੀਫਿਕੇਟ,Land use certificate
ਲੰਘਣਾ,Lapse
ਵੱਡੇ ਪੱਧਰ 'ਤੇ,Large scale
ਆਖਰੀ ਤਾਰੀਖ,Last date
ਸਦੀਵੀ,Lasting
ਅੰਤ ਵਿੱਚ,Lastly
ਆਖਰੀ ਭੁਗਤਾਨ,Last payment
ਦੇਰ ਨਾਲ,Late
ਲੇਟ ਹਾਜ਼ਰੀ ਦਾ ਬਿਆਨ,Late attendance statement
ਦੇਰ ਨਾਲ ਡਿ duty ਟੀ,Late duty
ਦੇਰ ਨਾਲ ਭੁਗਤਾਨ,Late payment
ਤਾਜ਼ਾ,Latest
ਸ਼ੁਕਰਾਨਾ,Laudable
ਲਾਂਚ,Launch
ਕਾਨੂੰਨ,Law
ਕਾਨੂੰਨ ਅਤੇ ਆਰਡਰ,Law and order
ਕਾਨੂੰਨ ਤੋੜਨ ਵਾਲਾ,Law breaker
ਕਾਨੂੰਨ ਕੋਰਟ (= ਕਾਨੂੰਨ ਦੀ ਅਦਾਲਤ),Law court (=court of law)
ਮੁਕੱਦਮੇ,Lawsuit
ਵਕੀਲ,Lawyer
ਕੰਮ ਬੰਦ,Layoff
ਖਾਕਾ,Layout
ਨੇਤਾ,Leader
ਲੀਡਰਸ਼ਿਪ ਕੁਆਲਟੀ,Leadership quality
ਪਰਚਾ,Leaflet
ਲੀਕ,Leak
ਲੀਪ ਸਾਲ,Leap year
ਸਿੱਖਣਾ,Learning
ਲੀਜ਼,Lease
ਲੀਜ਼ਡ,Leased accommodation
ਕਿਰਾਏ ਤੇ,Leasehold
ਲੀਜ਼ ਧਾਰਣਾ,Leaseholder
ਲੀਜ਼ਿੰਗ,Leasing
ਛੱਡੋ,Leave
ਛੱਡੋ ਇਨਕੈਸ਼ਮੈਂਟ,Leave encashment
ਤਨਖਾਹ ਛੱਡੋ,Leave salary
ਖਾਲੀ ਥਾਂ ਛੱਡੋ,Leave vacancy
ਬਿਨਾਂ ਭੁਗਤਾਨ ਕੀਤੇ ਛੱਡੋ,Leave without pay
ਤਨਖਾਹ ਨਾਲ ਛੱਡੋ,Leave with pay
ਲੈਕਚਰ ਹਾਲ,Lecture hall
ਲੇਜਰ,Ledger
ਲੇਜਰ ਬਕਾਇਆ,Ledger balance
ਵਿਰਾਸਤ,Legacy
ਕਾਨੂੰਨੀ,Legal
ਕਾਨੂੰਨੀਤਾ,Legality
ਕਾਨੂੰਨੀਕਰਨ,Legalization
ਕਾਨੂੰਨੀ ਤੌਰ 'ਤੇ,Legally
ਕਾਨੂੰਨੀ ਅਭਿਆਸ,Legal practice
ਲੀਜਟੇ,Legatee
ਜਾਇਜ਼,Legible
ਵਿਧਾਨਕ,Legislative
ਵਿਧਾਨਕ ਕਾਰੋਬਾਰ,Legislative business
ਵਿਧਾਨ ਸਭਾ,Legislature
ਜਾਇਜ਼ਤਾ,Legitimacy
ਜਾਇਜ਼,Legitimate
ਮਨੋਰੰਜਨ,Leisure
ਕਥਾ,Leniency
ਕਿਰਾਏਦਾਰ,Lessee
ਪੱਤਰ,Letter
ਪੱਤਰ ਪੈਡ,Letter pad
ਲੇਵੀ,Levy
ਦੇਣਦਾਰੀ,Liability
ਜਵਾਬਦੇਹ,Liable
ਸੰਪਰਕ,Liaison
ਲਾਇਬ੍ਰੇਰੀ,Library
ਲਾਇਸੈਂਸ,Licence
ਲਾਇਸੈਂਸ ਧਾਰਕ,Licence holder
ਲਾਇਸੰਸਸ਼ੁਦਾ,Licensed
ਲਾਇਸੰਸਸ਼ੁਦਾ,Licensee
ਹੱਕਦਾਰ,Lien
ਜੀਵਨ ਸਰਟੀਫਿਕੇਟ,Life certificate
ਸੀਮਾ,Limit
ਸੀਮਾ,Limitation
ਸੀਮਤ,Limited
ਸੀਮਤ ਚਿੰਤਾ,Limited concern
ਸੀਮਤ ਦੇਣਦਾਰੀ,Limited liability
ਸੀਮਤ ਟੈਂਡਰ,Limited tender
ਲਿੰਕ,Link
ਲਿੰਕਡ,Linked
ਲਿੰਕਡ ਫਾਈਲ,Linked file
ਲਿੰਕ ਭਾਸ਼ਾ,Link language
ਤਰਲ ਪਦਾਰਥ,Liquidated damages
ਤਰਲ,Liquidation
ਤਰਲ,Liquidator
ਸੂਚੀ,List
ਵਪਾਰ ਦੀ ਸੂਚੀ,List of business
ਪੜ੍ਹਾਉਣਾ,Literate
ਮੁਕੱਦਮਾ,Litigant
ਮੁਕੱਦਮਾ,Litigation
Livel ਭੱਤਾ,Livery allowance
ਪਸ਼ੂ,Livestock
ਜੀਵਤ ਮਾਨਕ,Living standard
ਜੀਵਤ ਤਨਖਾਹ,Living wage
ਲੋਡ ਹੋ ਰਿਹਾ ਹੈ,Loading
ਕਰਜ਼ਾ,Loan
ਲੋਨਰ,Loaner
ਕਰਜ਼ਾ ਵਿਭਾਗ,Loaning department
ਲਾਬੀ,Lobby
ਲਾਬਿੰਗ,Lobbying
ਸਮੇਂ ਤੇ ਲਾਕ,Lock in period
ਲਾਕ ਆਉਟ,Lock out
ਲੋਕੇ ਸਟੈਂਡਸੀ,Locus standi
ਠਹਿਰਨਾ,Lodging
ਲੌਗ ਬੁੱਕ,Log book
ਤਰਕ,Logic
ਲੋਗੋ,Logo
ਲੰਬੀ ਦੂਰੀ ਦੀ ਕਾਲ,Long distance call
ਲੰਬਾ ਹੱਥ,Long hand
ਬਹੁਤ,Lot
ਘੱਟ,Lower
ਘੱਟ ਰੇਟ,Lowest rate
ਘੱਟ ਗ੍ਰੇਡ,Low grade
ਵਫ਼ਾਦਾਰ,Loyal
ਉੱਕਾ ਪੁੱਕਾ,Lump sum
Lumpsum ਗਰਾਂਟ,Lumpsum grant
ਮਸ਼ੀਨਰੀ,Machinery
ਸਰਕਾਰ ਦੀ ਮਸ਼ੀਨਰੀ,Machinery of government
ਰਸਾਲਾ,Magazine
ਮੇਲਿੰਗ ਲਿਸਟ,Mailing list
ਕਾਇਮ ਰੱਖੋ,Maintain
ਰੱਖ ਰਖਾਵ,Maintenance
ਮੇਜਰ,Major
ਬਹੁਮਤ,Majority
ਮੇਜਰ ਕੰਮ,Major works
ਸ਼ਰ੍ਰੰਗਾਰ,Make up
ਭਿਆਨਕਤਾ,Maladjustment
ਬੁਰਾਈਆਂ,Maladministration
ਮਲਾਫਾਈਡ,Malafide
ਬਦਸਲੂਕੀ,Malice
ਗਲਤ,Malpractice
ਬਦਸਲੂਕੀ,Maltreatment
ਪ੍ਰਬੰਧਨ,Management
ਮੈਨੇਜਰ,Manager
ਆਦੇਸ਼,Mandate
ਲਾਜ਼ਮੀ ਹੈ,Mandatory
ਮੰਡੇਜ਼,Mandays
ਮੈਨਹੋਰਸ,Manhours
ਮੈਨੀਫੈਸਟੋ,Manifesto
ਹੇਰਾਫੇਰੀ,Manipulation
ਚਾਲ,Manoeuvre
ਮਨੁੱਖ ਸ਼ਕਤੀ,Manpower
ਮੈਨ-ਟੂ-ਮੈਨ ਰੈਂਕਿੰਗ,Man-to-man ranking
ਮੈਨੂਅਲ,Manual
ਹੱਥੀਂ ਕਿਰਤ,Manual labour
ਉਤਪਾਦਨ,Manufacture
ਨਿਰਮਾਤਾ,Manufacturer
ਖਰੜੇ,Manuscript
ਨਕਸ਼ਾ,Map
ਹਾਸ਼ੀਏ,Margin
ਹਾਸ਼ੀਏ,Marginal
ਵਿਵਾਹਿਕ ਦਰਜਾ,Marital status
ਮਾਰਕੀਟਿੰਗ,Marketing
ਮਾਰਕੀਟਿੰਗ ਆਰਥਿਕਤਾ,Marketing economy
ਮਾਰਕ,Mark
ਮਾਰਕਸਸ਼ੀਟ,Marksheet
ਅੰਕ ਪ੍ਰਾਪਤ ਕੀਤੇ,Marks obtained
ਪੁੰਜ,Mass
ਪੁੰਜ ਸੰਚਾਰ,Mass communication
ਪੁੰਜ ਦੀ ਖਪਤ,Mass consumption
ਪੁੰਜ ਟੀਕਾਕਰਨ,Mass immunization
ਮਾਸ ਮੀਡੀਆ,Mass media
ਵੱਡੇ ਪੱਧਰ ਉੱਤੇ ਉਤਪਾਦਨ,Mass production
ਮਾਸਟਰ ਫਾਈਲ,Master file
ਸਮਾਰੋਹ,Master of ceremonies
ਮੁੱਖ ਯੋਜਨਾ,Master plan
ਮੇਲ ਖਾਂਦਾ ਗ੍ਰਾਂਟ,Matching grant
ਸਮੱਗਰੀ,Material
ਜਣੇਪਾ,Maternity
ਜਣੇਪਾ - ਛੁੱਟੀ,Maternity leave
ਮੈਟ੍ਰਿਕ,Matriculate
ਵਿਆਹ,Matrimonial
ਸਿਆਣੇ,Mature
ਮਿਆਦ ਪੂਰੀ ਹੋਣ ਦੀ ਮਿਤੀ,Maturity date
ਵੱਧ ਤੋਂ ਵੱਧ,Maximum
ਮਤਲਬ,Means
ਮਾਪ,Measure
ਮਾਪ,Measurement
ਉਪਾਅ,Measures
ਮਕੈਨਿਕ,Mechanic
ਮਕੈਨੀਕਲ,Mechanical
ਵਿਧੀ,Mechanism
ਮੀਡੀਆ,Media
ਵਿਚੋਲੇ,Mediate
ਮੈਡੀਕਲ,Medical
ਡਾਕਟਰੀ ਲਾਭ,Medical benefit
ਮੈਡੀਕਲ ਜਾਂਚ,Medical examination
ਮੈਡੀਕੋ-ਕਾਨੂੰਨੀ,Medico-legal
ਮਾਧਿਅਮ,Medium
ਕੈਮਰੇ ਵਿਚ ਮਿਲਣਾ,Meeting in camera
ਸਦੱਸ,Member
ਮੀਮੋ,Memo
ਯਾਦਗਾਰ,Memorial
ਮਾਨਸਿਕ ਯੋਗਤਾ,Mental ability
ਮੇਨੂ,Menu
ਅਭੇਦ,Merger
ਮੈਰਿਟ,Merit
ਮੈਰਿਟ ਸੂਚੀ,Merit list
ਹੋਣਹਾਰ,Meritorious
ਗੁਣ,Merits
ਮੈਰਿਟ ਸਕਾਲਰਸ਼ਿਪ,Merit scholarship
ਸੁਨੇਹਾ,Message
ਵਿਧੀ,Method
Method ੰਗ,Methodology
Metroopolitan ਖੇਤਰ,Metropolitan area
ਮਿਡਲ ਇਨਕਮ ਗਰੁੱਪ,Middle income group
ਵਿਚੋਲੇ,Middleman
ਮਿਡਵਾਈਫਰੀ,Midwifery
ਪ੍ਰਵਾਸੀ,Migrant
ਮਾਈਲੇਜ,Mileage
ਅੱਤਵਾਦ,Militancy
ਹਜ਼ਾਰ ਸਾਲ,Millennium
ਛੋਟਾ,Miniature
ਘੱਟੋ ਘੱਟ,Minimum
ਮਾਈਨਿੰਗ,Mining
ਮੰਤਰਾਲੇ,Ministerial
ਮੰਤਰਾਲਾ,Ministry
ਨਾਬਾਲਗ,Minor
ਘੱਟ ਗਿਣਤੀ,Minority
ਮਾਮੂਲੀ ਕੰਮ,Minor works
ਮਿੰਟ,Minutes
ਗ਼ਲਤਫ਼ਹਿਮੀ,Misappropriation
ਦੁਰਵਿਵਹਾਰ,Misbehaviour
ਇਨਸਾਫ ਦੀ ਗਰਭਪਾਤ,Miscarriage of justice
ਫੁਟਕਲ,Miscellaneous
ਸ਼ਰਾਰਤ,Mischief
ਮਿਸਲਸੀਫਿਕੇਸ਼ਨ,Misclassification
ਦੁਰਾਚਾਰ,Misconduct
ਗੁੰਮਰਾਹ,Mislead
ਗ਼ਲਤ ਪ੍ਰਬੰਧਨ,Mismanagement
ਗਲਤ ਜਾਣਕਾਰੀ,Misrepresentation
ਤੱਥਾਂ ਦਾ ਗਲਤ ਹਿੱਸਾ,Misstatement of facts
ਗਲਤਫਹਿਮੀ,Misunderstanding
ਦੁਰਵਰਤੋਂ,Misuse
ਮਿਕਸਡ ਆਰਥਿਕਤਾ,Mixed economy
ਭੀੜ,Mob
ਮੋਬਾਈਲ,Mobile
ਗਤੀਸ਼ੀਲਤਾ,Mobility
ਮੋਡ,Mode
ਮਾਡਲ,Model
ਸੰਚਾਲਕ,Moderator
ਸੋਧ,Modification
ਮੋਡਸ ਓਪਰੇਂਡੀ,Modus operandi
ਮੁਦਰਾ ਗਰਾਂਟ,Monetary grant
ਪੈਸਾ,Money
ਮਾਨੀਟਰ,Monitor
ਮੋਨੋਗਮ,Monogamy
ਮੋਨੋਗ੍ਰਾਮ,Monogram
ਏਕਾਧਿਕਾਰ,Monopoly
ਏਕਾਧਿਕਾਰ,Monotony
ਮਾਸਿਕ ਟੂਰ ਡਾਇਰੀ,Monthly tour diary
ਮਹੀਨੇ ਤੋਂ ਮਹੀਨੇ,Month to month
ਨੈਤਿਕ,Moral
ਮਨੋਬਲ,Morale
ਨੈਤਿਕ ਮਿਹਨਤ,Moral turpitude
ਮੋਹਰ,Moratorium
ਮੌਤ,Mortality
ਗਿਰਵੀਨਾਮਾ,Mortgage
ਸਭ ਗੁਪਤ,Most confidential
ਮਾਤਾ - ਭਾਸ਼ਾ,Mother tongue
ਮੋਸ਼ਨ,Motion
ਮੋਸ਼ਨ ਅਧਿਐਨ,Motion study
ਪ੍ਰੇਰਣਾ,Motivation
ਮਨੋਰਥ,Motive
ਮੋਟੋ,Motto
ਮੂੰਹ,Mouthpiece
ਚੱਲ,Movable
ਮੂਵ,Move
ਅੰਦੋਲਨ,Movement
ਬਹੁਪੱਖੀ,Multifarious
ਮਲਟੀਪਰਪਜ਼,Multipurpose
ਮਿ municipal ਂਸਪਲ ਟੈਕਸ,Municipal tax
ਅਜਾਇਬ ਘਰ,Museum
ਸੰਗੀਤ ਰੋਲ,Muster roll
ਪਰਿਵਰਤਨ,Mutation
ਮੈਟਿਸ ਬਦਬੂ,Mutatis mutandis
ਆਪਸੀ ਸਮਝ,Mutual understanding
ਨਾਮ ਕਾਰਡ,Name card
ਨਸ਼ੀਲੇ ਪਦਾਰਥ,Narcotic
ਬਿਰਤਾਂਤ ਦਾ ਮੁਲਾਂਕਣ,Narrative appraisal
ਬਿਰਤਾਂਤਕਾਰ,Narrator
ਰਾਸ਼ਟਰ,Nation
ਰਾਸ਼ਟਰੀ,National
ਰਾਸ਼ਟਰਵਾਦ,Nationalism
ਕੌਮੀਅਤ,Nationality
ਰਾਸ਼ਟਰੀਕਰਨ,Nationalization
ਰਾਸ਼ਟਰੀ ਭਾਸ਼ਾ,National language
ਰਾਸ਼ਟਰੀ ਬਚਤ ਪ੍ਰਮਾਣ ਪੱਤਰ,National savings certificate
ਦੇਸੀ,Native
ਕੁਦਰਤੀ,Natural
ਨੈਚੁਰਲਾਈਜ਼ੇਸ਼ਨ,Naturalization
ਨੇਵਲ ਫੋਰਸ,Naval force
ਨੇਵੀਗੇਬਲ,Navigable
ਨੇਵੀਗੇਸ਼ਨ,Navigation
Nayes,Nayes
ਜ਼ਰੂਰੀ ਕਾਰਵਾਈ,Necessary action
ਲੋੜੀਂਦਾ,Needful
ਨਕਾਰਾਤਮਕ,Negative
ਅਣਗਹਿਲੀ,Neglect
ਅਣਗਹਿਲੀ,Negligence
ਅਣਗੌਲਿਆ,Negligible
ਗੱਲਬਾਤ,Negotiability
ਗੱਲਬਾਤ ਕਰਨ ਯੋਗ ਸਾਧਨ,Negotiable instrument
ਗੱਲਬਾਤ,Negotiation
ਗੱਲਬਾਤ ਕਰਨ ਵਾਲਾ,Negotiator
ਨੇਪੋਟਿਜ਼ਮ,Nepotism
ਨੈੱਟ,Net
ਸ਼ੁੱਧ ਨਿਵੇਸ਼,Net investment
ਨਿਰਪੱਖ,Neutral
ਖ਼ਬਰਾਂ,News
ਨਿ let ਜ਼ਲੈਟਰ,Newsletter
ਅਖਬਾਰ,Newspaper
ਖ਼ਬਰਾਂ ਪਾਠਕ,News reader
ਅਗਲਾ ਵਾਰਿਸ,Next of kin
ਨਾਈਟ ਡਿ duty ਟੀ,Night duty
ਨੀਲ ਰਿਪੋਰਟ,Nil report
ਕੋਈ ਦਾਖਲਾ ਨਹੀਂ,No admission
ਕੋਈ ਡਿਮਾਂਡ ਸਰਟੀਫਿਕੇਟ ਨਹੀਂ (= ਕੋਈ ਡੁਕੇਜ਼ ਸਰਟੀਫਿਕੇਟ ਨਹੀਂ),No demand certificate(=no dues certificate)
ਨਾਮਕਰਨ,Nomenclature
ਮਾਮੂਲੀ ਕੀਮਤ,Nominal cost
ਨਾਮਾਤਰ ਮੁੱਲ (= ਫੇਸ ਵੈਲਯੂ),Nominal value(=face value)
ਨਾਮਜ਼ਦ,Nominate
ਨਾਮਜ਼ਦਗੀ,Nomination
ਨਾਮਜ਼ਦ,Nominee
ਗੈਰ-ਉਮਰ,Non-age
ਗੈਰ-ਯੋਗਦਾਨ ਦੇਣ ਵਾਲੀ,Non-contributory
ਗੈਰ-ਜ਼ਰੂਰੀ,Non-essential
ਗੈਰ-ਗਜ਼ਟਡ,Non-gazetted
ਗੈਰ-ਵਿਆਜ ਸਹਿਣਸ਼ੀਲ,Non-interest bearing
ਗੈਰ-ਨਿਆਂਇਕ,Non-judicial
ਗੈਰ-ਮੰਤਰੀਆਂ,Non-ministerial
ਗੈਰ-ਗੱਲਬਾਤ ਕਰਨ ਯੋਗ,Non-negotiable
ਗੈਰ-ਅਧਿਕਾਰੀ,Non-official
ਗੈਰ-ਭੁਗਤਾਨ,Non-payment
ਗੈਰ-ਭੁਗਤਾਨ ਸਰਟੀਫਿਕੇਟ,Non-payment certificate
ਗੈਰ-ਅਭਿਆਸ ਭੱਤਾ,Non-practising allowance
ਗੈਰ-ਆਵਰਤੀ ਖਰਚਾ,Non-recurring expenditure
ਪਰਤਾਵਾਂ ਨਹੀ,Non-refundable
ਗੈਰ-ਕਾਨੂੰਨੀ,Non-statutory
ਗੈਰ-ਟੈਕਸਯੋਗ ਆਮਦਨੀ,Non-taxable income
ਗੈਰ-ਤਕਨੀਕੀ ਪੋਸਟ,Non-technical post
ਗੈਰ-ਰਵਾਇਤੀ,Non-traditional
ਨਾਜ਼ਬਾਨੀ ਸੰਚਾਰ,Non-verbal communication
ਕੋਈ ਇਤਰਾਜ਼ ਸਰਟੀਫਿਕੇਟ ਨਹੀਂ,No objection certificate
"ਕੋਈ ਲਾਭ ਨਹੀਂ, ਨੁਕਸਾਨ ਨਹੀਂ","No profit, no loss"
ਆਦਰਸ਼,Norm
ਆਮ,Normal
ਸਿਗਰਟਨੋਸ਼ੀ ਮਨ੍ਹਾਂ ਹੈ,No smoking
ਨੋਟ ਕਰਨ ਯੋਗ,Notable
ਲਾਗੂ ਨਹੀਂ (ਐਨ.ਏ.),Not applicable (N.A.)
ਉਪਲਬਧ ਨਹੀਂ (ਐਨ.ਏ.),Not available (N.A.)
ਨੋਟ,Note
ਨੋਟਿਸ,Notice
ਧਿਆਨ ਦੇਣ ਯੋਗ,Noticeable
ਸੂਚਨਾ,Notification
ਸੂਚਿਤ ਖੇਤਰ,Notified area
ਨੋਟਿੰਗ ਅਤੇ ਡਰਾਫਟਿੰਗ,Noting and drafting
ਕਲਪਨਾਤਮਕ ਤਨਖਾਹ,Notional pay
ਗੱਲਬਾਤ ਕਰਨ ਯੋਗ ਨਹੀਂ,Not negotiable
ਗੱਲਬਾਤ ਯੋਗ ਸਾਧਨ ਨਹੀਂ,Not negotiable instrument
ਨਿ nuc ਕਲੀਅਸ,Nucleus
ਨਲ,Null
ਨਲ ਅਤੇ ਵੋਇਡ,Null and void
ਗਿਣਤੀ,Number
ਨੰਬਰ,Numbering
ਅੰਕ,Numeral
ਸਹੁੰ,Oath
ਵਫ਼ਾਦਾਰੀ ਦੀ ਸਹੁੰ,Oath of allegiance
ਦਫਤਰ ਦੀ ਸਹੁੰ,Oath of office
ਆਗਿਆਕਾਰੀ,Obedience
ਮਾਹਰ,Obituary
ਆਬਜੈਕਟ,Object
ਇਤਰਾਜ਼,Objection
ਉਦੇਸ਼,Objective
ਆਬਜੈਕਟ ਅਤੇ ਕਾਰਨ,Objects and reasons
ਲਾਜ਼ਮੀ ਹੈ,Obligatory
ਅਸ਼ਲੀਲ,Obscene
ਅਸ਼ਲੀਲ ਇਸ਼ਾਰੇ,Obscene gesture
ਨਿਰੀਖਕ,Observer
ਪੁਰਾਣੀ,Obsolete
ਰੁਕਾਵਟ,Obstruction
ਸਪੱਸ਼ਟ,Obvious
ਕਦੇ ਕਦੇ,Occasional
ਕਿੱਤਾ,Occupancy
ਮਾਲਕ,Occupant
ਕਿੱਤਾ,Occupation
ਕਬਜ਼ਾ ਕਰੋ,Occupy
ਓਕਟੋਈ ਡਿ duty ਟੀ,Octroi duty
ਦਿਨ ਬੰਦ,Off day
ਡਿ duty ਟੀ ਤੋਂ ਬਾਹਰ,Off duty
ਅਪਮਾਨਜਨਕ,Offensive
ਪੇਸ਼ਕਸ਼,Offer
ਮੁਲਾਕਾਤ ਦੀ ਪੇਸ਼ਕਸ਼,Offer of appointment
ਦਫਤਰ,Office
ਦਫਤਰ ਦਾ ਦਫਤਰ,Office of profit
ਅਧਿਕਾਰੀ,Official
ਅਧਿਕਾਰ,Officialdom
ਅਧਿਕਾਰਤ ਡਿ duty ਟੀ,Official duty
ਅਧਿਕਾਰੀ,Officialese
ਸਰਕਾਰੀ ਭਾਸ਼ਾ,Official language
ਅਧਿਕਾਰਤ,Officially
ਅਧਿਕਾਰਤ ਰਿਪੋਰਟ,Official report
ਅਧਿਕਾਰਤ ਵਰਜ਼ਨ,Official version
ਕਾਰਜਕਾਰੀ,Officiating
ਰਿਕਾਰਡ ਤੋਂ ਬਾਹਰ,Off the record
ਠੀਕ ਹੈ (O.K.),Okay (O.K.)
ਓਮਬਡਸਮੈਨ,Ombudsman
ਖਾਤਾ ਗ੍ਰਾਂਟ ਤੇ,On account grant
ਮੰਗ ਉੱਤੇ,On demand
ਕੰਮ ਤੇ,On duty
ਇਕ ਪਾਸੜ,One sided
ਲਾਈਨ 'ਤੇ,On line
'ਤੇ-ਵਿਸ਼ੇਸ਼ ਡਿ duty ਟੀ,On-special duty
ਨੌਕਰੀ ਦੀ ਸਿਖਲਾਈ 'ਤੇ,On the job training
ਆਨਸ,Onus
ਖੁੱਲਾ ਦਿਨ,Open day
ਓਪਨ ਸਿਸਟਮ,Open system
ਖੋਲ੍ਹਣਾ,Opening
ਸੰਤੁਲਨ ਖੋਲ੍ਹਣਾ,Opening balance
ਖੋਲ੍ਹਣ ਦੇ ਘੰਟੇ,Opening hours
ਓਪਨ ਸਿਖਲਾਈ,Open learning
ਖੁੱਲਾ ਪੱਤਰ,Open letter
ਓਪਨ ਯੂਨੀਵਰਸਿਟੀ,Open university
ਓਪਰੇਟਿੰਗ ਲਾਗਤ,Operating cost
ਓਪਰੇਟਿੰਗ ਸਟਾਫ,Operating staff
ਓਪਰੇਸ਼ਨ,Operation
ਆਪਰੇਟਿਵ,Operative
ਰਾਏ,Opinion
ਵਿਰੋਧੀ ਧਿਰ,Opposition
ਚੋਣ,Option
ਮੌਖਿਕ,Oral
ਆਰਡਰ,Order
ਆਰਡਰ ਚੈੱਕ,Order cheque
ਰਿਜ਼ਰਵੇਸ਼ਨ ਦਾ ਆਰਡਰ,Order of reservation
ਆਰਡੀਨੈਂਸ,Ordinance
ਸੰਗਠਨ,Organization
ਸੰਸਥਾ ਚਾਰਟ,Organization chart
ਪ੍ਰਬੰਧਕ,Organizer
ਅਧਾਰਤ,Oriented
ਅਸਲ,Original
ਅਸਲ ਵਿਭਾਗ,Original department
ਅਸਲ ਵਿਕਰੀ ਡੀਡ,Original sale deed
ਗੜਬੜਯੋਗ ਮਾਲਕ,Ostensible owner
ਪ੍ਰਕੋਪ,Outbreak
ਪਹਿਰਾਵੇ ਭੱਤਾ,Outfit allowance
ਬਾਹਰ ਜਾਣ ਵਾਲੇ ਮੈਂਬਰ,Outgoing member
ਬਾਹਰ ਜਾਣ ਵਾਲੀ ਫਾਈਲ,Outgoing file
ਖਰਚੇ,Outlay
ਆਉਟਲੈੱਟ,Outlet
ਰੂਪਰੇਖਾ,Outline
ਆਉਟਲੁੱਕ,Outlook
ਕੋਰਟ ਤੋਂ ਬਾਹਰ,Out of court
ਤਾਰੀਕ ਤੋ ਬਾਆਦ,Out of date
ਕ੍ਰਮ ਦੇ ਬਾਹਰ,Out of order
ਪ੍ਰਿੰਟ ਤੋਂ ਬਾਹਰ,Out of print
ਵਾਰੀ ਤੋਂ ਬਾਹਰ,Out of turn
ਵਾਰੀ ਅਲਾਟਮੈਂਟ ਤੋਂ ਬਾਹਰ,Out of turn allotment
ਚੌਕੀ,Outpost
ਆਉਟਪੁੱਟ,Output
ਪੂਰੀ ਖਰੀਦ,Outright purchase
ਆਉਟਸੋਰਸ,Outsource
ਬਕਾਇਆ,Outstanding
ਵੱਧ ਉਮਰ,Over age
ਕੁਲ ਮਿਲਾ ਕੇ,Overall
ਸਮੁੱਚੀ ਘਾਟਾ,Overall deficit
ਉੱਤੇ ਬਿਲਿੰਗ,Over billing
ਓਵਰਚਾਰਜ,Overcharge
ਬਕਾਇਆ,Overdue
ਬਹੁਤ ਜ਼ਿਆਦਾ,Overestimate
ਓਵਰਹੈੱਡ ਚਾਰਜ,Overhead charge
ਓਵਰਲੈਪਿੰਗ,Overlapping
ਓਵਰਰਾਈਡ ਪ੍ਰਾਥਮਿਕਤਾ,Overriding priority
ਓਵਰ-ਨਿਯਮ,Over-rule
ਨਿਗਰਾਨੀ,Oversight
ਓਵਰਟਾਈਮ ਤਨਖਾਹ,Overtime pay
ਓਵਰਵਲੂਟ,Overvaluation
ਮਾਲਕੀਅਤ,Ownership
ਪੈਕੇਜ,Package
ਪੈਕੇਜ ਸੌਦਾ,Package deal
ਪੈਕਿੰਗ ਅਤੇ ਮਾਰਕਿੰਗ,Packing and marking
ਪੈਕਿੰਗ ਸੂਚੀ,Packing list
ਸਮਝੌਤਾ,Pact
ਦਾ ਭੁਗਤਾਨ,Paid
ਪੂੰਜੀ ਦਾ ਭੁਗਤਾਨ ਕੀਤਾ,Paid up capital
ਪੈਂਫਲਿਟ,Pamphlet
ਪੈਨਲ,Panel
ਕਾਗਜ਼,Paper
ਪੈਰਾ,Para
ਪੈਰਾਮਾਉਂਟ,Paramount
ਮਾਪੇ,Parent
