Marathi,Bengali
प्रतीक,প্রতীক
"1. कॅरेक्टर कोड, 2. वर्ण कोड","1. অক্ষর কোড, 2. অক্ষর কোড"
वर्ण की,অক্ষর কী
वर्ण वाचक,চরিত্র পাঠক
"1. प्रतीक आकार, 2. प्रतीक आकार","1. প্রতীকের আকার, 2. প্রতীকের আকার"
सचित्र,সচিত্র
"1.चेसिस, 2.चेसिस","1.চ্যাসিস, 2.চ্যাসিস"
बिट तपासा,বিট চেক
चेक पॉइंट्स,চেক পয়েন্ট
बेरीज तपासा,মোট চেক
शब्द तपासा,চেক শব্দ
चिप,চিপ
चिप संच,চিপ সেট
"1.निवडा, 2.निवडा","1. চয়ন করুন, 2. চয়ন করুন৷"
वर्णक्रमानुसार,বর্ণানুক্রমিকভাবে
"1.सफर, 2. शून्य, 3. नाविक","1.সফর, 2. শূন্য, 3. নাবিক"
सर्किट,সার্কিট
मंडळ यादी,চেনাশোনা তালিকা
सेरेस,সেরেস
उल्लेख,উল্লেখ
"1.श्रेणी, 2.श्रेणी","1.শ্রেণী, 2.শ্রেণী"
वर्ग व्हेरिएबल,ক্লাস পরিবর্তনশীল
वर्गीकरण,শ্রেণীবিভাগ
सफाई,স্ক্যাভেঞ্জিং
साफ केलेले क्षेत्र,পরিষ্কার এলাকা
"1. सिस्टम साफ करा, 2. चॅनेल साफ करा","1. সিস্টেম পরিষ্কার করুন, 2. চ্যানেল পরিষ্কার করুন"
दाबा,চাপুন
"1. ग्राहक, 2. ग्राहक","1. গ্রাহক, 2. ক্লায়েন্ট"
"1.क्लायंट सर्व्हर, 2.क्लायंट सर्व्हर","1.ক্লায়েন্ট সার্ভার, 2.ক্লায়েন্ট সার্ভার"
ग्राहक स्टब,গ্রাহক স্টাব
कातरणे,কর্তন
कातरणे कला लायब्ररी,শিয়ারিং আর্ট লাইব্রেরি
क्लिप बोर्ड,ক্লিপ বোর্ড
क्लिपर,ক্লিপার
क्लिपर चिप,ক্লিপার চিপ
दुफळी,উপদল
"1.वॉच, 2. कॅलड","1.ঘড়ি, 2. ক্যালাড"
घड्याळ चक्र,ঘড়ি চক্র
घड्याळ वारंवारता,ঘড়ি ফ্রিকোয়েন্সি
कलाड हार्डवेअर,কালাদ হার্ডওয়্যার
कलाड स्पंद,কালাদ স্প্যান্ড
घड्याळाचा वेग,ঘরির গতি
वेळ सिंक्रोनाइझेशन,সময় সিঙ্ক্রোনাইজেশন
घड्याळाची टिक,ঘড়ির টিক টিক
क्लोन,ক্লোন
बंद,বন্ধ
क्लोज्ड सर्किट टीव्ही (सीसीटीव्ही),ক্লোজড সার্কিট টিভি (সিসিটিভি)
वर्णन,বর্ণনা
"1.क्लाउड संगणन, 2.क्लाउड संगणन","1.ক্লাউড কম্পিউটিং, 2.ক্লাউড কম্পিউটিং"
घड,গুচ্ছ
"1.कव्हर केलेले कार्ड, 2. लेपित पत्रक","1.কভারড কার্ড, 2. প্রলিপ্ত শীট"
लेपित कागद,লেপা কাগজ
समाक्षीय,সমাক্ষীয়
समाक्षीय केबल,সমাক্ষ তারের
कोडासिल,কোডাসিল
"1.कोड, 2.कोड","1.কোড, 2.কোড"
"1. कोड जनरेटर, 2. कोड जनरेटर","1. কোড জেনারেটর, 2. উৎপাদকের কোড"
कोड पृष्ठ,কোড পৃষ্ঠা
"1.कोड शब्द, 2.कोड शब्द","1.কোড শব্দ, 2.কোড শব্দ"
"1.कोडर, 2.कोडर","1.কোডার, 2.কোডার"
"1. एन्कोडिंग चाचणी, 2. कोडिंग चाचणी","1. এনকোডিং পরীক্ষা, 2. কোডিং পরীক্ষা"
एन्कोडिंग फॉर्म,এনকোডিং ফর্ম
"1. एन्कोडिंग शीट, 2. कोडिंग शीट","1. এনকোডিং শীট, 2. কোডিং শীট"
गुणांक,গুণাঙ্ক
एकसंधता,সংহতি
"1.कोल्ड बूट, 2.कोल्ड स्टार्ट","1.কোল্ড বুট, 2.কোল্ড স্টার্ট"
थंड सुरुवात,ঠান্ডা শুরু
मदत,সাহায্য
कोसळणे,পতন
"1.समावेश, 2.कॉन्केटनेट","1.সংগঠন, 2.সংযুক্তি"
"1.अनुक्रमित टेप,2. कॉलेट टेप","1. ইন্ডেক্সড টেপ, 2. কলেট টেপ"
टक्कर,সংঘর্ষ
कोलन,কোলন
"1.वर्ण, 2.रंग","1.অক্ষর, 2.রঙ"
रंग संपृक्तता,রঙ স্যাচুরেশন
रंग टेबल,রঙের টেবিল
स्तंभ,স্তম্ভ
संयोजन,সংমিশ্রণ
संमिश्र बॉक्स,যৌগিক বাক্স
"1.command, 2.command","1.command, 2.command"
कमांड बटण,আদেশ বোতাম
आदेश यादी,কমান্ড তালিকা
टिप्पणी,মন্তব্য করুন
"1. वचनबद्धता, 2. वचनबद्धता","1. অঙ্গীকার, 2. অঙ্গীকার"
गोष्ट,জিনিস
कॉमन बिझनेस ओरिएंटेड लँग्वेज (COBOL),কমন বিজনেস ওরিয়েন্টেড ল্যাঙ্গুয়েজ (COBOL)
सामान्य त्रुटी,সাধারণ ত্রুটি
सामान्य भाषा,সাধারণ ভাষা
"1.सामान्य नाव, 2. सामान्य दिनचर्या","1.সাধারণ নাম, 2. স্বাভাবিক রুটিন"
कम्युनिकेशन्स,যোগাযোগ
संप्रेषण लाइन,যোগাযোগ লাইন
संप्रेषण मोड,যোগাযোগ মোড
"1. कम्युनिकेशन नेटवर्क, 2. कम्युनिकेशन नेटवर्क","1. যোগাযোগ নেটওয়ার্ক, 2. যোগাযোগ নেটওয়ার্ক"
संप्रेषण पॅरामीटर,যোগাযোগ পরামিতি
संप्रेषण प्रणाली,যোগাযোগ ব্যবস্থা
कॉम्पॅक्शन,কম্প্যাকশন
