Gujarati,Assamese
ફેટ ચાર્જ કપલ્ડ ડિવાઇસ (CCD),ফেট চাৰ্জ কাপল্ড ডিভাইচ (CCD)
સીડી રોમ,cd ৰম
સીડી રોમ ડ્રાઇવ,cd ৰম ড্ৰাইভ
સેલ (બેટરી),কোষ (বেটাৰী)
કેન્દ્રીય સંસાધન તત્વ,কেন্দ্ৰীয় সম্পদ উপাদান
કેન્દ્રીય સંસાધન એકમ,কেন্দ্ৰীয় সম্পদ একক
કેન્દ્રીય પ્રોસેસર,কেন্দ্ৰীয় প্ৰচেছৰ
સરેરાશ સ્કેલ,গড় স্কেল
મધ્ય આવર્તન,মধ্যম কম্পাঙ্ক
મધ્યમ એક્ઝોસ્ટ ટ્રાન્સફોર્મર,মাজৰ এক্সজেষ্ট ট্ৰেন্সফৰ্মাৰ
"સિરામિક, માટી","চিৰামিক, মাটি"
સિરામિક ફિલર,চিৰামিক ভৰোৱা
સિરામિક ફિલ્ટર,চিৰামিক ফিল্টাৰ
સિરામિક સામગ્રી,চিৰামিক সামগ্ৰী
સિરામિક રેઝોનેટર,চিৰামিক অনুনাদক
સિરામિક સાઉન્ડ રીસીવર,চিৰামিক শব্দ গ্ৰাহক
સેરેનકોવ કેલ્ક્યુલેટર,cerenkov কেলকুলেটৰ
સરમત,সৰমত
chalcogenide,চলকোজেনাইড
કેલ્કોપીરાઈટ,কেলকোপাইৰাইট
"ચેનલ, ચેનલ","চেনেল, চেনেল"
ચેનલ બેન્ડ વિસ્તરણ,চেনেল বেণ্ড সম্প্ৰসাৰণ
ચેનલ કોડર,চেনেল ক&#39;ডাৰ
ચેનલ આવર્તન,চেনেল কম্পাঙ্ক
ચેનલ પાત્ર,চেনেলৰ চৰিত্ৰ
ચેનલ અલગ,চেনেল পৃথকীকৰণ
ચેનલ સિદ્ધાંત,চেনেল তত্ত্ব
અક્ષર જનરેટર,আখৰ উৎপাদক
પાત્રની ઓળખ,চৰিত্ৰ চিনাক্তকৰণ
લાક્ષણિક અવબાધ,বৈশিষ্ট্যপূৰ্ণ ইম্পিডেন্স
ચાર્જ કેરિયર,চাৰ্জ কেৰিয়াৰ
ચાર્જ નિયંત્રણ પરિમાણ,চাৰ্জ নিয়ন্ত্ৰণ প্ৰাচল
ચાર્જ જોડી ઉપકરણ,চাৰ্জ সংযুক্ত ডিভাইচ
ચાર્જ જોડી રેન્ડમ એક્સેસ મેમરી,চাৰ্জ কাপল্ড ৰেণ্ডম এক্সেছ মেমৰি
ચાર્જ ઘનતા,আধান ঘনত্ব
ચાર્જ ઈન્જેક્શન ઉપકરણ,চাৰ্জ ইনজেকচন ডিভাইচ
ચાર્જ નુકશાન,চাৰ্জ লছ
ચાર્જ પમ્પિંગ,চাৰ্জ পাম্পিং
ચાર્જ સેન્સિંગ એમ્પ્લીફાયર,চাৰ্জ চেন্সিং এম্প্লিফায়াৰ
ચાર્જ સંગ્રહ,চাৰ্জ সংৰক্ষণ
ચાર્જ કણો,আধানযুক্ত কণা
જુસ્સાદાર,ভাবুকতা
ફ્રેમ,ফ্ৰেম
રોબીશેવ ફિલ્ટર,ৰবিশ্বেভ ফিল্টাৰ
કુલ તપાસો,মুঠ পৰীক্ষা কৰক
આવર્તન તપાસો,কম্পাঙ্ক পৰীক্ষা কৰক
રાસાયણિક બંધન,ৰাসায়নিক বন্ধন
રાસાયણિક વરાળ જુબાની,ৰাসায়নিক বাষ্প নিক্ষেপ
ચાઇલ્ડ લોક સુવિધા,শিশুৰ তলাৰ সুবিধা
બાળકનો કાયદો,শিশুৰ আইন
ચિપ,চিপ
ચિપ સક્રિયકરણ,চিপ সক্ৰিয়কৰণ
ગૂંગળામણ,choke
તૂટક તૂટક,intermittent
તૂટક તૂટક એમ્પ્લીફાયર,মাজে মাজে এম্প্লিফায়াৰ
તૂટક તૂટક એમ્પ્લીફાયર,মাজে মাজে এম্প্লিফায়াৰ
તૂટક તૂટક મોડ,মাজে মাজে মোড
ક્રોમા એમ્પ્લીફાયર,ক্ৰ&#39;মা এম্প্লিফায়াৰ
લાક્ષણિકતા રેખાકૃતિ,বৈশিষ্ট্য নিৰ্ণয়ৰ ডায়েগ্ৰাম
પિગમેન્ટેશન,ৰং কৰা
વર્તુળ રેખાકૃતિ,বৃত্তৰ ডায়েগ্ৰাম
સર્કિટ,বৰ্তনী
સર્કિટ વિશ્લેષણ,বৰ্তনী বিশ্লেষণ
સર્કિટ બ્રેકર,বৰ্তনী ভাঙক
પરિપથ આકૃતિ,বৰ্তনীৰ ডায়েগ্ৰাম
સર્કિટ નોટેશન,বৰ্তনী সংকেত
સર્કિટ સ્વિચિંગ,চাৰ্কিট চুইচিং
ગોળાકાર તરંગ માર્ગ,বৃত্তাকাৰ তৰংগ পথ
ફરતી મેમરી,প্ৰচলিত স্মৃতিশক্তি
બંધન સર્કિટ,বণ্ডিং বৰ্তনী
ક્લૅપ ઓસિલેટર,clap দোলক
વર્ગ A એમ્પ્લીફાયર,ক্লাছ A এম্প্লিফায়াৰ
વર્ગ A] B] C] D કામગીરી,ক শ্ৰেণী] খ] গ] ঘ কাৰ্য্যসমূহ
વર્ગ બી એમ્પ્લીફાયર,ক্লাছ বি এম্প্লিফায়াৰ
વર્ગ સી એમ્પ્લીફાયર,ক্লাছ C এম্প্লিফায়াৰ
વર્ગ ડી એમ્પ્લીફાયર,ক্লাছ D এম্প্লিফায়াৰ
એસ વર્ગ શરીર,S শ্ৰেণীৰ শৰীৰ
"હકાલપટ્ટી, સ્વચ્છ","বহিষ্কাৰ, পৰিষ্কাৰ"
ઉતારવું,শ্বিয়াৰিং
ઉતારવાની સર્કિટ,শ্বিয়াৰিং বৰ্তনী
કેલાડ,calad
ઘડિયાળની આવર્તન,ঘড়ীৰ কম্পাঙ্ক
ઘડિયાળ પલ્સ જનરેટર,ঘড়ী পালছ জেনেৰেটৰ
કદલ આરએસ ફ્લિપ ફ્લોપ,কাদাল আৰ এছ ফ্লিপ ফ্লপ
બંધ સર્કિટ ટેલિવિઝન,বন্ধ বৰ্তনী টেলিভিছন
બંધ લૂપ કામગીરી,বন্ধ লুপ কাৰ্য্য
બંધ લૂપ ગેઇન,বন্ধ লুপ লাভ
પૂરક મેટાલિક સેમિકન્ડક્ટર,পৰিপূৰক ধাতুৰ অৰ্ধপৰিবাহী
CMOS ઉપકરણ,CMOS ডিভাইচ
સીએમઆરઆર (કોમન મોડ ન્યુટ્રલાઇઝેશન રેશિયો),চি এম আৰ আৰ (সাধাৰণ মোড নিষ্ক্ৰিয়কৰণ অনুপাত)
CO2 લેસર,CO2laser
કો - એક્ષેલ કેબલ,সমাক্ষীয় কেবল
કોક્સિયલ કોટર,সমাক্ষীয় কোটাৰ
કોક્સિયલ કનેક્ટર,সমাক্ষীয় সংযোগকাৰী
"કોક્સિયલ કનેક્ટર, કોક્સિયલ કનેક્ટર","সমাক্ষীয় সংযোগকাৰী, সমাক্ষীয় সংযোগকাৰী"
કોક્સિયલ રેખા,সমাক্ষীয় ৰেখা
કોક્સિયલ રેખા,সমাক্ষীয় ৰেখা
કોક્સિયલ વેવ પાથ,সমাক্ষীয় তৰংগ পথ
કોડ ફેરફાર,ক&#39;ড সলনি কৰা
કોડ ચેન્જર,ক&#39;ড চেঞ্জাৰ
"કોડેક, કોડર-ડીકોડર","ক&#39;ডেক, ক&#39;ডাৰ-ডিকোডাৰ"
સ્ટીરિયો કોડિંગ,ষ্টেৰিঅ&#39; ক&#39;ডিং
જોડાણ ગુણાંક,কাপলিং সহগ
પ્રતિબંધક બળ,নিয়ন্ত্ৰণকাৰী বল
સુસંગત પ્રકાશ,সুসংহত পোহৰ
જન્માક્ષર,ৰাশিফল
કોઇલ વિન્ડિંગ મશીન,কইল ৱাইণ্ডিং মেচিন
સંયોગ સર્કિટ,কাকতলীয়া বৰ্তনী
ગરમ કેથોડ ટ્યુબ,গৰম কেথ&#39;ড টিউব
કોલ્ડ વેલ્ડીંગ પોઈન્ટ,ঠাণ্ডা ৱেল্ডিং পইণ্ট
"કલેક્ટર, કલેક્ટર","সংগ্ৰাহক, সংগ্ৰাহক"
સંગ્રહ પ્રવાહ,সংগ্ৰহ কৰা ধাৰা
કલેક્ટર સડો,সংগ্ৰাহক ক্ষয়
કલેક્ટર કાર્યક્ષમતા,সংগ্ৰাহকৰ দক্ষতা
સમાંતર લેન્સ,সমান্তৰাল লেন্স
પાત્ર ડ્રાફ્ટિંગ,চৰিত্ৰ খচৰা প্ৰস্তুত কৰা
રંગ વિસ્ફોટ,ৰং বিস্ফোৰণ
"રંગ કોડ, અક્ષર કોડ","ৰঙৰ ক&#39;ড, আখৰৰ ক&#39;ড"
રંગ વિભેદક સંકેત,ৰঙৰ পাৰ্থক্য সংকেত
મારણ,এন্টিডট
રંગ મોનિટર,ৰঙৰ মনিটৰ
પાત્ર પ્રજનન,চৰিত্ৰৰ পুনৰুত্পাদন
રંગ સંતૃપ્તિ,ৰঙৰ পৰিপূৰকতা
રંગીન વાહક આવર્તન,ৰঙীন বাহক কম্পাঙ্ক
વર્ણહીન સંકેત,ৰঙীন সংকেত
રંગીન ટેલિવિઝન,ৰঙীন টেলিভিছন
રંગીન ટેલિવિઝન બોડી,ৰঙীন টেলিভিছনৰ শৰীৰ
"કૉલમ સ્પીકર, કૉલમ સાઉન્ડ ડિપોઝિટર","স্তম্ভ স্পীকাৰ, স্তম্ভৰ দৰে শব্দ জমাকাৰী"
"કાંસકો ફિલ્ટર, કાંસકો ફિલ્ટર","কম্ব ফিল্টাৰ, কম্ব ফিল্টাৰ"
કનેક્શન સર્કિટ,সংযোগ বৰ্তনী
સંયુક્ત તર્ક,কম্বিনেটৰিয়েল লজিক
આદેશ,আদেশ
સામાન્ય આધાર એમ્પ્લીફાયર,সাধাৰণ ভিত্তি পৰিবৰ্ধক
સામાન્ય આધાર રૂપરેખાંકન,সাধাৰণ ভিত্তি বিন্যাস
સામાન્ય કલેક્ટર એમ્પ્લીફાયર,সাধাৰণ সংগ্ৰাহক পৰিবৰ্ধক
સામાન્ય કલેક્ટર રૂપરેખાંકન,সাধাৰণ সংগ্ৰাহক সংৰূপ
