English,Odiya
most significant bit,ସବୁଠାରୁ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ବିଟ୍ |
mother board,ମଦର ବୋର୍ଡ |
mother register,ମାତା ପଞ୍ଜିକରଣ |
motion picture,ଗତି ଚିତ୍ର
motion picture experts group (MPEG),ଗତି ଚିତ୍ର ବିଶେଷଜ୍ଞ ଗୋଷ୍ଠୀ (MPEG)
Mount,ପର୍ବତ
Mouse,ମାଉସ୍
Move,ଘୁଞ୍ଚାନ୍ତୁ |
move character,ବର୍ଣ୍ଣ ଘୁଞ୍ଚାନ୍ତୁ |
MS-DOS,MS-DOS
MS-Windows,MS-Windows
multi aspect,ଏକାଧିକ ଦିଗ
multi processor,ମଲ୍ଟି ପ୍ରୋସେସର୍ |
multi programming,ମଲ୍ଟି ପ୍ରୋଗ୍ରାମିଂ |
multi tasking,ମଲ୍ଟି ଟାସ୍କିଂ |
Multibus,ମଲ୍ଟିବସ୍ |
Multicast,ମଲ୍ଟିକାଷ୍ଟ |
multicast address,ମଲ୍ଟିକାଷ୍ଟ ଠିକଣା
Multicasting,ମଲ୍ଟିକାଷ୍ଟିଙ୍ଗ୍ |
Multichip,ମଲ୍ଟିଚିପ୍ |
Multics,ମଲ୍ଟିକ୍ସ |
multijob operation,ମଲ୍ଟିଜୋବ୍ ଅପରେସନ୍ |
multilevel memory,ବହୁ ସ୍ତରୀୟ ସ୍ମୃତି
multimedia technology,ମଲ୍ଟିମିଡ଼ିଆ ଟେକ୍ନୋଲୋଜି |
Multimode,ମଲ୍ଟିମୋଡ୍
Multiple,ଏକାଧିକ
multiple precision,ଏକାଧିକ ସଠିକତା |
multiple regression,ଏକାଧିକ ରିଗ୍ରେସନ୍ |
Multiplex,ମଲ୍ଟିପ୍ଲେକ୍ସ
multiplex mode,ମଲ୍ଟିପ୍ଲେକ୍ସ ମୋଡ୍ |
Multiplexer,ମଲ୍ଟିପ୍ଲେକ୍ସର୍
Multiplexing,ମଲ୍ଟିପ୍ଲେସିଙ୍ଗ୍ |
multipoint network,ମଲ୍ଟିପଏଣ୍ଟ ନେଟୱାର୍କ |
Multiprocessing,ଏକାଧିକ ପ୍ରକ୍ରିୟାକରଣ |
multiprocessor system,ମଲ୍ଟିପ୍ରୋସେସର୍ ସିଷ୍ଟମ୍ |
multipurpose internet mail extention (MIME),ବହୁମୁଖୀ ଇଣ୍ଟରନେଟ୍ ମେଲ୍ ବିସ୍ତାର (MIME)
Multischedule,ବହୁମୁଖୀ
Multistation,ବହୁମୁଖୀ |
Multithreading,ମଲ୍ଟିଥ୍ରେଡିଂ |
multivalued logic,ବହୁଭାଷୀ ତର୍କ |
multivariate analysis,ବହୁଭାରତୀୟ ବିଶ୍ଳେଷଣ |
Multivibrator,ମଲ୍ଟିଭାଇବ୍ରେଟର
mutual exclusion,ପାରସ୍ପରିକ ବହିଷ୍କାର
mutual information,ପାରସ୍ପରିକ ସୂଚନା
naïve user,ସାଂପ୍ରଦାୟିକ ବ୍ୟବହାରକାରୀ |
name server,ନାମ ସର୍ଭର |
NAND operation,NAND ଅପରେସନ୍ |
Nano,ନାନୋ |
narrow band,ସଂକୀର୍ଣ୍ଣ ବ୍ୟାଣ୍ଡ |
national information infrastructure,ଜାତୀୟ ସୂଚନା ଭିତ୍ତିଭୂମି
National Information Standards Organization (NAND NISO),ଜାତୀୟ ସୂଚନା ମାନକ ସଂଗଠନ (NAND NISO)
native code,ମୂଳ କୋଡ୍
native compiler,ଦେଶୀ ସଙ୍କଳନକାରୀ |
native software,ଦେଶୀ ସଫ୍ଟୱେର୍ |
natural compiler,ପ୍ରାକୃତିକ ସଙ୍କଳନକାରୀ |
natural language processing,ପ୍ରାକୃତିକ ଭାଷା ପ୍ରକ୍ରିୟାକରଣ |
natural language querry,ପ୍ରାକୃତିକ ଭାଷା ପ୍ରଶ୍ନ
natural number,ପ୍ରାକୃତିକ ସଂଖ୍ୟା |
Navigation,ନାଭିଗେସନ୍
Navigator,ନାଭିଗେଟର୍ |
negative logic,ନକାରାତ୍ମକ ତର୍କ
nested loop,ନଷ୍ଟେଡ୍ ଲୁପ୍ |
nested macros,ନେଷ୍ଟେଡ୍ ମାକ୍ରୋସ୍ |
Net,ନେଟ୍
net address,ନିଟ୍ ଠିକଣା
net citizen,ନିଟ୍ ନାଗରିକ |
netscape navigator,ନେଟସ୍କେପ୍ ନେଭିଗେଟର୍ |
network access control,ନେଟୱର୍କ ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ
network architecture,ନେଟୱର୍କ ସ୍ଥାପତ୍ୟ
network file system (NFS),ନେଟୱର୍କ ଫାଇଲତନ୍ତ୍ର (NFS)
network integrity,ନେଟୱର୍କ ଅଖଣ୍ଡତା |
network interconnection,ନେଟୱର୍କ ଅନ୍ତ c ସଂଯୋଗ |
network layer,ନେଟୱର୍କ ସ୍ତର
network management,ନେଟୱର୍କ ପରିଚାଳନା
network topology,ନେଟୱର୍କ ଟପୋଲୋଜି |
network virtual terminal,ନେଟୱର୍କ ଭର୍ଚୁଆଲ୍ ଟର୍ମିନାଲ୍ |
neutral relay,ନିରପେକ୍ଷ ରିଲେ |
neutral transmission,ନିରପେକ୍ଷ ସଂକ୍ରମଣ |
new line character,ନୂତନ ରେଖା ବର୍ଣ୍ଣ
new sync,ନୂତନ ସିଙ୍କ୍
NFS/network file,NFS / ନେଟୱର୍କ ଫାଇଲ |
Nibble,ନିବଲ୍ |
nine's complement,ନଅଟିର ସଂପନ୍ନ |
Node,ନୋଡ୍
Noise,କୋଳାହଳ
noise mode,ଶବ୍ଦ ମୋଡ୍
noiseless coding,ଶବ୍ଦହୀନ କୋଡିଂ |
non determinism,ଅଣ ସ୍ଥିରତା |
non distributive,ବଣ୍ଟନକାରୀ ନୁହେଁ |
non empty set,ଖାଲି ସେଟ୍ ନୁହେଁ |
non prime,ଅଣ ପ୍ରଧାନ
Non-interactive,ଅଣ-ପାରସ୍ପରିକ |
non-terminal system,ଟର୍ମିନାଲ୍ ନଥିବା ସିଷ୍ଟମ୍ |
non-volatile memory,ଅସ୍ଥିର ସ୍ମୃତି
non-volatile ram,ଅସ୍ଥିର ରାମ |
non-weighted code,ଓଜନ ନଥିବା କୋଡ୍ |
NOP instruction,NOP ନିର୍ଦ୍ଦେଶ
NOR,NOR
NOR gate,NOR ଗେଟ୍ |
Normal,ସାଧାରଣ
Normalization,ସାଧାରଣକରଣ
Normalizer,ନର୍ମାଲାଇଜର୍
NOR-operation,NOR- ଅପରେସନ୍ |
NOT,ନୁହେଁ |
NOT circuit,ସର୍କିଟ ନୁହେଁ |
NOT equivalence gate,ସମାନତା ଫାଟକ ନୁହେଁ |
NOT operation,ଅପରେସନ୍ ନୁହେଁ |
Not-AND,ନୁହେଁ-ଏବଂ
NOT-AND operation,NOT-AND ଅପରେସନ୍ |
NOT-OR,NOT-OR |
NOT-OR operation,NOT-OR ଅପରେସନ୍ |
NP completeness,NP ସଂପୂର୍ଣ୍ଣତା |
NULL pointer,NULL ସୂଚକ |
number theory,ସଂଖ୍ୟା ସିଦ୍ଧାନ୍ତ |
nyquist criteria,nyquist ମାନଦଣ୍ଡ |
Object,ବସ୍ତୁ
object oriented,ବସ୍ତୁ ଭିତ୍ତିକ |
octal code,ଅକ୍ଟାଲ୍ କୋଡ୍ |
octal number,ଅଷ୍ଟାଲ ସଂଖ୍ୟା
Octet,ଅକ୍ଟେଟ୍ |
Octree,ଅକ୍ଟୋବର
odd parity,ଅଦ୍ଭୁତ ଯୁଗଳ |
office automation,ଅଫିସ୍ ସ୍ୱୟଂଚାଳିତ |
office software,ଅଫିସ୍ ସଫ୍ଟୱେର୍ |
Off-line,ଅଫ୍ ଲାଇନ୍ |
off-line processing,ଅଫ୍ ଲାଇନ୍ ପ୍ରକ୍ରିୟାକରଣ |
Off-set,ଅଫ୍ ସେଟ୍ |
omega notation,ଓମେଗା ନୋଟେସନ୍
on-line communication,ଅନଲାଇନ୍ ଯୋଗାଯୋଗ |
on-line processing,ଅନଲାଇନ୍ ପ୍ରକ୍ରିୟାକରଣ |
OP register,OP ରେଜିଷ୍ଟର |
open addressing,ଖୋଲା ଠିକଣା
open system interconnection,ଖୋଲା ସିଷ୍ଟମ୍ ଅନ୍ତ c ସଂଯୋଗ |
open wire,ଖୋଲା ତାର
Operand,ଅପରେଣ୍ଡ୍
operating system,ପରିଚାଳନା ପ୍ରଣାଳୀ
Operation,ଅପରେସନ୍
Operator,ଅପରେଟର୍
optical character recognition,ଅପ୍ଟିକାଲ୍ ବର୍ଣ୍ଣ ଚିହ୍ନ
optical fibre,ଅପ୍ଟିକାଲ୍ ଫାଇବର |
optical font,ଅପ୍ଟିକାଲ୍ ଫଣ୍ଟ୍ |
optical mark recognition (OMR),ଅପ୍ଟିକାଲ୍ ମାର୍କ ଚିହ୍ନଟ (OMR)
optical memory,ଅପ୍ଟିକାଲ୍ ମେମୋରୀ |
optical reader,ଅପ୍ଟିକାଲ୍ ରିଡର୍ |
optical scanning,ଅପ୍ଟିକାଲ୍ ସ୍କାନିଂ |
Optimal,ସର୍ବୋତ୍କୃଷ୍ଟ
Optimization,ଅପ୍ଟିମାଇଜେସନ୍
opto coupler,ଅପ୍ଟୋ କପ୍ଲର୍ |
Optoelectronics,ଅପ୍ଟୋଲେକ୍ଟ୍ରୋନିକ୍ସ |
Optoisolator,ଅପ୍ଟୋସୋଲେଟର |
OR,କିମ୍ବା
OR gate,କିମ୍ବା ଗେଟ୍ |
OR operation,କିମ୍ବା ଅପରେସନ୍ |
order by,ଦ୍ order ାରା ଅର୍ଡର
order of precedence,ପ୍ରାଥମିକତା କ୍ରମ |
ordered pair,ଅର୍ଡର ହୋଇଥିବା ଯୋଡି |
ordered set,ଅର୍ଡର ସେଟ୍ |
ordered tree,ଗଛ ଅର୍ଡର |
output data,ଆଉଟପୁଟ୍ ଡାଟା
output device,ଆଉଟପୁଟ୍ ଉପକରଣ
output file,ଆଉଟପୁଟ୍ ଫାଇଲ୍
output module,ଆଉଟପୁଟ୍ ମଡ୍ୟୁଲ୍
output statement,ଆଉଟପୁଟ୍ ଷ୍ଟେଟମେଣ୍ଟ
output stream,ଆଉଟପୁଟ୍ ଷ୍ଟ୍ରିମ୍
output unit,ଆଉଟପୁଟ୍ ୟୁନିଟ୍
over flow,ପ୍ରବାହ ଉପରେ
over lay,ଉପରେ
over load,ଭାର ଉପରେ
over printing,ମୁଦ୍ରଣ ଉପରେ
over run,ରନ୍ ଉପରେ
over run error,ରନ୍ ତ୍ରୁଟି ଉପରେ |
overhead bit,ଓଭରହେଡ୍ ବିଟ୍ |
Overlap,ଓଭରଲପ୍ |
overlay program,ଓଭରଲେ ପ୍ରୋଗ୍ରାମ୍ |
override interrupt,ବାଧାକୁ ନବଲିଖନ କରନ୍ତୁ |
Overwrite,ଓଭର୍ ରାଇଟ୍ କରନ୍ତୁ |
own coding,ନିଜର କୋଡିଂ |
Pack,ପ୍ୟାକ୍ କରନ୍ତୁ |
Package,ପ୍ୟାକେଜ୍
Packet,ପ୍ୟାକେଟ୍
packet switching,ପ୍ୟାକେଟ୍ ସୁଇଚ୍
packing factor,ପ୍ୟାକିଂ ଫ୍ୟାକ୍ଟର୍ |
Padding,ପ୍ୟାଡିଂ |
Page,ପୃଷ୍ଠା
page addressing,ପୃଷ୍ଠା ଠିକଣା
page break,ପୃଷ୍ଠା ବିରତି |
page footing,ପୃଷ୍ଠା ପାଦଚିହ୍ନ |
page in,ପୃଷ୍ଠା ଭିତରେ
page out,ପୃଷ୍ଠା ବାହାରେ |
page reader,ପୃଷ୍ଠା ପାଠକ |
page swap,ପୃଷ୍ଠା ଅଦଳବଦଳ |
paged memory,ପୃଷ୍ଠା ସ୍ମୃତି
Paging,ପେଜିଂ
palm top,ଖଜୁରୀ
paper sensor,କାଗଜ ସେନସର |
parallel algoritham,ସମାନ୍ତରାଳ ଆଲଗୋରିଥମ୍ |
parallel computer,ସମାନ୍ତରାଳ କମ୍ପ୍ୟୁଟର |
parallel interface,ସମାନ୍ତରାଳ ଇଣ୍ଟରଫେସ୍ |
parallel port,ସମାନ୍ତରାଳ ପୋର୍ଟ
parallel processing,ସମାନ୍ତରାଳ ପ୍ରକ୍ରିୟାକରଣ |
parallel programming,ସମାନ୍ତରାଳ ପ୍ରୋଗ୍ରାମିଂ |
Parameter,ପାରାମିଟର
Parent,ପିତାମାତା |
Parity,ଯୁଗଳ
parse tree,ପାର୍ସ ଗଛ |
Parser,ପାର୍ସର୍ |
Parsing,ପାର୍ସିଙ୍ଗ୍ |
Partition,ବିଭାଜନ
Partitioning,ବିଭାଜନ
Password,ପାସୱାର୍ଡ
Path,ପଥ
pattern recognition,ନମୁନା ଚିହ୍ନଟ
PC-disk operating system (PCDOS),PC-disk ଅପରେଟିଂ ସିଷ୍ଟମ୍ (PCDOS)
Peer,ସହକର୍ମୀ
pen plotter,କଲମ ଷଡଯନ୍ତ୍ରକାରୀ |
Pentium,ପେଣ୍ଟିଅମ୍ |
Periodic,ପର୍ଯ୍ୟାୟ
Peripherals,ପେରିଫେରାଲ୍ |
Peri,ପେରି
permanent virtual circuit,ସ୍ଥାୟୀ ଭର୍ଚୁଆଲ୍ ସର୍କିଟ୍ |
Persistant,ସ୍ଥାୟୀ
personel computer (PC),ବ୍ୟକ୍ତିଗତ କମ୍ପ୍ୟୁଟର (PC)
personnel digital assistant (PDA),କର୍ମଚାରୀ ଡିଜିଟାଲ ସହାୟକ (PDA)
Phantom,ଫାଣ୍ଟମ୍ |
Phase,ଚରଣ
Phoneme,ଫୋନେମ୍
phonetic system,ଫୋନେଟିକ୍ ସିଷ୍ଟମ୍ |
photo diode,ଫଟୋ ଡାୟୋଡ୍ |
Physical,ଶାରୀରିକ
physical interface,ଭ physical ତିକ ଇଣ୍ଟରଫେସ୍ |
Pico,ପିକୋ |
pie chart,ପାଇ ଚାର୍ଟ
pie graph,ପାଇ ଗ୍ରାଫ୍ |
Pitch,ପିଚ୍
Pixel,ପିକ୍ସେଲ |
plain ascii (ASCII),ସାଧା ଆସସି (ASCII)
plain text,ସରଳ ପାଠ
Planning,ଯୋଜନା
Platform,ପ୍ଲାଟଫର୍ମ |
Plotter,ପ୍ଲଟର୍ |
plotting head,ଷଡଯନ୍ତ୍ର
Plugboard,ପ୍ଲଗବୋର୍ଡ |
Point,ପଏଣ୍ଟ |
point to point protocol (PPP),ପଏଣ୍ଟ ପ୍ରୋଟୋକଲ୍ (PPP)
Pointer,ସୂଚକ
Polarization,ପୋଲାରାଇଜେସନ୍
Polling,ମତଦାନ
polygon clipping,ବହୁଭୂଜ କ୍ଲିପିଂ |
Polymorphism,ପଲିମୋର୍ଫିଜିମ୍ |
Polynomial,ବହୁଜନ
POP (post office protocol),POP (ଡାକଘର ପ୍ରୋଟୋକଲ୍)
Pop-up menu,ପପ୍-ଅପ୍ ମେନୁ |
Portability,ପୋର୍ଟେବିଲିଟି |
Portrait,ଚିତ୍ର
post order,ପୋଷ୍ଟ ଅର୍ଡର |
post script,ସ୍କ୍ରିପ୍ଟ ପୋଷ୍ଟ କରନ୍ତୁ |
postamble bit,ପୋଷ୍ଟମ୍ବଲ୍ ବିଟ୍ |
Postfix,ପୋଷ୍ଟଫିକ୍ସ |
power down,ଶକ୍ତି ତଳକୁ
Power-off,ପାୱାର୍ ଅଫ୍ |
Power-on,ପାୱାର୍ ଅନ୍ |
Power-up,ପାୱାର୍ ଅପ୍ |
preamble bit,preamble bit
precedance graph,ପ୍ରାଥମିକତା ଗ୍ରାଫ୍
Predicate,ପୂର୍ବାନୁମାନ କରନ୍ତୁ |
preemptive scheduling,ପ୍ରାଥମିକ ଯୋଜନା
Pre-fix,ପ୍ରି-ଫିକ୍ସ |
Preprocessing,ପ୍ରକ୍ରିୟାକରଣ
Process,ପ୍ରକ୍ରିୟା
process switch,ପ୍ରକ୍ରିୟା ସୁଇଚ୍
Processing,ପ୍ରକ୍ରିୟାକରଣ
Processor,ସଞ୍ଚାଳକ
Production,ଉତ୍ପାଦନ
Program,ପ୍ରୋଗ୍ରାମ୍
program compilation,ପ୍ରୋଗ୍ରାମ୍ ସଂକଳନ
Program cash,ପ୍ରୋଗ୍ରାମ ନଗଦ
program debugging,ପ୍ରୋଗ୍ରାମ୍ ତ୍ରୁଟି ନିବାରଣ |
program design,ପ୍ରୋଗ୍ରାମ ଡିଜାଇନ୍
program evaluation & review technique (PERT),ପ୍ରୋଗ୍ରାମ ମୂଲ୍ୟାଙ୍କନ ଏବଂ ସମୀକ୍ଷା କ techni ଶଳ (PERT)
program halt,ପ୍ରୋଗ୍ରାମ୍ ବନ୍ଦ |
program library,ପ୍ରୋଗ୍ରାମ୍ ଲାଇବ୍ରେରୀ |
program run,ପ୍ରୋଗ୍ରାମ୍ ଚଲାନ୍ତୁ |
Programmer,ପ୍ରୋଗ୍ରାମର୍
Prolog,ପ୍ରୋଲୋଜ୍
PROM,PROM
Propagation,ପ୍ରଚାର
Proposition,ପ୍ରସ୍ତାବ
protected key,ସୁରକ୍ଷିତ ଚାବି |
Protection,ସୁରକ୍ଷା
Protocol,ପ୍ରୋଟୋକଲ୍
protocol translation,ପ୍ରୋଟୋକଲ୍ ଅନୁବାଦ |
pseudo code,ଛଉ କୋଡ୍ |
public data network,ସର୍ବସାଧାରଣ ଡାଟା ନେଟୱାର୍କ |
public domain,ସାର୍ବଜନୀନ ଡୋମେନ୍ |
public key encripting,ସର୍ବସାଧାରଣ କି ଏନକ୍ରିପ୍ଟିଂ |
Pulse,ନାଡ
pulse code modulation,ନାଡ କୋଡ୍ ମଡ୍ୟୁଲେସନ୍ |
pulse digital modulation (PDM),ନାଡ ଡିଜିଟାଲ୍ ମୋଡ୍ୟୁଲେସନ୍ (PDM)
pulse train,ନାଡ ଟ୍ରେନ୍ |
Punctuation,ବିରାମଚିହ୍ନ
Push,ଠେଲିବା
push down automata,ଅଟୋମେଟାକୁ ତଳକୁ ଠେଲିଦିଅ |
pushup list,ପୁସ୍ଅପ୍ ତାଲିକା |
quad density,ଚତୁର୍ଥାଂଶ ଘନତା |
Qualification,ଯୋଗ୍ୟତା
Quantifier,ପରିମାଣ
Quantize,ପରିମାଣ କରନ୍ତୁ |
Quantizer,ପରିମାଣ
Quantum,କ୍ୱାଣ୍ଟମ୍ |
quantum clock,କ୍ୱାଣ୍ଟମ୍ ଘଣ୍ଟା |
quantum computing,କ୍ୱାଣ୍ଟମ୍ ଗଣନା
querry by example,ଉଦାହରଣ ଦ୍ୱାରା ପ୍ରଶ୍ନ
Query,ଜିଜ୍ଞାସା |
query language,ଜିଜ୍ଞାସା ଭାଷା |
query processing,ଜିଜ୍ଞାସା ପ୍ରକ୍ରିୟାକରଣ |
Queue,ଧାଡି
queue management,ଧାଡ଼ି ପରିଚାଳନା
queue register,ଧାଡି ରେଜିଷ୍ଟର |
queuing network,ଧାଡି ନେଟୱାର୍କ |
queuining theory,ଧାଡି ତତ୍ତ୍। |
quick acess memory,ଶୀଘ୍ର ଆକସେସ୍ ମେମୋରୀ |
Quotient,Quotient
radio frequency interference (RFI),ରେଡିଓ ଫ୍ରିକ୍ୱେନ୍ସି ବାଧା (RFI)
Radix,ରେଡିକ୍ସ |
random access computer equipment (RACE),ଅନିୟମିତ କମ୍ପ୍ୟୁଟର ଉପକରଣ (RACE)
random access memory (RAM),ରାଣ୍ଡମ ଆକ୍ସେସ୍ ମେମୋରୀ (RAM)
random scan,ଅନିୟମିତ ସ୍କାନ୍ |
Raster,ରାଷ୍ଟର |
raster scan,ରାଷ୍ଟର ସ୍କାନ୍ |
re engineering,ପୁନ engineering ଇଞ୍ଜିନିୟରିଂ
re enlargement,ପୁନ lar ବୃଦ୍ଧି
Reachability,ପହଞ୍ଚିବା |
Read,ପ .଼ନ୍ତୁ |
read head,ମୁଣ୍ଡ ପ read ଼ନ୍ତୁ |
read only,କେବଳ ପଢ
read only memory,କେବଳ ସ୍ମୃତି ପ read ଼ନ୍ତୁ |
read write head,ଲେଖା ମୁଣ୍ଡ ପ read ଼ |
read/write cycle,ପ read ଼ିବା / ଲେଖିବା ଚକ୍ର |
read/write head,ମୁଣ୍ଡ ପ read / ଲେଖ
read/write,ପ / / ଲେଖ
Reader,ପାଠକ
reading,ପ reading ିବା
read-out,ପ read ଼ିବା
real,ବାସ୍ତବ
real time processing,ପ୍ରକୃତ ସମୟ ପ୍ରକ୍ରିୟାକରଣ |
Receiver,ଗ୍ରହଣକାରୀ
recognition logic,ସ୍ୱୀକୃତି ତର୍କ
Recompile,ପୁନ omp ସଂଯୋଗ କରନ୍ତୁ |
Record,ରେକର୍ଡ କରନ୍ତୁ |
recording head,ରେକର୍ଡିଂ ହେଡ୍ |
recoverable error,ପୁନରୁଦ୍ଧାରଯୋଗ୍ୟ ତ୍ରୁଟି |
Recovery,ପୁନରୁଦ୍ଧାର
recursim theorem,ପୁନରାବୃତ୍ତି ଥିଓରେମ୍ |
Recursion,ପୁନରାବୃତ୍ତି |
recursive function,ପୁନରାବୃତ୍ତି କାର୍ଯ୍ୟ
reduced instruction set computer (RISC),ହ୍ରାସ ନିର୍ଦ୍ଦେଶ ସେଟ୍ କମ୍ପ୍ୟୁଟର (RISC)
Redundancy,ଅନାବଶ୍ୟକତା |
redundant array of independent disks (RAID),ସ୍ independent ାଧୀନ ଡିସ୍କଗୁଡ଼ିକର ଅନାବଶ୍ୟକ ଆରେ (RAID)
Re-entrant,ପୁନ - ପ୍ରବେଶକାରୀ |
re-entrant code,ପୁନ ent- ପ୍ରବେଶ ସଂକେତ |
Reference,ସନ୍ଦର୍ଭ
referential integrity,ରେଫରେନ୍ସ ଅଖଣ୍ଡତା |
Reflectivity,ପ୍ରତିଫଳନ
Reflextion,ପ୍ରତିଫଳନ
Refraction,ପ୍ରତିଫଳନ
Refresh,ସତେଜ କରନ୍ତୁ |
Regeneration,ପୁନର୍ଜନ୍ମ
Register,ପଞ୍ଜିକରଣ କର |
regular grammar,ନିୟମିତ ବ୍ୟାକରଣ
Relation,ସମ୍ପର୍କ
relational database,ସମ୍ବନ୍ଧୀୟ ଡାଟାବେସ୍ |
relational database management system (RDBMS),ସମ୍ବନ୍ଧୀୟ ଡାଟାବେସ୍ ପରିଚାଳନା ବ୍ୟବସ୍ଥା (RDBMS)
relational model,ସମ୍ବନ୍ଧୀୟ ମଡେଲ୍ |
Relative,ସମ୍ପର୍କୀୟ
relative addressing,ସମ୍ପର୍କୀୟ ଠିକଣା
Relay,ରିଲେ
reliability modeling,ନିର୍ଭରଯୋଗ୍ୟତା ମଡେଲିଂ |
Reliable,ନିର୍ଭରଯୋଗ୍ୟ
relocatable code,ସ୍ଥାନାନ୍ତରିତ କୋଡ୍ |
Remote,ସୁଦୂର
remote host,ସୁଦୂର ହୋଷ୍ଟ
remote job entry,ସୁଦୂର ଚାକିରି ପ୍ରବେଶ
remote log-in,ସୁଦୂର ଲଗ୍ ଇନ୍ |
remote procedure call (RPC),ସୁଦୂର ପ୍ରଣାଳୀ କଲ୍ (RPC)
remote sensing,ରିମୋଟ ସେନ୍ସିଂ |
Rename,ନାମ ପରିବର୍ତ୍ତନ କରନ୍ତୁ |
Rendering,ରେଣ୍ଡରିଂ
Repeater,ପୁନରାବୃତ୍ତି |
Reply,ଉତ୍ତର ଦିଅ
Request,ଅନୁରୋଧ
request for comments (RFC),ମନ୍ତବ୍ୟ ପାଇଁ ଅନୁରୋଧ (RFC)
request/reply protocol,ଅନୁରୋଧ / ଉତ୍ତର ପ୍ରୋଟୋକଲ୍ |
rerun program,ପୁନର୍ବାର ପ୍ରୋଗ୍ରାମ୍
Research,ଅନୁସନ୍ଧାନ |
reset cycle,ଚକ୍ର ପୁନ res ସେଟ୍ କରନ୍ତୁ |
Resident,ବାସିନ୍ଦା
Resolution,ସଂକଳ୍ପ
Resources,ଉତ୍ସଗୁଡ଼ିକ
responsee time,ପ୍ରତିକ୍ରିୟା ସମୟ
Restart,ପୁନଃପ୍ରାରମ୍ଭ
Restore,ପୁନରୁଦ୍ଧାର କରନ୍ତୁ |
Retrace,ପ୍ରତ୍ୟାବର୍ତ୍ତନ |
Retransmission,ପ୍ରତ୍ୟାବର୍ତ୍ତନ
Retrieve,ପୁନରୁଦ୍ଧାର କରନ୍ତୁ
Retry,ପୁନ ry ଚେଷ୍ଟା କରନ୍ତୁ |
Return,ଫେରନ୍ତୁ
return code,ଫେରସ୍ତ କୋଡ୍
return key,ରିଟର୍ନ କୀ
reusable code,ପୁନ us ବ୍ୟବହାର ଯୋଗ୍ୟ କୋଡ୍ |
Rewritable,ପୁନ r ଲିଖନଯୋଗ୍ୟ |
RGB monitor,RGB ମନିଟର |
Ribbon,ରିବନ୍
right issue,ସଠିକ୍ ପ୍ରସଙ୍ଗ |
Robot,ରୋବଟ୍ |
Robotics,ରୋବୋଟିକ୍ସ |
Robust,ଦୃ ust
Role,ଭୂମିକା
roll back,ପଛକୁ ଗଡ଼ |
roll in,ଗଡ଼
roll out,ଗଡ଼
ROM,ଆର.ଓ. ଏମ
Root,ମୂଳ
root directory,ରୁଟ୍ ଡିରେକ୍ଟୋରୀ |
round of error,ତ୍ରୁଟିର ରାଉଣ୍ଡ |
Router,ରାଉଟର
Routing,ମାର୍ଗ
RS232C interface,RS232C ଇଣ୍ଟରଫେସ୍ |
RSA encryption,RSA ଏନକ୍ରିପସନ୍ |
RTC,RTC
run length encoding,ଦ length ର୍ଘ୍ୟ ଏନକୋଡିଂ ଚଲାନ୍ତୁ |
run time,ଚଲାଇବା ସମୟ |
run time error,ସମୟ ତ୍ରୁଟି ଚଲାନ୍ତୁ |
Sample,ନମୁନା |
Sampling,ନମୁନା ସଂଗ୍ରହ
Satellite,ସାଟେଲାଇଟ୍
Saturating,ତୃପ୍ତି
Save,ସଞ୍ଚୟ କରନ୍ତୁ |
Scalability,ମାପନୀୟତା
Scalar,ସ୍କାଲାର୍ |
Scanning,ସ୍କାନିଂ
Scenario,ଦୃଶ୍ୟ
Scheduler,ଅନୁସୂଚୀତକାରୀ
screen image projector,ସ୍କ୍ରିନ୍ ଇମେଜ୍ ପ୍ରୋଜେକ୍ଟର୍ |
Script,ସ୍କ୍ରିପ୍ଟ
scripting language,ସ୍କ୍ରିପ୍ଟିଂ ଭାଷା |
Scrolling,ସ୍କ୍ରୋଲିଂ
SDLC (sychronous data link control),SDLC (ସିଙ୍କ୍ରୋନସ୍ ଡାଟା ଲିଙ୍କ୍ ନିୟନ୍ତ୍ରଣ)
Search,ସନ୍ଧାନ କର |
search engine,ଖୋଜିବା ଯନ୍ତ୍ର
search tree,ବୃକ୍ଷ ଖୋଜ |
Searching,ଖୋଜୁଛି |
Secondary,ଦ୍ Secondary ିତୀୟ
Sector,ସେକ୍ଟର
security policy,ସୁରକ୍ଷା ନୀତି
seek time,ସମୟ ଖୋଜ |
Segment,ବିଭାଗ
Segmentation,ବିଭାଗ
selection sort,ଚୟନ ପ୍ରକାର
self contained,ଆତ୍ମ ଧାରଣ
Semantics,ସେମାଣ୍ଟିକ୍ସ |
Semaphore,ସେମାଫୋର |
Semiconductor,ସେମିକଣ୍ଡକ୍ଟର |
semontic web,ସେମୋଣ୍ଟିକ୍ ୱେବ୍ |
sequential access method,କ୍ରମାଗତ ପ୍ରବେଶ ପଦ୍ଧତି |
Serial,କ୍ରମିକ |
Serializer,କ୍ରମିକ
Server,ସର୍ଭର |
server crash,ସର୍ଭର କ୍ରାସ୍ |
server license,ସର୍ଭର ଲାଇସେନ୍ସ |
servo multiplier,ସର୍ଭୋ ଗୁଣକ
Set,ସେଟ୍ କରନ୍ତୁ |
set point,ବିନ୍ଦୁ ସେଟ୍ କରନ୍ତୁ |
set up,ସେଟ୍ ଅପ୍ କରନ୍ତୁ |
