ab initio,"आरंभत, प्रारंभापासून"
central sales tax,केंद्रीय विक्री कर
centralization,केंद्रीकरण
centralized service,केंद्रीयभूतसेवा
centrally funded scheme,केंद्र पोषित योजना
centrally sponsored scheme,केंद्र प्रायोजित योजना
centre,केंद्र
century,"शताब्दी, शती, शतक"
cereal,"धान्य, दाळी"
cerealist,धान्यविद्
ceremonial parade,समारंभ- पथसंचालन
ceremony,समारंभ
certificate,"1.प्रमाणपत्र, दाखला"
certificate of fitness,1. स्वास्थ्य प्रमाणपत्र 2. कार्ययोग्य प्रमाणपत्र
certificate of posting,प्रेषण प्रमाणपत्र
certificate of service,सेवा प्रमाणपत्र
certification,"प्रमाणन, प्रमाणीकरण"
certified copy,प्रमाणित प्रत
certify,"1. प्रमाणपत्र देणे, दाखला देणे 2. प्रमाणित करणे"
cess,"उपकर, कर, सारा"
cessation,"विराम, समाप्‍ती"
chain,"1. साखळी2. श्रृंखला, बंधन 3. माळ, मालिका"
chairman/chairperson,"सभापती, अध्यक्ष"
challan,चलान
challenge,"1. आव्हान देणे 2. आक्षेप घेणे, आव्हान 3. आक्षेप"
chamber,1. कक्ष 2. सदन 3. मंडळ
chamber of commerce,वाणिज्य मंडळ
change,"परिवर्तन करणे, परिवर्तन होणे, बदलणे, बदल होणे"
chaos,"अत्यंत अव्यवस्था, गोंधळ"
chapter,"प्रकरण, अध्याय"
character assassination,चारित्र्य हनन
character certificate,चारित्र्य प्रमाणपत्र
charge,"1. भार टाकणे, लावणे 2. प्रभरण करणे 3. विद्युतप्रभारित करणे 4. कार्यभार, आरोप"
charge over property,संपत्तिवरील प्रभार
charge sheet,दोषारोपपत्र
charitable,"1. उदार, परोपकारी 2. धर्मादाय, धर्मार्थ"
charity,"1. धर्मादाय 2. औदार्य, दान, परोपकार"
chart,"1. तक्‍ता 2. आराखडा, माहिती पत्रक, नकाशा"
charter,1. सनद 2. अधिकार पत्र 3. भाडयाने घेणे
chasis number,साटा संख्या
cheating,फसवणूक
check,"1. तपासणे 2. शह देणे, मात करणे 3. संरोध करणे"
check list,तपासणीसूची
check post,"तपासणी नाके, तपासणी चौकी"
chemist,"रसायनशास्त्रज्ञ, औषधविक्रता"
cheque,धनादेश
cheque let,धनादेश पत्रक
chief,"प्रमुख, मुख्य"
child exploitation,बाल-शोषण
child labour,बालमजुर
child welfare,बालकल्याण
children education allowance,संतति-शिक्षण-भत्ता
chronic,"जीर्ण, जुनाट, दीर्घकालिक"
chronological order(=chronological sequence),कालानुक्रम
circle,"1. मंडळ 2. वर्तुळ, वृत्त 3. गोल"
circuit house,"विश्रामभवन, विश्रामगृह"
circular (=circular letter),परिपत्रक
circulation,1. फिरवणे 2. प्रसार 3. अभिसरण
circumstance,परिस्थिति
circumstantial evidence,परिस्थिति जन्य पुरावा
citation,"1.अवतरण 2. आदेशन पत्र 3. वाक्संहिता 4. उल्लेख, कथन"
citizenship,नागरिकता
city compensatory allowance,शहर नुकसानभरपाई भत्ता
civic amenities,नागरिक शिष्‍टाचार
