Bengali,Gujarati
একটানা,સળંગ
ফলে,પરિણામે
কনসোল,કન્સોલ
একত্রীকরণের,એકીકરણ
ধ্রুবক,સતત
ধ্রুবক নির্দেশ,સતત સૂચના
বাধা,અવરોધ
নির্মাণকারী,કન્સ્ટ્રક્ટર
ধারক,કન્ટેનર
বিষয়বস্তু,સામગ્રી
প্রসঙ্গ,સંદર્ભ
প্রসঙ্গ মুক্ত ব্যাকরণ (CFG),સંદર્ભ મુક્ત વ્યાકરણ (CFG)
প্রসঙ্গ সুইচ,સંદર્ભ સ્વીચ
আকস্মিকতা,આકસ્મિક
সংকোচন,સંકોચન
বিপরীত,વિપરીત
নিয়ন্ত্রণ,નિયંત્રણ
নিয়ন্ত্রণ এলাকা,નિયંત્રણ વિસ્તાર
নিয়ন্ত্রণ বিট,નિયંત્રણ બીટ
নিয়ন্ত্রণ বাস,નિયંત્રણ બસ
নিয়ন্ত্রণ কার্ড,નિયંત્રણ કાર્ડ
নিয়ন্ত্রণ বর্তনী,નિયંત્રણ સર્કિટ
নিয়ন্ত্রণ চক্র,નિયંત્રણ ચક્ર
নিয়ন্ত্রণ প্রকৌশল,નિયંત્રણ એન્જિનિયરિંગ
নিয়ন্ত্রণ কী,નિયંત્રણ કી
নিয়ন্ত্রণ যুক্তি,નિયંત્રણ તર્ક
নিয়ন্ত্রণ লুপ,નિયંત્રણ લૂપ
নিয়ন্ত্রণ চিহ্ন,નિયંત્રણ ચિહ્ન
নিয়ন্ত্রণ অপারেশন,નિયંત્રણ કામગીરી
নিয়ন্ত্রণ প্যানেল,કંટ્રોલ પેનલ
নিয়ন্ত্রণ সংকেত,નિયંત્રણ સંકેત
কন্ট্রোল সুইচ,નિયંત્રણ સ્વીચ
নিয়ন্ত্রণ টেপ,નિયંત્રણ ટેપ
নিয়ন্ত্রণ টার্মিনাল,નિયંત્રણ ટર્મિનલ
কন্ট্রোল ইউনিট (CU),કંટ્રોલ યુનિટ (CU)
অভিন্নতা,કન્વર્જન્સ
কথোপকথন,વાતચીત
কথোপকথন সময় ভাগ করা,વાતચીત સમયની વહેંચણી
রূপান্তর,રૂપાંતર
রূপান্তরকারী,કન્વર્ટર
কুকের উপপাদ্য,કૂકનું પ્રમેય
সহ-প্রসেসর,સહ-પ્રોસેસર
অনুলিপি,નકલ
কপিরাইট,કૉપિરાઇટ
কর্ড,દોરી
কর্ডলেস টেলিফোন,કોર્ડલેસ ટેલિફોન
ফলাফল,પરિણામ
সংশোধন,કરેક્શન
দূষিত,દૂષિત
গণনা,ગણતરી
পাল্টা,કાઉન્ટર
কান্ট্রি কোড,દેશનો કોડ
সহবাস,સહપ્રવૃત્તિ
কভারেজ,કવરેજ
ক্র্যাশ,ક્રેશ
জটিল পথ,મુશ્કેલ રસ્તો
সমালোচনামূলক পথ পদ্ধতি (CPM),જટિલ માર્ગ પદ્ધતિ (CPM)
ক্রস চেক,ક્રોસ ચેક
ক্রস কম্পাইলার,ક્રોસ કમ્પાઇલર
ক্রস ফায়ার,ક્રોસ ફાયર
ক্রস আলাপ,ક્રોસ ટોક
ক্রিপ্টোগ্রাফিক,ક્રિપ્ટોગ્રાફિક
ক্রিপ্টোগ্রাফি,સંકેતલિપી
মুদ্রার প্রতীক,ચલણ પ્રતીક
বর্তমান ডিরেক্টরি,વર્તમાન ડિરેક્ટરી
বর্তমান উইন্ডো,વર્તમાન વિન્ડો
কার্সার,કર્સર
বক্ররেখা,વળાંક
কাটা এবং পেস্ট,કાપો અને પેસ્ટ કરો
কাটা পদ্ধতি,કાપવાની પદ્ધતિ
সাইবার,સાયબર
সাইবার ক্যাফে,સાયબર કાફે
সাইবার নগদ,સાયબર રોકડ
সাইবার অপরাধ,સાયબર અપરાધ
সাইবার ডেলিক্স,સાયબર ડેલીક્સ
সাইবার আইন,સાયબર કાયદો
সাইবার সেক্স,સાયબર સેક્સ
সাইবারনাটিক্স,સાયબરનેટિક્સ
সাইবারনেশন,સાયબરનેશન
সাইকেল,ચક્ર
চক্র মেমরি,ચક્ર મેમરી
সাইকেল চুরি,સાયકલ ચોરી
চক্রাকারে,ચક્ર સમય
চক্রাকার,ચક્રીય
ডেমন,ડિમન
ডেইজি চাকা,ડેઝી વ્હીલ
ডেটা অ্যাডমিনিস্ট্রেটর,ડેટા એડમિનિસ્ટ્રેટર
তথ্য বরাদ্দ,ડેટા ફાળવણી
তথ্য এলাকা,ડેટા વિસ્તાર
ডেটা অ্যারে,ડેટા એરે
তথ্যশালা,ડેટા બેઝ
তথ্য বিরতি,ડેટા બ્રેક
তথ্য বাস,ડેટા બસ
তথ্য ক্যারিয়ার,ડેટા વાહક
ডেটা সেল,ડેટા સેલ
ডেটা চ্যানেল,ડેટા ચેનલ
তথ্য যোগাযোগ,ડેટા કમ્યુનિકેશન
তথ্য সংকোচন,ડેટા કમ્પ્રેશન
উপাত্ত ক্ষেত্র,માહિતી ક્ષેત્ર
আমার স্নাতকের,ડેટા ફાઇલ
তথ্য প্রবাহ,માહિતી પ્રવાહ
তথ্য প্রবাহ চার্ট,ડેટા ફ્લો ચાર્ટ
ডেটা অনুক্রম,ડેટા વંશવેલો
তথ্য স্তর,ડેટા સ્તર
ডেটা লাইব্রেরি,ડેટા લાઇબ્રેરી
ডেটা লিঙ্ক স্তর,ડેટા લિંક સ્તર
ডেটা লিঙ্ক স্তর (DLL),ડેટા લિંક લેયર (DLL)
ডাটা ব্যাবস্থাপনা,માહિતી વ્યવસ્થાપન
ডেটা ম্যানিপুলেশন,ડેટા મેનીપ્યુલેશન
ডেটা ম্যানিপুলেশন ল্যাঙ্গুয়েজ (DML),ડેટા મેનીપ્યુલેશન લેંગ્વેજ (DML)
ডেটা মডেম,ડેટા મોડેમ
তথ্য পরিবর্তন,ડેટા ફેરફાર
তথ্য জালিকা,ડેટા નેટવર્ક
ডেটা অপারেশন,માહિતી કામગીરી
তথ্য সংস্থা,ડેટા સંસ્થા
ডেটা আউটপুট,ડેટા આઉટપુટ
তথ্য পথ,ડેટા પાથ
তথ্য প্রস্তুতি,ડેટાની તૈયારી
ডেটা গোপনীয়তা,ડેટા ગોપનીયતા
ডাটা প্রসেসর,ડેટા પ્રોસેસર
তথ্য সুরক্ষা,ડેટા જાણવણી
তথ্য রেকর্ড,ડેટા રેકોર્ડ
তথ্য পুনরুদ্ধার,માહિતી પુનઃપ્રાપ્તિ
ডেটা রুটিন,ડેટા રૂટિન
তথ্য নিরাপত্তা,ડેટા સુરક્ષા
ডেটা সেট,ડેટા સેટ
তথ্য সংকেত,ડેટા સિગ્નલ
ডেটা সিঙ্ক,ડેટા સિંક
তথ্য সূত্র,માહિતીનું પ્રાપ્તિસ્થાન
ডেটা স্পেসিফিকেশন,ડેટા સ્પષ્ટીકરણ
ডেটা স্টেশন,ડેટા સ્ટેશન
তথ্য ভান্ডার,માહિતી સંગ્રાહક
ডেটা স্টোরেজ কাঠামো,માહિતી સંગ્રહ માળખું
তথ্য কাঠামো,ડેટા માળખું
ডেটা সুইচ,ડેટા સ્વીચ
ডেটা টেবিল,ડેટા ટેબલ
ডেটা টার্মিনাল,ડેટા ટર્મિનલ
ডেটা ট্রান্সক্রিপশন,ડેટા ટ્રાન્સક્રિપ્શન
তথ্য স্থানান্তর,ડેટા ટ્રાન્સફર
ডেটা ট্রান্সমিশন,ડેટા ટ્રાન્સમિશન
ডেটা ট্রান্সমিশন চ্যানেল,ડેટા ટ્રાન્સમિશન ચેનલ
