Odiya,Hindi
ଆଣ୍ଟି-ସେନ୍ସ rna,प्रति-अर्थक आर.एन.ए.
ଆଣ୍ଟିଭାଇରାଲ୍ ପ୍ରୋଟିନ୍ |,प्रतिविषाणुक प्रोटीन
ଆଣ୍ଟରୁମ୍,गह्वर
ଅକ୍ୟୁଚେଟ୍ |,अकेंद्रकी
ମଳଦ୍ୱାର,गुदा
ଚିନ୍ତା ବ୍ୟାଧି,दुश्चिंता विकार
ଆର୍ଟିକ୍ ଆର୍କ,महाधमनी चाप
ଆର୍ଟିକ୍ ଗ୍ୟାଙ୍ଗଲିଅନ୍ |,कर्ण गुच्छिका
ଆର୍ଟିକ୍ ସେମିଲୁନାର୍ ଭଲଭ୍ |,महाधमनी अर्धचंद्र कपाट
ଆର୍ଟିକ୍ ଭଲଭ୍ |,महाधमनी कपाट
APC (ଆନାଫାଜ୍ ପ୍ରୋତ୍ସାହିତ କରନ୍ତୁ),पश्चावस्था वर्धक संमिश्र
Apeleke etister,कपि-सम पूर्वज
ଆପିଡ୍ |,ऐफिड
ଆଫ୍ରୋଡାଇଟ୍ |,ऐफ्रोडाइट
ଆପିକାଲ୍ ପ୍ରାଧାନ୍ୟ |,शीर्ष प्रभाविता
ଆପିକାଲ୍ ପ୍ୟାଡ୍ |,शीर्ष तल्प
ଆପିକଲ୍ଟର |,मधुमक्खीपालन
APIS Inica,ऐपिस इंडिका
ଆପ୍ଲାନୋସ୍ପୋର |,अचलबीजाणु
Aplisiia |,ऐप्लीसिया
ଆପୋନାପରୁ |,ऐपोकार्पी
ଆପେରପୋସ୍ |,वियुक्तांडपी
ଆପିସିଆପସ୍ ଡିମରୀ |,वियुक्तांडपी अंडाशय
ଆପୋକ୍ରାଇନ୍ ଗ୍ରନ୍ଥି |,अपस्रावी ग्रंथि
ଆଜୋରଜାଇମ୍,एपोएंजाइम
ଆପୋମାକ୍ଟ |,असंगजनिक
ଆପୋମିକ୍ସସ୍ |,असंगजनन
ଆପପୋସମ୍,ऐपोप्लाज्म
ଆପୋପ୍ଲୋପ୍ସିଆମ୍ ପଥ,सुप्रवाही पथक्रम
ଆପୋଟୋଏସ୍,एपोप्टोसिस
ଉପକରଣ,उपकरण
ଆପେଣ୍ଡିକୁଲାର୍ କଙ୍କାଳ,उपांगी कंकाल
କେନାଓମାର ପରିଶିଷ୍ଠ |,अंधनाल की परिशेषिका
ଆପଲ୍ ଶାବକ |,ऐपल घोंघा
ଜଳସେଚନ,जलकृषि
ଆକ୍ୱାପୋରିନ୍ |,ऐक्वापॉरिन
ଆକ୍ୱାଟିକ୍ ଆମ୍ଫିବିଆନ୍ |,जलीय ऐम्फिबियन
ଜଳୀୟ ଫର୍ମ |,जलीय रूप
ଜଳୀୟ ବାସସ୍ଥାନ |,जलीय पर्यावास
ଜଳୀୟ ଜୀବ |,जलीय जीव
ଜଳୀୟ ଉଦ୍ଭିଦ |,जलीय पादप
ଆକ୍ୱାଟିକ୍ ଶ୍ iration ାସକ୍ରିୟା |,जलीय श्वसन
ଜଳୀୟ ତରଳ |,जलीय तरल
ପ୍ରତିବନ୍ଧକ ହଲେର |,"नेत्रोद, ऐक्विअस ह्यूमर"
ପ୍ରତିବନ୍ଧକ ଉଦ୍ଭାବନ-ସେଲ୍ୟୁଲାର ତରଳ |,जलीय अंतःकोशिका तरल
ଜଳୀୟ ନମୁନା |,जलीय नमूना
ଜଳୀୟ ସମାଧାନ |,जलीय विलयन
ଆକ୍ୱିଲା |,एक्विला
ଆରଆଡିଡୋସିସ୍,ऐरेबिडॉप्सिस
ଆରାଚ୍ନିଡା |,एरेक्निडा
ଆରାଚନୋଏଡ୍ |,एरेक्नॉइड (लूताजालाभ)
ଆରୋନିସସ୍ |,अरेनियस
ଅର୍ବରସେଣ୍ଟ |,वृक्षवत्
ଆର୍ବୋରେସେଣ୍ଟ୍ ଲାଇକୋପୋଡ୍ |,वृक्षवत् लाइकोपॉड
ବହୁମାରକ,आद्य जीवाणु
ଆର୍କେଗୋନିୟମ୍ |,स्त्रीधानी
ଦ୍ୱୀପପୁଞ୍ଜ,द्वीपसमूह
ଆର୍କଟିକ୍ |,"उत्तरध्रुवीय, आर्कटिक"
ଆର୍କଟିକ୍ ଟର୍ନ |,आर्कटिक टर्न
ଆର୍କଟିକ୍ ଟୁଣ୍ଡ୍ରା |,"उत्तरध्रुवीय टुंड्रा, आर्कटिक टुंड्रा"
ଅମାରୀ |,आर्डिया
ଆରେନଲର ଟିସୁ |,एरियोली ऊतक
ଆର୍ଜେନ (ପ୍ରିକ୍ଲି ପପି),"आर्जिमनी, पीली कंटीली"
ଆର୍ଜେନ ମେକ୍ସିକାନା |,आर्जिमनी मेक्सिकाना
Arginine,आर्जिनीन
ଶୁଷ୍କ ଅଞ୍ଚଳ |,शुष्क प्रक्षेत्र
ଆରିଷ୍ଟୋଚିଆସିଆନା |,ऐरिस्टोलोकिएसी
ବାହୁ ଖାଇବାକୁ,भुजाकृत अशन
ସେନା କୀଟ |,सैनिक शलभ (चने की सूंडी)
ଆରୋଏଡ୍,ऐरॉयड
ସୁଗନ୍ଧ,ऐरोमा
ଆରେଷ୍ଟ୍ରର୍,प्रग्राही
ଆର୍ଟେମିସିଆ,आर्टिमिजिया
ଧମନୀ ସିଷ୍ଟମିକ୍ |,धमनी प्रकुंचनी
ଧମନୀତା |,धमनीकाठिन्यकारी
ଆର୍ଥ୍ରୋପୋଡ୍ |,संधिपाद
ଆର୍ଥ୍ରାଇଟିସ୍,संधिशोथ
ଆର୍ଥ୍ରୋପୋଡା |,"संधिपाद संघ, आथ्रोपोडा"
ଆର୍ଟିକୁଲାର୍ କାର୍ଟିଲେଜ୍ |,संधायक उपास्थि
ସ୍ପଷ୍ଟ କରନ୍ତୁ,संधिल
ସ୍ପଷ୍ଟ,संधित
କୃତ୍ରିମ ପେସମେର |,कृत्रिम गतिचालक
କୃତ୍ରିମ ଚୟନ,कृत्रिम वरण
ଆର୍ଟୋକାର୍ପସ୍ ହେଟେରୋଫିଲେଲସ୍ |,आर्टोकार्पस हेटेरोफिलस (कटहल)
ଆଜବେଷ୍ଟୋସ୍ ଫାଇବର |,ऐस्बेस्टॉस रेशा
ଆଜବେଷ୍ଟଷ୍ଟାସ୍ |,"ऐस्बेस्टॉसिता, ऐस्बेस्टॉस-आर्ति"
ଆସାରସିସ୍ |,ऐस्केरिस
ଚୋରମାଟୋଗ୍ରାଫି ଆରୋହଣ |,आरोही वर्णलेखन
Ascidia,ऐसिडिआ
Ascidanian,ऐसिडियन
ଆସ୍କାର୍ପ,ऐस्कोकार्प
ଆସୋନୋମିସେସ୍ |,ऐस्कोमाइसिटीज
ଆସ୍କୋରବିକ୍ ଏସିଡ୍ |,ऐस्कॉर्बिक अम्ल
ଆସ୍କୋସ୍ପୋର |,"ऐस्कस बीजाणु, ऐस्कोस्पोर"
ଆସୋକସ,ऐस्कस
ଅଭିଶାପ,पटहीन
ସମଲିଙ୍ଗୀ ପ୍ରଜନନ,अलैंगिक जनन
ଆଶାକର୍ମୀ ସ୍ପୋର |,अलैंगिक बीजाणु
ଅସର୍ୱାଗାଇନ୍ ସିନ୍ଥେଟେଜ୍ |,ऐस्पेराजीन सिन्थेटेस
ଅସରପା,"ऐस्पैरागस, शतावरी"
ଆସପାର୍ଟିକ୍ ଏସିଡ୍ |,ऐस्पार्टिक अम्ल
ଆସପର୍ମିଲୁସ୍ ନାଇଜର |,ऐस्पर्जिलस नाइजर
ଆସପାର୍ଗିଲସ୍,ऐस्पर्जिलस
ଆସଫୋଡେଲସ୍ ଟେନୁଫୋଲୋସ୍ |,ऐस्फोडेलस टेनुईफोलियस
ଆସ୍ପିରିନ୍ |,ऐस्पिरिन
ଆମ୍ପେ,"आमापन, ऐसे"
ସମାବେଶ,समुच्चय
ଆସିମିଗ୍ନାଟିସିଆନିକ ଦକ୍ଷତା |,स्वांगीकरण दक्षता
ଅନୁକରଣ ମୂଳ,स्वांगीकारी जड़
ଅନୁମୋଦିତ ପ୍ରଜନନ କ techni ଶଳ |,सहायित जननिक तकनीक
ସଙ୍ଗଠନ କ୍ଷେତ୍ର |,"साहचर्य क्षेत्र, सहभागिता क्षेत्र"
ଆସୋସିଟିଭ୍ ସେମ୍ବୋଜାଇସ୍ |,सहचारी सहजीविता
Assortment ଏବଂ redommbination |,अपव्यूहन और पुनर्योजन
ଫ୍ୟାକ୍ଟର୍ ଅଫ୍ ଫ୍ୟାକ୍ଟର୍ |,कारक का अपव्यूहन
ଆଷ୍ଟାକସ୍,ऐस्टाकस
ଆଷ୍ଟାରାସିଆ |,ऐस्टेरेसी
ଆଶ୍ରୟ,ऐस्टरेलीज
ଆଷ୍ଟ୍ରୋଏଡ,"क्षुद्र ग्रह, ग्रहिका"
ଶ୍ୱାସରୋଗ,दमा
ASTRTRALYUS GumMifer |,ऐस्ट्रागेलस गुमीफर
ଜ୍ୟୋତିଷ ସ୍ପିଣ୍ଡଲ୍ ପୋଲ |,तारक तर्कु ध्रुव
ଜ୍ୟୋତିର୍ବିଜ୍ଞାନ |,खगोलज्ञ
ଅସୀମେଟ୍ରିକ୍ କୁରୋଟାଇପ୍ |,असममित गुणसूत्रप्ररूप
ଅସମାନଗତ,असममित
ଆଥେରୋମାଷ୍ଟସ୍ |,धमनीवसाकठिन्यमय
ଆଥେରୋସୋକ୍ଲୋରସିସ୍ |,"धमनीवसाकाठिन्य, ऐथिरोस्कलेरोसिस"
ଆଥେରୋସ୍ ଏକ୍ସପ୍ଲୋରିକ୍ ​​ପ୍ଲେକ୍ |,धमनीवसाकठिन्यकारी लवांक
Atlas,"शीर्षधर, ऐटलस"
ଆଟଲାସ୍ ଭର୍ଟବ୍ରା |,"शीर्षधर कशेरुक, ऐटलस कशेरुक"
ବାୟୁମଣ୍ଡଳ,वायुमंडल
ବାୟୁମଣ୍ଡଳ,वायुमंडलीय
ବାୟୁମଣ୍ଡଳୀୟ ଇନପୁଟ୍ |,वायुमंडलीय निवेश
ପରମାଣୁ ଶକ୍ତି ମାଇକ୍ରୋସ୍କୋପ୍ |,परमाणु बल सूक्ष्मदर्शी
ପରମାଣୁ,परमाणु
Atp asee,ए. टी. पी. ऐज
ଆଟ୍ରିଆଲ୍ ସଂକୋଚନ |,अलिंद संकुचन
ଆଟ୍ରିଆଲ୍ ଫାଇବ୍ରିଲ୍ |,परिकोष्ठी रेशकीयन
ଆର୍ମିଆଲ୍ ନାବିକ କାରକ (ANF),परिकोष्ठी नैट्रीयूरेटिक कारक
ଆର୍ମିଆଲ୍ ନୋଡ୍ |,अलिंद ग्रंथिक
ଆଟ୍ରିଆଲ୍ ସିଷ୍ଟସଲ୍ |,अलिंद प्रकुंचन
Atrivicericular node |,अलिंद-निलय ग्रंथिक
Atrivicerically ଭଲଭ୍ |,अलिंद-निलय कपाट
Atrium (Petatri),अलिंद
Atrium (Petatri),परिकोष्ठ
Atropa ବେଲୋଡୋନ୍ନା |,ऐट्रोपा बेलाडोना
ଆଟ୍ରୋଫି |,क्षीणता
ଆଟ୍ରୋପାଇନ୍ ଆଲକାଲାଇଡ୍ |,ऐट्रोपीन ऐल्केलॉइड
ସଂଲଗ୍ନ ପ୍ଲେଟଗୁଡିକ,संलग्नी पट्ट
ଅଡିଟ୍ କର୍ଟେକ୍ସ |,श्रवण वल्कुट
ଅଲୋସଲା |,ऑलोसाइरा
ଅରିକିଲ୍ (ଅରିକ୍ୟୁଲା),पालि
ଅରିକିଲ୍ (ଅରିକ୍ୟୁଲା),अलिंद
ଅରିକିଲ୍ (ଅରିକ୍ୟୁଲା),परिकोष्ठ
ଅରିକିଲ୍ (ଅରିକ୍ୟୁଲା),कर्णपल्लव
ଅଷ୍ଟ୍ରିଆଲୋଟୋଇଥିନ୍ |,ऑस्ट्रेलोपिथेसिनीस
ଅଗଣନା,स्वपारिस्थितिकी
ସ୍ୱୟଂଚାଳିତ DNA କ୍ରମିକ |,स्वचालित डी. एन. ए. अनुक्रमक
ଅଟୋପୋଲାପ୍ଲୋଡ୍ |,स्वबहुगुणित
ଅଟୋନାଲାଇସର |,स्वविश्लेषित्र
ଅଟୋଗାମି |,स्वयुग्मन
ଅଟୋଗାମି |,स्वनिषेचन
ଅଟୋଗ୍ରାଫ୍ଟ,स्वनिरोप
ଅଟୋମେମୁନ୍ ରୋଗ |,स्वप्रतिरक्षा रोग
ଅଟୋମୋବାଇଲ୍ ନିଷ୍କାସନ |,ऑटोमोबाइल निष्कासित पदार्थ
ଅଟୋନୋମିକ୍ (ଅନିଚ୍ଛାକୃତ) ସ୍ନାୟୁ ପ୍ରଣାଳୀ |,स्वायत्त (अनैच्छिक) तंत्रिका-तंत्र
ଅଟୋଫହାଗିକ୍ ଲାଇସୋସ୍ |,स्वभोजी लयनकाय
ଅଟୋପ୍ଲଏଡ୍,स्वगुणित
ଅଟୋପୋଡିୟମ୍,"प्रचलपाद, ऑटोपोडियम"
ଅଟୋପୋଲାପ୍ଲୋଡ୍ |,स्वबहुगुणित
ଅଟୋସୋମାଲ କ୍ରୋମୋରୋମ |,अलिंगी गुणसूत्र
ଅଟୋସୋମାଲ ଜିନ୍ |,अलिंगसूत्री जीन
ଅଟୋସୋମ୍,अलिंगसूत्र
ଅଟୋଟ୍ରାପର୍ଡର |,स्वचतुर्गुणित
ଅଟୋଟୋମି |,स्वांगोच्छेदन
ଅଟୋଟ୍ରିପ୍ଲାଇଡ୍ ବିବିଧତା |,स्वत्रिगुणित किस्म
ଅଟୋୋଟ୍ରୋଫ୍,"स्वपोषी, स्वपोषित"
ଶରତ କାଠ |,"शरद काष्ठ, बसंत काष्ठ"
ଆର୍କନୋଗ୍ରାଫ୍ |,वृद्धि आलेख
ଆପନୋମିଟର |,वृद्धिमापी
Auxetic ଅଭିବୃଦ୍ଧି |,आयतनी वृद्धि
Auxin,ऑक्सिन
Auxotroph,विपोषी
ଏକ ଭି ବଣ୍ଡଲ୍ |,अलिंद निलय बंडल
Aves,एवीज
ଆଚେନ୍ନିଆ,एविसेनिया
Awn,शूक
ଅକ୍ଷୀୟ କଙ୍କାଳ |,अक्षीय कंकाल
ଆକ୍ସିଲ୍ |,अक्षीय
ଆକ୍ସିଲାରୀ ଗୁଣ୍ଡ |,कक्षीय कलिका
ଆକ୍ସଲରୀ,कक्षीय
ଆକ୍ସିସ୍ ଭର୍ଟିବ୍ରା |,अक्ष-कशेरूक
ଆକ୍ସନ୍ |,तंत्रिकाक्ष
ଆକ୍ମେନାଲ୍ ମେମ୍ବ୍ରେନ୍ |,तंत्रिकाक्ष कला
ଆକ୍ଡୋନାଲ୍ |,तंत्रिकाक्षतः
ଆକ୍ସୋନମେ |,"अक्षसूत्र, एक्सोनीम"
Azospirillum |,ऐजोस्पिरिलम
AzotoToTapacter,ऐजोटोबैक्टर
ଆୟଜାଗୋସ୍ ଶିରା |,अयुग्म शिरा
ବାଣ୍ଡିଲସ୍ ଆନ୍ଥେରାକିସ୍ |,बैसिलस ऐन्थ्रेसिस
ବାଖିଲସ୍ ଥରି ବୁଲେନ୍ସିଏନସିସ୍ (BT),बैसिलस थुरिंजिएन्सिस
ବାଣ୍ଡିଲସ୍ |,"दंडाणु, बैसिलस"
ଜୀବାଣୁ,जीवाणु
ଜୀବାଣୁ,"जीवाण्विक, जीवाणुक, जीवाणु"
ବ୍ୟାମିଆ କୃତ୍ରିମ କ୍ରୋମୋଜୋମ୍ (bac),जीवाणुक कृतक गुणसूत्र
ଜୀବାଣୁ ପାଥୋଜେନ |,जीवाण्विक रोगाणु
ବ୍ୟାକ୍ଟେରିଆ ପ୍ଲାଜ୍ମା ମେମ୍ବ୍ରେନ୍ |,जीवाण्विक प्लाज्मा झिल्ली
ଜୀବାଣୁ ଷ୍ଟ୍ରେନ୍ |,जीवाणुक प्रभेद
ଜୀବାଣୁ,"जीवाण्वीय, जीवाणु"
ଜୀବାଣୁ ନାମକ ନିୟୋଜିତ |,जीवाणु नामपद्धति
ଜୀବାଣୁ,जीवाणुभोजी
ଜୀବାଣୁ,जीवाणु
Bacuoulvirus,बैक्युलोविषाणु
ବ୍ୟାଗଗୁଡିକ,परिच्छादन
ବାଲେଡୋପେରା |,बैलीनोप्टेरा
ବାଲାନ୍ସ ପଲେମୋରଫିଜିମ୍ |,संतुलित बहुरूपता
ସନ୍ତୁଳନ ଚୟନ,संतोलक वरण
ବାଲନୋଗ୍ଲୋସସ୍ |,बैलेनोग्लोसस
ବାଲାମୁସସ୍,बैलानस
ବାଲାଷ୍ଟା |,बैलौस्टा
ବଲ୍ ଏବଂ ସକେଟ୍ ଗଣ୍ଠି |,कंदुक खल्लिका संधि
ବେଲୁନ୍ କ୍ୟାଥେରାଇଜେସନ୍ |,बैलून कैथीकरण
