ab initio,அடி முதலே
borrower,கடன் வாங்குபவர்
borrowing power,கடன் வாங்கு திறன்
boss,"தலைவர், மேலதிகாரி"
bottleneck,"தடங்கல், நெருக்கடியான நிலை"
boundary,"எல்லை, வரையறை"
boycott,புறக்கணித்தல்
bracket,1. அடைப்புக்குறி 2. தாங்கி
brain drain,"மூளை வறட்சி, திறமைசாலிகள் வெளியேறுதல்"
branch office,"கிளை அலுவலகம், பிரிவு அலுவலகம்"
breach,1. மீறுதல் 2. உடைப்பு
breach of agreement,உடன்பாட்டு மீறல்
breach of confidence,"நம்பிக்கையைக் குலை, நம்பிக்கை மீறல்"
breach of contract,ஒப்பந்த மீறல்
breach of discipline,ஒழுக்க மீறல்
breach of law,சட்ட மீறல்
breach of peace,அமைதி குலைத்தல்
breach of privilege,உரிமை மீறல்
breach of promise,வாக்குறுதி மீறல்
breach of rule,விதிமீறல்
breach of trust,"நம்பிக்கைக் கேடு, நம்பிக்கை முறிவு"
break down,"சீர்குலைவு, பழுதுபடல்"
break in service,"பணி இடை முறிவு, பணி தொடர்ச்சியறு"
break-up,1. துண்டுதுண்டாக்கு 2. இனம் பிரி
breakage,"உடைப்பு, தொடர்பு முறிவு"
breed,"1. இனம், குருதி மரபு 2. ஈனு, உற்பத்தி செய், பிறப்பி, இனம் பெருக்கு"
bribe,"கையூட்டு, லஞ்சம்"
brief,சுருக்கமான
brief resume,சுருக்கமான தன்விவரம்
briefing,1. சுருங்கக்கூறல் 2. வழக்கிற்கு ஆதாரம்
brilliant record,அற்புதமான சாதனை
bring into notice,கவனத்திற்குக் கொண்டுவா
broadcast,ஒலிபரப்பு
broadsheet,"பெரிய தாள், அகலத் தாள்"
brochure,"சிற்றேடு, துண்டு வெளியீடு, பிரசுரம்"
brokerage,"தரகு, தரகுக்கூலி"
brought forward (b/f),முன்பக்கப்படி (மு.ப.)
budget allocation,வரவு-செலவுத் திட்டஒதுக்கீடு
budget estimate,வரவு-செலவுத் திட்ட மதிப்பீடு
budget provision,"வரவு-செலவுத் திட்ட வழிவகை, வரவு-செலவுத் திட்ட ஒதுக்கீடு"
bugetary control,வரவு-செலவுத் திட்டக்கட்டுப்பாடு
building,கட்டிடம்
bulk,"பேரளவு, மொத்த"
bulk purchase,பெருமளவிலான கொள்முதல்
bulletin,"செய்தி அறிவிப்பு வெளியீடு, செய்தி மடல்"
bumper crop,"பெரும் விளைச்சல், மிகு விளைச்சல்"
bunching of vacancies,காலியிடங்களைத் தொகுத்தல்
bungling,"குளறுபடி செய்தல், செய்கையில் தாறுமாறு"
bureaucracy,"பணித்துறை ஆட்சி, அதிகாரிகளின் ஆட்சி, ஒருமுக மைய ஆட்சி"
bureaucrat,"அதிகார மனப்பான்மையாளர், அதிகாரி"
business class,வர்த்தக வகுப்பினர்
business hours (= hours of business),அலுவல் நேரம்
businessman,வணிகர்
buy-back,திருப்பி வாங்கு
buyer,விலைக்கு வாங்குபவர்
by hand,கையால்
by post,அஞ்சல் வழியில்
bye election (by election),இடைத் தேர்தல்
cabin baggage,விமானத்தில் சரக்குப் பகுதியில் வைக்கும் பெட்டிகள்
cabinet,1. அமைச்சரவைக் குழு 2. இழுப்பறை
cadre,பணிநிலைப் பிரிவினர்
calamity,"பேரிடர், இடுக்கண்"
calculation,"கணிப்பு, கணித்தல், கணக்கீடு"
calendar year,ஆங்கில ஆண்டு
campaign,"இயக்கம், பிரச்சாரம்"
