Telugu,Marathi
ప్రసార సేవా ప్రణాళిక,प्रसारण सेवा नियोजन
ప్రసార ట్రాన్స్మిటర్,ब्रॉडकास्ट ट्रान्समीटर
బ్రాడ్‌కాస్టర్,प्रसारक
ప్రసారం,प्रसारण
బ్రాడ్కాస్టింగ్ స్టేషన్,प्रसारण स्टेशन
విరిగింది,तुटलेली
బ్రౌజర్,ब्राउझर
బ్రౌజింగ్,ब्राउझिंग
బుడగ,बबल
బఫర్,बफर
బఫర్ యాంప్లిఫైయర్,बफर एम्पलीफायर
బఫర్ ట్యూబ్,बफर ट्यूब
బగ్,किडा
అంతర్నిర్మిత యాంటెన్నా,अंगभूत अँटेना
బర్నర్,बर्नर
బర్నింగ్,बर्निंग
పేలుడు లోపం,स्फोट त्रुटी
పేలుడు చొప్పించే పల్స్,स्फोट अंतर्भूत नाडी
పేలుడు దశ,स्फोट टप्पा
బస్సు,बस
వ్యాపార నైపుణ్యం,व्यवसाय बुद्धिमत्ता
బజర్,बजर
పాస్ ద్వారా,पास द्वारे
ఉత్తీర్ణత ద్వారా,पास करून
బైపాస్ కండెన్సర్,बायपास कंडेन्सर
సి,सी
సి+ప్రోగ్రామింగ్ భాష,सी+प्रोग्रामिंग भाषा
క్యాబినెట్,कपाट
కేబుల్,केबल
కేబుల్ సమ్మేళనం,केबल कंपाऊंड
కేబుల్ ఈక్వలైజేషన్,केबल समानता
కేబుల్ నష్టం,केबल तोटा
కాష్,कॅशे
కాషింగ్,कॅशिंग
కాడ్మియం సెల్,कॅडमियम सेल
మెషీన్ లెక్కిస్తోంది,गणना मशीन
లెక్కింపు,गणना
కాలిక్యులేటర్,कॅल्क्युलेटर
క్రమాంకనం,कॅलिब्रेट
కాలిపర్స్,कॅलिपर
కేలరీమీటర్,कॅलरीमीटर
క్యామ్‌కార్డర్,कॅमकॉर्डर
కెమెరా,कॅमेरा
కెమెరా అమరిక,कॅमेरा संरेखन
కెమెరా ఎపర్చరు,कॅमेरा छिद्र
కెమెరా కవరేజ్,कॅमेरा कव्हरेज
కెమెరా లైనప్,कॅमेरा लाइन-अप
కెమెరా ట్యూబ్,कॅमेरा ट्यूब
పందిరి,छत
సామర్ధ్యం,क्षमता
కెపాసిటెన్స్,कॅपेसिटन्स
కెపాసిటివ్ లోడ్,कॅपेसिटिव्ह लोड
కెపాసిటివ్ రియాక్టెన్స్,कॅपेसिटिव्ह रिएक्टन्स
కెపాసిటర్,कॅपेसिटर
కెపాసిటర్ ఇన్పుట్ ఫిల్టర్,कॅपेसिटर इनपुट फिल्टर
సామర్థ్యం,क्षमता
క్యాప్సూల్,कॅप्सूल
శీర్షిక,मथळा
సంగ్రహ ప్రభావం,कॅप्चर इफेक्ट
కార్డు,कार्ड
కార్డియోయిడ్,कार्डिओइड
కార్డియోయిడ్ మైక్రోఫోన్,कार्डिओइड मायक्रोफोन
క్యారియర్,वाहक
క్యారియర్ ఫ్రీక్వెన్సీ,वाहक वारंवारता
క్యారియర్ ఫ్రీక్వెన్సీ షిఫ్ట్,कॅरियर फ्रिक्वेन्सी शिफ्ट
క్యారియర్ శక్తి,वाहक शक्ती
క్యారియర్ సెన్స్ సిగ్నల్,कॅरियर सेन्स सिग्नल
క్యారియర్ సున్నితత్వం,वाहक संवेदनशीलता
క్యారియర్ విభజన,वाहक वेगळे
క్యారియర్ షిఫ్ట్,कॅरियर शिफ्ट
క్యారియర్ స్పేసింగ్,कॅरियर स्पेसिंग
క్యారియర్ అణచివేత,वाहक दडपशाही
క్యారియర్ వేవ్,कॅरियर वेव्ह
గుళిక,काडतूस
చెక్కడం,कोरीव काम
క్యాస్కేడ్,कॅसकेड
క్యాస్కేడ్ సర్క్యూట్,कॅसकेड सर्किट
క్యాసెట్,कॅसेट
తారాగణం ఇనుము,ओतीव लोखंड
కాస్టింగ్,कास्टिंग
జాబితా,कॅटलॉग
విపత్తు జోక్యం,आपत्तीजनक हस्तक्षेप
కాథోడ్,कॅथोड
కాథోడ్ అనుచరుడు,कॅथोड अनुयायी
కాథోడ్ రెసిస్టర్,कॅथोड रेझिस्टर
సెల్‌ఫోన్,सेलफोन
సెల్యులార్,सेल्युलर
కేంద్ర నియంత్రణ,केंद्रीय नियंत्रण
కేంద్ర పౌన frequency పున్యం,मध्यवर्ती वारंवारता
సెంట్రల్ ప్రాసెసింగ్ యూనిట్,सेंट्रल प्रोसेसिंग युनिट
కేంద్రీకృత డేటాబేస్,केंद्रीकृत डेटाबेस
