Assamese,Marathi
চাৰ্জ চেন্সিং এম্প্লিফায়াৰ,चार्ज सेन्सिंग अॅम्प्लिफायर
চাৰ্জ সংৰক্ষণ,चार्ज स्टोरेज
আধানযুক্ত কণা,चार्ज केलेले कण
ভাবুকতা,उत्कट
ফ্ৰেম,फ्रेम
ৰবিশ্বেভ ফিল্টাৰ,robyshev फिल्टर
মুঠ পৰীক্ষা কৰক,बेरीज तपासा
কম্পাঙ্ক পৰীক্ষা কৰক,वारंवारता तपासा
ৰাসায়নিক বন্ধন,रासायनिक बंध
ৰাসায়নিক বাষ্প নিক্ষেপ,रासायनिक बाष्प जमा करणे
শিশুৰ তলাৰ সুবিধা,चाइल्ड लॉक सुविधा
শিশুৰ আইন,मुलाचा कायदा
চিপ,चिप
চিপ সক্ৰিয়কৰণ,चिप सक्रिय करणे
choke,गुदमरणे
intermittent,अधूनमधून
মাজে মাজে এম্প্লিফায়াৰ,मधूनमधून अॅम्प्लिफायर
মাজে মাজে এম্প্লিফায়াৰ,मधूनमधून अॅम्प्लिफायर
মাজে মাজে মোড,मधूनमधून मोड
ক্ৰ&#39;মা এম্প্লিফায়াৰ,क्रोमा अॅम्प्लीफायर
বৈশিষ্ট্য নিৰ্ণয়ৰ ডায়েগ্ৰাম,व्यक्तिचित्रण आकृती
ৰং কৰা,रंगद्रव्य
বৃত্তৰ ডায়েগ্ৰাম,वर्तुळ आकृती
বৰ্তনী,सर्किट
বৰ্তনী বিশ্লেষণ,सर्किट विश्लेषण
বৰ্তনী ভাঙক,सर्किट ब्रेकर
বৰ্তনীৰ ডায়েগ্ৰাম,सर्किट आकृती
বৰ্তনী সংকেত,सर्किट नोटेशन
চাৰ্কিট চুইচিং,सर्किट स्विचिंग
বৃত্তাকাৰ তৰংগ পথ,गोलाकार लहरी मार्ग
প্ৰচলিত স্মৃতিশক্তি,प्रसारित स्मृती
বণ্ডিং বৰ্তনী,बाँडिंग सर्किट
clap দোলক,क्लॅप ऑसिलेटर
ক্লাছ A এম্প্লিফায়াৰ,वर्ग ए एम्पलीफायर
ক শ্ৰেণী] খ] গ] ঘ কাৰ্য্যসমূহ,वर्ग A] B] C] D ऑपरेशन्स
ক্লাছ বি এম্প্লিফায়াৰ,वर्ग बी एम्पलीफायर
ক্লাছ C এম্প্লিফায়াৰ,क्लास सी अॅम्प्लिफायर
ক্লাছ D এম্প্লিফায়াৰ,वर्ग डी अॅम्प्लीफायर
S শ্ৰেণীৰ শৰীৰ,एस वर्ग शरीर
"বহিষ্কাৰ, পৰিষ্কাৰ","निष्कासन, स्वच्छ"
শ্বিয়াৰিং,कातरणे
শ্বিয়াৰিং বৰ্তনী,कातरणे सर्किट
calad,कॅलड
ঘড়ীৰ কম্পাঙ্ক,घड्याळ वारंवारता
ঘড়ী পালছ জেনেৰেটৰ,घड्याळ पल्स जनरेटर
কাদাল আৰ এছ ফ্লিপ ফ্লপ,कदल आरएस फ्लिप फ्लॉप
বন্ধ বৰ্তনী টেলিভিছন,बंद सर्किट दूरदर्शन
বন্ধ লুপ কাৰ্য্য,बंद लूप ऑपरेशन
বন্ধ লুপ লাভ,बंद लूप लाभ
পৰিপূৰক ধাতুৰ অৰ্ধপৰিবাহী,पूरक मेटॅलिक सेमीकंडक्टर
CMOS ডিভাইচ,CMOS डिव्हाइस
চি এম আৰ আৰ (সাধাৰণ মোড নিষ্ক্ৰিয়কৰণ অনুপাত),CMRR (कॉमन मोड न्यूट्रलायझेशन रेशो)
CO2laser,CO2 लेसर
সমাক্ষীয় কেবল,समाक्षीय केबल
সমাক্ষীয় কোটাৰ,कोएक्सियल कोटर
সমাক্ষীয় সংযোগকাৰী,समाक्षीय कनेक्टर
"সমাক্ষীয় সংযোগকাৰী, সমাক্ষীয় সংযোগকাৰী","समाक्षीय कनेक्टर, समाक्षीय कनेक्टर"
সমাক্ষীয় ৰেখা,समाक्षीय रेषा
সমাক্ষীয় ৰেখা,समाक्षीय रेषा
সমাক্ষীয় তৰংগ পথ,समाक्षीय लहरी मार्ग
ক&#39;ড সলনি কৰা,कोड बदल
ক&#39;ড চেঞ্জাৰ,कोड चेंजर
"ক&#39;ডেক, ক&#39;ডাৰ-ডিকোডাৰ","कोडेक, कोडर-डीकोडर"
ষ্টেৰিঅ&#39; ক&#39;ডিং,स्टिरिओ कोडिंग
কাপলিং সহগ,कपलिंग गुणांक
নিয়ন্ত্ৰণকাৰী বল,प्रतिबंधक शक्ती
সুসংহত পোহৰ,सुसंगत प्रकाश
ৰাশিফল,कुंडली
কইল ৱাইণ্ডিং মেচিন,कॉइल वाइंडिंग मशीन
কাকতলীয়া বৰ্তনী,योगायोग सर्किट
গৰম কেথ&#39;ড টিউব,गरम कॅथोड ट्यूब
ঠাণ্ডা ৱেল্ডিং পইণ্ট,कोल्ड वेल्डिंग पॉइंट
"সংগ্ৰাহক, সংগ্ৰাহক","कलेक्टर, कलेक्टर"
সংগ্ৰহ কৰা ধাৰা,प्रवाह गोळा करणे
সংগ্ৰাহক ক্ষয়,संग्राहक क्षय
সংগ্ৰাহকৰ দক্ষতা,कलेक्टर कार्यक्षमता
সমান্তৰাল লেন্স,समांतर लेन्स
চৰিত্ৰ খচৰা প্ৰস্তুত কৰা,वर्ण मसुदा
ৰং বিস্ফোৰণ,रंग फुटणे
"ৰঙৰ ক&#39;ড, আখৰৰ ক&#39;ড","रंग कोड, वर्ण कोड"
ৰঙৰ পাৰ্থক্য সংকেত,रंग भिन्नता सिग्नल
এন্টিডট,उतारा
ৰঙৰ মনিটৰ,रंग मॉनिटर
চৰিত্ৰৰ পুনৰুত্পাদন,वर्ण पुनरुत्पादन
ৰঙৰ পৰিপূৰকতা,रंग संपृक्तता
ৰঙীন বাহক কম্পাঙ্ক,रंगीत वाहक वारंवारता
ৰঙীন সংকেত,अॅक्रोमॅटिक सिग्नल
ৰঙীন টেলিভিছন,रंगीत दूरदर्शन
ৰঙীন টেলিভিছনৰ শৰীৰ,रंगीत टेलिव्हिजन बॉडी
"স্তম্ভ স্পীকাৰ, স্তম্ভৰ দৰে শব্দ জমাকাৰী","स्तंभ स्पीकर, स्तंभीय आवाज ठेवणारा"
"কম্ব ফিল্টাৰ, কম্ব ফিল্টাৰ","कंघी फिल्टर, कंघी फिल्टर"
সংযোগ বৰ্তনী,कनेक्शन सर्किट
কম্বিনেটৰিয়েল লজিক,संयोजन तर्कशास्त्र
আদেশ,आज्ञा
সাধাৰণ ভিত্তি পৰিবৰ্ধক,सामान्य बेस अॅम्प्लीफायर
সাধাৰণ ভিত্তি বিন্যাস,सामान्य बेस कॉन्फिगरेशन
সাধাৰণ সংগ্ৰাহক পৰিবৰ্ধক,सामान्य कलेक्टर अॅम्प्लीफायर
সাধাৰণ সংগ্ৰাহক সংৰূপ,सामान्य कलेक्टर कॉन्फिगरेशन
সাধাৰণ কেপাচিটিভ এম্প্লিফায়াৰ,सामान्य कॅपेसिटिव्ह अॅम्प्लिफायर
সাধাৰণ এমিটাৰ এম্প্লিফায়াৰ,सामान्य एमिटर अॅम्प्लिफायर
