Tamil,Bengali
சூழல் சுவிட்ச்,প্রসঙ্গ সুইচ
தற்செயல்,আকস্মিকতা
சுருக்கம்,সংকোচন
மாறுபாடு,বিপরীত
கட்டுப்பாடு,নিয়ন্ত্রণ
கட்டுப்பாட்டு பகுதி,নিয়ন্ত্রণ এলাকা
கட்டுப்பாட்டு பிட்,নিয়ন্ত্রণ বিট
கட்டுப்பாட்டு பேருந்து,নিয়ন্ত্রণ বাস
கட்டுப்பாட்டு அட்டை,নিয়ন্ত্রণ কার্ড
கட்டுப்பாட்டு சுற்று,নিয়ন্ত্রণ বর্তনী
கட்டுப்பாட்டு சுழற்சி,নিয়ন্ত্রণ চক্র
கட்டுப்பாட்டு பொறியியல்,নিয়ন্ত্রণ প্রকৌশল
கட்டுப்பாட்டு விசை,নিয়ন্ত্রণ কী
கட்டுப்பாட்டு தர்க்கம்,নিয়ন্ত্রণ যুক্তি
கட்டுப்பாட்டு வளையம்,নিয়ন্ত্রণ লুপ
கட்டுப்பாட்டு குறி,নিয়ন্ত্রণ চিহ্ন
கட்டுப்பாட்டு செயல்பாடு,নিয়ন্ত্রণ অপারেশন
கட்டுப்பாட்டு குழு,নিয়ন্ত্রণ প্যানেল
கட்டுப்பாட்டு சமிக்ஞை,নিয়ন্ত্রণ সংকেত
கட்டுப்பாட்டு சுவிட்ச்,কন্ট্রোল সুইচ
கட்டுப்பாட்டு நாடா,নিয়ন্ত্রণ টেপ
கட்டுப்பாட்டு முனையம்,নিয়ন্ত্রণ টার্মিনাল
கட்டுப்பாட்டு அலகு (CU),কন্ট্রোল ইউনিট (CU)
ஒன்றிணைதல்,অভিন্নতা
உரையாடல்,কথোপকথন
உரையாடல் நேரப் பகிர்வு,কথোপকথন সময় ভাগ করা
மாற்றம்,রূপান্তর
மாற்றி,রূপান্তরকারী
குக் தேற்றம்,কুকের উপপাদ্য
இணை செயலி,সহ-প্রসেসর
நகல்,অনুলিপি
பதிப்புரிமை,কপিরাইট
தண்டு,কর্ড
கம்பியில்லா தொலைபேசி,কর্ডলেস টেলিফোন
தொடர்ச்சி,ফলাফল
திருத்தம்,সংশোধন
சிதைக்கப்பட்டது,দূষিত
எண்ணிக்கை,গণনা
கவுண்டர்,পাল্টা
நாட்டின் குறியீடு,কান্ট্রি কোড
இணை மாறுபாடு,সহবাস
கவரேஜ்,কভারেজ
விபத்து,ক্র্যাশ
முக்கியமான பாதை,জটিল পথ
முக்கியமான பாதை முறை (CPM),সমালোচনামূলক পথ পদ্ধতি (CPM)
குறுக்கு சோதனை,ক্রস চেক
குறுக்கு கம்பைலர்,ক্রস কম্পাইলার
குறுக்கு தீ,ক্রস ফায়ার
குறுக்கு பேச்சு,ক্রস আলাপ
குறியாக்கவியல்,ক্রিপ্টোগ্রাফিক
குறியாக்கவியல்,ক্রিপ্টোগ্রাফি
நாணய சின்னம்,মুদ্রার প্রতীক
தற்போதைய அடைவு,বর্তমান ডিরেক্টরি
தற்போதைய சாளரம்,বর্তমান উইন্ডো
கர்சர்,কার্সার
வளைவு,বক্ররেখা
வெட்டி ஒட்டு,কাটা এবং পেস্ট
வெட்டு முறை,কাটা পদ্ধতি
சைபர்,সাইবার
கணணி மையம்,সাইবার ক্যাফে
இணைய பணம்,সাইবার নগদ
சைபர்,সাইবার অপরাধ
சைபர் டெலிக்ஸ்,সাইবার ডেলিক্স
இணைய சட்டம்,সাইবার আইন
இணைய செக்ஸ்,সাইবার সেক্স
சைபர்னாடிக்ஸ்,সাইবারনাটিক্স
சைபர்னேஷன்,সাইবারনেশন
மிதிவண்டி,সাইকেল
சுழற்சி நினைவகம்,চক্র মেমরি
சுழற்சி திருட,সাইকেল চুরি
